time,x,y,z
0.0,1.0579889,2.015445,9.722966
4.333496,0.9622433,2.0728924,9.64637
8.483887,0.71330476,2.0633178,9.550624
12.664795,0.71330476,2.0633178,9.550624
15.655518,0.20585304,1.8909757,9.407005
19.317629,0.20585304,1.8909757,9.407005
23.101809,0.062234644,1.776081,9.359133
26.672363,0.00478728,1.709059,9.330409
30.181885,-0.00478728,1.6037389,9.253813
34.057617,0.00478728,1.5558661,9.301685
37.81128,0.10053288,1.5654407,9.349558
41.625977,0.22500217,1.5750152,9.378282
45.50171,0.28244954,1.5654407,9.407005
49.682617,0.30159867,1.5462915,9.464453
54.19922,0.2154276,1.5750152,9.483603
58.19702,0.17712937,1.5941644,9.474028
62.01172,0.10053288,1.6037389,9.426155
65.460205,0.081383765,1.6324625,9.407005
69.42749,0.05266008,1.6324625,9.349558
74.61548,0.09095833,1.709059,9.378282
78.58277,0.14840569,1.7473572,9.349558
82.61109,0.25372586,1.7856555,9.320834
86.4563,0.3398969,1.8048047,9.31126
89.416504,0.4356425,1.7856555,9.301685
94.75708,0.46436617,1.7569319,9.29211
98.968506,0.54096264,1.709059,9.20594
102.81372,0.54096264,1.6899099,9.196365
106.292725,0.5792609,1.6516117,9.18679
109.64966,0.56011176,1.6707608,9.138918
114.56299,0.5505372,1.6707608,9.196365
118.71338,0.5888355,1.7186337,9.177217
122.77222,0.6079846,1.776081,9.196365
126.98364,0.64628285,1.862252,9.234664
131.28662,0.6845811,1.929274,9.215514
135.28441,0.7420284,1.9771467,9.253813
139.52637,0.751603,2.034594,9.2825365
144.04297,0.70373017,2.0824668,9.301685
148.22388,0.6845811,2.1207652,9.320834
153.38135,0.6845811,2.1207652,9.320834
157.01294,0.61755913,2.1207652,9.2825365
161.95679,0.5792609,2.0728924,9.29211
166.74805,0.5888355,2.0537431,9.2825365
171.02051,0.5888355,1.9962958,9.272962
174.9878,0.59841,1.948423,9.272962
179.71802,0.69415563,1.8239537,9.263388
184.26514,0.7228793,1.776081,9.320834
188.38501,0.751603,1.7186337,9.320834
192.56592,0.751603,1.7186337,9.320834
196.04492,0.7228793,1.7473572,9.359133
199.7986,0.7420284,1.8143792,9.41658
203.85742,0.7420284,1.8143792,9.41658
207.4585,0.6845811,1.929274,9.493176
211.21216,0.6845811,1.929274,9.493176
215.57617,0.6845811,2.015445,9.512326
219.7571,0.5505372,2.0920415,9.5889225
223.6023,0.4835153,2.0824668,9.569773
227.17285,0.4835153,2.0824668,9.569773
230.92651,0.49308985,2.0633178,9.550624
235.32104,0.45479164,2.0537431,9.493176
239.34937,0.47394073,1.8814012,9.426155
243.13354,0.47394073,1.8814012,9.426155
246.64307,0.49308985,1.8048047,9.41658
249.51172,0.5313881,1.7856555,9.397431
255.40161,0.56011176,1.7473572,9.378282
259.42993,0.56011176,1.776081,9.445304
263.24463,0.56011176,1.776081,9.445304
267.24243,0.56011176,1.7665064,9.483603
270.90454,0.56011176,1.7665064,9.483603
275.72632,0.4835153,1.79523,9.493176
279.72412,0.46436617,1.776081,9.474028
283.844,0.46436617,1.776081,9.474028
287.4756,0.47394073,1.79523,9.474028
291.3208,0.44521707,1.79523,9.474028
295.44067,0.4356425,1.79523,9.407005
299.77417,0.4356425,1.7856555,9.464453
303.6499,0.4356425,1.7856555,9.464453
307.312,0.45479164,1.7569319,9.464453
311.15723,0.45479164,1.7569319,9.464453
315.7959,0.46436617,1.7569319,9.445304
319.7632,0.512239,1.709059,9.435729
323.63892,0.512239,1.709059,9.435729
327.20947,0.5505372,1.6611862,9.407005
330.96313,0.5505372,1.6611862,9.407005
335.54077,0.56968635,1.6324625,9.368708
339.50806,0.56011176,1.6516117,9.378282
343.10913,0.54096264,1.6420372,9.368708
346.55762,0.54096264,1.6420372,9.368708
349.27368,0.54096264,1.622888,9.349558
355.5603,0.512239,1.6707608,9.330409
359.61914,0.512239,1.7186337,9.339984
363.40332,0.49308985,1.7569319,9.359133
367.15698,0.56011176,1.8239537,9.378282
370.91064,0.56011176,1.8239537,9.378282
373.2605,0.5505372,1.8335283,9.426155
376.80054,0.59841,1.9101248,9.435729
380.79834,0.5505372,1.9101248,9.435729
384.79614,0.5313881,1.9101248,9.454879
388.79395,0.54096264,1.9101248,9.445304
393.09692,0.49308985,1.9388485,9.454879
396.75903,0.5218136,1.9388485,9.445304
400.78735,0.56011176,1.8909757,9.454879
404.75464,0.5505372,1.8814012,9.378282
408.75244,0.56011176,1.8526775,9.41658
413.1775,0.56011176,1.8143792,9.3878565
416.74805,0.56968635,1.7665064,9.368708
420.71533,0.56011176,1.7569319,9.339984
424.71313,0.56011176,1.7569319,9.3878565
428.71094,0.5313881,1.8239537,9.339984
433.1665,0.5218136,1.8143792,9.320834
437.04224,0.5313881,1.8335283,9.2825365
440.67383,0.54096264,1.862252,9.31126
444.67163,0.56968635,1.8814012,9.29211
448.66943,0.61755913,1.9388485,9.272962
453.21655,0.6558574,1.948423,9.31126
456.81763,0.63670826,1.9867213,9.2825365
460.66284,0.6750065,2.015445,9.320834
464.63013,0.7228793,2.0250196,9.330409
468.62793,0.7228793,2.0537431,9.31126
473.23608,0.7228793,2.0058703,9.339984
476.71506,0.7228793,2.034594,9.320834
480.7129,0.7324539,1.9867213,9.330409
484.58862,0.76117754,1.9867213,9.349558
488.58643,0.78032666,1.9771467,9.339984
493.28613,0.77075213,1.9867213,9.349558
496.82617,0.8186249,1.9771467,9.378282
500.73242,0.85692316,1.9771467,9.407005
504.6692,0.90479594,1.9962958,9.454879
508.54492,0.9526688,1.9962958,9.474028
513.3362,0.9622433,1.9579976,9.483603
516.8152,0.9430942,1.9388485,9.5219
520.6909,0.9430942,1.9196993,9.560199
524.5056,0.9430942,1.9962958,9.617646
528.5034,0.8952214,1.9579976,9.5889225
532.5012,0.85692316,1.9962958,9.5889225
536.89575,0.77075213,1.9771467,9.617646
541.04614,0.7228793,1.9101248,9.5889225
544.55566,0.64628285,1.862252,9.569773
548.4619,0.6271337,1.8335283,9.569773
552.4597,0.5313881,1.7856555,9.560199
556.7932,0.512239,1.7186337,9.54105
560.82153,0.4835153,1.6516117,9.54105
564.4531,0.42606795,1.6133134,9.54105
568.4509,0.45479164,1.5845897,9.579348
572.4182,0.39734426,1.5845897,9.608071
576.7517,0.359046,1.5750152,9.617646
580.9021,0.359046,1.5654407,9.617646
584.3811,0.359046,1.6037389,9.62722
588.47046,0.33032233,1.5654407,9.62722
592.3767,0.3111732,1.5271424,9.598496
596.80176,0.30159867,1.5079932,9.560199
600.9216,0.2920241,1.4888442,9.550624
604.61426,0.25372586,1.5367169,9.579348
608.49,0.27287498,1.6324625,9.569773
612.3352,0.22500217,1.7473572,9.5889225
616.94336,0.19627848,1.862252,9.579348
621.2158,0.20585304,1.948423,9.598496
624.8474,0.13883112,2.0537431,9.598496
628.54004,0.13883112,2.1207652,9.579348
632.2937,0.14840569,2.1303396,9.493176
637.05444,0.17712937,2.168638,9.512326
641.4795,0.22500217,2.168638,9.474028
644.95844,0.23457673,2.149489,9.435729
648.5901,0.2920241,2.1399143,9.435729
652.2827,0.37819514,2.149489,9.407005
657.19604,0.37819514,2.1303396,9.339984
661.2549,0.39734426,2.1111906,9.2825365
664.8865,0.40691882,2.0728924,9.29211
668.6096,0.4356425,2.0058703,9.2825365
672.51587,0.4356425,1.9675722,9.234664
677.36816,0.39734426,1.948423,9.263388
681.6406,0.45479164,1.9101248,9.215514
685.0586,0.49308985,1.8909757,9.158067
688.7512,0.5218136,1.8526775,9.167642
692.62695,0.56011176,1.8239537,9.129343
697.4487,0.61755913,1.79523,9.062322
701.50757,0.63670826,1.7856555,9.0814705
705.2307,0.63670826,1.7856555,9.091045
708.67914,0.6750065,1.8048047,9.071896
712.4634,0.6845811,1.8526775,9.119769
717.59033,0.7420284,1.9005502,9.071896
721.7102,0.7324539,1.9388485,9.138918
725.43335,0.76117754,1.9579976,9.091045
729.06494,0.751603,1.9771467,9.110194
732.72705,0.78990126,1.9867213,9.100619
737.7014,0.76117754,2.0058703,9.091045
741.8213,0.7420284,2.015445,9.110194
745.39185,0.7324539,1.9675722,9.148493
748.9624,0.76117754,1.9771467,9.196365
753.02124,0.77075213,1.929274,9.215514
757.8125,0.7228793,1.8814012,9.29211
760.4065,0.6845811,1.8909757,9.301685
764.1907,0.665432,1.8526775,9.349558
768.7988,0.63670826,1.8335283,9.397431
772.64404,0.6271337,1.8239537,9.407005
777.9236,0.6271337,1.7665064,9.435729
782.1045,0.64628285,1.7282082,9.41658
785.9802,0.6079846,1.6994845,9.454879
789.6118,0.59841,1.6803354,9.474028
793.3655,0.61755913,1.6899099,9.493176
798.0652,0.5792609,1.6994845,9.483603
800.96436,0.56011176,1.6803354,9.474028
804.93164,0.54096264,1.709059,9.483603
808.59375,0.5218136,1.7186337,9.464453
811.9507,0.47394073,1.7282082,9.464453
818.1763,0.4835153,1.7377827,9.407005
822.3572,0.4835153,1.7569319,9.474028
826.14136,0.50266445,1.7473572,9.493176
829.7119,0.50266445,1.7473572,9.493176
