time,x,y,z
0.0,-0.05060408,0.098544784,0.28764424
4.089356,-0.034623843,0.087891296,0.271664
10.162354,-0.02130698,0.08256455,0.25834712
15.960694,-0.018643608,0.087891296,0.2423669
19.866943,-0.026633725,0.093218036,0.23171341
23.773193,-0.045277335,0.09588141,0.22105992
29.785156,-0.06658431,0.09055467,0.2130698
35.67505,-0.087891296,0.08256455,0.20241632
39.733887,-0.10387153,0.07191106,0.1944262
43.395996,-0.11985177,0.061257567,0.18643607
49.743652,-0.135832,0.05326745,0.18110934
55.786133,-0.15447561,0.04261396,0.18110934
59.600834,-0.17045584,0.031960472,0.17578259
63.964844,-0.18643607,0.023970352,0.17311922
68.08472,-0.19708957,0.018643608,0.17045584
75.89722,-0.1944262,0.015980236,0.1651291
80.93262,-0.18377271,0.013316862,0.15713897
84.93041,-0.16246572,0.013316862,0.15181224
89.141846,-0.13316862,0.013316862,0.1464855
96.09985,-0.10120816,0.013316862,0.14382212
99.76196,-0.07191106,0.013316862,0.14115874
103.393555,-0.045277335,0.013316862,0.13849537
109.61914,-0.023970352,0.013316862,0.135832
116.1499,-0.013316862,0.013316862,0.13050525
120.11719,-0.007990118,0.01065349,0.122515135
123.71826,-0.007990118,0.007990118,0.11452502
129.76074,-0.013316862,0.0,0.10120816
136.26099,-0.018643608,-0.0026633726,0.087891296
140.13672,-0.02130698,-0.007990118,0.07457443
144.04297,-0.02130698,-0.01065349,0.058594197
150.02441,-0.018643608,-0.015980236,0.045277335
156.34155,-0.015980236,-0.015980236,0.031960472
160.52246,-0.007990118,-0.018643608,0.018643608
163.97095,0.0,-0.018643608,0.007990118
169.7998,0.007990118,-0.015980236,0.0
176.51366,0.023970352,-0.01065349,-0.01065349
180.57251,0.04261396,-0.005326745,-0.02130698
184.2041,0.061257567,0.0,-0.034623843
190.24658,0.07990117,0.0026633726,-0.05060408
198.6084,0.11452502,0.0,-0.07457443
205.41382,0.12784189,-0.005326745,-0.08522792
209.41162,0.14382212,-0.01065349,-0.093218036
218.5669,0.16779247,-0.031960472,-0.10919827
225.67749,0.17578259,-0.04261396,-0.11452502
229.98047,0.17844597,-0.05326745,-0.11985177
237.97607,0.17578259,-0.07457443,-0.13050525
242.5232,0.17045584,-0.08522792,-0.13050525
246.0022,0.17045584,-0.08522792,-0.13050525
249.72534,0.17045584,-0.09588141,-0.12784189
257.9651,0.17045584,-0.111861646,-0.11985177
262.20703,0.16779247,-0.117188394,-0.11452502
265.86914,0.16779247,-0.117188394,-0.11452502
269.4397,0.15713897,-0.122515135,-0.10919827
277.64893,0.13849537,-0.12784189,-0.10387153
281.86035,0.09055467,-0.13849537,-0.09055467
285.36987,0.09055467,-0.13849537,-0.09055467
289.79492,0.06658431,-0.13849537,-0.08522792
297.85156,0.037287217,-0.135832,-0.07191106
302.063,0.031960472,-0.13050525,-0.07191106
305.9082,0.031960472,-0.13050525,-0.07191106
309.5398,0.031960472,-0.12517852,-0.069247685
317.81006,0.04261396,-0.11985177,-0.07191106
322.2351,0.09055467,-0.10387153,-0.08256455
325.8667,0.09055467,-0.10387153,-0.08256455
330.2002,0.11985177,-0.098544784,-0.09588141
333.98438,0.14914887,-0.093218036,-0.11452502
341.52222,0.17844597,-0.093218036,-0.135832
345.70313,0.20241632,-0.093218036,-0.16246572
350.09766,0.22105992,-0.093218036,-0.1944262
354.1565,0.23970354,-0.093218036,-0.22638667
361.084,0.25834712,-0.09055467,-0.25834712
365.0818,0.27432737,-0.087891296,-0.28764424
369.65942,0.2903076,-0.08256455,-0.31427795
377.4414,0.3116146,-0.058594197,-0.34357506
381.46973,0.3116146,-0.058594197,-0.34357506
385.13184,0.31427795,-0.047940705,-0.35156518
389.98413,0.31427795,-0.04261396,-0.35422856
393.85986,0.3116146,-0.04261396,-0.35422856
401.3672,0.3116146,-0.047940705,-0.3595553
405.24292,0.30895123,-0.058594197,-0.36221868
409.729,0.30628785,-0.07457443,-0.36488205
417.6941,0.3009611,-0.087891296,-0.36488205
421.99707,0.292971,-0.098544784,-0.36221868
425.59814,0.27965412,-0.10919827,-0.3595553
430.0537,0.26367387,-0.122515135,-0.35422856
434.17355,0.2423669,-0.135832,-0.35422856
441.4978,0.2130698,-0.15447561,-0.3595553
445.6787,0.18377271,-0.17844597,-0.37553552
453.18604,0.12517852,-0.23704016,-0.42880297
457.6416,0.12517852,-0.23704016,-0.42880297
461.91406,0.09588141,-0.26633725,-0.46342683
465.48462,0.063920945,-0.292971,-0.4953873
473.17505,0.007990118,-0.31694132,-0.5406646
477.69165,-0.013316862,-0.31694132,-0.54599136
