time,x,y,z
0.0,-0.27453062,-0.80479616,-0.74784946
4.089356,-0.14048678,-0.43138826,-0.87231827
7.781983,-0.14048678,-0.43138826,-0.87231827
10.162354,-0.3511271,-0.029256701,-0.9680643
15.960694,-0.60964024,-0.12500238,-0.9393406
19.866943,-0.46602184,-0.2590462,-0.9393406
23.773193,-0.46602184,-0.2590462,-0.9393406
27.22168,-0.48517096,-0.1824497,-0.9106169
29.785156,-0.47137642,-0.03157401,-0.9446821
35.67505,-0.44265276,0.05459702,-0.92553234
39.733887,-0.34690714,0.18864083,-0.858511
43.395996,-0.34690714,0.18864083,-0.858511
46.99707,-0.31818348,0.1790663,-0.79148865
49.743652,-0.33733258,0.15991724,-0.80106354
55.786133,-0.2607361,0.09289527,-0.79148865
59.600834,-0.14328463,-0.111602426,-0.81018925
63.964844,-0.16243376,-0.17862439,-0.77189064
68.08472,-0.14328463,-0.2360717,-0.78146553
72.387695,-0.14328463,-0.2360717,-0.78146553
75.89722,-0.14328463,-0.21692264,-0.8867855
80.93262,-0.124135524,-0.1594752,-0.90593433
84.93041,-0.1049864,-0.111602426,-0.95380783
89.141846,-0.12798025,-0.064095736,-0.9267826
93.38379,-0.12798025,-0.064095736,-0.9267826
96.09985,-0.17585306,0.050798893,-0.888484
99.76196,-0.19500217,0.10824633,-0.8693352
103.393555,-0.19500217,0.10824633,-0.8693352
107.02515,-0.23330042,0.14654458,-0.888484
109.61914,-0.30032235,0.18484282,-0.8693352
116.1499,-0.329046,0.26143932,-0.87891006
120.11719,-0.29311866,0.22531807,-0.8572016
123.71826,-0.27396953,0.26361632,-0.84762764
127.41089,-0.27396953,0.26361632,-0.84762764
129.76074,-0.30269322,0.2540418,-0.8572016
136.26099,-0.2835441,0.27319086,-0.7901802
140.13672,-0.2835441,0.32106364,-0.7806053
144.04297,-0.24524584,0.36893654,-0.7518816
147.49146,-0.24524584,0.36893654,-0.7518816
150.02441,-0.26439497,0.3880856,-0.7614565
156.34155,-0.22609672,0.3306383,-0.7901802
160.52246,-0.23317838,0.26902652,-0.77709866
163.97095,-0.2523275,0.2403028,-0.7196512
167.41943,-0.2523275,0.2403028,-0.7196512
169.7998,-0.29541302,0.26902652,-0.6334801
176.51366,-0.36722222,0.28817558,-0.50901127
180.57251,-0.43424416,0.3168993,-0.48028755
184.2041,-0.43424416,0.3168993,-0.48028755
187.74414,-0.45339328,0.35519755,-0.45156384
190.24658,-0.50399446,0.37441182,-0.37715912
195.73975,-0.55186725,0.36483717,-0.32928658
198.6084,-0.56144184,0.38398623,-0.32928658
202.23999,-0.6380383,0.40313554,-0.30056286
205.41382,-0.64761287,0.41270995,-0.30056286
209.41162,-0.65718746,0.46058273,-0.32928658
215.85083,-0.666762,0.4988811,-0.29098797
218.5669,-0.66901886,0.49812675,-0.24554253
222.44263,-0.6881679,0.5459995,-0.28384113
225.67749,-0.6977425,0.622596,-0.32213974
229.98047,-0.66901886,0.68004346,-0.32213974
234.0393,-0.6785934,0.72791624,-0.35086346
237.97607,-0.6307206,0.73749065,-0.3604374
242.5232,-0.621146,0.7662144,-0.398736
246.0022,-0.5828478,0.775789,-0.37958622
249.72534,-0.55053806,0.6954727,-0.38535118
253.35693,-0.4930907,0.7337711,-0.32790375
257.9651,-0.4452179,0.78164387,-0.30875492
262.20703,-0.39734507,0.80079293,-0.26088142
265.86914,-0.28245035,0.85824037,-0.22258377
269.4397,-0.20585388,0.819942,-0.21300888
273.4375,-0.1292574,0.72419643,-0.13641262
277.64893,-0.106012285,0.6233871,-0.069316864
281.86035,-0.010266662,0.47976875,-0.040593147
285.36987,0.028031558,0.4127469,0.007279396
289.79492,0.08547893,0.35529947,0.093450546
293.60962,0.1429263,0.28827763,0.14132404
297.85156,0.17164996,0.24040484,0.17004776
302.063,0.24824646,0.1542337,0.23706913
305.9082,0.27697012,0.077637196,0.2179203
309.5398,0.25550732,-0.022060513,0.29051208
313.20193,0.2363582,-0.07950795,0.28093815
317.81006,0.16933629,-0.060358763,0.3671093
322.2351,0.14061257,-0.05078423,0.42455673
325.8667,0.12146348,0.025812268,0.42455673
330.2002,0.1597617,0.08325958,0.4915781
333.98438,0.1597617,0.10240865,0.53945065
337.70752,0.2363582,0.1119833,0.5586004
341.52222,0.21892059,0.05932629,0.6242838
345.70313,0.23806971,0.04975164,0.67215633
350.09766,0.30509162,0.030602574,0.72960377
354.1565,0.40083724,0.04975164,0.7966261
357.8186,0.48700827,0.040177226,0.87322235
361.084,0.601903,0.05932629,0.99769115
365.0818,0.688074,0.030602574,1.0647135
369.65942,0.67849946,0.040177226,1.1317358
373.6267,0.601903,0.030602574,1.217907
377.4414,0.4945151,-0.10910106,1.2853117
381.46973,0.3796204,-0.17612302,1.3331842
385.13184,0.29344937,-0.23357034,1.3810568
389.98413,0.21685287,-0.28144324,1.4863777
393.85986,0.236002,-0.29101777,1.5151014
397.43042,0.24557653,-0.3005923,1.5342503
401.3672,0.29344937,-0.31974137,1.5342503
405.24292,0.3508967,-0.31016684,1.4959517
409.729,0.4241835,-0.38243902,1.5198479
413.51318,0.4433326,-0.36328995,1.4719753
417.6941,0.35716152,-0.35371542,1.4241018
421.99707,0.30928874,-0.3249917,1.3762293
425.59814,0.17524487,-0.28669345,1.2900581
430.0537,0.079499274,-0.2196716,1.2613344
434.17355,0.012477368,-0.13350058,1.194313
437.89673,-0.016246319,-0.02818036,1.1177158
441.4978,-0.05572015,-4.0769577E-5,1.0733404
445.6787,0.020876348,0.07655573,0.9871702
449.37134,0.11662194,0.12442851,0.9201479
453.18604,0.31768772,0.16272688,0.8531256
457.6416,0.5091789,0.14357758,0.79567814
461.91406,0.7102448,0.17230129,0.7573805
465.48462,0.9017359,0.18187594,0.73823166
469.2688,1.0192752,0.08660364,0.67359734
473.17505,1.1820428,-0.03786564,0.6448736
477.69165,1.3160868,-0.14318585,0.53955364
481.87256,1.3639596,-0.29637873,0.5108299
485.7483,1.3831086,-0.43042266,0.38636017
489.34937,1.392683,-0.5165937,0.34806252
492.82837,1.3831086,-0.6219138,0.3193388
497.46704,1.2733545,-0.71452546,0.25207615
501.67847,1.2254816,-0.7528237,0.2137785
505.24902,1.1488853,-0.7815474,0.13718128
508.78906,1.0531396,-0.7815474,0.07973385
513.0615,1.0052668,-0.7528237,0.022286415
517.82227,0.97654307,-0.71452546,-0.044734955
522.12524,0.8999466,-0.73367465,-0.1309061
525.6958,0.8999466,-0.71452546,-0.15005493
529.23584,0.8259709,-0.69309366,-0.2395258
533.05054,0.78767264,-0.7218174,-0.22995186
537.93335,0.7589489,-0.74096656,-0.2778244
542.2058,0.6919271,-0.8271376,-0.2778244
545.77637,0.6823524,-0.84628665,-0.29697323
549.53,0.63447964,-0.9324577,-0.30654812
552.70386,0.6249051,-1.0473524,-0.31612206
557.73926,0.4996875,-0.98989636,-0.33218002
561.8286,0.5188367,-1.0473437,-0.35132885
565.52124,0.5284112,-1.1239402,-0.31303024
569.21387,0.43266565,-1.2484095,-0.33218002
572.9675,0.38479286,-1.3058568,-0.31303024
578.18604,0.26032346,-1.4303262,-0.31303024
582.6111,0.21245074,-1.5164971,-0.35132885
586.21216,0.13585424,-1.5452209,-0.35132885
589.87427,-0.059304476,-1.491184,-0.37976456
593.5669,-0.097602725,-1.4528859,-0.40848827
598.114,-0.16462463,-1.4528859,-0.45636082
602.32544,-0.1454755,-1.3284166,-0.49465942
605.98755,-0.1454755,-1.2326709,-0.5329571
609.5581,-0.15505004,-1.1464999,-0.5904045
613.46436,-0.13590091,-1.1082016,-0.63827705
618.103,-0.20121223,-0.96290314,-0.6901388
622.2839,-0.22036135,-0.943754,-0.6997137
625.8545,-0.22036135,-0.9246049,-0.78588486
629.5471,-0.22993588,-0.89588124,-0.8529062
633.45337,-0.27780873,-0.88630664,-0.91035366
638.5193,-0.33525604,-0.8767321,-1.0252485
642.7307,-0.33525604,-0.8767321,-1.0252485
646.42334,-0.35440516,-0.857583,-1.1401434
650.177,-0.39614555,-0.7355623,-1.2020569
653.8391,-0.41529468,-0.6589658,-1.2690783
658.6914,-0.48231658,-0.50577295,-1.3648243
663.0249,-0.48231658,-0.50577295,-1.3648243
666.7175,-0.5493385,-0.43875098,-1.4701443
670.5017,-0.5493385,-0.43875098,-1.4701443
674.07227,-0.5876367,-0.38130367,-1.5563154
678.4668,-0.49622574,-0.3584441,-1.6930466
682.73926,-0.49622574,-0.3584441,-1.6930466
686.1878,-0.48665118,-0.3584441,-1.6930466
689.84985,-0.44835296,-0.3392949,-1.6930466
693.6035,-0.35260737,-0.32972038,-1.6930466
698.88306,-0.2855854,-0.3392949,-1.6738977
703.06396,-0.20898896,-0.27227306,-1.6068754
706.69556,-0.24728715,-0.2052511,-1.539854
710.2356,-0.25620562,-0.20935798,-1.5382795
714.14185,-0.32322758,-0.14233601,-1.4808321
718.9636,-0.42854774,-0.06573963,-1.3563623
723.2361,-0.45727143,0.049155116,-1.3755112
726.80664,-0.49556965,0.16404986,-1.3372135
730.62134,-0.46684596,0.20234811,-1.289341
734.4971,-0.46684596,0.20234811,-1.289341
738.76953,-0.47278994,0.27634025,-1.2577181
741.6382,-0.37704432,0.25719106,-1.2960157
745.1477,-0.31959695,0.27634025,-1.3438892
748.9929,-0.22385138,0.21889281,-1.3438892
752.594,-0.08980751,0.22846746,-1.372612
756.31714,0.0059381127,0.1614455,-1.3917618
760.9253,0.101683676,0.07527447,-1.3438892
765.16724,0.19742936,0.027401686,-1.2960157
768.7378,0.23908651,-0.011461139,-1.2400045
772.5525,0.24866116,-0.05933392,-1.192132
776.7639,0.315683,-0.1072067,-1.0963869
780.7617,0.27738476,-0.15507948,-1.0676632
784.82056,0.27738476,-0.15507948,-0.96234226
788.5131,0.26781023,-0.17422867,-0.8570223
792.3279,0.22951198,-0.1838032,-0.780426
796.1731,0.1816392,-0.1838032,-0.7325535
800.5371,0.119347155,-0.17709124,-0.64538765
804.3518,0.1097725,-0.14836752,-0.5209179
808.4717,0.05232519,-0.12921846,-0.4251728
812.40845,0.05232519,-0.10049474,-0.33900166
816.25366,0.09062344,-0.043047428,-0.28155422
820.8313,0.01402694,-0.004749179,-0.30070305
824.70703,0.06189972,0.052698255,-0.2911291
828.125,0.122412324,0.027946353,-0.2358141
832.1228,0.15113592,0.08539379,-0.22624016
836.4258,0.20858335,0.114117384,-0.16879272
840.88135,0.22773242,0.114117384,-0.14964294
844.7571,0.1990087,0.13326657,-0.12091923
848.3887,0.17985964,0.123692036,-0.053897858
852.41705,0.17985964,0.13326657,-0.015599251
856.0486,0.13198686,0.1428411,0.0705719
860.83984,0.14979172,0.1906848,0.12105751
864.7766,0.15936625,0.18111014,0.15935612
868.4082,0.14021719,0.13323736,0.16893005
872.31445,0.1689409,0.12366283,0.18807983
876.64795,0.22638822,0.018342733,0.15935612
880.61523,0.26468647,-0.06782842,0.16893005
884.6741,0.3029847,-0.07740295,0.18807983
887.97,0.34435332,-0.04539776,0.19926453
892.395,0.40180075,-0.0070995092,0.18969059
896.60645,0.41137528,0.059922457,0.26628685
901.15356,0.440099,0.098220706,0.3141594
905.7312,0.42094982,0.16524255,0.42905426
909.9121,0.37307703,0.16524255,0.4673519
914.33716,0.37307703,0.16524255,0.4673519
917.26685,0.4158591,0.099978685,0.46904564
922.0886,0.40628457,0.03295672,0.48819542
926.33057,0.40628457,0.03295672,0.48819542
930.9388,0.4158591,0.03295672,0.4498968
935.82153,0.47330654,0.052105784,0.4498968
940.7654,0.48288107,0.10955322,0.44032288
945.9839,0.570037,0.10401654,0.43892384
951.0498,0.70408094,0.21891129,0.4772215
955.65796,0.7519537,0.25720942,0.525095
960.8154,0.8285502,0.27635872,0.60169125
966.4917,0.9051466,0.21891129,0.7836075
971.405,0.9338703,0.13274026,0.8889284
976.1047,0.97950774,0.024262547,0.96118546
981.0791,0.9412096,0.014687896,1.0569315
986.17554,0.8646131,-0.014035702,1.0952291
991.24146,0.58695084,-0.071483135,1.2292738
995.42236,0.5199289,-0.10020673,1.315444
999.72534,0.32843775,-0.14807951,1.4207649
1003.1128,0.1369465,-0.15765417,1.4782124
1007.2937,0.059154868,-0.21514273,1.4622593
1011.68823,-0.122761786,-0.25344098,1.5005579
1016.5405,-0.28552932,-0.32046282,1.4718342
