time,x,y,z
0.0,-0.99096704,1.7473572,9.474028
3.753662,-0.751603,1.6994845,9.560199
9.155274,-0.56968635,1.7473572,9.598496
12.145996,-0.45479164,1.9101248,9.636795
15.930176,-0.3877697,2.101616,9.608071
19.65332,-0.3111732,2.2643836,9.62722
23.498535,-0.26330042,2.4558747,9.454879
27.282717,-0.23457673,2.7431116,9.3878565
30.975342,-0.6079846,2.88673,9.062322
35.003662,-0.47394073,2.7048132,9.129343
39.30664,-0.9430942,2.7431116,9.349558
43.395996,-1.0388398,2.360129,9.828286
46.966553,-0.71330476,1.5750152,10.19212
50.93384,-0.36862057,0.63670826,10.134672
54.901123,-0.69415563,1.383524,9.407005
58.83789,-0.5792609,2.3792782,9.579348
62.561035,-0.2154276,2.6090677,9.866585
66.55884,-0.0718092,2.3984275,9.904882
70.892334,-0.42606795,2.4654493,9.761265
75.256355,-0.7994758,2.4175766,9.665519
78.88794,-0.9526688,2.1590633,9.722966
82.51953,-1.0101161,2.1111906,9.713391
86.517334,-1.0484143,2.187787,9.6942425
90.85083,-1.0484143,2.4558747,9.684668
95.00122,-0.8473486,2.360129,9.809137
98.90747,-0.665432,2.1399143,9.770839
102.630615,-0.69415563,2.0537431,9.703817
107.02515,-0.71330476,1.9962958,9.732541
111.02295,-0.63670826,1.8909757,9.742115
115.02075,-0.6079846,1.8143792,9.828286
118.98804,-0.56968635,1.7186337,9.904882
122.77222,-0.5313881,1.6899099,9.914457
126.40381,-0.512239,1.6803354,9.924032
130.7373,-0.49308985,1.6994845,9.914457
134.97925,-0.49308985,1.6994845,9.885734
139.52637,-0.45479164,1.6994845,9.904882
143.43262,-0.4164934,1.7377827,9.85701
146.91162,-0.49308985,1.8335283,9.828286
150.78735,-0.4164934,1.9005502,9.866585
155.85329,-0.39734426,1.9867213,9.876159
159.97314,-0.33032233,1.9867213,9.952756
164.27612,-0.32074776,2.0537431,9.914457
168.27393,-0.32074776,2.0537431,9.914457
171.84448,-0.13883112,1.9101248,10.019777
176.33057,-0.13883112,1.9101248,10.019777
180.45044,-0.023936402,1.7569319,10.096374
184.66187,0.043085523,1.6803354,10.048501
189.11745,0.043085523,1.6803354,10.048501
192.26074,0.17712937,1.5367169,9.971905
196.31958,0.20585304,1.4792696,9.96233
200.04272,0.20585304,1.4792696,9.96233
203.79639,0.22500217,1.383524,9.971905
207.39746,0.17712937,1.2973529,9.98148
211.39526,0.16755481,1.2590547,10.048501
215.51514,0.16755481,1.2207564,10.029352
219.42139,0.11968201,1.2399056,10.019777
223.32764,0.10053288,1.2877784,9.971905
226.8982,0.10053288,1.2686293,9.924032
231.47583,0.11968201,1.2782038,9.85701
235.68727,0.18670394,1.2686293,9.933606
239.37988,0.19627848,1.2590547,9.96233
243.16406,0.2154276,1.1824582,9.991054
246.73462,0.22500217,1.0867126,10.029352
251.28174,0.16755481,1.1728836,9.847435
255.46265,0.23457673,1.14416,9.933606
259.06372,0.30159867,1.0771381,9.914457
262.63428,0.39734426,0.92394507,9.98148
266.08276,0.36862057,0.92394507,9.866585
271.78955,0.4356425,1.0005416,10.000628
275.93994,0.512239,0.93351966,10.06765
279.5105,0.512239,1.0579889,10.0868
283.47778,0.63670826,0.8856468,10.239992
286.9568,0.5505372,1.0962871,10.182545
291.80908,0.59841,0.9526688,10.335738
295.9595,0.54096264,0.9430942,10.19212
299.59106,0.4164934,0.8760723,10.2016945
303.40576,0.37819514,0.69415563,10.2016945
307.15942,0.28244954,0.61755913,10.115523
311.615,0.25372586,0.69415563,10.230418
315.67383,0.3877697,0.7324539,10.364462
319.30542,0.4835153,0.8090504,10.182545
323.2422,0.3877697,0.90479594,10.622974
325.95825,0.37819514,0.8186249,10.833615
331.75662,0.32074776,0.98139244,10.862339
335.84595,0.50266445,0.90479594,11.28362
339.5691,0.63670826,0.83777404,11.4272375
343.26172,0.69415563,0.751603,11.475111
346.31348,0.6845811,0.751603,11.542132
352.14233,0.5313881,0.83777404,11.532558
356.47583,0.3877697,0.9622433,11.542132
360.0769,0.2441513,1.0484143,11.4272375
363.8916,0.2441513,1.0484143,11.4272375
367.5232,0.11968201,1.1728836,11.4272375
371.94824,0.062234644,1.2686293,11.302769
375.97656,0.10053288,1.383524,11.168725
379.5166,0.110107444,1.4313968,10.996383
383.45337,0.19627848,1.2877784,10.804892
387.26807,0.30159867,1.1345854,10.565528
392.33398,0.512239,0.8760723,10.163396
396.698,0.6558574,0.8856468,10.105948
400.26855,0.7420284,1.0005416,10.019777
404.23584,0.8473486,1.1537346,9.866585
407.77588,0.8473486,1.1537346,9.866585
412.04834,1.0101161,1.2399056,9.799562
416.07666,1.3069274,1.3260766,9.5219
419.73877,1.3069274,1.3260766,9.5219
423.52295,1.383524,1.2877784,9.330409
427.2461,1.469695,1.1633091,9.138918
432.40356,1.469695,0.9526688,8.842107
436.73706,1.4026731,0.9718179,8.736787
440.39917,1.4026731,0.9718179,8.736787
444.18335,1.2877784,1.0962871,8.545295
447.63184,1.2877784,1.0962871,8.545295
452.4231,1.2782038,1.1537346,8.420826
456.604,1.2686293,1.2016073,8.506997
460.29663,1.2686293,1.2016073,8.506997
464.14185,1.4601204,1.3548003,8.708063
467.80396,1.4601204,1.3548003,8.708063
472.16797,1.4984187,1.2686293,8.641041
476.1963,1.4888442,1.1728836,8.5740185
479.6753,1.4409714,1.1058618,8.44955
483.55103,1.4409714,1.1058618,8.44955
486.4502,1.4409714,1.1154363,8.420826
492.5232,1.4792696,1.2494801,8.133589
496.76517,1.5654407,1.2686293,8.056993
