time,x,y,z
0.0,0.037287217,0.093218036,-0.026633725
3.753662,0.05326745,0.07990117,-0.055930823
12.145996,0.069247685,0.026633725,-0.13050525
15.930176,0.069247685,0.026633725,-0.13050525
19.65332,0.069247685,0.0026633726,-0.1651291
23.498535,0.06658431,-0.007990118,-0.1944262
30.975342,0.063920945,-0.015980236,-0.20507969
35.003662,0.069247685,-0.023970352,-0.17578259
39.30664,0.07457443,-0.047940705,-0.098544784
43.395996,0.08256455,-0.10120816,0.023970352
50.93384,0.08256455,-0.16779247,0.15181224
54.901123,0.07191106,-0.21573317,0.22905004
58.83789,0.05060408,-0.22372329,0.23437679
66.55884,0.031960472,-0.19708957,0.18377271
70.892334,0.018643608,-0.16246572,0.111861646
75.256355,0.015980236,-0.13316862,0.04261396
78.88794,0.013316862,-0.111861646,0.01065349
86.517334,0.007990118,-0.098544784,0.015980236
90.85083,0.0,-0.098544784,0.04261396
95.00122,-0.013316862,-0.111861646,0.069247685
98.90747,-0.026633725,-0.135832,0.07990117
107.02515,-0.034623843,-0.15980235,0.07723781
111.02295,-0.034623843,-0.18110934,0.06658431
115.02075,-0.026633725,-0.1944262,0.05326745
118.98804,-0.015980236,-0.19975294,0.04261396
126.40381,-0.0026633726,-0.20507969,0.029297099
130.7373,0.01065349,-0.20774306,0.015980236
134.97925,0.029297099,-0.21040644,0.0026633726
139.52637,0.05326745,-0.21573317,-0.005326745
143.43262,0.07990117,-0.21839654,-0.013316862
150.78735,0.10387153,-0.22372329,-0.015980236
155.85329,0.12517852,-0.22905004,-0.018643608
159.97314,0.13849537,-0.23437679,-0.023970352
164.27612,0.14382212,-0.23970354,-0.029297099
171.84448,0.12784189,-0.25035703,-0.04261396
176.33057,0.11452502,-0.25568378,-0.05060408
180.45044,0.11452502,-0.25568378,-0.05060408
184.66187,0.10120816,-0.25834712,-0.058594197
192.26074,0.07457443,-0.2610105,-0.07457443
196.31958,0.07457443,-0.2610105,-0.07457443
200.04272,0.06658431,-0.2610105,-0.07990117
203.79639,0.061257567,-0.25568378,-0.08522792
211.39526,0.07723781,-0.24503027,-0.093218036
215.51514,0.07723781,-0.24503027,-0.093218036
219.42139,0.093218036,-0.2423669,-0.098544784
223.32764,0.10919827,-0.23704016,-0.1065349
231.47583,0.12784189,-0.23171341,-0.12784189
235.68727,0.12784189,-0.23171341,-0.12784189
