time,x,y,z
0.0,0.20680344,-0.27310967,0.17777824
4.272461,0.24510169,-0.4071535,0.27352428
7.171631,0.19722885,-0.45502633,0.31182194
11.657715,-0.35809565,-0.49332458,0.08203316
17.12036,-1.4878938,-0.5316228,-0.310524
20.385742,-0.34852108,-0.24438596,0.31182194
24.536133,-0.34852108,-0.24438596,0.31182194
28.167725,0.16850519,-0.2826842,0.608634
30.639648,0.4561242,-0.31499815,0.68579483
37.231445,0.50399697,-0.39159465,0.6187725
40.130615,0.4082514,-0.4298929,0.5230274
43.975834,0.31250572,-0.5064894,0.4943037
46.50879,0.14973825,-0.5543622,0.53260136
50.567627,0.01569438,-0.60223496,0.51345253
57.037354,-0.041752994,-0.7075551,0.42728138
59.753414,-0.120320916,-0.74529904,0.26570797
63.415527,-0.06287354,-0.6304043,0.14123917
66.52832,-0.08202267,-0.5825315,0.23698425
70.61768,-0.10117179,-0.59210604,0.21783543
74.85962,-0.08202267,-0.5538078,0.1508131
78.91846,0.042446613,-0.54423326,0.18911171
83.099365,0.023297489,-0.49636042,0.18911171
86.60889,-0.08202267,-0.42933857,0.1508131
90.667725,-0.1681937,-0.37189114,0.10294056
94.48242,-0.14904457,-0.32401836,0.12209034
98.75488,-0.13808268,-0.34442592,0.18009758
102.87475,-0.13808268,-0.33485138,0.16094875
106.5979,-0.11893356,-0.24868035,0.12265015
110.687256,-0.0902099,-0.19123292,0.08435249
114.50195,-0.07106078,-0.16250932,0.08435249
118.68286,-0.032762527,-0.1337856,0.046053886
123.32153,0.015110254,-0.1337856,0.0747776
127.38037,-0.020238042,-0.14543474,-0.030112267
131.74438,-0.020238042,-0.11671114,-0.09713364
135.74219,-0.01066345,-0.16458392,-0.18330479
140.01465,-0.0489617,-0.18373299,-0.19287968
144.6228,-0.0489617,-0.23160577,-0.26947594
147.49146,-0.08725995,-0.29862773,-0.3556471
151.7334,-0.09683448,-0.29862773,-0.43224335
155.45654,-0.10640907,-0.30820227,-0.48969078
158.96606,-0.19847167,-0.4125464,-0.48100185
162.26196,-0.21762079,-0.3359499,-0.5097256
