time,x,y,z
0.0,-0.47394073,1.0962871,9.780414
4.760742,0.0718092,0.98139244,10.048501
8.94165,0.37819514,1.0101161,10.06765
13.122558,0.37819514,1.0101161,10.06765
16.540527,0.39734426,0.91437054,9.991054
20.721436,0.42606795,0.91437054,9.837861
25.299072,0.42606795,1.0579889,9.780414
28.839111,0.42606795,1.0579889,9.780414
32.440186,0.36862057,1.0579889,9.799562
35.491943,0.12925656,1.0867126,9.809137
39.031982,-0.00478728,1.4601204,9.703817
42.81616,-0.014361841,1.6324625,9.75169
46.783447,0.00478728,1.6037389,9.722966
50.781246,0.03351096,1.6324625,9.62722
55.114742,0.062234644,1.7186337,9.560199
59.11255,0.0718092,1.8143792,9.54105
62.74414,0.043085523,1.8335283,9.54105
66.74194,0.043085523,1.79523,9.560199
70.739746,0.043085523,1.7856555,9.5219
75.07324,0.043085523,1.79523,9.483603
78.826904,0.05266008,1.7569319,9.493176
82.70264,0.10053288,1.7282082,9.474028
86.70044,0.10053288,1.709059,9.483603
90.75928,0.110107444,1.6324625,9.464453
95.03174,0.12925656,1.5367169,9.464453
99.06006,0.16755481,1.4984187,9.435729
102.66113,0.22500217,1.3930986,9.474028
106.68945,0.15798025,1.3260766,9.426155
110.74829,0.15798025,1.3165021,9.426155
115.14282,0.12925656,1.2973529,9.407005
118.95752,0.110107444,1.3452257,9.426155
122.61963,0.081383765,1.383524,9.464453
126.831055,0.05266008,1.4122477,9.454879
130.61523,0.062234644,1.4601204,9.435729
135.13184,0.062234644,1.469695,9.426155
139.09912,0.10053288,1.5271424,9.474028
142.57813,0.0718092,1.5750152,9.474028
146.57591,0.09095833,1.5558661,9.512326
150.57373,0.081383765,1.5654407,9.454879
155.2429,0.062234644,1.5750152,9.483603
159.24072,0.05266008,1.5558661,9.41658
162.78076,0.081383765,1.5558661,9.3878565
166.53441,0.10053288,1.5845897,9.41658
170.53223,0.0718092,1.6037389,9.3878565
175.354,0.081383765,1.6324625,9.378282
179.22972,0.03351096,1.6611862,9.349558
182.92236,0.023936402,1.6420372,9.359133
186.49294,0.0718092,1.6037389,9.378282
190.49072,0.081383765,1.5462915,9.397431
195.4956,0.081383765,1.4792696,9.464453
200.19531,0.0718092,1.4218222,9.41658
204.5288,0.062234644,1.2111819,9.330409
208.70972,0.043085523,1.0196906,9.3878565
213.0127,0.043085523,1.0196906,9.3878565
216.21704,0.014361841,0.8952214,9.474028
220.27588,-0.043085523,0.90479594,9.483603
224.60938,-0.13883112,1.1250108,9.5889225
228.69873,-0.22500217,1.2782038,9.608071
233.00171,-0.22500217,1.2782038,9.608071
236.20605,-0.2154276,1.3930986,9.636795
239.89868,-0.19627848,1.5845897,9.64637
243.49976,-0.22500217,1.7569319,9.6942425
247.406,-0.20585304,1.8909757,9.684668
250.48828,-0.2441513,2.1207652,9.655944
255.82886,-0.2441513,2.187787,9.655944
259.94873,-0.2920241,2.3026817,9.665519
263.7024,-0.28244954,2.4463003,9.655944
267.5171,-0.30159867,2.5707695,9.64637
270.3247,-0.359046,2.7239625,9.655944
276.062,-0.359046,2.8484318,9.636795
280.33447,-0.36862057,2.88673,9.608071
283.93555,-0.33032233,2.9633265,9.62722
287.75024,-0.33032233,3.0016246,9.636795
290.83252,-0.3111732,2.9920502,9.5889225
296.14258,-0.2920241,3.0303483,9.598496
300.07935,-0.32074776,2.9824755,9.617646
303.74146,-0.32074776,2.9346027,9.636795
307.40356,-0.3398969,2.9346027,9.64637
310.54688,-0.37819514,2.9441774,9.62722
316.55884,-0.42606795,2.905879,9.608071
320.61768,-0.45479164,2.9154537,9.64637
324.43237,-0.46436617,2.8484318,9.636795
328.00293,-0.46436617,2.8484318,9.636795
330.719,-0.50266445,2.800559,9.64637
336.6089,-0.5313881,2.647366,9.64637
340.6372,-0.49308985,2.5707695,9.579348
344.54346,-0.5218136,2.4845984,9.5889225
348.4497,-0.5505372,2.4175766,9.579348
352.02026,-0.5505372,2.4175766,9.579348
356.4148,-0.5505372,2.187787,9.579348
360.38208,-0.50266445,2.1399143,9.54105
364.37988,-0.49308985,2.0824668,9.531475
368.13354,-0.49308985,2.0824668,9.531475
370.60547,-0.46436617,2.0250196,9.512326
376.83105,-0.2920241,1.9867213,9.560199
380.8899,-0.23457673,1.9675722,9.598496
384.88766,-0.23457673,1.9675722,9.598496
388.5498,-0.0718092,1.8909757,9.665519
392.08984,-0.0718092,1.8909757,9.665519
396.63696,0.0,1.8431029,9.6942425
400.81787,-0.043085523,1.8431029,9.703817
404.63257,-0.023936402,1.79523,9.6942425
408.11157,-0.023936402,1.79523,9.6942425
410.52246,-0.0718092,1.8239537,9.732541
417.14478,-0.062234644,1.8335283,9.62722
421.14258,-0.014361841,1.7856555,9.579348
424.92676,-0.014361841,1.7856555,9.579348
428.6499,-0.081383765,1.7282082,9.502751
432.58667,-0.062234644,1.5941644,9.339984
437.1643,0.0,1.3452257,9.407005
441.1621,-0.043085523,1.3452257,9.272962
444.9463,-0.043085523,1.3452257,9.272962
448.82202,0.03351096,1.3452257,9.263388
452.4231,0.0718092,1.4505459,9.253813
457.00073,0.05266008,1.5175679,9.31126
460.9375,0.014361841,1.469695,9.330409
464.87427,0.014361841,1.469695,9.330409
468.3838,0.043085523,1.3548003,9.41658
470.70313,0.081383765,1.3739494,9.5219
477.38647,0.110107444,1.4792696,9.579348
481.62842,0.10053288,1.469695,9.512326
485.90088,0.12925656,1.2782038,9.464453
489.86816,0.13883112,1.0675635,9.483603
497.28394,0.11968201,0.8473486,9.464453
501.15967,0.12925656,0.751603,9.378282
505.00488,0.12925656,0.751603,9.378282
508.5754,0.16755481,0.59841,9.301685
510.9253,0.2154276,0.34947145,9.129343
514.98413,0.23457673,0.03351096,9.014449
518.5852,0.28244954,-0.28244954,8.947427
521.82007,0.3877697,-0.6271337,8.909128
526.2146,0.45479164,-0.90479594,8.851681
529.8462,0.45479164,-1.0484143,8.746361
534.3933,0.49308985,-1.2782038,8.641041
538.42163,0.512239,-1.5367169,8.602742
542.29736,0.5792609,-1.6803354,8.765511
546.23413,0.512239,-1.709059,8.746361
550.10986,0.50266445,-1.6324625,8.794233
553.8025,0.45479164,-1.5271424,8.899554
558.38007,0.32074776,-1.3643749,8.861256
562.31683,0.30159867,-1.2494801,8.765511
566.4673,0.3111732,-1.2207564,8.641041
570.03784,0.3111732,-1.2782038,8.4686985
573.73047,0.4164934,-1.4601204,8.401677
578.03345,0.5313881,-1.6803354,8.315506
582.1228,0.56011176,-1.8239537,8.248484
586.02905,0.6079846,-1.9771467,8.124015
590.20996,0.5888355,-2.1973617,7.9325233
593.9026,0.6845811,-2.5420458,7.7601814
598.35815,0.7420284,-2.905879,7.56869
602.4475,0.83777404,-3.384607,7.4250717
606.2927,0.98139244,-3.911208,7.4154973
609.83276,1.0388398,-4.3133397,7.35805
613.61694,1.14416,-4.6675982,7.2144313
618.3777,1.1537346,-4.935686,7.0612383
622.345,1.1824582,-5.1846247,6.9463434
626.15967,1.2399056,-5.4239883,6.7548523
630.4016,1.3165021,-5.672927,6.630383
634.552,1.3452257,-5.912291,6.7261286
638.21405,1.4122477,-6.1612296,6.869747
641.57104,1.3260766,-6.2474008,6.8793216
645.9961,1.2782038,-6.218677,6.898471
650.45166,1.2973529,-6.1995277,6.9080453
654.48,1.3356512,-6.170804,6.869747
658.1116,1.3548003,-6.2091026,6.869747
661.8347,1.3643749,-6.218677,6.9080453
665.74097,1.3165021,-6.3144226,7.0803876
669.9219,1.2877784,-6.3431463,6.9942164
673.55347,1.2782038,-6.285699,6.7740016
678.13104,1.3452257,-6.2665496,6.5825105
682.03735,1.4792696,-6.4197426,6.6208086
686.03516,1.5175679,-6.515488,6.563361
690.2771,1.622888,-6.678256,6.285699
693.9697,1.7473572,-6.745278,6.0559096
697.7844,1.8526775,-6.8888965,5.941015
701.47705,1.8718265,-7.02294,5.998462
705.5969,1.929274,-7.1091113,5.988888
710.32715,1.8526775,-7.0133657,5.787822
714.7217,1.8431029,-6.9559183,5.6250544
719.1467,1.8048047,-6.9080453,5.6633525
723.6328,1.7282082,-6.783576,5.692076
726.62354,1.622888,-6.668681,5.4239883
730.80444,1.7186337,-6.7069798,5.1271772
735.5652,1.8909757,-7.195282,4.8973875
740.6616,1.8048047,-7.434646,4.715471
745.5139,1.8143792,-7.7984796,4.5335546
750.3357,1.8431029,-8.181462,4.5527034
755.0049,1.79523,-8.411251,4.5144053
759.12476,1.6994845,-8.55487,4.3803616
763.7634,1.6899099,-8.631466,4.1409974
766.72363,1.8048047,-8.755936,4.08355
770.93506,1.8814012,-8.842107,4.1026993
775.2991,1.8335283,-8.708063,3.9590807
778.93066,1.9675722,-9.215514,4.0069537
781.34155,1.948423,-9.3878565,3.911208
785.2783,1.8814012,-9.320834,3.690993
789.2761,1.9101248,-9.41658,3.5090764
793.2739,1.929274,-9.560199,3.5952475
798.00415,1.8909757,-9.6942425,3.6622694
801.9409,1.8143792,-9.722966,3.5569491
805.81665,1.7377827,-9.512326,3.2888615
809.29565,1.929274,-9.837861,3.3941817
813.3545,1.8335283,-10.259142,3.346309
818.11523,1.7282082,-10.077225,3.1356685
822.47925,1.7282082,-9.818711,2.88673
826.1719,1.79523,-9.780414,2.5899186
829.834,1.9196993,-9.85701,2.5420458
833.1909,1.929274,-9.904882,2.4654493
838.2263,1.9771467,-9.971905,2.2069361
842.7124,2.0633178,-9.96233,2.0824668
846.9238,2.1207652,-9.8953085,1.862252
850.8606,2.2260852,-9.837861,1.6516117
855.83496,2.2260852,-9.837861,1.6516117
860.29047,2.34098,-9.818711,1.2111819
864.7766,2.3505547,-9.85701,1.0388398
869.3237,2.3122563,-9.531475,1.0388398
873.1079,2.6760898,-10.82404,1.0101161
878.5095,2.4463003,-10.6134,0.59841
883.05664,2.7431116,-10.6134,0.49308985
887.6343,2.7048132,-10.622974,0.42606795
891.6931,2.7622607,-10.670848,0.34947145
896.1487,2.7622607,-10.670848,0.34947145
901.062,2.8484318,-10.622974,0.16755481
905.79224,2.8963046,-10.6134,0.0
910.64453,3.020774,-10.862339,-0.081383765
915.52734,3.020774,-10.862339,-0.081383765
920.22705,3.2409887,-11.034681,0.043085523
925.6592,3.0494976,-10.92936,-0.4835153
930.3894,3.0686467,-10.747444,-0.39734426
935.48584,2.9346027,-10.546378,-0.44521707
940.2466,3.059072,-10.527229,-0.64628285
945.6787,2.8963046,-10.421909,-0.99096704
950.3784,2.9537518,-10.268716,-1.0388398
955.32227,3.1356685,-10.833615,-0.91437054
960.0525,2.9441774,-11.465536,-1.4409714
965.42365,2.8580062,-11.36979,-1.5175679
970.3064,2.88673,-11.341067,-1.6133134
975.2197,2.8101335,-11.350641,-1.709059
979.79736,2.7909844,-11.408089,-1.7569319
985.4126,2.7622607,-11.647452,-1.9675722
989.563,2.8101335,-11.7049,-2.0824668
993.7134,2.8484318,-11.791071,-2.1782124
999.1455,2.9824755,-11.925115,-2.5516202
1004.5471,2.9824755,-11.925115,-2.5516202
1009.1553,3.1069448,-12.231501,-3.0016246
1013.1531,3.0973704,-12.298523,-3.126094
1019.56177,3.059072,-12.327247,-3.0973704
1024.3835,2.972901,-12.25065,-2.9633265
1028.5645,2.752686,-11.743198,-2.5516202
1032.8369,2.6760898,-11.408089,-2.2835326
1037.5671,2.5994933,-11.111278,-1.9771467
1042.2363,2.4367256,-10.555953,-1.2590547
1047.2107,2.408002,-10.239992,-1.0292653
1051.3611,2.4175766,-9.952756,-0.61755913
1055.7251,2.3792782,-9.598496,-0.081383765
1059.906,2.3792782,-9.598496,-0.081383765
1063.0798,2.3697038,-8.736787,0.665432
1067.3523,2.3984275,-8.401677,1.0005416
1071.4417,2.4175766,-8.171887,1.3643749
1076.2024,2.4367256,-7.9708214,1.622888
1081.0242,2.475024,-7.855927,1.79523
1086.4563,2.5228968,-7.7984796,2.0441687
1091.1865,2.5228968,-7.7984796,2.0441687
1096.1914,2.647366,-7.9420977,2.2835326
1100.7996,2.6952388,-8.085716,2.3984275
1106.2012,2.752686,-8.372953,2.3505547
1110.9314,2.752686,-8.372953,2.3505547
1116.0278,2.7622607,-8.889979,2.475024
1120.7886,2.733537,-9.119769,2.5516202
1126.1597,2.733537,-9.263388,2.5899186
1130.8594,2.733537,-9.263388,2.5899186
1135.8032,2.7814097,-9.426155,2.714388
1140.5334,2.7909844,-9.512326,2.800559
1146.0266,2.800559,-9.598496,2.9537518
1150.7263,2.800559,-9.598496,2.9537518
1155.6091,2.7718353,-9.636795,3.0877957
1160.2173,2.7814097,-9.608071,3.193116
1165.9546,2.7909844,-9.569773,3.3175852
1170.1355,2.733537,-9.41658,3.365458
1174.469,2.7239625,-9.215514,3.3175852
1177.2461,2.7431116,-9.043172,3.2792869
1181.5186,2.752686,-8.889979,3.2984362
1186.2183,2.7622607,-8.746361,3.2697124
1190.2771,2.7048132,-8.4686985,3.0973704
1194.9463,2.733537,-8.382527,3.0303483
1199.6765,2.733537,-8.382527,3.0303483
1203.3081,2.752686,-8.44955,3.1643922
1208.1909,2.714388,-8.420826,3.2218397
1213.0127,2.7048132,-8.382527,3.193116
1217.804,2.7718353,-8.392102,3.1643922
1222.9309,2.8101335,-8.5740185,3.4037561
1227.9358,2.867581,-8.583593,3.4612036
1232.666,2.8388572,-8.5740185,3.5665238
1237.5793,2.8580062,-8.545295,3.7484405
1242.3097,2.8388572,-8.4686985,4.1409974
1247.8027,2.800559,-8.334655,4.2654667
1252.4719,2.7622607,-8.248484,4.3612123
1257.2632,2.7622607,-8.143164,4.543129
1261.6271,2.7048132,-7.9708214,4.581427
1266.4185,2.6952388,-7.5782647,4.619725
1270.5994,2.6952388,-7.5782647,4.619725
1274.9329,2.6952388,-7.434646,4.610151
1277.6794,2.6760898,-7.35805,4.5144053
1281.7993,2.7239625,-7.3389006,4.5527034
1287.0483,2.752686,-7.3197513,4.7537694
1291.8091,2.733537,-7.2240057,4.8782387
1296.875,2.7239625,-7.1091113,5.06973
1301.5747,2.7431116,-7.051664,5.155901
1306.9458,2.752686,-7.051664,5.4431376
1311.676,2.7814097,-7.089962,5.653778
1316.6199,2.7431116,-7.042089,5.8165455
1321.3806,2.6952388,-6.9463434,5.8548436
1325.3174,2.647366,-6.783576,5.7303743
1330.2612,2.6569405,-6.745278,5.6250544
1335.2356,2.7239625,-7.137835,5.82612
1339.8743,2.7239625,-7.137835,5.82612
1343.5974,2.5994933,-7.0325146,5.739949
1348.5718,2.5516202,-6.936769,5.7016506
1353.2715,2.5324712,-6.869747,5.7686725
1358.3069,2.513322,-6.8888965,5.960164
1363.0371,2.475024,-6.7548523,6.1899533
1368.3777,2.4175766,-6.5729356,6.37187
1373.0774,2.3984275,-6.2952733,6.5729356
1377.9297,2.4558747,-6.0367603,6.7931504
1382.1106,2.4654493,-5.4718614,7.1186857
1386.8408,2.4367256,-5.1846247,7.0612383
1391.0828,2.4367256,-5.1846247,7.0612383
1395.3857,2.4367256,-5.1846247,7.0612383
1399.4141,2.4367256,-5.1846247,7.0612383
1402.5879,2.494173,-4.5239797,7.7601814
1407.5012,2.3888528,-4.121848,7.769756
1412.2314,2.427151,-3.8346114,7.8367777
1417.2058,2.4463003,-3.7388659,7.855927
1421.936,2.513322,-3.758015,8.056993
1425.8118,2.5516202,-3.690993,8.286782
1430.3894,2.5516202,-3.690993,8.286782
1435.3027,2.5516202,-3.690993,8.286782
1440.094,2.5516202,-3.690993,8.286782
1443.6951,2.3888528,-3.2984362,8.526146
1448.5779,2.494173,-3.4037561,8.679339
1453.3081,2.475024,-3.3558834,8.822957
1458.313,2.3122563,-3.1643922,8.832532
1463.0127,2.149489,-2.8484318,8.7750845
1468.4143,2.2069361,-2.7718353,8.899554
1473.1445,2.254809,-2.5516202,9.138918
1478.1189,2.2643836,-2.3697038,9.244238
1482.8491,2.2835326,-2.0920415,9.512326
1488.2202,2.3697038,-2.2260852,9.608071
1493.042,2.149489,-1.9196993,9.445304
1497.9553,1.948423,-1.4984187,9.54105
1502.6855,1.7856555,-1.6611862,9.722966
1508.2397,1.6994845,-1.5367169,9.493176
1512.97,1.6037389,-1.2973529,9.454879
1517.8833,1.5079932,-1.3452257,9.320834
1522.6746,1.2973529,-1.5271424,9.119769
1526.4893,1.0388398,-2.0633178,8.899554
1530.6396,1.0196906,-2.2452345,8.842107
1534.9731,0.91437054,-2.2835326,8.535721
1537.7502,0.91437054,-2.2835326,8.535721
1542.2058,0.92394507,-2.3505547,8.363379
1545.8374,0.90479594,-2.2835326,8.296356
1550.4149,0.8090504,-1.9005502,8.23891
1553.5889,0.56968635,-0.36862057,7.875076
1558.2885,0.751603,0.27287498,7.6452866
1562.4695,0.751603,0.27287498,7.6452866
1565.7959,0.9430942,0.751603,7.702734
1569.9768,0.9430942,0.751603,7.702734
1572.815,1.1154363,0.6271337,8.085716
1577.0262,1.1824582,0.45479164,8.411251
1581.1462,1.0962871,0.42606795,8.650616
1584.6558,1.0867126,0.09095833,9.148493
1589.4775,0.5505372,0.64628285,9.502751
1594.4214,0.64628285,0.54096264,9.770839
1599.1516,0.8760723,0.2154276,10.182545
1603.9734,1.0867126,0.03351096,10.412334
1609.253,1.1154363,-0.512239,10.182545
1613.9832,0.751603,0.15798025,10.038927
1618.866,0.7324539,0.16755481,9.799562
1623.6876,1.0867126,-0.110107444,9.837861
1629.0894,1.3260766,-0.22500217,9.780414
1633.8196,1.469695,-0.7324539,9.129343
1638.855,0.85692316,0.13883112,8.698488
1643.5547,0.9430942,0.5218136,8.382527
1648.9563,0.99096704,0.49308985,8.124015
1653.8086,1.0005416,1.4122477,7.999545
1658.7524,0.9718179,1.79523,7.8655014
1663.5132,0.99096704,1.9675722,7.9037995
1668.7622,1.1058618,1.7282082,8.124015
1673.5535,0.4356425,2.8963046,8.248484
1678.5278,0.46436617,3.078221,8.363379
1683.258,0.45479164,3.212265,8.526146
1688.7817,0.6079846,3.1165195,8.583593
1693.512,1.0675635,2.867581,8.851681
1698.3643,0.78990126,3.2409887,8.832532
1703.186,0.32074776,4.5527034,8.679339
1708.5571,0.59841,4.3803616,8.641041
1713.2874,0.4835153,5.3378177,8.516571
1718.2617,0.56968635,5.17505,8.478273
1723.0225,0.61755913,5.0122824,8.478273
1728.302,0.5313881,4.916537,8.2676325
1733.0322,0.5888355,5.146326,8.181462
1737.793,0.5888355,5.414414,8.200611
1741.9432,0.5888355,5.414414,8.200611
1745.2698,0.46436617,5.4048395,8.277207
1749.4507,0.46436617,5.4048395,8.277207
1753.7231,0.6558574,4.121848,8.44955
1758.606,-0.5218136,5.682502,8.296356
1763.3362,-0.45479164,5.5963306,8.411251
1768.4937,-0.2154276,5.3569665,8.7750845
1772.644,0.10053288,5.194199,9.062322
1777.008,0.2441513,5.500585,9.215514
1781.1584,0.2441513,5.500585,9.215514
