time,x,y,z
0.0,0.70373017,1.6324625,9.483603
4.272461,0.70373017,1.6324625,9.483603
7.843018,1.0484143,1.7665064,9.598496
10.528565,1.2016073,1.8909757,9.684668
14.526367,1.0962871,1.8335283,9.713391
18.218994,0.7420284,2.1399143,9.435729
21.759031,0.665432,2.4558747,9.560199
27.496338,0.6845811,2.2165108,9.560199
31.463623,0.5888355,2.1782124,9.493176
35.339355,0.4835153,2.1590633,9.483603
38.848877,0.4835153,2.1590633,9.483603
42.785645,0.5313881,2.0728924,9.54105
46.3562,0.64628285,2.015445,9.5889225
49.316406,0.70373017,2.0537431,9.684668
53.558353,0.7420284,2.0728924,9.75169
57.09839,0.751603,2.0728924,9.75169
60.88257,0.78990126,2.0441687,9.75169
64.971924,0.78990126,1.9867213,9.722966
69.21387,0.7420284,1.9196993,9.6942425
73.6084,0.7324539,1.8526775,9.665519
77.0874,0.7420284,1.8239537,9.636795
80.9021,0.7420284,1.79523,9.579348
84.83887,0.76117754,1.7569319,9.560199
89.17237,0.78032666,1.7377827,9.493176
93.41431,0.7994758,1.776081,9.474028
97.16797,0.83777404,1.79523,9.426155
100.860596,0.8856468,1.862252,9.349558
105.46875,0.90479594,1.9005502,9.349558
109.74121,0.9430942,1.9101248,9.301685
113.8916,1.0005416,1.929274,9.2825365
117.7063,1.0388398,1.929274,9.29211
121.21582,1.0675635,1.9388485,9.234664
125.061035,1.1154363,2.0058703,9.225089
129.39453,1.1154363,2.034594,9.148493
134.00269,1.1345854,2.0441687,9.18679
137.48169,1.14416,2.0633178,9.20594
141.05225,1.1250108,2.0824668,9.177217
144.9585,1.1824582,2.0537431,9.196365
149.10889,1.1824582,2.015445,9.196365
153.22878,1.2303311,1.948423,9.129343
156.73828,1.2494801,1.8814012,9.158067
161.22437,1.2207564,1.8239537,9.148493
165.40527,1.2111819,1.709059,9.158067
169.67773,1.2303311,1.6707608,9.158067
174.01123,1.2590547,1.5941644,9.167642
177.58179,1.2686293,1.5845897,9.18679
180.66406,1.2782038,1.5845897,9.167642
