time,x,y,z
0.0,-0.023970352,0.047940705,0.063920945
4.333496,-0.015980236,-0.007990118,0.018643608
7.965088,0.0,-0.047940705,-0.018643608
15.258789,0.023970352,-0.06658431,-0.039950587
20.111084,0.045277335,-0.069247685,-0.04261396
24.261477,0.06658431,-0.055930823,-0.031960472
27.923584,0.08522792,-0.039950587,-0.013316862
34.912113,0.10120816,-0.023970352,0.0
40.222168,0.117188394,-0.018643608,0.013316862
44.28101,0.13316862,-0.02130698,0.026633725
50.872803,0.15181224,-0.031960472,0.031960472
54.87061,0.17311922,-0.05060408,0.037287217
60.51636,0.19176282,-0.06658431,0.039950587
64.66675,0.20774306,-0.07990117,0.04261396
68.359375,0.22105992,-0.087891296,0.05326745
74.8291,0.22905004,-0.098544784,0.063920945
80.62744,0.22905004,-0.10387153,0.07723781
84.65576,0.22372329,-0.10919827,0.08522792
88.1958,0.2130698,-0.111861646,0.09055467
95.09277,0.19708957,-0.10919827,0.093218036
100.89111,0.17578259,-0.10919827,0.09588141
105.46875,0.15181224,-0.10919827,0.09588141
109.58862,0.12517852,-0.11452502,0.093218036
114.227295,0.09588141,-0.117188394,0.087891296
121.795654,0.063920945,-0.11985177,0.08522792
125.305176,0.04261396,-0.11985177,0.087891296
128.9978,0.039950587,-0.11452502,0.093218036
135.37598,0.055930823,-0.111861646,0.10387153
141.11328,0.09055467,-0.10919827,0.11452502
145.23315,0.13316862,-0.111861646,0.12517852
148.86475,0.17844597,-0.11985177,0.12784189
155.15137,0.21839654,-0.122515135,0.12784189
161.07178,0.24769364,-0.122515135,0.117188394
165.46631,0.26633725,-0.117188394,0.1065349
169.12842,0.2823175,-0.111861646,0.09588141
175.23193,0.28764424,-0.10387153,0.093218036
180.99976,0.292971,-0.098544784,0.09588141
185.11963,0.29829773,-0.093218036,0.10120816
188.69019,0.30362448,-0.09055467,0.1065349
194.91577,0.30895123,-0.08522792,0.1065349
201.14136,0.30895123,-0.07990117,0.10120816
205.07813,0.30362448,-0.07457443,0.09055467
208.58765,0.29563436,-0.06658431,0.07723781
214.72168,0.28498086,-0.058594197,0.063920945
221.25244,0.271664,-0.05060408,0.05060408
225.15869,0.2610105,-0.039950587,0.039950587
228.94287,0.25035703,-0.034623843,0.034623843
235.56519,0.24503027,-0.029297099,0.031960472
241.36353,0.23704016,-0.031960472,0.029297099
245.45288,0.23704016,-0.031960472,0.029297099
249.35913,0.23437679,-0.034623843,0.018643608
255.58472,0.22905004,-0.034623843,0.005326745
263.58032,0.21573317,-0.039950587,-0.0026633726
270.69092,0.21040644,-0.045277335,0.005326745
274.41406,0.21040644,-0.047940705,0.018643608
284.2102,0.21839654,-0.047940705,0.015980236
290.34424,0.21839654,-0.045277335,0.005326745
294.40308,0.2130698,-0.047940705,0.0
304.29077,0.20507969,-0.061257567,0.013316862
308.3496,0.20774306,-0.069247685,0.023970352
315.7959,0.22105992,-0.07457443,0.034623843
323.33374,0.27699074,-0.08522792,0.063920945
327.30103,0.31427795,-0.093218036,0.07457443
331.90918,0.35156518,-0.10387153,0.07990117
335.44922,0.35156518,-0.10387153,0.07990117
342.95654,0.407496,-0.12784189,0.07723781
347.50366,0.41548613,-0.13316862,0.07723781
351.25732,0.41548613,-0.13316862,0.07723781
354.76685,0.40216926,-0.13849537,0.07191106
362.854,0.30895123,-0.14115874,0.058594197
367.09595,0.23437679,-0.13849537,0.05326745
370.8191,0.23437679,-0.13849537,0.05326745
374.54224,0.14914887,-0.14115874,0.05326745
382.53784,0.047940705,-0.15181224,0.07191106
386.59668,-0.061257567,-0.17311922,0.10919827
390.59448,-0.15447561,-0.20241632,0.17045584
394.92798,-0.2130698,-0.23704016,0.2530204
398.86475,-0.23437679,-0.2823175,0.35689193
406.4331,-0.2423669,-0.3595553,0.46342683
410.0952,-0.24503027,-0.4660902,0.53800124
414.64233,-0.2423669,-0.59925884,0.5539815
422.48535,-0.23970354,-0.7457443,0.5087042
426.45264,-0.25035703,-0.8842397,0.45010996
430.66406,-0.30895123,-0.98278445,0.43945646
434.96704,-0.45810008,-1.0120816,0.52468437
442.62695,-0.721774,-0.9668042,0.6818234
446.99097,-1.4621916,-0.72443736,0.8895664
450.74463,-1.4621916,-0.72443736,0.8895664
454.83398,-1.8137567,-0.5087042,0.83097225
462.64648,-2.1200445,-0.18643607,0.7297641
466.46118,-2.423669,0.25834712,0.7084571
469.9707,-2.759254,0.80167514,0.85760593
474.76196,-3.1161458,1.3743002,1.1638938
478.79028,-3.4064536,1.9202917,1.494152
485.9619,-3.539622,2.3783917,1.693905
489.95972,-3.5129883,2.7113132,1.6859149
494.7815,-3.4091167,2.9137297,1.5127956
502.31934,-3.1987104,2.9137297,0.9774577
506.2561,-3.1987104,2.9137297,0.9774577
509.94873,-3.0575516,2.6580458,0.67383325
518.1885,-2.4423127,1.4808351,0.039950587
522.7661,-2.4423127,1.4808351,0.039950587
527.16064,-1.422241,-0.055930823,-0.4181495
530.9143,-1.422241,-0.055930823,-0.4181495
537.8418,-0.6392094,-1.0680124,-0.38086227
542.7246,-0.4767437,-1.3130426,-0.22372329
546.78345,-0.4767437,-1.3130426,-0.22372329
550.3235,-0.4261396,-1.4115875,-0.063920945
558.1665,-0.32493144,-1.1985177,0.19708957
562.43896,-0.18110934,-0.9401705,0.271664
566.37573,-0.18110934,-0.9401705,0.271664
569.9463,0.015980236,-0.65518963,0.28498086
578.125,0.3409117,-0.17578259,0.21573317
582.8552,0.39151576,-0.013316862,0.18377271
586.792,0.39151576,-0.013316862,0.18377271
590.7593,0.38352564,0.093218036,0.16779247
594.7571,0.36221868,0.15980235,0.17311922
602.9358,0.40483263,0.1944262,0.19708957
606.84204,0.46342683,0.17311922,0.18909945
611.20605,0.46342683,0.17311922,0.18909945
614.68506,0.5060408,0.13050525,0.14914887
622.7417,0.46076345,0.039950587,0.0026633726
626.83105,0.46076345,0.039950587,0.0026633726
630.7678,0.37553552,-0.0026633726,-0.087891296
637.93945,0.18110934,-0.1065349,-0.292971
643.15796,0.093218036,-0.16779247,-0.39417914
647.2168,0.093218036,-0.16779247,-0.39417914
651.0315,0.007990118,-0.23437679,-0.49006054
654.60205,-0.08256455,-0.30362448,-0.5726251
663.26904,-0.32759482,-0.44744658,-0.69247687
667.29736,-0.32759482,-0.44744658,-0.69247687
671.08154,-0.47141695,-0.50337744,-0.73509085
674.8657,-0.62056583,-0.54865474,-0.76971465
683.07495,-0.89755654,-0.60991234,-0.8283089
687.07275,-0.89755654,-0.60991234,-0.8283089
690.88745,-0.9987647,-0.63121927,-0.8496159
694.33594,-1.0600222,-0.63121927,-0.8522792
703.73535,-1.0253984,-0.5539815,-0.80966526
707.9468,-0.92685366,-0.4847338,-0.7777048
711.6699,-0.92685366,-0.4847338,-0.7777048
715.33203,-0.7883583,-0.407496,-0.74840766
723.6023,-0.44744658,-0.2610105,-0.71378386
728.17993,-0.28498086,-0.22105992,-0.7111205
732.72705,-0.13316862,-0.20241632,-0.7084571
736.8164,-0.13316862,-0.20241632,-0.7084571
741.24146,0.034623843,-0.18643607,-0.6764966
745.91064,0.2530204,-0.15181224,-0.6019222
750.27466,0.5193576,-0.09588141,-0.49805066
754.4861,0.8070019,-0.026633725,-0.41282275
763.5193,1.2544484,0.05060408,-0.47940707
767.5476,1.2544484,0.05060408,-0.47940707
771.3013,1.3609834,0.04261396,-0.636546
775.05493,1.3956072,0.0026633726,-0.80966526
783.6609,1.4488747,-0.1065349,-0.9747943
787.5061,1.4488747,-0.1065349,-0.9747943
791.5039,1.5500828,-0.15713897,-0.9401705
795.1355,1.7018951,-0.19708957,-0.8735862
803.772,2.0108464,-0.20774306,-0.7670513
807.8613,2.0108464,-0.20774306,-0.7670513
811.73706,2.117381,-0.17578259,-0.7324275
815.18555,2.1786387,-0.13316862,-0.6871501
821.44165,2.1892922,-0.09588141,-0.6152391
825.92773,2.1413515,-0.07191106,-0.5087042
833.22144,1.8830044,-0.098544784,-0.22638667
837.21924,1.8830044,-0.098544784,-0.22638667
841.7969,1.6805881,-0.14914887,-0.09055467
846.06934,1.4382212,-0.2130698,0.013316862
850.0061,1.1665572,-0.27965412,0.08522792
857.4829,0.8895664,-0.32759482,0.11452502
861.54175,0.6232292,-0.35422856,0.10919827
865.50903,0.38086227,-0.36221868,0.07990117
873.4741,0.17311922,-0.3489018,0.039950587
877.19727,0.007990118,-0.32493144,0.0
881.13403,-0.10919827,-0.29563436,-0.031960472
885.83374,-0.18377271,-0.2610105,-0.05326745
893.0969,-0.20507969,-0.17844597,-0.058594197
897.0947,-0.20507969,-0.17844597,-0.058594197
901.64185,-0.1651291,-0.135832,-0.05326745
905.8533,-0.09588141,-0.09055467,-0.04261396
909.8816,-0.007990118,-0.047940705,-0.037287217
917.3584,0.09588141,-0.005326745,-0.031960472
921.29517,0.20774306,0.026633725,-0.026633725
925.59814,0.3196047,0.05326745,-0.02130698
929.74854,0.4261396,0.07191106,-0.015980236
937.4695,0.522021,0.08522792,-0.007990118
941.77246,0.6045856,0.093218036,-0.0026633726
946.228,0.67383325,0.098544784,0.0
951.0498,0.7324275,0.098544784,0.01065349
956.9092,0.7750414,0.093218036,0.029297099
961.51733,0.80167514,0.087891296,0.055930823
965.69824,0.80966526,0.07990117,0.07723781
970.2759,0.793685,0.07723781,0.087891296
977.32544,0.75107104,0.07457443,0.093218036
981.87256,0.67916,0.07457443,0.093218036
985.87036,0.57795185,0.07723781,0.098544784
990.69214,0.4554367,0.08256455,0.10919827
994.9646,0.3196047,0.093218036,0.135832
1002.2888,0.19176282,0.10919827,0.18377271
1006.31714,0.093218036,0.12784189,0.25834712
1010.8032,0.05326745,0.13316862,0.34357506
1015.2283,0.08256455,0.087891296,0.42347625
1022.30835,0.17311922,-0.034623843,0.4847338
1026.6724,0.271664,-0.24769364,0.5193576
1031.4331,0.28498086,-0.53533787,0.53533787
1035.4614,0.11985177,-0.8522792,0.543328
1043.0298,-0.27965412,-1.1212798,0.5513181
1047.7295,-0.9135368,-1.251785,0.58860534
1052.063,-1.7018951,-1.1931909,0.70579374
1056.2439,-2.5009067,-0.9907746,0.90554667
1060.8215,-3.153433,-0.721774,1.1479136
