time,x,y,z
0.0,-1.2380238,0.49426174,0.19239807
5.096436,-2.5784624,0.14000297,0.30729294
9.948731,-2.5784624,0.14000297,0.30729294
15.319825,0.7534847,-0.13765931,0.6615515
19.439697,1.117318,0.005959153,0.4221878
23.925781,1.2130636,0.005959153,0.18282318
28.015137,1.0790198,0.06340647,0.077503204
32.65381,0.6960374,0.23574853,-0.05654049
37.139893,-0.08907658,0.4368143,-0.24803162
41.503906,-0.08499944,0.42130232,-0.24602318
45.47119,-0.30521435,0.35428047,-0.36091805
48.431396,-0.4105345,0.2585348,-0.4758129
53.222656,-0.32436347,0.009596229,-0.42793941
57.31201,-0.23819241,-0.009552836,-0.38964176
61.706543,-0.23819241,-0.009552836,-0.38964176
65.91797,-0.23819241,-0.009552836,-0.38964176
68.45093,-0.12732616,0.12866473,-0.1654005
73.05908,-0.108177036,0.24355948,-0.021781921
77.0874,-0.108177036,0.23398495,0.093112946
81.11572,-0.108177036,0.23398495,0.093112946
85.26611,-0.1177516,0.21483576,0.15056038
87.98218,-0.0986025,0.16696298,0.1792841
92.37671,-0.0986025,0.14781392,0.23673153
97.01538,-0.022006035,0.061642885,0.23673153
101.379395,0.016292214,0.061642885,0.25588036
105.49927,0.054590464,0.052068233,0.26545525
108.184814,0.03402376,0.029914737,0.20107365
113.1897,0.043598354,0.0490638,0.24894619
117.15698,0.12976938,0.068212986,0.17234993
121.398926,0.10104567,0.1256603,0.09575367
125.67139,0.10104567,0.1256603,0.09575367
128.2959,0.11062026,0.1256603,0.0095825195
132.65991,0.13934392,0.08736205,-0.028716087
136.56616,0.12019479,0.07778752,-0.09573746
140.07568,0.16358012,0.062950134,-0.14073277
142.7002,0.19230378,0.034226537,-0.15030766
147.46094,0.2210275,0.00550282,-0.18860626
151.15356,0.25932574,-0.051944494,-0.21732998
154.72412,0.25932574,-0.07109368,-0.22690392
158.6914,0.26890028,-0.11896646,-0.2460537
162.8418,0.30719852,-0.13811553,-0.2364788
167.48047,0.25642163,-0.16041005,-0.2876768
171.84448,0.26599616,-0.18913364,-0.26852798
174.95728,0.28514522,-0.17955911,-0.2876768
178.95508,0.36174172,-0.20828283,-0.2589531
183.41064,0.33301812,-0.18913364,-0.19193077
187.46948,0.3808909,-0.1508354,-0.1249094
191.89453,0.37131637,-0.064664364,-0.057887077
195.06836,0.37131637,0.040655732,0.018709183
199.58496,0.29797322,0.03792739,0.12190914
203.79639,0.32669693,0.1432476,0.22722912
207.9773,0.28839868,0.26771688,0.29425144
212.43286,0.27882415,0.44005895,0.27510166
217.25464,0.27882415,0.44005895,0.27510166
221.64917,0.3171224,0.49750626,0.22722912
225.15869,0.28839868,0.46878266,0.18893051
227.53906,0.3171224,0.44963348,0.12190914
231.68945,0.32669693,0.44005895,0.093185425
234.52759,0.34584612,0.41133523,0.03573799
238.52539,0.30601275,0.3112532,-0.019512177
242.61475,0.33473647,0.28252947,-0.10568237
246.49048,0.3251618,0.21550763,-0.13440609
251.7395,0.35388553,0.14848566,-0.20142841
255.67627,0.39218378,0.07188916,-0.24930096
259.27734,0.37303472,0.043165445,-0.3354721
263.39722,0.37303472,0.043165445,-0.40249443
266.90674,0.36346006,0.081463695,-0.48866558
271.8506,0.2537037,0.016764164,-0.55149555
275.72632,0.26327825,0.08378613,-0.6280918
279.6631,0.24412918,0.11250973,-0.7046881
283.3252,0.18668175,0.13165891,-0.8004341
286.89575,0.1196599,0.11250973,-0.8004341
291.96167,0.052637935,0.03591323,-0.81958294
296.38672,0.004765153,-0.021534085,-0.810009
299.9878,-0.037516713,-0.14186382,-0.7780113
303.8025,-0.123687744,-0.13228929,-0.71098995
307.37305,-0.13326234,-0.17058754,-0.6918402
312.40845,-0.161986,-0.10356557,-0.6152439
315.21606,-0.19070971,0.0017545223,-0.50992393
318.9087,-0.13326234,0.097500205,-0.43332767
322.81494,-0.15241146,0.23154402,-0.36630535
326.416,-0.161986,0.28899133,-0.34715652
332.33643,-0.18447149,0.2450881,-0.29818916
336.36475,-0.2131952,0.2450881,-0.317338
339.84375,-0.2131952,0.15891707,-0.32691288
343.96362,-0.261068,0.07274604,-0.33648682
347.62573,-0.28979164,-0.0038503408,-0.44180775
352.32544,-0.34723902,-0.05172324,-0.43223286
355.13306,-0.4046864,-0.022999525,-0.41308403
358.73413,-0.39511186,0.07274604,-0.43223286
362.91504,-0.43341005,0.18764079,-0.4896803
366.4246,-0.37596273,0.25466275,-0.45138168
372.5586,-0.35156924,0.26620817,-0.41867733
376.98364,-0.35156924,0.26620817,-0.41867733
380.5542,-0.37071836,0.19918633,-0.43782616
383.11768,-0.37071836,0.18961167,-0.34208107
386.59668,-0.36114377,0.18961167,-0.2367611
392.8833,-0.39944202,0.23748446,-0.21761131
396.88107,-0.38986748,0.36195374,-0.17931366
400.48218,-0.4103077,0.39887965,-0.12662888
403.1372,-0.36243492,0.4659015,-0.12662888
406.70776,-0.3432858,0.53292334,-0.09790516
412.96387,-0.40073317,0.42760336,-0.13620377
417.05322,-0.43903142,0.40845406,-0.20322514
420.56274,-0.43903142,0.40845406,-0.20322514
423.18726,-0.4869042,0.43717778,-0.25109863
427.15454,-0.4869042,0.4659015,-0.31812
430.66406,-0.4597677,0.42378008,-0.40799618
434.75342,-0.42146945,0.4525038,-0.42714596
438.65967,-0.42146945,0.5003766,-0.39842224
442.59644,-0.48849136,0.5673984,-0.4367199
446.47217,-0.52678967,0.59612215,-0.5037422
450.22583,-0.5363642,0.557824,-0.5707636
454.43726,-0.5363642,0.51952565,-0.5994873
458.70972,-0.55028427,0.39980102,-0.61169815
462.43286,-0.55985886,0.33277917,-0.58297443
466.40015,-0.579008,0.22745895,-0.51595306
470.6726,-0.5885825,0.19873524,-0.5063782
475.0061,-0.6077317,0.18916059,-0.45850563
478.85132,-0.579008,0.19873524,-0.44893074
482.75757,-0.5885825,0.22745895,-0.48722935
486.32813,-0.579008,0.17958617,-0.46808052
490.02072,-0.5885825,0.09341502,-0.49680424
494.35425,-0.64602995,0.04554224,-0.48722935
498.4131,-0.6910522,-0.01297164,-0.5567055
502.19727,-0.7197758,-0.003396988,-0.68117523
506.28662,-0.7293504,0.034901142,-0.70032406
510.62012,-0.7484995,0.025326729,-0.7481966
514.49585,-0.7293504,0.10192323,-0.7673454
518.3716,-0.78679776,0.16894507,-0.7769203
522.5525,-0.84424514,0.26469064,-0.69074917
525.93994,-0.8729688,0.32213807,-0.49925804
529.93774,-0.90565455,0.4218881,-0.17777538
534.5764,-0.9918256,0.5176337,0.12861061
538.97095,-1.3652334,0.508059,0.37754917
542.78564,-1.614172,0.24954605,0.98074627
546.44775,-1.6333212,0.019756556,2.2541628
550.29297,-1.7003431,-0.056839943,3.7860928
554.3213,-1.8726852,-0.056839943,5.3658953
558.44116,-1.9942594,0.21916974,6.752919
562.25586,-2.0612812,0.29576623,7.8731413
566.1926,-2.022983,0.41066086,8.639106
570.4956,-2.0708559,0.5734285,8.639106
574.40186,-2.1953251,0.5542792,7.3273916
578.39966,-1.9080882,0.1329987,5.134817
582.18384,-0.91233397,-0.43190038,2.6741552
585.8154,0.5047009,-0.60424244,-0.045020103
589.84375,1.8240443,0.35218108,-2.8787694
594.8181,3.8442764,0.9362292,-4.9660234
598.8159,5.491101,1.7787907,-6.861787
602.66113,6.687921,2.621352,-8.230948
606.65894,7.1570745,3.1096547,-9.312874
610.4431,6.9560084,3.3298695,-10.16501
614.624,6.027276,3.2628477,-10.423523
618.53033,4.9213905,4.2355967,-10.664779
622.65015,3.389461,4.5419827,-10.884994
626.15967,1.9532769,5.1739035,-11.449893
630.0354,1.0819919,5.03986,-10.904143
635.0403,0.43092173,5.049434,-10.54031
639.2212,0.316027,4.8483686,-9.889239
643.0969,0.019215643,4.0632544,-9.774344
646.698,-2.5946393,3.6611233,-9.429661
649.6887,-4.292238,5.0581803,-10.453571
654.8462,-6.7337513,5.000733,-11.822734
658.905,-6.408216,3.4209304,-9.711543
662.59766,-7.327374,2.5496454,-8.73015
666.2903,-7.5954614,0.9698429,-6.7482166
669.9524,-7.212479,-1.0312402,-4.8045807
674.9573,-7.0305624,-2.7738101,-3.7705283
678.9551,-6.1824384,-3.2230113,-1.7859898
682.6782,-5.7324343,-3.644292,-0.84768295
686.4319,-4.3728466,-3.9602525,0.37786102
690.1246,-2.4579344,-4.1900415,1.7565975
695.3736,-0.9164302,-3.9411032,3.0683126
699.31024,-0.20791274,-2.9644983,3.7002335
703.3081,0.5867758,-2.0549147,3.5757647
706.84814,1.8314686,-1.7006562,4.1023655
709.5642,3.35004,-2.146935,5.4912033
715.4846,3.522382,-1.5437376,7.5305853
719.6655,1.2532111,1.1179901,7.377391
723.4192,1.2532111,1.1179901,7.377391
727.0813,0.6404393,1.8073585,6.8890886
730.1636,0.4297989,2.1616173,6.6784487
735.29047,0.23830771,2.582898,6.4869585
739.34937,0.048683286,2.5227156,6.1760902
743.0115,-0.23855358,2.9918692,5.879279
746.6736,-0.46834296,3.2886806,5.496297
749.7864,-0.5257904,3.499321,5.075016
755.7068,-0.22897893,3.5088954,4.567564
759.7351,-0.08536059,3.4035754,4.443095
763.5803,-0.09493512,3.240808,4.2037315
767.12036,-0.09493512,3.240808,4.2037315
769.5923,-0.24161983,2.8294199,3.8213139
775.8179,-0.5001329,2.4272883,3.0649233
779.75464,-0.6246022,2.1974988,2.8255596
783.5388,-0.69162416,2.0826042,2.5670462
787.323,-0.69162416,2.0826042,2.5670462
789.7949,-0.63417673,1.9677094,2.4138536
795.6238,-0.34693992,1.5655779,2.2415113
800.23193,-0.5375667,1.2289237,2.168148
804.8096,-0.5567158,1.1236035,1.861762
808.92944,-0.47054476,1.0278579,1.6798449
813.3545,-0.47054476,1.0278579,1.6798449
816.4978,-0.32692635,0.9991342,1.4883537
820.77026,-0.20245707,0.9321123,1.5170774
825.1953,-0.20245707,0.7406211,1.4787798
829.3762,-0.52620846,0.43099737,1.3424273
836.18164,-0.40173918,-0.15305078,1.0264673
841.03394,-0.36344093,-0.3349675,0.7966776
845.459,-0.22939709,-0.50730956,0.5860367
849.7009,-0.14322606,-0.6222043,0.47114277
855.98755,-0.009182215,-0.70837533,0.26050186
861.54175,-0.34554315,-0.8330419,0.0028352737
866.21094,-0.13490283,-0.938362,-0.31312466
871.1853,0.11403574,-1.1107042,-0.4471693
876.5259,0.41084707,-1.484112,-0.64823437
881.1035,0.46829444,-1.5224102,-0.79185295
885.5591,0.5544655,-1.4936867,-0.8780241
889.8926,0.3750078,-1.8046587,-0.8500881
896.5454,0.80586296,-1.5748692,-0.7926407
902.2522,0.95905596,-1.5078471,-0.7926407
906.5552,0.9494814,-1.5078471,-0.7351942
910.7666,0.9494814,-1.5174217,-0.6298733
916.32086,0.9973542,-1.2014611,-0.6298733
920.89844,0.701265,-1.6160367,-0.79234695
925.29297,0.7108395,-1.4245454,-0.93596554
929.3823,0.701265,-1.2426288,-0.6774521
936.70654,0.5863702,-0.97454107,-0.026381493
941.803,0.6246685,-0.7926244,0.35660076
945.9839,0.7587123,-0.62985694,0.80660534
950.25635,0.58234036,-1.2491925,1.4806576
954.62036,0.7163842,-0.8183372,2.2178993
958.86237,0.6206386,0.6369959,3.3476973
964.0808,0.50574386,1.3646626,3.7977018
968.7805,0.3621254,1.9582853,4.3530264
973.938,0.24723077,2.360417,4.7360086
978.6987,-0.11781812,1.841251,4.963169
984.0088,-0.11781812,1.841251,4.963169
988.678,-0.08909452,1.6784836,4.139757
993.65234,-0.012498021,1.4774178,3.4120903
997.65015,0.15026951,1.1614572,2.4737835
1002.4414,0.34176075,0.7784749,1.5833492
1006.83594,0.52367747,0.36676872,0.8269596
