time,x,y,z
0.0,-0.13090184,1.7186315,0.43553448
4.272461,-0.08302906,1.536715,0.55042934
9.185791,-0.025581688,0.923943,0.5217056
14.129639,-0.5138843,0.09095627,0.21531963
18.341064,-0.5138843,0.09095627,0.21531963
22.67456,-0.7436737,-0.023938477,0.05255127
26.580812,-0.7436737,-0.023938477,0.05255127
30.76172,-0.70632935,-0.004361093,0.028588295
35.156246,-0.58186007,0.08180994,0.105184555
38.757324,-0.58186007,0.08180994,0.105184555
41.229248,-0.4765399,0.14883184,0.114759445
44.86084,-0.41909254,0.13925731,0.08603573
49.37744,-0.3424961,0.10095906,0.038163185
52.06299,-0.38079435,0.08180994,-0.019284248
55.93872,-0.38079435,0.09138453,-0.07673168
60.668945,-0.39201078,0.057673097,-0.060581207
64.54468,-0.31541428,0.07682222,-0.12760258
69.51904,-0.28669062,0.19171691,-0.14675236
73.73047,-0.24839237,0.23001516,-0.22334862
77.301025,-0.20051953,0.2683134,-0.21377373
81.05469,-0.21009412,0.277888,-0.21377373
85.4187,-0.21966866,0.37363362,-0.21377373
89.63013,-0.2506678,0.48682398,-0.23535728
92.926025,-0.23151869,0.5921442,-0.2736559
97.13746,-0.22194415,0.6495915,-0.33110332
101.22681,-0.20279503,0.6495915,-0.32152843
105.407715,-0.28896606,0.6783152,-0.28323078
110.35156,-0.26981694,0.6495915,-0.33110332
113.67798,-0.21236956,0.58256954,-0.41727448
117.370605,-0.14534765,0.5155477,-0.46514702
120.88013,-0.16871685,0.5051226,-0.4643736
124.572754,-0.12084404,0.40937704,-0.40692616
130.15747,-0.0059493184,0.35192966,-0.33032894
134.52148,0.15681823,0.30405682,-0.42607498
137.93945,0.29086205,0.07426739,-0.4547987
141.72363,0.29086205,0.07426739,-0.4547987
145.35522,0.33873487,0.016820014,-0.50267124
149.96338,0.31958574,-0.011903644,-0.56969357
152.98462,0.357884,-0.031052768,-0.6175661
156.67725,0.3291603,0.03596914,-0.5601187
160.46143,0.24570322,0.17401484,-0.5382185
164.03198,0.23612867,0.19316396,-0.3945999
170.37964,0.18825586,0.19316396,-0.2701311
174.6521,0.25527778,-0.074923754,-0.12651253
178.19214,0.2744269,-0.13237113,-0.17438507
182.1289,0.33187428,-0.18981847,-0.13608742
185.97412,0.33187428,-0.18981847,-0.13608742
190.18555,0.26485234,-0.10364744,-0.059490204
193.26782,0.17868131,0.001672715,-0.02119255
197.2351,0.12123394,0.14529112,-0.0116176605
200.95825,0.08432518,0.1961877,-0.004638672
204.62036,0.26624182,0.071718425,-0.004638672
207.6416,0.25666726,0.014271051,0.062382698
211.9751,0.34283832,-0.15807101,-0.004638672
216.24756,0.34283832,-0.19636926,-0.023788452
219.81812,0.24709271,-0.14849648,-0.081235886
223.63281,0.28539094,-0.14849648,-0.1099596
227.6001,0.39071113,-0.12934735,-0.062086105
231.9336,0.28280845,-0.009703308,0.01372242
236.90796,0.18706284,0.11476597,0.061594963
240.99731,0.17748828,0.15306422,0.08074379
245.72754,0.024295315,0.18178788,0.0041475296
249.96948,0.024295315,0.18178788,0.0041475296
253.32642,0.1966374,-1.2874603E-4,-0.13947105
256.86646,0.22536108,-0.06715068,-0.120321274
260.37598,0.14472942,-0.055263907,-0.15905762
264.2517,0.048983812,-0.045689344,-0.12075901
267.85278,-0.075485475,0.117078185,-0.09203529
272.15576,0.07770749,0.10750359,-0.08246136
276.61133,0.06813293,0.19367468,0.08030605
280.5481,0.0011110082,0.3277185,0.0420084
284.30176,0.0011110082,0.36601675,0.08988094
287.4756,-0.04676179,0.404315,0.08988094
291.80908,0.013835531,0.29837486,-0.0073547363
296.26465,0.15745394,0.08773455,0.059666634
299.86572,0.13830481,0.08773455,0.0022192001
303.77197,-0.07233551,0.16433105,-0.09352589
308.07495,0.013835531,0.030287206,-0.285017
311.85913,0.12873025,-0.17077857,-0.2945919
316.71143,0.10000657,-0.2378005,-0.38076305
320.89233,0.062493347,-0.21993147,-0.49691868
325.25635,0.100791596,-0.105036736,-0.53521633
329.77295,0.100791596,-0.105036736,-0.53521633
333.03833,0.15823895,-0.066738516,-0.42032242
337.1582,0.22526087,-0.018865705,-0.36287498
341.18652,0.2731337,0.07687989,-0.30542755
345.94727,0.2156863,0.105603606,-0.26712894
350.21973,0.18025868,0.09659025,-0.26673126
353.6682,0.13238588,0.23063406,-0.21885872
357.14722,0.13238588,0.23063406,-0.21885872
360.99246,0.084513076,0.3455288,-0.1518364
365.05127,0.10366219,0.40297619,-0.05609131
367.58423,0.06536396,0.43169984,-0.017792702
372.10083,0.12281132,0.4604235,-0.10396385
376.28174,0.16110957,0.45084897,-0.19970989
380.12695,0.13238588,0.37425247,-0.24758244
383.30078,0.058005005,0.31833562,-0.17196655
387.29858,0.06757957,0.32791016,-0.16239166
392.39502,0.14417605,0.28961197,-0.25813675
397.00317,0.23992164,0.28003737,-0.4209051
400.48218,0.23992164,0.20344087,-0.44005394
404.11377,0.21119799,0.16514263,-0.50707626
407.25708,0.20162342,0.18429175,-0.61239624
412.35352,0.119418286,0.2472102,-0.66131496
416.19873,0.071545474,0.34295583,-0.7283373
419.83032,0.0906946,0.48657423,-0.9102535
423.21777,0.10984372,0.5918944,-1.1879158
427.5818,0.15771654,0.63019264,-1.3889818
432.43408,0.23431301,0.41955233,-1.5230255
436.4624,0.29176039,0.017420769,-1.6187706
440.18555,0.33946952,-0.33685482,-1.4732237
443.17627,0.5118116,-0.59536797,-1.2721577
447.17407,0.48308793,-0.4613241,-1.0423679
452.54517,0.42564055,-0.21238554,-0.40087223
456.54297,0.3203204,0.14187321,0.47998714
460.4187,0.27244762,0.735496,0.81509686
464.2334,0.4735134,1.3578424,0.393816
467.13257,0.7894739,2.018487,-0.50619316
472.6868,0.9075477,2.5684714,-1.448101
476.83716,1.032017,2.664217,-1.7257633
480.46875,-0.39459252,2.8652828,5.6466484
484.10034,-3.171215,3.5738003,9.802007
487.09106,-1.0552372,2.338682,6.517934
492.8894,-3.697816,-1.6443353,-0.6438379
497.10083,-3.697816,-1.6443353,-0.6438379
500.54932,-6.1839967,-2.5241826,-1.3541393
504.3335,-3.847804,-4.6976075,-3.3839464
507.04956,1.17884,-6.9189057,-3.5371394
512.90894,4.5490856,-6.8135858,-2.0722318
516.9983,4.8937697,-4.190156,-0.40625858
520.5078,3.5150328,-0.5613977,0.63736916
524.2615,1.9352304,2.3301196,0.58949566
527.0386,0.66181374,3.584387,0.053320885
533.02,-0.1511783,3.1976678,-0.5357952
536.9873,-0.49586245,1.6561636,-0.8709049
540.55786,-0.6394808,0.10508483,-0.9475012
544.37256,-0.35224405,-1.120459,-0.92835236
546.96655,0.17435676,-1.7619545,-0.8421812
553.13116,1.0552163,-1.4076958,-0.6123915
558.22754,1.0313659,-0.6542096,-0.55114174
562.77466,0.75370365,0.063882455,-0.45539665
566.92505,0.4568923,0.4372903,-0.27347946
573.5779,-0.04098487,0.5713341,0.26269627
578.55225,-0.11758131,0.5617596,0.4541874
582.9773,-0.108006775,0.5713341,0.53078365
587.1582,-0.069708526,0.70537806,0.46376133
593.65845,0.17258513,0.82406265,0.33216953
597.65625,0.25875616,0.74746615,0.12152958
601.1658,0.25875616,0.74746615,0.12152958
605.10254,0.2683307,0.62299687,-0.07953644
607.6355,0.24918163,0.39320743,-0.28060246
612.6404,0.19173425,0.24001445,-0.53911495
615.5395,0.18215966,0.1346943,-0.73060703
619.1101,0.093894005,0.04213667,-0.891202
623.0469,0.1704905,-0.044034377,-0.9103508
627.34985,0.18963963,-0.082332626,-0.8050308
633.14825,0.18963963,-0.0631835,-0.7475834
636.19995,0.21836323,-0.044034377,-0.7571573
639.67896,0.23751241,-0.01531069,-0.66141224
642.8833,0.1704905,0.05171123,-0.46034622
646.78955,0.07474488,0.04213667,-0.22098255
653.1677,-0.047314465,0.08721349,-0.0096035
655.8838,-0.123910904,0.13508628,0.009545326
659.66797,-0.11433637,0.12551172,0.076566696
662.7197,-0.10476184,0.12551172,0.14358902
666.8091,-0.07603812,-0.008532122,0.23933506
673.55347,0.010132909,0.039340675,0.2776327
676.3916,0.13460219,-0.15215053,0.32550526
679.9927,0.13584507,-0.118983924,0.24849224
682.8308,0.23159069,-0.21472955,0.30593967
686.85913,0.19329244,-0.22430411,0.31551456
693.11523,0.10712141,-0.2530278,0.25806713
695.77026,0.08797228,-0.24345323,0.066576004
699.1577,0.11669594,-0.43494442,0.01870346
702.7588,0.10712141,-0.3487734,-0.18236256
706.9092,0.1837179,-0.444519,-0.33555603
710.6323,0.07839769,-0.2721769,-0.39300346
714.9658,-0.026922464,-0.06153658,-0.69938946
719.1162,0.009271085,-0.021553911,-0.8753834
723.053,0.009271085,0.016744323,-1.1530457
727.2949,0.057143867,-0.16517234,-1.2966642
730.8655,0.037994742,-0.06942672,-1.4402828
734.95483,-0.038601756,-0.11729952,-1.325388
739.31885,0.037994742,-0.25134337,-1.220068
743.0115,-0.04817629,-0.040703036,-0.9807043
746.97876,-0.06732541,-0.098150395,-0.6743183
750.61035,-0.18513346,0.117534086,-0.43757153
755.188,-0.37662467,0.33774897,-0.13118553
759.1553,-0.48194483,0.48136738,0.16562557
762.93945,-0.5681159,0.54838926,0.60605526
767.395,-0.67343605,0.44306916,1.0081873
771.3013,-0.7883308,0.41434547,1.7071295
774.8413,-0.9128001,0.3856218,1.9177704
778.7781,-0.9176307,0.24927887,1.820303
782.5928,-0.888907,-0.1911509,1.810729
787.4756,-0.7165649,-0.6698789,1.7054081
791.13763,-0.29528424,-0.9092429,1.0543385
794.7998,0.030250788,-0.9092429,0.44156647
798.9197,0.18344378,-0.7656245,-0.11375809
802.6123,0.29833853,-0.6507298,-0.37227154
807.0984,0.24089116,-0.42094034,-0.6212101
810.6384,0.50538176,-0.43192726,-0.7968025
814.7888,0.58197826,-0.28830886,-0.85424995
818.9392,0.42878526,0.03722618,-0.99786854
823.1201,0.38091248,0.10424811,-1.2276583
827.118,0.17984664,0.19041915,-0.9212723
830.78,-0.011644542,0.19999371,-0.949996
834.7168,-0.07866645,0.1521209,-1.0361671
839.2029,-0.0676496,0.07652195,-1.0204067
842.926,-0.10594785,0.019074585,-1.0299816
847.168,-0.18254432,0.004712744,-0.9055128
850.8301,-0.32616276,0.1339693,-0.91508675
855.04156,-0.16339523,0.22971492,-0.63742447
858.94775,-0.12509698,0.34460962,-0.5033808
862.94556,-0.09637332,0.38290787,-0.46508312
866.60767,-0.0676496,0.43078068,-0.41720963
870.3613,-0.07183695,0.40709788,-0.36957073
875.06104,-0.0048149824,0.49326888,-0.24510098
878.90625,-0.0048149824,0.61773825,-0.101483345
882.6904,0.05263239,0.6943347,0.013411522
886.6577,0.05263239,0.7134838,0.080433846
890.56396,0.062206924,0.68476015,0.13788128
894.7753,0.014334142,0.6368874,0.14745522
898.6511,0.014312029,0.58753294,0.13869858
902.5574,0.06218481,0.50136185,0.13869858
906.7993,0.081333935,0.50136185,0.09082508
910.553,0.16750503,0.43433994,0.052527428
915.1306,0.18665415,0.51093644,0.0046548843
919.4641,0.19622868,0.5588092,0.033377647
923.33984,0.22495234,0.5396601,0.062101364
926.9104,0.22495234,0.44391453,-0.043218613
930.2063,0.21638542,0.3319515,-0.17591286
935.18066,0.16851264,0.29365325,-0.29080772
939.30054,0.20681083,0.18833308,-0.34825516
943.1763,0.17808717,0.2074822,-0.36740398
946.77734,0.22595996,0.24578042,-0.30038166
950.47,0.21638542,0.30322778,-0.262084
954.895,0.22595996,0.31280237,-0.28123283
958.8928,0.16864163,0.32016918,-0.2608509
962.76855,0.18779075,0.23399812,-0.30872345
966.7359,0.16864163,0.20527446,-0.30872345
970.42847,0.17821622,0.14782709,-0.34702206
975.5554,0.16864163,0.13825253,-0.37574577
980.10254,0.13991797,0.2914455,-0.3853197
984.7412,0.11119431,0.32016918,-0.45234203
988.98315,0.147919,0.33111972,-0.49822617
993.7744,0.2149409,0.27367234,-0.5748224
998.87085,0.16706812,0.34069425,-0.6897173
1003.93677,0.2149409,0.20665042,-0.7471647
1008.39233,0.19579178,0.20665042,-0.76631355
1012.6648,0.19579178,0.20665042,-0.76631355
1017.4866,0.2149409,0.14920305,-0.8333359
1021.6675,0.21911722,0.18157986,-0.85596466
1025.94,0.26699,0.20072898,-0.8463898
1030.3345,0.26699,0.1720053,-0.66447353
1035.5835,0.14252079,0.4592421,-0.19532013
1040.4358,0.33401197,0.5262641,0.07276726
1044.7998,0.573376,0.593286,0.08234215
1048.9807,0.8065932,0.65044194,-0.31881523
1053.5583,1.1321282,0.64086735,-0.9124384
1058.197,1.2087247,0.56427085,-1.0752058
1063.1409,-0.92640233,1.4164068,6.8716803
1067.4744,-2.764718,2.1344988,8.336587
1071.6858,-0.4668234,0.84193313,7.8482847
1076.1108,-0.45724884,-0.16339572,0.83013153
1079.2847,-4.320883,0.8682568,0.67019653
1083.6792,-5.8911114,0.5905946,-2.89154
1087.677,1.9217303,-6.4850054,-3.2840967
1092.1631,1.9217303,-6.4850054,-3.2840967
1096.4355,4.7079277,-7.356291,-1.3596106
1099.9756,4.573884,-4.6371155,-0.48832512
1104.5227,1.7781119,2.5246558,-1.4936543
1108.551,0.839805,3.5970066,-1.8479128
1112.9456,0.839805,3.5970066,-1.8479128
1117.5232,-0.59637904,1.7395419,-1.2255669
1122.1008,-0.73728096,0.19264479,-0.81233215
1126.2207,-0.51706606,-0.8414077,-0.6399908
1131.0425,-0.28727663,-1.1573682,-0.5729685
1135.9558,-0.076636314,-0.8892805,-0.4293499
1140.5029,0.19145143,0.15434654,0.24086952
1144.8975,0.2106005,0.5564781,0.6238518
1149.4141,0.15315318,0.9107368,0.9589615
1154.1748,-3.9815903E-5,1.1118026,1.1408777
1158.6304,-0.10788262,1.0497801,1.1273289
1163.269,0.04531026,0.36041176,1.1369028
1167.9382,0.04531026,0.36041176,1.1369028
1173.0652,0.04531026,0.36041176,1.1369028
1177.2156,0.37084532,0.14977144,0.7156229
1181.8848,0.37084532,0.26466617,0.28476715
1185.6995,0.34212172,0.31253898,-0.13651371
1189.9719,0.29291546,0.26862693,-0.47255898
1196.4722,0.23546803,0.16330676,-1.0470333
1201.355,0.2258935,0.26862693,-1.2193756
1205.7495,0.18759525,0.28777605,-1.2672482
1209.8999,0.19716978,0.25905237,-1.2480984
1214.4775,0.18759525,0.2782015,-1.0566072
1218.689,0.16844606,0.26862693,-0.7119236
1223.114,0.149297,0.26862693,-0.4151125
1227.2644,0.11099875,0.26862693,-0.33851528
1231.5674,0.0175004,0.26980668,-0.33207607
1235.0769,-0.049521446,0.17884836,-0.19803143
1240.1428,-0.11654341,0.10225187,-0.11186123
1245.0562,-0.14526707,0.0735282,-0.035264015
1249.4202,-0.09739435,0.044804513,-0.054413795
1253.7842,0.0175004,-0.09881389,-0.035264015
1257.9346,0.05579865,-0.031791985,-0.025690079
1262.97,-0.011223197,-0.022217423,0.003033638
1267.334,-0.039946914,-0.041366518,-0.044838905
1271.4844,0.0039362907,-0.10317053,-0.05128765
1274.353,0.061383605,-0.20849071,-0.07043648
1278.4729,0.061383605,-0.2372144,0.08275604
1283.3252,-0.04393649,-0.15104334,-0.118309975
1287.5366,-0.024787426,-0.1606179,-0.38639736
1291.687,-0.024787426,-0.1606179,-0.38639736
1294.7998,0.023085356,-0.21806528,-0.6353359
