time,x,y,z
3.479004,-0.087891296,0.19708957,0.034623843
7.659912,-0.087891296,0.19708957,0.034623843
11.993408,-0.01065349,0.111861646,0.031960472
16.235352,0.07990117,0.026633725,0.031960472
20.93506,0.15181224,-0.018643608,0.037287217
27.22168,0.18377271,-0.015980236,0.045277335
31.921389,0.17844597,0.023970352,0.05326745
35.614017,0.15447561,0.07191106,0.058594197
43.121338,0.13050525,0.10387153,0.063920945
46.875,0.117188394,0.10387153,0.06658431
51.818848,0.10919827,0.07191106,0.063920945
59.173584,0.1065349,0.029297099,0.058594197
63.476563,0.098544784,-0.01065349,0.05060408
67.13867,0.08256455,-0.04261396,0.04261396
71.80786,0.058594197,-0.058594197,0.031960472
79.52881,0.0026633726,-0.063920945,0.015980236
84.198,-0.01065349,-0.06658431,0.01065349
88.22632,-0.015980236,-0.07191106,0.01065349
92.65137,-0.015980236,-0.07191106,0.01065349
96.86279,-0.005326745,-0.07990117,0.01065349
101.56249,0.013316862,-0.08522792,0.01065349
105.62134,0.045277335,-0.087891296,0.015980236
112.976074,0.087891296,-0.08256455,0.023970352
116.54663,0.14382212,-0.07457443,0.034623843
123.168945,0.20507969,-0.069247685,0.047940705
126.77002,0.27432737,-0.063920945,0.063920945
131.37817,0.34357506,-0.06658431,0.07990117
139.89258,0.45010996,-0.07723781,0.098544784
144.25659,0.4847338,-0.07990117,0.1065349
147.85767,0.4847338,-0.07990117,0.1065349
151.5503,0.49805066,-0.07990117,0.111861646
160.00366,0.47940707,-0.07457443,0.111861646
164.33716,0.44744658,-0.069247685,0.111861646
167.93823,0.44744658,-0.069247685,0.111861646
171.78346,0.41015938,-0.063920945,0.1065349
179.80957,0.3196047,-0.04261396,0.09055467
183.89893,0.2823175,-0.029297099,0.07990117
187.53052,0.2823175,-0.029297099,0.07990117
191.28418,0.2530204,-0.013316862,0.07191106
200.28687,0.23171341,0.013316862,0.058594197
204.74243,0.2423669,0.023970352,0.055930823
208.28247,0.2423669,0.023970352,0.055930823
212.1582,0.26367387,0.031960472,0.055930823
215.82031,0.29563436,0.034623843,0.055930823
223.38867,0.33292156,0.029297099,0.058594197
227.2644,0.37020877,0.026633725,0.058594197
234.43604,0.43146634,0.018643608,0.063920945
240.17334,0.45277333,0.013316862,0.069247685
245.20874,0.46342683,0.013316862,0.07191106
249.26758,0.4660902,0.01065349,0.07457443
253.57056,0.4660902,0.01065349,0.07457443
257.78198,0.45810008,0.007990118,0.07457443
262.6648,0.4367931,0.0026633726,0.07191106
267.45605,0.40483263,0.0,0.06658431
271.94214,0.36488205,-0.007990118,0.055930823
280.42603,0.26367387,-0.013316862,0.023970352
284.66797,0.21040644,-0.015980236,0.005326745
288.208,0.21040644,-0.015980236,0.005326745
292.23633,0.16246572,-0.018643608,-0.007990118
296.05103,0.122515135,-0.018643608,-0.018643608
303.8025,0.093218036,-0.023970352,-0.029297099
307.52563,0.07191106,-0.029297099,-0.039950587
311.4624,0.05326745,-0.039950587,-0.047940705
320.9839,0.034623843,-0.063920945,-0.058594197
325.22583,0.023970352,-0.07457443,-0.061257567
328.85742,0.023970352,-0.07457443,-0.061257567
332.73315,0.013316862,-0.08256455,-0.063920945
336.3037,0.0026633726,-0.09055467,-0.063920945
342.865,-0.01065349,-0.09588141,-0.06658431
347.35107,-0.029297099,-0.10387153,-0.06658431
351.16577,-0.05326745,-0.111861646,-0.07191106
358.49,-0.07990117,-0.11985177,-0.07457443
362.4878,-0.11452502,-0.12784189,-0.07990117
370.1477,-0.14914887,-0.135832,-0.087891296
374.1455,-0.18643607,-0.14382212,-0.093218036
378.4485,-0.22638667,-0.15181224,-0.09588141
382.90405,-0.27432737,-0.16246572,-0.10387153
386.87134,-0.3382483,-0.17578259,-0.10919827
394.104,-0.41548613,-0.19176282,-0.11985177
398.1018,-0.5140309,-0.21040644,-0.13316862
402.98462,-0.6258925,-0.23171341,-0.1464855
407.19604,-0.7537344,-0.2530204,-0.15980235
418.60962,-1.0333885,-0.2903076,-0.1944262
422.5769,-1.1798741,-0.3009611,-0.21040644
430.0232,-1.4834985,-0.3116146,-0.23704016
434.5703,-1.629984,-0.3116146,-0.25035703
438.26294,-1.629984,-0.3116146,-0.25035703
442.84058,-1.7711427,-0.31427795,-0.25834712
446.83838,-1.901648,-0.31427795,-0.26367387
453.9795,-2.0188365,-0.31427795,-0.271664
458.06888,-2.1253712,-0.31427795,-0.2823175
462.70752,-2.2185893,-0.3196047,-0.29829773
466.79688,-2.3064806,-0.3302582,-0.32226807
474.24316,-2.3917086,-0.3489018,-0.35422856
478.54614,-2.4769366,-0.37020877,-0.38352564
482.51343,-2.567491,-0.3888524,-0.407496
494.20166,-2.7539272,-0.42081288,-0.43945646
497.9248,-2.8551354,-0.42880297,-0.45010996
502.9602,-2.9616702,-0.43412971,-0.4554367
507.1106,-3.0735319,-0.43945646,-0.45810008
513.855,-3.1987104,-0.45010996,-0.46342683
517.82227,-3.337206,-0.45810008,-0.46875358
523.1018,-3.4916813,-0.4660902,-0.47940707
526.947,-3.6541471,-0.47141695,-0.48739716
534.11865,-3.8139496,-0.47141695,-0.4927239
537.96387,-3.9630983,-0.47141695,-0.4927239
542.9077,-4.0909405,-0.46875358,-0.48739716
546.81396,-4.197475,-0.4660902,-0.48207045
553.772,-4.2853665,-0.46342683,-0.47940707
557.7698,-4.3572774,-0.46076345,-0.48207045
563.324,-4.4132085,-0.4554367,-0.49006054
567.2302,-4.4558225,-0.46076345,-0.5060408
573.73047,-4.4931097,-0.47141695,-0.5300111
577.7283,-4.538387,-0.4927239,-0.5539815
583.6487,-4.5916543,-0.5060408,-0.5752885
587.8906,-4.647585,-0.5087042,-0.57795185
591.7358,-4.6955256,-0.50337744,-0.564635
597.7783,-4.724823,-0.48739716,-0.53800124
605.6824,-4.7408032,-0.4367931,-0.4847338
609.64966,-4.7408032,-0.4367931,-0.4847338
613.98315,-4.7434664,-0.407496,-0.4767437
617.7368,-4.7434664,-0.3781989,-0.4767437
625.6714,-4.7408032,-0.3489018,-0.4767437
629.9133,-4.74613,-0.3009611,-0.46875358
633.8196,-4.74613,-0.3009611,-0.46875358
637.6953,-4.75412,-0.2903076,-0.46875358
645.90454,-4.7301497,-0.29829773,-0.45277333
650.177,-4.7301497,-0.29829773,-0.45277333
654.23584,-4.6742187,-0.30628785,-0.43146634
657.8064,-4.578337,-0.30628785,-0.407496
665.52734,-4.445169,-0.3009611,-0.38352564
669.52515,-4.2853665,-0.28764424,-0.3595553
673.9807,-4.1069202,-0.26900062,-0.3409117
678.22266,-3.9311378,-0.2530204,-0.32759482
686.0962,-3.6434937,-0.22105992,-0.30895123
