time,x,y,z
0.0,0.99096704,2.5420458,8.7750845
3.967285,1.0579889,2.5516202,8.813383
7.965088,1.0292653,2.7048132,8.870831
12.298584,0.9430942,2.9537518,8.899554
16.26587,0.7994758,3.1069448,8.937852
19.958496,0.6750065,3.173967,8.985725
23.9563,0.64628285,3.1643922,8.985725
27.9541,0.6271337,3.0686467,8.995299
32.287598,0.71330476,2.9441774,9.004874
36.163326,0.8473486,2.88673,9.004874
39.947514,0.9430942,2.8771553,9.033598
43.945313,0.9718179,2.9154537,9.014449
48.034668,0.9622433,2.9250283,9.024023
52.27661,0.90479594,2.9441774,9.043172
55.999756,0.8281995,2.9441774,9.033598
59.936523,0.78032666,2.8963046,8.995299
64.02588,0.76117754,2.88673,9.014449
67.93213,0.751603,2.88673,9.024023
72.35718,0.76117754,2.88673,9.052747
76.23291,0.76117754,2.8580062,9.091045
79.92554,0.7994758,2.8388572,9.062322
83.984375,0.77075213,2.8484318,9.071896
87.890625,0.71330476,2.8292825,9.119769
92.22412,0.71330476,2.8484318,9.043172
95.916756,0.64628285,2.867581,9.062322
99.91455,0.6750065,2.8771553,9.129343
103.88184,0.71330476,2.9441774,9.138918
107.87964,0.7228793,2.9824755,9.138918
112.213135,0.71330476,3.0016246,9.253813
116.27197,0.71330476,3.039923,9.177217
119.87305,0.71330476,2.972901,9.138918
123.87085,0.7228793,2.867581,9.062322
128.1128,0.7324539,2.7718353,9.052747
132.26318,0.78990126,2.752686,9.062322
136.19995,0.8664977,2.752686,9.062322
139.86206,0.90479594,2.7909844,9.033598
143.85986,0.91437054,2.6760898,9.062322
147.85767,0.93351966,2.5037475,9.253813
152.37427,0.9718179,2.494173,9.138918
156.34155,1.0292653,2.6186423,9.0814705
159.85107,1.0388398,2.6952388,9.110194
163.81836,1.0196906,2.8292825,9.225089
167.8467,0.9622433,2.867581,9.272962
172.48535,0.90479594,2.8771553,9.330409
176.33057,0.90479594,2.8771553,9.3878565
179.80957,0.93351966,2.8292825,9.435729
183.83789,1.0005416,2.7814097,9.359133
187.80519,1.0675635,2.7909844,9.2825365
