time,x,y,z
0.0,0.45479164,2.3984275,9.263388
3.78418,0.8856468,2.2069361,9.339984
6.439209,0.99096704,2.0824668,9.263388
10.437012,0.8760723,2.1590633,9.272962
14.984131,0.5792609,2.3026817,9.2825365
18.64624,0.30159867,2.5037475,9.359133
22.43042,0.023936402,2.6090677,9.359133
26.428225,-0.13883112,2.6569405,9.407005
30.395508,-0.16755481,2.6186423,9.426155
35.003662,-0.12925656,2.580344,9.41658
38.757324,0.043085523,2.5707695,9.512326
42.388916,0.12925656,2.5516202,9.464453
46.38672,0.2441513,2.580344,9.445304
50.354004,0.26330042,2.6282167,9.445304
55.05371,0.22500217,2.6569405,9.464453
58.89893,0.19627848,2.6952388,9.407005
62.347412,0.14840569,2.6569405,9.359133
66.345215,0.110107444,2.6186423,9.301685
70.34302,0.09095833,2.5228968,9.2825365
75.07324,0.10053288,2.4845984,9.272962
79.04053,0.10053288,2.4558747,9.263388
82.336426,0.13883112,2.4463003,9.20594
86.30371,0.11968201,2.4367256,9.177217
90.30151,0.11968201,2.4558747,9.177217
95.12329,0.15798025,2.494173,9.167642
99.12109,0.16755481,2.4845984,9.158067
102.2644,0.14840569,2.5037475,9.110194
106.26221,0.13883112,2.5228968,9.119769
110.26001,0.15798025,2.5420458,9.158067
114.37988,0.13883112,2.6569405,9.177217
119.262695,0.14840569,2.752686,9.177217
123.50464,0.17712937,2.867581,9.119769
127.01416,0.15798025,2.905879,9.100619
130.95093,0.19627848,2.9250283,9.100619
135.10132,0.2154276,2.8963046,9.0814705
139.4043,0.27287498,2.8771553,9.014449
142.79175,0.359046,2.905879,9.004874
147.33887,0.4164934,2.867581,8.995299
151.42822,0.44521707,2.8963046,8.928278
155.70068,0.49308985,2.88673,8.909128
159.8816,0.56968635,2.8771553,8.899554
163.3606,0.61755913,2.88673,8.899554
167.1753,0.63670826,2.8484318,8.889979
170.74585,0.6845811,2.8101335,8.870831
174.62158,0.665432,2.7718353,8.794233
180.08423,0.7420284,2.34098,8.813383
184.44824,0.7324539,2.1973617,8.794233
187.98828,0.7324539,2.1973617,8.794233
190.49072,0.6750065,2.2356598,8.832532
194.18335,0.61755913,2.34098,8.813383
200.07324,0.56968635,2.475024,9.004874
204.55933,0.54096264,2.5037475,8.995299
208.22144,0.54096264,2.5037475,8.995299
210.63232,0.56968635,2.580344,8.9761505
214.50806,0.5313881,2.647366,9.033598
219.90967,0.50266445,2.867581,9.033598
224.06006,0.50266445,2.867581,9.033598
227.72218,0.47394073,3.0303483,9.024023
231.32324,0.4835153,3.126094,9.0814705
235.44312,0.45479164,3.1835413,9.138918
240.14282,0.5218136,3.2026904,9.234664
243.10303,0.6271337,3.173967,9.301685
246.8872,0.69415563,3.212265,9.320834
