time,x,y,z
0.0,0.59841,3.346309,8.918703
3.784179,0.5218136,3.2984362,8.957002
7.965088,0.50266445,3.1835413,9.004874
12.237549,0.5792609,3.126094,9.014449
15.777588,0.6845811,3.1643922,9.024023
19.439695,0.76117754,3.1835413,9.043172
23.345947,0.77075213,3.2409887,9.062322
28.045654,0.751603,3.2984362,9.052747
32.13501,0.751603,3.3080106,9.129343
35.64453,0.70373017,3.3367343,9.158067
39.093018,0.6845811,3.2984362,9.253813
42.23633,0.6845811,3.2888615,9.359133
48.12622,0.70373017,3.2792869,9.483603
52.520752,0.7994758,3.2409887,9.617646
56.18286,0.7994758,3.2409887,9.617646
59.7229,0.83777404,3.2026904,9.608071
63.50708,0.8281995,3.1165195,9.5219
68.237305,0.8281995,3.0494976,9.3878565
72.44873,0.8473486,2.8292825,9.177217
76.01929,0.8473486,2.8292825,9.177217
79.833984,0.9430942,2.8292825,9.18679
83.862305,1.0101161,2.9250283,9.177217
88.34838,1.0196906,2.9537518,9.2825365
92.315674,1.0771381,3.020774,9.407005
95.76416,1.0771381,3.020774,9.407005
99.639885,1.14416,3.0016246,9.41658
103.393555,1.1728836,2.972901,9.330409
108.45947,1.1728836,3.126094,9.196365
112.88452,1.1824582,3.1548176,9.148493
116.45508,1.1920328,3.1452432,9.110194
119.99512,1.1920328,3.1452432,9.110194
123.65723,1.2303311,3.1069448,9.138918
128.57056,1.2590547,3.0303483,9.18679
132.59888,1.3069274,2.9824755,9.263388
136.07788,1.3069274,2.9824755,9.263388
139.61792,1.3643749,2.9346027,9.225089
143.5852,1.3643749,2.8580062,9.177217
146.11816,1.4313968,2.800559,9.158067
150.63477,1.4409714,2.7622607,9.100619
155.5481,1.4792696,2.7431116,8.966576
159.85107,1.4984187,2.6377914,8.995299
164.09302,1.4984187,2.6377914,8.995299
166.93115,1.5271424,2.5420458,8.995299
171.11206,1.5271424,2.5037475,9.004874
175.38452,1.5175679,2.4367256,8.947427
179.47388,1.5462915,2.360129,8.947427
182.6477,1.5654407,2.3026817,8.928278
186.70654,1.5558661,2.3314054,8.794233
190.7959,1.5079932,2.3505547,8.650616
195.46509,1.5079932,2.408002,8.535721
199.73755,1.4984187,2.3122563,8.736787
204.04053,1.4984187,2.3122563,8.736787
206.75659,1.469695,2.2931073,8.985725
210.99854,1.4888442,2.3505547,9.234664
215.48462,1.5079932,2.4845984,9.368708
219.05516,1.4505459,2.6760898,9.215514
222.01538,1.4505459,2.819708,9.033598
226.01318,1.4984187,2.8963046,8.9761505
230.77393,1.5175679,2.9154537,8.985725
235.62622,1.4888442,2.88673,9.148493
239.7461,1.4409714,2.8771553,9.359133
243.95752,1.4409714,2.8771553,9.359133
246.58203,1.4984187,2.867581,9.41658
251.00706,1.5367169,2.7909844,9.560199
255.58472,1.5558661,2.8101335,9.675094
259.85718,1.5271424,2.9824755,9.703817
264.12964,1.5271424,2.9824755,9.703817
266.63208,1.4792696,3.0494976,9.770839
270.17212,1.4888442,3.0303483,9.761265
274.01733,1.5558661,2.972901,9.742115
278.2898,1.5845897,2.9154537,9.6942425
282.34863,1.5558661,2.8771553,9.569773
286.04126,1.5462915,2.7622607,9.483603
289.9475,1.5175679,2.6090677,9.426155
294.2505,1.5175679,2.5420458,9.560199
298.00415,1.5175679,2.5420458,9.5889225
301.94092,1.5462915,2.7239625,9.713391
306.33545,1.5175679,2.867581,9.799562
309.99756,1.5175679,3.020774,9.885734
313.93433,1.4409714,3.0877957,9.96233
317.93213,1.4026731,3.0973704,10.163396
322.44873,1.3548003,3.0877957,10.488931
325.98877,1.3643749,3.0686467,10.881488
329.89502,1.3643749,3.0494976,11.561282
334.22852,1.2686293,3.0973704,12.451715
338.43994,1.1537346,3.2026904,13.255979
342.3767,1.2303311,3.2984362,13.945347
346.344,1.2686293,3.3750327,14.673014
349.88403,1.2973529,3.4420545,15.180466
353.88184,1.4313968,3.4899273,15.515575
357.87964,1.6899099,3.6814184,15.228338
362.57935,2.034594,3.9207826,14.720886
366.1194,2.3122563,3.9016335,15.391106
370.4834,2.666515,3.8729098,15.802812
373.87085,3.3750327,4.150572,14.069817
377.86865,4.466532,4.1792955,11.436812
381.958,5.021857,3.930357,9.818711
386.38303,5.452712,3.5473747,8.564445
390.56396,5.912291,3.384607,7.0612383
394.19556,6.37187,3.3367343,5.759098
398.2544,6.6208086,3.451629,4.5718527
402.03857,6.391019,3.5569491,3.518651
406.0974,5.960164,3.499502,3.039923
410.12573,5.376116,3.365458,2.494173
414.12354,3.6814184,3.8537605,2.1111906
418.36548,1.8814012,4.3612123,1.1345854
422.18015,0.6271337,4.4473834,0.5792609
426.45264,0.11968201,3.8346114,0.8760723
430.63354,-0.11968201,3.039923,1.2399056
433.80737,-0.18670394,2.475024,1.5271424
437.80518,-0.4356425,2.254809,1.5750152
442.3828,-0.64628285,1.9579976,1.929274
446.80786,-1.0005416,1.8048047,2.4463003
450.89722,-0.42606795,0.98139244,3.0494976
454.3152,0.46436617,-0.110107444,3.7675896
458.46558,0.6750065,-0.70373017,4.504831
463.0127,0.023936402,-0.91437054,5.1176023
467.13257,-1.2686293,-0.8186249,5.500585
471.344,-3.0303483,-0.8090504,6.936769
476.07422,-3.0303483,-0.8090504,6.936769
480.59082,-3.078221,-1.0579889,7.8176284
484.58862,-2.6856642,-1.2590547,8.583593
487.18262,-2.101616,-1.4888442,9.177217
490.75317,-1.5750152,-1.8718265,9.512326
494.14063,-1.2686293,-2.3314054,9.655944
497.71118,-0.7994758,-2.7909844,9.904882
502.31934,-0.27287498,-3.173967,9.98148
506.28662,0.18670394,-3.4420545,10.038927
511.01685,0.6750065,-3.777164,10.000628
513.94653,1.0771381,-4.121848,10.000628
517.7002,1.3739494,-4.4473834,9.971905
521.7285,1.5941644,-4.5910015,9.914457
526.3367,1.5941644,-4.5335546,10.029352
530.82275,1.7282082,-4.5335546,9.96233
533.8745,1.9005502,-4.437809,9.828286
537.6892,2.034594,-4.3995104,9.713391
541.9617,2.1782124,-4.4090853,9.713391
546.8445,2.34098,-4.504831,9.732541
550.93384,2.4463003,-4.658024,9.569773
554.3823,2.494173,-4.7058964,9.320834
558.7158,2.5707695,-4.619725,9.158067
563.0493,2.5707695,-4.3612123,8.957002
567.10815,2.5324712,-4.0261025,8.985725
571.62476,2.494173,-3.671844,9.215514
574.73755,2.561195,-3.2409887,9.2825365
579.0405,2.580344,-2.752686,9.41658
583.22144,2.5420458,-2.2835326,9.435729
586.9446,2.4654493,-1.7665064,9.512326
591.24756,2.34098,-1.2303311,9.636795
594.4824,2.360129,-0.77075213,9.933606
597.9614,2.3792782,-0.33032233,10.029352
601.8677,2.3792782,0.062234644,10.077225
606.781,2.3505547,0.3877697,10.163396
611.4197,2.2739582,0.54096264,10.077225
614.5325,2.2260852,0.64628285,10.144247
618.0725,2.2260852,0.69415563,10.345312
621.97876,2.2452345,0.7994758,10.010203
625.97656,2.187787,0.93351966,9.828286
631.53076,2.1303396,1.0388398,9.722966
635.2844,2.0920415,1.1537346,9.828286
638.855,2.015445,1.4409714,10.019777
642.94434,1.9196993,1.9005502,10.010203
646.4539,1.79523,2.3505547,9.904882
651.947,1.6324625,2.647366,9.75169
655.1819,1.2973529,2.6090677,9.493176
659.66797,1.2973529,2.6090677,9.493176
664.00146,1.2973529,2.034594,9.85701
667.93823,1.2973529,2.034594,9.85701
672.3633,1.4218222,1.5845897,10.220843
677.002,1.4122477,1.4218222,10.249567
681.15234,1.5079932,1.2686293,10.144247
685.5469,1.5558661,1.0962871,10.010203
691.864,1.8526775,0.71330476,9.8953085
695.8008,1.9962958,0.4835153,9.885734
699.31024,1.9962958,0.4835153,9.885734
701.96533,2.1111906,0.32074776,9.952756
705.5969,2.1973617,0.34947145,10.06765
711.8225,2.1111906,0.59841,10.144247
715.72876,2.0537431,0.665432,10.048501
719.4214,2.0537431,0.665432,10.048501
722.13745,2.0633178,0.83777404,10.000628
726.4099,1.9675722,1.1154363,9.732541
732.17773,1.8526775,1.4409714,9.569773
735.50415,1.4984187,1.8239537,9.3878565
739.563,1.4122477,1.8909757,9.330409
744.0796,1.4409714,1.9579976,9.263388
748.19946,1.5271424,2.0728924,9.091045
752.594,1.5271424,2.0728924,9.091045
755.3711,1.5079932,2.2165108,8.851681
760.5591,1.4505459,2.2643836,8.66019
764.2212,1.4313968,2.0058703,8.459125
767.8833,1.4505459,1.8526775,8.497422
771.63696,1.4505459,1.8526775,8.497422
774.4446,1.4505459,1.7473572,8.545295
778.1677,1.5175679,1.7282082,8.621892
781.95184,1.5654407,1.6707608,8.765511
785.4309,1.5271424,1.6803354,8.880404
789.7339,1.469695,1.7186337,8.870831
793.85376,1.5079932,1.6707608,8.909128
797.76,1.6324625,1.5845897,9.004874
801.8188,1.709059,1.5750152,9.043172
805.45044,1.7377827,1.6611862,8.947427
809.3872,1.7282082,1.8143792,8.889979
814.0259,1.6994845,1.8909757,8.822957
817.9322,1.6324625,1.9675722,8.784659
822.47925,1.6420372,1.9962958,8.755936
826.1719,1.5941644,2.034594,8.765511
829.834,1.6133134,2.0920415,8.822957
833.7097,1.6037389,2.187787,8.889979
837.7075,1.5750152,2.3314054,8.957002
842.0105,1.5462915,2.5037475,9.043172
845.67255,1.5558661,2.6282167,9.091045
849.6704,1.4888442,2.6952388,9.110194
853.88184,1.5175679,2.6856642,9.158067
857.75757,1.5271424,2.6856642,9.20594
861.9385,1.5750152,2.6952388,9.225089
865.69214,1.6324625,2.733537,9.18679
869.3237,1.5750152,2.7431116,9.091045
873.9624,1.622888,2.7718353,9.091045
877.9602,1.6324625,2.7431116,9.129343
882.53784,1.6803354,2.714388,9.18679
886.0779,1.6707608,2.7048132,9.225089
889.64844,1.5941644,2.6856642,9.263388
893.67676,1.5750152,2.6569405,9.301685
897.9492,1.5271424,2.6569405,9.397431
902.49634,1.5079932,2.7048132,9.483603
906.0974,1.4601204,2.819708,9.655944
909.66797,1.4218222,2.9346027,9.933606
913.7573,1.3260766,2.972901,10.278291
917.7246,1.1728836,2.905879,10.709146
922.3633,1.0101161,2.6377914,11.49426
925.93384,1.0579889,1.8814012,12.968742
929.26025,0.6079846,1.1920328,14.76876
934.2041,-0.12925656,0.7420284,16.836864
938.6902,-0.20585304,0.42606795,18.560286
943.0542,0.5505372,1.1633091,19.594337
947.5403,1.4218222,2.494173,19.594337
951.99585,1.4218222,2.494173,19.594337
955.10864,2.408002,3.9782298,19.594337
959.28955,4.9835587,6.7931504,19.594337
964.2334,5.9218655,7.5208173,18.23475
968.84155,5.988888,7.846352,14.347479
973.938,6.103782,8.152739,10.105948
979.1565,6.831449,8.401677,1.4888442
984.13086,6.5059137,9.339984,-1.9196993
988.83057,8.918703,8.612317,-3.777164
993.927,11.302769,7.2240057,-2.580344
998.9929,9.6942425,4.3612123,-1.5079932
1004.08936,5.155901,3.9399316,-1.9962958
1008.1177,-2.0728924,5.3569665,-2.3122563
1012.6953,-2.0728924,5.3569665,-2.3122563
1016.1133,-7.999545,7.482519,-3.173967
1020.23315,-9.569773,7.8655014,-3.8154624
1023.16284,-6.716554,2.9441774,-2.1782124
1027.3743,-6.716554,2.9441774,-2.1782124
1031.8298,-5.8548436,-1.2111819,0.23457673
1035.0037,-6.0080366,-4.2175937,2.1111906
1039.1846,-7.501668,-4.8590894,4.0931244
1043.5181,-7.089962,-4.916537,4.926111
1047.8516,-5.9218655,-5.759098,5.7782474
1052.2461,-5.9218655,-5.759098,5.7782474
1055.2979,-2.8292825,-7.4250717,7.12826
1059.3872,-1.3069274,-7.5782647,7.9133744
1063.9343,-0.023936402,-7.3771987,8.593168
1068.0847,1.2494801,-6.9463434,9.177217
1072.4182,1.2494801,-6.9463434,9.177217
1075.6836,2.187787,-6.438892,9.943181
1080.1392,2.9441774,-6.132506,10.2016945
1084.8694,3.9590807,-5.7495236,10.077225
1089.447,3.8633351,-5.692076,9.7899885
1095.2759,3.604822,-5.6633525,9.378282
1100.1892,3.6431203,-5.634629,9.29211
1104.4617,3.5856729,-5.759098,9.378282
1108.7036,3.518651,-6.113357,9.560199
1115.2344,3.5378,-6.678256,9.550624
1120.1782,3.5665238,-6.9271946,9.445304
1124.4812,3.6335456,-7.0325146,9.359133
1129.0283,3.6143966,-7.02294,9.339984
1134.9792,3.5378,-6.7261286,9.330409
1139.5569,3.2601378,-5.653778,9.665519
1144.6228,3.0973704,-4.8782387,9.75169
1149.7192,2.9537518,-4.0261025,9.866585
1155.304,2.6282167,-2.3314054,9.98148
1160.2173,2.561195,-1.5750152,9.924032
1164.7034,2.5994933,-0.8664977,9.866585
1169.6167,2.580344,-0.28244954,9.971905
1175.0183,2.5420458,0.23457673,9.847435
1179.7485,2.4558747,0.99096704,9.3878565
1184.4788,2.4175766,1.0771381,9.071896
1189.148,2.34098,1.1154363,8.813383
1195.3735,2.1111906,1.2303311,8.372953
1200.1953,2.1111906,1.2973529,8.200611
1204.5593,2.1111906,1.4122477,8.181462
1209.0454,2.0920415,1.5367169,8.210186
1215.4236,1.9196993,1.7282082,8.363379
1220.8557,1.8143792,1.709059,8.420826
1226.1964,1.7473572,1.5941644,8.334655
1230.957,1.7186337,1.3069274,8.487848
1235.8704,1.9101248,0.7994758,8.899554
1241.5161,2.0537431,0.71330476,9.18679
1246.1548,2.149489,0.77075213,9.454879
1249.2981,2.254809,1.0005416,9.742115
1255.4932,2.2165108,1.709059,9.971905
1260.8948,2.034594,1.8526775,9.904882
1265.8386,1.8526775,1.709059,9.799562
1270.5383,1.7665064,1.3260766,9.550624
1275.8179,1.6899099,0.9526688,9.445304
1280.9143,1.709059,0.56011176,9.531475
1285.6445,1.7282082,0.8760723,9.598496
1289.978,1.7473572,1.1824582,9.780414
1295.2576,1.7282082,1.5558661,9.98148
1299.9268,1.7665064,1.7186337,10.048501
1304.2297,1.8526775,1.9005502,9.933606
1308.6853,1.862252,2.0537431,9.732541
1313.0493,1.862252,2.0537431,9.732541
1317.5964,1.6516117,2.2835326,9.742115
1322.0825,1.6516117,2.3697038,9.991054
1326.6907,1.5558661,2.8388572,9.7899885
1330.9021,1.5558661,2.8388572,9.7899885
1335.5103,1.4122477,2.733537,9.474028
1340.6067,1.3643749,2.5516202,9.483603
1345.1843,1.3739494,2.3314054,9.502751
1349.2432,1.3643749,2.149489,9.550624
1353.6376,1.3548003,2.0441687,9.5889225
1358.2153,1.3452257,1.8718265,9.531475
1362.915,1.5079932,1.5750152,9.320834
1367.0044,1.6133134,1.5079932,9.31126
1371.2769,1.6133134,1.5079932,9.31126
1374.8779,1.6420372,1.6707608,9.474028
1380.188,1.6324625,1.9005502,9.464453
1385.1013,1.6899099,2.0633178,9.407005
1390.0146,1.6803354,2.2069361,9.29211
1394.8975,1.7665064,2.3314054,9.253813
1400.0854,1.6803354,2.3888528,9.330409
1404.9072,1.6899099,2.4845984,9.464453
1409.0576,1.6420372,2.647366,9.598496
1413.4521,1.622888,2.8580062,9.6942425
1417.6025,1.6037389,3.0494976,9.703817
1423.0347,1.5845897,3.193116,9.722966
1427.6428,1.4505459,3.173967,9.809137
1432.9224,1.4505459,3.1548176,9.818711
1437.8967,1.4026731,3.1643922,9.799562
1443.3899,1.4026731,2.9441774,9.885734
1449.9817,1.4505459,2.800559,9.98148
1455.0171,1.4505459,2.7909844,10.077225
1460.1746,1.4888442,2.8292825,10.125097
1465.1184,1.5750152,2.8963046,10.230418
1469.9097,1.6037389,2.905879,10.498506
1475.0061,1.4218222,2.6760898,11.503835
1480.1941,1.4218222,2.5707695,12.049584
1485.1685,1.5079932,2.3697038,12.786825
1490.1428,1.5462915,2.3026817,13.792154
1495.0867,1.622888,2.8388572,15.860259
1500.2747,1.9771467,3.6335456,15.860259
1505.0354,2.0920415,4.322914,16.252817
1509.2163,2.408002,4.6293,16.884737
1513.7634,2.6856642,5.2420716,16.549627
1517.9443,3.212265,6.0559096,15.563448
1523.2544,3.844186,6.8888965,13.734707
1528.0762,4.8207912,6.831449,11.532558
1533.02,4.8782387,6.151655,10.393186
1537.323,4.7441945,5.806971,8.602742
1542.45,4.504831,5.3569665,6.4484663
1546.5088,4.504831,5.3569665,6.4484663
1549.2859,5.0984535,5.28037,4.7920675
1554.0466,5.6250544,4.993133,3.451629
1559.2346,3.7388659,4.3612123,2.1111906
1563.9037,2.5994933,3.5569491,1.4505459
1567.8711,1.8431029,2.2356598,1.4026731
1572.2351,0.9430942,0.9526688,1.2782038
1576.477,-0.00478728,-0.20585304,1.4409714
1580.5359,-0.6845811,-1.3452257,1.5079932
1585.0525,-1.6420372,-2.0441687,1.4888442
1589.1113,-2.0920415,-2.5420458,2.0633178
1593.3533,-2.1782124,-2.475024,2.800559
1597.5037,-1.0196906,-3.0494976,3.2984362
1600.8911,-0.56968635,-3.518651,3.7963133
1604.7974,-0.85692316,-4.0069537,4.0356774
1608.4595,-1.8909757,-4.495256,4.342063
1613.7085,-2.7431116,-4.9069624,4.8782387
1617.4011,-2.9920502,-5.0984535,5.634629
1620.9717,-2.666515,-5.0984535,6.6016593
1624.6948,-1.9101248,-4.887813,7.5303917
1628.9978,-1.0771381,-4.6675982,8.32508
1632.8125,-0.36862057,-4.3707867,8.9761505
1636.9629,0.20585304,-3.9878044,9.636795
1640.8997,0.59841,-3.4612036,10.163396
1645.1111,0.93351966,-2.905879,10.632549
1649.2004,1.3739494,-2.3984275,11.092129
1653.8086,1.6899099,-2.0920415,11.15915
1658.1116,1.862252,-2.034594,11.063405
1662.8723,1.8526775,-2.2165108,10.699572
1667.1143,1.7186337,-2.5994933,10.0868
1669.9219,1.5750152,-2.9441774,9.339984
1674.1333,1.6516117,-3.212265,8.861256
1678.2532,1.9771467,-3.5665238,8.506997
1682.9529,1.9771467,-3.5665238,8.506997
1687.3474,2.2643836,-4.0644007,8.056993
1691.7115,2.3314054,-4.2271686,7.8176284
1694.6411,2.3314054,-4.2271686,7.8176284
1698.822,2.408002,-4.3995104,7.875076
1703.7048,2.8484318,-4.715471,8.382527
1707.8857,3.020774,-4.8303657,8.564445
1712.2803,3.0016246,-4.801642,8.736787
1717.4377,2.9537518,-4.6675982,8.861256
1722.5647,3.039923,-4.198445,9.263388
1726.5625,3.039923,-4.198445,9.263388
1729.3701,3.0973704,-3.9686553,9.560199
1733.8562,3.2026904,-3.7005677,9.924032
1737.915,3.2505634,-3.4420545,10.125097
1741.1194,3.2026904,-3.1165195,10.479357
1745.4224,3.059072,-2.7048132,10.316589
1749.9084,2.6186423,-2.0537431,9.828286
1754.425,2.6186423,-2.0537431,9.828286
1758.6365,2.2452345,-1.5654407,9.617646
1763.3362,2.2452345,-1.5654407,9.617646
1767.5781,2.2452345,-1.5654407,9.617646
1771.9421,1.9579976,0.14840569,9.933606
1778.0762,1.8239537,1.709059,10.431483
1783.0505,1.8239537,1.709059,10.431483
1787.2314,1.6803354,2.427151,10.661273
1790.0085,1.3739494,3.4037561,10.996383
1794.7693,1.3739494,3.4037561,10.996383
1799.6216,1.1250108,3.5856729,11.05383
1805.0537,1.0962871,3.384607,11.044255
1809.082,1.1537346,3.1452432,11.034681
1813.446,1.2686293,2.9154537,10.92936
1818.0237,1.3260766,2.714388,10.766593
1821.5027,1.3739494,2.4558747,10.460207
1826.2634,1.5750152,1.5271424,9.8953085
1831.1768,1.7856555,0.93351966,9.7899885
1835.9375,1.929274,0.40691882,9.64637
1841.0339,1.9962958,0.110107444,9.474028
1845.9778,2.168638,-0.13883112,9.071896
1851.1047,2.1782124,-0.27287498,8.727212
1856.2012,2.1303396,-0.4164934,8.353804
1861.5723,1.9867213,-0.6845811,8.028269
1866.394,1.9771467,-0.7228793,7.9803963
1871.0634,1.9962958,-0.5888355,7.9133744
1875.7935,1.9962958,-0.5888355,7.9133744
1880.4016,1.9196993,-0.2441513,7.8655014
1884.8267,1.8909757,-0.18670394,7.8655014
1888.977,1.8718265,-0.110107444,7.894225
1893.6768,1.8239537,0.023936402,7.9325233
1898.7732,1.8335283,0.15798025,7.999545
1902.6489,1.79523,0.34947145,8.143164
1906.5857,1.7856555,0.8473486,8.526146
1910.7056,1.776081,1.0962871,8.66019
1915.4053,1.776081,1.0962871,8.66019
1919.9219,1.6420372,1.3643749,8.708063
1924.5911,1.6133134,1.3165021,8.803808
1928.8635,1.6420372,1.2973529,8.957002
1933.6243,1.6133134,1.3739494,9.052747
1937.7748,1.5271424,1.5271424,9.110194
1940.9485,1.5079932,1.6324625,9.119769
1945.1294,1.4792696,1.6994845,9.138918
1949.3408,1.4984187,1.7665064,9.196365
1953.949,1.6037389,1.9196993,9.54105
1958.0078,1.6037389,1.9196993,9.54105
1961.2122,1.6899099,2.3697038,9.54105
1966.6138,1.5845897,2.5420458,9.3878565
1971.8018,1.5462915,2.5420458,9.253813
1976.4099,1.5079932,2.3984275,9.18679
1981.2012,1.5462915,2.1590633,9.215514
1986.2671,1.5271424,1.948423,9.244238
1990.448,1.5079932,1.9675722,9.29211
1994.8425,1.5079932,1.9867213,9.368708
1999.1455,1.5079932,1.9867213,9.368708
2002.7771,1.5845897,2.1207652,9.655944
2007.2937,1.6420372,2.1973617,9.770839
2012.3596,1.709059,2.3314054,9.866585
2016.8762,1.7377827,2.3888528,9.924032
2021.8201,1.7856555,2.5324712,9.98148
2025.9705,1.776081,2.6090677,10.134672
2030.304,1.7569319,2.5899186,10.211268
2034.5459,1.7377827,2.494173,10.335738
2038.6353,1.7377827,2.494173,10.335738
2041.9922,1.5271424,2.2739582,11.350641
2046.2341,1.3930986,2.2260852,11.944264
2050.5066,1.2016073,2.0250196,12.911295
2055.5725,1.1058618,1.7569319,13.552791
2060.3027,1.1058618,1.5654407,14.232584
2066.04,0.8952214,1.2111819,17.468786
2070.8923,1.2590547,1.5845897,18.67518
2075.714,1.7186337,2.4367256,19.354975
2080.4138,2.1399143,3.2026904,19.594337
2085.4797,2.4463003,3.6143966,19.594337
2089.6301,4.0548263,5.108028,19.32625
2094.0552,5.079304,5.2420716,17.621979
2098.4802,5.079304,5.2420716,17.621979
2102.0813,5.3378177,5.845269,14.988975
2106.018,6.391019,7.4442205,8.00912
2110.1074,7.1857076,7.281453,4.935686
2114.8071,7.788905,6.515488,2.7814097
2119.11,7.788905,6.515488,2.7814097
2122.4976,8.23891,5.452712,1.6420372
2126.648,6.869747,4.9739842,-0.8473486
