time,x,y,z
0.0,-0.06658431,-0.0026633726,-0.07723781
4.15039,-0.087891296,-0.029297099,-0.069247685
12.207031,-0.09055467,-0.047940705,-0.07457443
15.930175,-0.09055467,-0.047940705,-0.07457443
19.500732,-0.07990117,-0.045277335,-0.08256455
24.20044,-0.069247685,-0.045277335,-0.08522792
32.226563,-0.063920945,-0.061257567,-0.08256455
35.85815,-0.063920945,-0.061257567,-0.08256455
39.611816,-0.063920945,-0.07457443,-0.08522792
49.682617,-0.069247685,-0.09588141,-0.09055467
53.985596,-0.069247685,-0.10120816,-0.09588141
60.48584,-0.069247685,-0.1065349,-0.098544784
64.27002,-0.069247685,-0.10919827,-0.10120816
72.60132,-0.069247685,-0.11452502,-0.1065349
76.3855,-0.069247685,-0.11452502,-0.1065349
79.92554,-0.069247685,-0.11452502,-0.10919827
89.904785,-0.063920945,-0.11452502,-0.111861646
94.329834,-0.069247685,-0.117188394,-0.11452502
100.494385,-0.07457443,-0.117188394,-0.111861646
104.24805,-0.08522792,-0.11985177,-0.10919827
112.976074,-0.1065349,-0.12517852,-0.09588141
116.69922,-0.11452502,-0.13050525,-0.08522792
120.30029,-0.11452502,-0.13050525,-0.08522792
124.45068,-0.11985177,-0.135832,-0.07723781
131.50024,-0.117188394,-0.14382212,-0.058594197
135.31494,-0.117188394,-0.14382212,-0.058594197
139.77051,-0.11452502,-0.14382212,-0.05060408
147.43042,-0.111861646,-0.1464855,-0.039950587
151.58081,-0.11985177,-0.15181224,-0.018643608
156.12793,-0.11985177,-0.15181224,-0.018643608
159.75952,-0.12784189,-0.15713897,-0.013316862
167.38892,-0.14115874,-0.1651291,-0.013316862
171.60034,-0.17045584,-0.19975294,-0.005326745
176.08643,-0.17045584,-0.19975294,-0.005326745
179.84007,-0.17844597,-0.22638667,0.0
187.04224,-0.18377271,-0.25834712,0.013316862
191.37573,-0.18377271,-0.2903076,0.02130698
195.40405,-0.18377271,-0.32226807,0.029297099
199.7986,-0.18643607,-0.35156518,0.031960472
203.94897,-0.19975294,-0.38086227,0.037287217
212.09717,-0.25035703,-0.43412971,0.055930823
216.33911,-0.25035703,-0.43412971,0.055930823
220.76416,-0.27965412,-0.4554367,0.07457443
225.40283,-0.3116146,-0.47141695,0.09588141
233.00171,-0.39417914,-0.49805066,0.135832
237.45728,-0.43945646,-0.51136756,0.15713897
242.12646,-0.49006054,-0.522021,0.17844597
245.69702,-0.49006054,-0.522021,0.17844597
252.34985,-0.64453614,-0.51669425,0.21040644
256.56128,-0.64453614,-0.51669425,0.21040644
260.16235,-0.74041754,-0.5087042,0.21573317
263.94653,-0.82031876,-0.50071406,0.22105992
271.57593,-0.8629327,-0.5193576,0.25035703
275.9094,-0.8629327,-0.5193576,0.25035703
280.30396,-0.79901177,-0.5326745,0.27699074
284.11865,-0.700467,-0.53800124,0.29563436
291.56494,-0.585942,-0.5300111,0.30628785
295.25757,-0.48739716,-0.5140309,0.30628785
303.19214,-0.41015938,-0.49006054,0.31427795
306.97632,-0.41015938,-0.49006054,0.31427795
312.04224,-0.47141695,-0.4927239,0.3409117
316.1316,-0.47141695,-0.4927239,0.3409117
320.09888,-0.51669425,-0.50071406,0.34623843
324.03564,-0.5513181,-0.51136756,0.3382483
332.1228,-0.55930823,-0.5326745,0.30895123
336.48682,-0.55930823,-0.5326745,0.30895123
340.3015,-0.5406646,-0.543328,0.29563436
344.23828,-0.52468437,-0.55664486,0.2823175
351.8982,-0.5193576,-0.5699617,0.26900062
356.10962,-0.5326745,-0.585942,0.25035703
359.7107,-0.56729835,-0.6045856,0.22372329
367.06543,-0.61790246,-0.6258925,0.18909945
372.68066,-0.7324275,-0.67383325,0.11452502
376.61743,-0.7324275,-0.67383325,0.11452502
380.3711,-0.78036815,-0.69247687,0.07457443
384.61304,-0.814992,-0.70579374,0.037287217
392.24243,-0.8389624,-0.721774,-0.015980236
396.30127,-0.8389624,-0.721774,-0.015980236
400.23804,-0.8256455,-0.72443736,-0.039950587
404.23584,-0.79901177,-0.72443736,-0.058594197
412.56714,-0.7297641,-0.71644723,-0.10120816
416.90063,-0.7297641,-0.71644723,-0.10120816
420.6543,-0.700467,-0.7111205,-0.122515135
424.469,-0.67916,-0.70579374,-0.14382212
432.67822,-0.6471995,-0.69247687,-0.17578259
436.95068,-0.6471995,-0.69247687,-0.17578259
440.58228,-0.63121927,-0.6871501,-0.18909945
444.458,-0.6045856,-0.6818234,-0.20241632
452.63672,-0.5326745,-0.6685065,-0.22638667
456.604,-0.5326745,-0.6685065,-0.22638667
460.29663,-0.5060408,-0.6605164,-0.22372329
464.20288,-0.4953873,-0.65518963,-0.20774306
472.5647,-0.55930823,-0.68448675,-0.22372329
476.53198,-0.55930823,-0.68448675,-0.22372329
480.10254,-0.6471995,-0.7324275,-0.27965412
484.49707,-0.7830315,-0.79102165,-0.35689193
492.7063,-1.2997258,-0.9002199,-0.52734774
496.6736,-1.2997258,-0.9002199,-0.52734774
500.64087,-1.7098851,-0.9641409,-0.60991234
504.45557,-2.2052724,-1.0467054,-0.6764966
512.97,-3.2972553,-1.2358049,-0.6978036
517.5476,-3.8432467,-1.273092,-0.6258925
521.1487,-3.8432467,-1.273092,-0.6258925
524.9634,-4.3945646,-1.2144979,-0.50071406
532.9895,-4.961863,-1.0600222,-0.3116146
537.1704,-5.5078545,-0.82298213,-0.034623843
540.7715,-5.9233403,-0.52468437,0.2903076
544.67773,-6.1230936,-0.17045584,0.5300111
552.8259,-6.141737,0.23704016,0.51136756
556.70166,-6.099123,0.67916,0.19176282
560.5469,-6.1071134,1.107963,-0.25834712
564.7583,-6.181688,1.4808351,-0.5806152
573.0591,-6.2535987,1.7977765,-0.62056583
577.0569,-6.2163115,2.1014009,-0.43945646
580.8716,-5.992588,2.423669,-0.2610105
584.7168,-5.5584583,2.7406104,-0.26367387
593.10913,-4.282703,3.068205,-0.74041754
597.3511,-4.282703,3.068205,-0.74041754
600.95215,-3.6088698,3.0042841,-0.9854478
604.8889,-2.9989574,2.8364918,-1.1319333
612.94556,-2.4769366,2.623422,-1.1958543
616.85175,-2.0241632,2.4050255,-1.2118345
620.60547,-1.58737,2.2079358,-1.222488
624.38965,-1.1266066,2.0401435,-1.2464584
633.1787,-0.122515135,1.7738061,-1.3130426
637.2986,-0.122515135,1.7738061,-1.3130426
640.86914,0.34623843,1.6672713,-1.3103793
644.8059,0.7430809,1.5713898,-1.273092
650.78735,1.0413786,1.4861618,-1.2118345
658.41675,1.2384683,1.4035974,-1.1479136
662.44507,1.3476665,1.3130426,-1.0919827
666.13763,1.3902805,1.2118345,-1.0493687
670.4407,1.400934,1.1052996,-1.014745
678.37524,1.4062607,1.0040915,-0.98278445
682.3425,1.4142509,0.90554667,-0.9534874
686.0657,1.4382212,0.8070019,-0.9321804
690.73486,1.4701817,0.70579374,-0.9135368
702.14844,1.58737,0.51669425,-0.85760593
706.4514,1.6699346,0.4261396,-0.81232864
710.907,1.765816,0.33558494,-0.75107104
714.84375,1.8696876,0.23970354,-0.6764966
722.32056,1.9815491,0.13316862,-0.5939321
726.0132,2.1067276,0.034623843,-0.51136756
730.49927,2.245223,-0.04261396,-0.43412971
738.25073,2.5222137,-0.13849537,-0.3009611
742.218,2.5222137,-0.13849537,-0.3009611
746.09375,2.6420655,-0.15980235,-0.2423669
750.8545,2.7432737,-0.16779247,-0.19176282
754.79126,2.8205116,-0.1651291,-0.14382212
762.146,2.8764424,-0.15181224,-0.093218036
766.449,2.9190564,-0.135832,-0.039950587
770.90454,2.951017,-0.117188394,0.018643608
774.7803,2.9803138,-0.10387153,0.08522792
782.135,3.0229278,-0.093218036,0.15181224
785.85815,3.0868487,-0.093218036,0.21573317
790.6189,3.1907203,-0.09588141,0.271664
794.9219,3.337206,-0.093218036,0.3196047
802.36816,3.5209785,-0.07457443,0.35156518
806.67114,3.7207315,-0.039950587,0.37553552
811.2488,3.9098308,0.007990118,0.39950588
815.55176,4.0429997,0.063920945,0.43412971
820.282,4.0989304,0.11452502,0.49006054
824.89014,4.0696335,0.14914887,0.564635
831.9092,3.9551082,0.16779247,0.64453614
836.51733,3.760682,0.17045584,0.7191106
840.91187,3.5049982,0.15713897,0.7750414
845.4895,3.2146907,0.12784189,0.80966526
854.3701,2.6766894,0.055930823,0.8336356
859.1919,2.458293,0.034623843,0.82298213
863.739,2.2638667,0.023970352,0.7963484
867.98096,2.2638667,0.023970352,0.7963484
872.5891,1.8936579,0.013316862,0.74840766
877.9907,1.7045584,0.005326745,0.75107104
882.90405,1.5021421,0.0,0.772378
887.75635,1.5021421,0.0,0.772378
892.97485,1.0493687,-0.015980236,0.814992
897.58295,1.0493687,-0.015980236,0.814992
902.16064,0.814992,-0.026633725,0.814992
906.3721,0.58860534,-0.045277335,0.7963484
910.67505,0.3781989,-0.06658431,0.7643879
915.52734,0.18909945,-0.09588141,0.7297641
920.77637,0.026633725,-0.12517852,0.7084571
925.62866,-0.09588141,-0.16246572,0.700467
934.4177,-0.26367387,-0.23970354,0.7084571
940.8264,-0.3196047,-0.27699074,0.7111205
945.73975,-0.37020877,-0.31427795,0.6978036
