time,x,y,z
0.0,0.5505372,2.2931073,9.41658
5.004883,0.5218136,2.3314054,9.378282
10.253906,0.40691882,2.3026817,9.378282
15.289306,0.3111732,2.3505547,9.3878565
19.561768,0.3111732,2.3505547,9.3878565
23.773191,0.32074776,2.408002,9.41658
27.160645,0.34947145,2.513322,9.407005
31.585691,0.37819514,2.494173,9.349558
35.91919,0.359046,2.4463003,9.31126
40.100098,0.359046,2.3505547,9.301685
44.647217,0.3111732,2.3026817,9.339984
48.52295,0.32074776,2.2356598,9.330409
52.124023,0.32074776,2.2356598,9.330409
54.595947,0.3398969,2.1973617,9.301685
58.166504,0.33032233,2.1303396,9.330409
61.798096,0.32074776,2.0728924,9.339984
65.85693,0.3398969,2.0250196,9.349558
70.43457,0.33032233,2.0058703,9.349558
74.43237,0.34947145,1.9962958,9.339984
78.063965,0.36862057,2.0441687,9.330409
81.69555,0.359046,2.101616,9.320834
85.510254,0.34947145,2.1590633,9.2825365
90.33203,0.36862057,2.2356598,9.29211
94.66553,0.359046,2.2931073,9.272962
98.846436,0.36862057,2.3697038,9.320834
103.17993,0.37819514,2.3888528,9.2825365
106.75049,0.40691882,2.4175766,9.320834
110.90088,0.40691882,2.4175766,9.31126
115.41748,0.42606795,2.3697038,9.272962
119.84253,0.42606795,2.3697038,9.253813
124.420166,0.42606795,2.3697038,9.253813
128.2959,0.40691882,2.360129,9.263388
131.98853,0.40691882,2.360129,9.263388
134.85718,0.37819514,2.3314054,9.2825365
138.67188,0.42606795,2.3026817,9.234664
142.30347,0.39734426,2.254809,9.20594
145.41626,0.359046,2.2643836,9.215514
149.26147,0.3111732,2.2260852,9.253813
153.56445,0.3111732,2.2452345,9.253813
157.34863,0.2920241,2.2356598,9.272962
161.2854,0.25372586,2.2452345,9.272962
165.55786,0.27287498,2.3026817,9.378282
170.07446,0.28244954,2.2739582,9.378282
173.70605,0.28244954,2.2931073,9.426155
177.6123,0.30159867,2.34098,9.426155
180.99976,0.34947145,2.3314054,9.426155
185.82153,0.36862057,2.3314054,9.445304
189.72778,0.3398969,2.321831,9.435729
193.96973,0.3877697,2.3505547,9.435729
197.72339,0.39734426,2.3792782,9.397431
201.9043,0.37819514,2.427151,9.368708
205.62744,0.37819514,2.427151,9.320834
209.7168,0.32074776,2.4558747,9.253813
213.8977,0.32074776,2.4463003,9.263388
217.80396,0.359046,2.4175766,9.18679
221.58813,0.359046,2.3792782,9.167642
226.07422,0.34947145,2.3792782,9.167642
229.98047,0.3877697,2.3888528,9.119769
233.76463,0.3877697,2.4175766,9.100619
237.82349,0.37819514,2.408002,9.062322
241.4856,0.40691882,2.4558747,9.033598
246.0022,0.359046,2.4558747,9.071896
250.12207,0.359046,2.5037475,9.062322
253.90625,0.359046,2.5324712,9.148493
257.69043,0.4164934,2.5420458,9.158067
261.32202,0.40691882,2.5994933,9.129343
266.3269,0.359046,2.5994933,9.071896
270.44678,0.37819514,2.580344,9.110194
274.41406,0.36862057,2.5228968,9.148493
278.01514,0.39734426,2.494173,9.215514
281.79932,0.44521707,2.4463003,9.215514
286.40747,0.39734426,2.427151,9.177217
290.40527,0.3877697,2.427151,9.129343
293.97583,0.36862057,2.3984275,9.100619
