time,x,y,z
0.0,0.007990118,-0.01065349,-0.034623843
5.004883,0.034623843,-0.013316862,-0.04261396
10.253906,0.037287217,-0.013316862,-0.045277335
15.289306,0.037287217,-0.013316862,-0.045277335
19.561768,0.034623843,-0.01065349,-0.045277335
27.160645,0.02130698,-0.007990118,-0.039950587
31.585691,0.01065349,-0.007990118,-0.039950587
35.91919,0.01065349,-0.007990118,-0.039950587
40.100098,0.0,-0.007990118,-0.047940705
44.647217,-0.013316862,-0.007990118,-0.05326745
48.52295,-0.026633725,-0.007990118,-0.055930823
54.595947,-0.037287217,-0.013316862,-0.055930823
58.166504,-0.045277335,-0.018643608,-0.055930823
65.85693,-0.045277335,-0.029297099,-0.05326745
70.43457,-0.045277335,-0.029297099,-0.05326745
74.43237,-0.039950587,-0.031960472,-0.05326745
78.063965,-0.026633725,-0.034623843,-0.055930823
85.510254,0.0,-0.037287217,-0.05326745
90.33203,0.0,-0.037287217,-0.05326745
94.66553,0.01065349,-0.037287217,-0.05060408
98.846436,0.018643608,-0.034623843,-0.047940705
106.75049,0.023970352,-0.034623843,-0.047940705
110.90088,0.02130698,-0.031960472,-0.05060408
115.41748,0.02130698,-0.031960472,-0.05060408
119.84253,0.015980236,-0.029297099,-0.05326745
124.420166,0.01065349,-0.026633725,-0.055930823
128.2959,0.005326745,-0.023970352,-0.058594197
134.85718,-0.0026633726,-0.023970352,-0.055930823
138.67188,-0.007990118,-0.02130698,-0.05326745
145.41626,-0.01065349,-0.018643608,-0.05060408
149.26147,-0.01065349,-0.018643608,-0.047940705
153.56445,-0.007990118,-0.018643608,-0.045277335
161.2854,0.0,-0.015980236,-0.045277335
165.55786,0.01065349,-0.015980236,-0.037287217
170.07446,0.01065349,-0.015980236,-0.037287217
173.70605,0.015980236,-0.015980236,-0.037287217
180.99976,0.018643608,-0.015980236,-0.037287217
185.82153,0.02130698,-0.015980236,-0.039950587
189.72778,0.02130698,-0.015980236,-0.039950587
193.96973,0.02130698,-0.015980236,-0.039950587
197.72339,0.02130698,-0.013316862,-0.037287217
205.62744,0.02130698,-0.015980236,-0.034623843
209.7168,0.018643608,-0.015980236,-0.031960472
213.8977,0.018643608,-0.013316862,-0.026633725
217.80396,0.015980236,-0.013316862,-0.023970352
226.07422,0.018643608,-0.013316862,-0.02130698
229.98047,0.018643608,-0.013316862,-0.02130698
233.76463,0.023970352,-0.013316862,-0.02130698
237.82349,0.026633725,-0.01065349,-0.018643608
246.0022,0.031960472,-0.007990118,-0.013316862
250.12207,0.034623843,-0.005326745,-0.007990118
253.90625,0.034623843,-0.005326745,-0.0026633726
257.69043,0.037287217,-0.005326745,0.0
266.3269,0.029297099,0.0,0.007990118
270.44678,0.029297099,0.0,0.007990118
274.41406,0.02130698,0.0026633726,0.007990118
278.01514,0.013316862,0.007990118,0.01065349
