time,x,y,z
0.0,-0.026633725,-0.10919827,0.045277335
4.272461,-0.026633725,-0.10919827,0.045277335
7.751465,-0.037287217,-0.117188394,0.058594197
20.111084,-0.08522792,-0.15713897,0.05326745
24.414064,-0.08256455,-0.15447561,0.04261396
28.045656,-0.08256455,-0.15447561,0.04261396
40.222168,-0.05060408,-0.1464855,0.026633725
44.49463,-0.05060408,-0.1464855,0.026633725
47.9126,-0.037287217,-0.14914887,0.026633725
51.66626,-0.023970352,-0.15447561,0.026633725
60.394287,0.0,-0.15713897,0.01065349
64.51416,0.0,-0.15713897,0.01065349
68.17627,0.005326745,-0.15980235,0.0
71.68579,0.005326745,-0.16246572,-0.013316862
80.47485,-0.0026633726,-0.17045584,-0.047940705
84.7168,-0.01065349,-0.17844597,-0.055930823
88.25683,-0.01065349,-0.17844597,-0.055930823
91.76636,-0.007990118,-0.18909945,-0.055930823
100.616455,0.037287217,-0.20774306,-0.039950587
104.82788,0.07191106,-0.20774306,-0.034623843
108.27637,0.07191106,-0.20774306,-0.034623843
111.90796,0.10387153,-0.20507969,-0.037287217
116.241455,0.135832,-0.20507969,-0.047940705
123.9624,0.16246572,-0.20507969,-0.061257567
128.14331,0.17311922,-0.20774306,-0.07191106
132.59888,0.1651291,-0.20774306,-0.08256455
136.90186,0.14115874,-0.21573317,-0.08256455
144.13452,0.10387153,-0.22905004,-0.07723781
148.13232,0.069247685,-0.24503027,-0.07191106
152.4353,0.037287217,-0.25568378,-0.06658431
156.5857,0.01065349,-0.26367387,-0.069247685
164.12354,0.0,-0.26900062,-0.07191106
167.81616,-0.0026633726,-0.27432737,-0.07191106
178.37524,0.018643608,-0.27699074,-0.06658431
182.76978,0.031960472,-0.27432737,-0.06658431
190.33813,0.039950587,-0.271664,-0.069247685
194.33594,0.039950587,-0.271664,-0.07191106
198.33374,0.037287217,-0.26900062,-0.07723781
202.85034,0.031960472,-0.26633725,-0.08256455
210.29663,0.029297099,-0.25834712,-0.08256455
214.29443,0.034623843,-0.25035703,-0.07191106
218.29224,0.04261396,-0.2423669,-0.063920945
222.62573,0.05060408,-0.23171341,-0.055930823
230.28564,0.047940705,-0.21839654,-0.055930823
234.92432,0.026633725,-0.19176282,-0.055930823
238.8916,0.026633725,-0.19176282,-0.055930823
243.37769,0.018643608,-0.17578259,-0.05060408
248.35205,0.01065349,-0.15447561,-0.045277335
252.62451,0.0,-0.13050525,-0.037287217
256.86646,-0.023970352,-0.10387153,-0.029297099
264.2517,-0.055930823,-0.07457443,-0.02130698
268.37158,-0.09588141,-0.039950587,-0.013316862
272.7356,-0.14115874,-0.005326745,-0.01065349
278.8391,-0.19176282,0.023970352,-0.015980236
282.68433,-0.2423669,0.055930823,-0.029297099
290.16113,-0.3302582,0.111861646,-0.069247685
294.15894,-0.3302582,0.111861646,-0.069247685
298.2483,-0.35689193,0.14115874,-0.08522792
302.67334,-0.36754543,0.17045584,-0.10387153
310.15015,-0.386189,0.23171341,-0.16246572
314.48364,-0.386189,0.23171341,-0.16246572
318.5425,-0.42347625,0.25834712,-0.18110934
322.7539,-0.4847338,0.2823175,-0.17045584
327.11792,-0.55664486,0.29563436,-0.111861646
334.41162,-0.6152391,0.29563436,-0.013316862
338.562,-0.6232292,0.29563436,0.08522792
342.80396,-0.59659547,0.29829773,0.13316862
347.50366,-0.5752885,0.3009611,0.093218036
354.33957,-0.5806152,0.28764424,-0.06658431
358.5205,-0.59659547,0.27965412,-0.32493144
363.3423,-0.5726251,0.28764424,-0.5806152
367.30957,-0.51669425,0.3116146,-0.6871501
374.05396,-0.47141695,0.3196047,-0.57795185
378.05176,-0.4927239,0.27432737,-0.3302582
383.5754,-0.5726251,0.17578259,-0.093218036
387.57324,-0.636546,0.039950587,0.018643608
394.01245,-0.6125757,-0.06658431,0.0026633726
398.01025,-0.4767437,-0.09055467,-0.07191106
403.1372,-0.29563436,-0.034623843,-0.12784189
407.135,-0.17311922,0.034623843,-0.12784189
414.03198,-0.15980235,0.058594197,-0.087891296
418.12134,-0.23171341,0.018643608,-0.029297099
425.96436,-0.30362448,-0.045277335,0.013316862
430.41992,-0.29563436,-0.09055467,0.039950587
434.84497,-0.18643607,-0.098544784,0.05326745
438.8733,-0.007990118,-0.07990117,0.061257567
443.2373,0.17311922,-0.061257567,0.07990117
447.2351,0.31427795,-0.061257567,0.10387153
