time,x,y,z
0.0,-0.1163802,0.22794223,-0.03358078
3.845215,0.3240496,0.046025515,-0.03358078
7.537842,0.48681712,-0.18376386,-0.13890171
11.993408,0.47724253,-0.36568058,-0.2729454
16.26587,0.36234778,-0.4518516,-0.31124306
20.355225,0.15170749,-0.40397882,-0.29209423
23.498535,-0.058932833,-0.22206211,-0.2633705
27.496338,-0.25651407,-1.3327599E-4,-0.19679165
32.348633,-0.32353598,0.16263437,-0.062747
35.91919,-0.32353598,0.2009325,0.0042743683
40.161133,-0.22779037,0.15305972,0.042572975
44.189453,-0.13204476,0.124336004,0.0617218
47.698975,-0.084171966,0.09561229,0.10002041
52.06299,-0.026724607,0.06688857,0.10002041
55.847168,0.0115736425,0.10518694,0.10002041
59.87549,-0.028100312,0.1688888,0.06821728
63.720703,-0.028100312,0.25505996,0.06821728
68.0542,-0.037674874,0.3220818,0.096940994
72.72339,-0.01852575,0.35080552,0.06821728
76.44653,-0.01852575,0.40825272,0.02034378
80.322266,-0.028100312,0.40825272,-0.027528763
83.37402,6.233603E-4,0.43697643,-0.0371027
87.371826,-0.022550106,0.5412415,-0.06992054
92.437744,-0.012975544,0.5220922,-0.15609169
96.09985,0.025322706,0.5412415,-0.20396423
99.975586,0.006173581,0.5603906,-0.1848154
103.637695,-0.012975544,0.57953966,-0.15609169
107.940674,-0.03212467,0.55081594,-0.06992054
111.90796,-0.022550106,0.4837941,-0.050771713
115.356445,-0.051273778,0.42634666,0.06412315
119.72046,-0.022550106,0.42634666,0.10242176
123.71826,-0.022550106,0.42634666,0.18859291
127.44141,-0.088552326,0.68131804,0.13462067
131.83594,-0.12685056,0.70046735,0.11547184
135.5896,-0.107701436,0.68131804,0.13462067
140.25879,-0.088552326,0.57599807,0.13462067
144.37866,-0.088552326,0.48982692,0.12504578
147.88818,-0.05982864,0.44195414,0.10589695
151.70288,-0.0694032,0.41323042,0.0197258
155.2429,-0.05982864,0.3270595,-0.104743004
159.97314,-0.07478467,0.5037987,-0.2137165
163.81836,-0.026911885,0.30273306,-0.31903744
167.41943,-0.017337322,0.12081635,-0.43393135
171.41724,0.049684614,0.0059216022,-0.4243574
175.50659,0.12628108,-0.108973145,-0.41478252
179.99268,0.16457936,-0.099398494,-0.41478252
184.78394,0.1741539,-0.15684593,-0.45308113
189.08691,0.13780797,0.12160897,-0.4446249
193.45093,0.11865884,0.12160897,-0.50207233
197.5708,0.12823337,0.1311835,-0.47334862
202.63672,0.1473825,0.16948175,-0.43505096
206.78711,0.11865884,0.1790564,-0.36802864
211.21216,0.099509716,0.19820547,-0.29143238
215.14893,-0.015996099,0.7646118,-0.29214668
220.4895,-0.0064215064,0.7646118,-0.23469925
224.97559,-0.015996099,0.72631353,-0.16767788
229.18701,0.003153026,0.63056797,-0.052783012
233.67308,0.031876683,0.55397147,-0.043208122
238.03711,0.08932406,0.49652416,-0.08150673
242.46216,0.1276223,0.4582259,-0.09108162
246.09375,0.1276223,0.4582259,-0.09108162
248.56567,0.1276223,0.4295022,-0.100655556
