time,x,y,z
0.0,0.35778835,-0.5536518,-0.21935654
4.394531,0.18544626,-0.59195006,-0.10446167
7.965088,0.18544626,-0.59195006,-0.10446167
10.345459,-0.07306689,-0.15152025,-0.23850632
14.923096,-0.07306689,-0.046200037,-0.047014236
18.829346,-0.18796158,0.13571668,-0.047014236
22.491455,-0.34115458,0.23146224,-0.07573795
25.817871,-0.37945282,0.26018596,-0.047014236
29.785156,-0.35274005,0.23311305,-0.04555607
34.820557,-0.28571814,0.14694214,-0.11257839
38.391113,-0.16124886,-0.0062508583,-0.074279785
42.388916,-0.07507783,-0.11157107,-0.17960072
46.691895,-0.02720499,-0.24561489,-0.20832443
50.29297,-0.017630458,-0.32221138,-0.29449558
54.44336,-0.046354115,-0.40838242,-0.3136444
58.83789,-0.08531225,-0.45600855,-0.38024712
63.323975,-0.08531225,-0.4655831,-0.38982105
66.40625,-0.027864873,-0.44643402,-0.4472685
70.739746,0.039157033,-0.48473227,-0.46641827
75.07324,0.17320085,-0.36983752,-0.4759922
79.40674,0.17320085,-0.36983752,-0.4759922
83.70972,0.17320085,-0.32196474,-0.4759922
87.86011,0.19235,-0.27409196,-0.5047159
90.11841,0.14279503,-0.24642074,-0.5353241
93.811035,0.16194418,-0.20812249,-0.49702644
97.38159,0.16194418,-0.16982424,-0.52575016
102.35596,0.16194418,-0.15067506,-0.5736227
106.47583,0.1810933,-0.11237693,-0.5736227
110.13794,0.21939152,-0.093227744,-0.6023464
113.95264,0.22896609,-0.06450403,-0.6406441
117.73682,0.24811521,-0.016631246,-0.6693678
122.07031,0.19834223,-0.022763848,-0.73140335
126.312256,0.21749136,-0.022763848,-0.7122545
129.91333,0.2079168,-0.051487446,-0.6931057
133.81958,0.18876767,-0.09936035,-0.6931057
137.39014,0.23664048,-0.11850941,-0.70267963
142.42554,0.2557896,-0.1663822,-0.6931057
146.60645,0.2557896,-0.20468044,-0.63565826
150.39063,0.26445514,-0.20379734,-0.6695757
154.14429,0.32190248,-0.2229464,-0.6695757
157.74536,0.3410516,-0.24209559,-0.70787334
162.44507,0.30275336,-0.2229464,-0.6982994
166.8396,0.2931788,-0.23252094,-0.73659706
170.41016,0.26445514,-0.2229464,-0.6982994
174.28589,0.26445514,-0.2229464,-0.6982994
177.85645,0.2740297,-0.18464816,-0.6982994
182.22046,0.23812497,-0.17685914,-0.67924213
186.30981,0.27642322,-0.11941171,-0.6026459
189.84985,0.27642322,-0.11941171,-0.6026459
193.573,0.28599775,-0.08111358,-0.61222076
197.17409,0.26684865,-0.061964393,-0.593071
202.69775,0.28599775,-0.042815328,-0.5356245
206.9397,0.24769953,-0.061964393,-0.5356245
210.51025,0.24616376,-0.029903412,-0.5267954
214.32495,0.2365892,-0.06820166,-0.48849678
218.07861,0.2365892,-0.06820166,-0.48849678
222.41211,0.21744007,-0.1256491,-0.50764656
226.62354,0.19829094,-0.19267094,-0.46934795
230.19409,0.16956726,-0.19267094,-0.45019913
234.13086,0.1599927,-0.24054384,-0.4214754
237.73193,0.1599927,-0.24054384,-0.4214754
240.20386,0.13261804,-0.20720518,-0.4408493
243.927,0.12304348,-0.18805599,-0.38340187
247.83325,0.12304348,-0.18805599,-0.4025507
251.58691,0.075170636,-0.20720518,-0.39297676
256.01196,0.09431976,-0.20720518,-0.4025507
259.67407,0.10389435,-0.2359289,-0.4312744
263.48877,0.05602157,-0.2359289,-0.38340187
267.33398,0.04644698,-0.20720518,-0.38340187
271.30127,0.022324562,-0.1918143,-0.37220478
275.81787,0.0031754375,-0.18223977,-0.33390713
280.0598,-0.015973687,-0.1630907,-0.35305595
284.33228,-0.044697344,-0.13436699,-0.3051834
288.1775,-0.10214472,-0.14394152,-0.28603458
291.38184,-0.12129384,-0.14394152,-0.2668848
295.19653,-0.11171925,-0.10564327,-0.23816109
299.4995,-0.12358427,-0.12587166,-0.2393465
303.43628,-0.066136956,-0.116297126,-0.25849628
307.22046,-0.08528602,-0.13544619,-0.2393465
310.85205,-0.09486061,-0.14502072,-0.29679394
315.33813,-0.018264115,-0.15459538,-0.28722
319.82422,-0.018264115,-0.18331897,-0.34466648
323.6084,0.03918326,-0.22161722,-0.28722
326.7212,0.067906916,-0.22161722,-0.25849628
330.68848,0.07718915,-0.20184541,-0.28921127
335.17456,0.12506193,-0.20184541,-0.28921127
338.65356,0.13463649,-0.21141994,-0.2987852
343.29224,0.11548734,-0.22099459,-0.317935
347.25952,0.067614555,-0.26886737,-0.3083601
350.98267,0.07718915,-0.25929272,-0.3083601
355.0415,0.058040023,-0.24014366,-0.24133778
358.7036,5.92649E-4,-0.21141994,-0.2700615
362.88452,0.0076727867,-0.2021594,-0.29641438
366.94336,-0.06892371,-0.15428662,-0.34428692
370.6665,-0.06892371,-0.14471197,-0.30598927
374.51172,-0.078498244,-0.10641372,-0.29641438
378.8147,-0.06892371,-0.048966408,-0.3251381
383.39233,-0.12637109,-0.0106681585,-0.30598927
387.63428,-0.12637109,-0.020242691,-0.30598927
391.23535,-0.0948208,0.0061103106,-0.2939062
395.05005,-0.11396992,0.04440844,-0.33220482
398.6206,-0.0948208,0.09228134,-0.313056
403.2898,-0.06609714,0.09228134,-0.3034811
407.19604,-0.11396992,0.09228134,-0.33220482
410.85815,-0.07567167,0.11143041,-0.313056
414.7339,-0.085246265,0.14015412,-0.37050247
418.45703,-0.085246265,0.15930319,-0.38007736
423.21777,-0.11545867,0.15574253,-0.4063244
425.8728,-0.13460779,0.20361531,-0.444623
429.80957,-0.15375692,0.24191344,-0.444623
433.6853,-0.16333151,0.24191344,-0.52121925
437.59155,-0.17290604,0.26106274,-0.52121925
443.4204,-0.13460779,0.29936087,-0.52121925
447.32666,-0.13460779,0.30893552,-0.549943
451.14136,-0.09890562,0.32658577,-0.59451866
455.0476,-0.108480155,0.33616042,-0.5849438
458.55713,-0.0797565,0.34573483,-0.63281727
463.501,-0.08933103,0.39360762,-0.6232424
466.27808,-0.08933103,0.41275692,-0.6232424
470.15384,0.0064145327,0.43190598,-0.6519661
473.999,0.025563657,0.42233133,-0.6519661
477.66113,0.08301103,0.43190598,-0.63281727
483.36795,0.12971511,0.44778252,-0.722106
