time,x,y,z
0.0,0.047940705,-0.11452502,0.034623843
4.364014,0.013316862,-0.135832,0.029297099
8.45337,-0.018643608,-0.10120816,0.013316862
12.634278,-0.047940705,-0.018643608,-0.0026633726
17.486572,-0.07191106,0.07191106,-0.007990118
24.780273,-0.093218036,0.1464855,0.0
29.052736,-0.11985177,0.18377271,0.018643608
33.416748,-0.14382212,0.17844597,0.034623843
37.719727,-0.17045584,0.14115874,0.04261396
44.73877,-0.18909945,0.08256455,0.04261396
48.431396,-0.19708957,0.031960472,0.037287217
55.32837,-0.19176282,0.0,0.031960472
59.32617,-0.16779247,-0.005326745,0.026633725
63.415527,-0.12784189,0.0,0.026633725
71.68579,-0.08522792,0.01065349,0.031960472
75.805664,-0.031960472,0.018643608,0.05060408
79.437256,-0.031960472,0.018643608,0.05060408
83.43506,-0.02130698,0.013316862,0.058594197
91.64429,-0.015980236,-0.0026633726,0.07191106
96.19141,-0.013316862,-0.01065349,0.07990117
100.494385,-0.015980236,-0.018643608,0.08522792
104.98047,-0.015980236,-0.018643608,0.08522792
109.25293,-0.023970352,-0.026633725,0.087891296
114.105225,-0.037287217,-0.034623843,0.09055467
118.34717,-0.05326745,-0.04261396,0.09055467
122.49756,-0.07191106,-0.05060408,0.087891296
128.96729,-0.08522792,-0.055930823,0.08256455
132.90405,-0.09588141,-0.061257567,0.07723781
139.4043,-0.1065349,-0.06658431,0.069247685
143.89038,-0.10919827,-0.069247685,0.063920945
151.45874,-0.111861646,-0.07191106,0.061257567
155.70068,-0.10919827,-0.07723781,0.055930823
159.39331,-0.1065349,-0.07723781,0.05060408
163.8794,-0.10120816,-0.07457443,0.045277335
171.72241,-0.07990117,-0.06658431,0.034623843
176.11694,-0.06658431,-0.063920945,0.029297099
179.65698,-0.06658431,-0.063920945,0.029297099
184.26514,-0.05326745,-0.061257567,0.023970352
187.80519,-0.04261396,-0.058594197,0.02130698
195.34302,-0.031960472,-0.055930823,0.018643608
199.06616,-0.023970352,-0.05060408,0.013316862
203.94897,-0.015980236,-0.05060408,0.007990118
211.48682,-0.01065349,-0.047940705,0.0026633726
215.88135,-0.005326745,-0.045277335,0.0
219.48242,-0.005326745,-0.039950587,0.0
223.93799,-0.005326745,-0.034623843,-0.0026633726
231.90308,-0.015980236,-0.023970352,-0.005326745
236.26709,-0.02130698,-0.018643608,-0.005326745
239.83765,-0.02130698,-0.018643608,-0.005326745
243.68286,-0.026633725,-0.013316862,-0.0026633726
252.01416,-0.034623843,-0.007990118,-0.0026633726
256.2256,-0.031960472,-0.005326745,0.0
260.04028,-0.031960472,-0.005326745,0.0
263.79395,-0.026633725,-0.0026633726,0.0
267.7002,-0.018643608,-0.0026633726,0.0
275.45166,-0.01065349,0.0,0.0
