time,x,y,z
0.0,-1.4122477,1.6803354,9.378282
4.211426,-0.99096704,1.3643749,9.742115
7.690429,-0.99096704,1.3643749,9.742115
11.260986,-0.42606795,1.0962871,9.780414
13.824463,-0.16755481,1.1920328,9.608071
20.294188,0.56011176,2.187787,10.010203
24.475096,1.1058618,2.2643836,10.153821
28.137209,1.1058618,2.2643836,10.153821
31.646729,1.2973529,2.321831,10.144247
35.7666,1.1345854,2.34098,10.115523
40.34424,0.6845811,1.8526775,9.8953085
44.73877,0.46436617,1.5462915,9.7899885
48.24829,0.46436617,1.5462915,9.7899885
52.03247,0.2154276,1.3643749,9.684668
55.725098,0.0,1.2686293,9.617646
60.08911,-0.17712937,1.2111819,9.54105
64.17847,-0.15798025,1.2303311,9.512326
67.99317,-0.15798025,1.2303311,9.512326
71.7163,-0.05266008,1.2590547,9.560199
75.56152,0.11968201,1.2494801,9.62722
77.941895,0.33032233,1.2303311,9.665519
81.57349,0.4835153,1.2303311,9.684668
84.991455,0.64628285,1.2303311,9.6942425
88.95873,0.6750065,1.3260766,9.675094
92.926025,0.665432,1.3452257,9.598496
97.595215,0.64628285,1.3548003,9.502751
101.22681,0.61755913,1.3930986,9.454879
104.91943,0.5888355,1.3930986,9.368708
108.91723,0.54096264,1.4122477,9.2825365
112.91504,0.54096264,1.4984187,9.215514
117.614746,0.5792609,1.4792696,9.138918
121.33789,0.6079846,1.469695,9.148493
124.87793,0.6750065,1.383524,9.20594
128.90625,0.7228793,1.2973529,9.244238
132.87354,0.78032666,1.3356512,9.301685
137.96997,0.8090504,1.3643749,9.2825365
141.47949,0.8186249,1.4218222,9.339984
144.83643,0.8473486,1.4505459,9.378282
148.83423,0.91437054,1.4122477,9.378282
152.83203,1.0005416,1.2973529,9.435729
157.19604,1.0771381,1.1728836,9.512326
161.4685,1.1058618,1.1345854,9.502751
165.6189,1.1633091,1.0675635,9.531475
169.2505,1.1345854,1.0484143,9.54105
172.88208,1.0867126,1.0867126,9.579348
176.78833,0.9526688,1.1920328,9.608071
181.12183,0.90479594,1.2016073,9.62722
185.48584,0.90479594,1.2686293,9.579348
189.33105,0.8856468,1.2877784,9.569773
192.8711,0.8281995,1.3452257,9.560199
196.83838,0.8090504,1.3739494,9.483603
201.08032,0.8281995,1.4122477,9.435729
205.53589,0.83777404,1.4218222,9.368708
209.07591,0.8473486,1.4888442,9.31126
212.79907,0.8281995,1.4505459,9.234664
216.70532,0.91437054,1.383524,9.18679
221.03882,0.9430942,1.2686293,9.18679
225.40283,0.98139244,1.2111819,9.20594
228.97339,1.0005416,1.1728836,9.18679
233.3374,1.0388398,1.1824582,9.234664
237.12158,0.99096704,1.2207564,9.253813
241.24146,0.98139244,1.2303311,9.339984
245.36133,0.9430942,1.2877784,9.31126
248.99294,0.90479594,1.2973529,9.320834
252.86865,0.8473486,1.3452257,9.301685
256.65283,0.78032666,1.4313968,9.330409
260.98633,0.76117754,1.469695,9.349558
265.2588,0.69415563,1.4984187,9.359133
268.82935,0.6750065,1.469695,9.359133
272.88818,0.69415563,1.4792696,9.3878565
277.2522,0.7324539,1.3452257,9.41658
281.21948,0.751603,1.2973529,9.426155
285.52246,0.78032666,1.2207564,9.378282
289.36768,0.8090504,1.1920328,9.359133
292.93823,0.85692316,1.14416,9.359133
296.78345,0.91437054,1.1345854,9.31126
300.93384,0.9526688,1.1154363,9.301685
305.29785,1.0196906,1.1250108,9.320834
308.92944,0.99096704,1.2111819,9.41658
313.29346,1.0484143,1.2686293,9.445304
317.26074,1.1250108,1.3260766,9.41658
321.28906,1.1537346,1.3356512,9.435729
325.80566,1.1728836,1.3165021,9.397431
329.25415,1.1824582,1.3930986,9.474028
333.0078,1.1537346,1.4409714,9.474028
336.66992,1.1537346,1.4505459,9.493176
341.40015,1.1345854,1.5367169,9.493176
345.73364,1.1058618,1.6324625,9.512326
349.3042,1.0867126,1.6803354,9.569773
353.11893,1.0292653,1.7473572,9.598496
356.781,1.0292653,1.7282082,9.713391
361.2671,0.99096704,1.6707608,9.75169
365.38696,0.98139244,1.5462915,9.7899885
368.83545,1.0388398,1.3739494,9.713391
373.22998,1.0292653,1.2399056,9.684668
377.19727,1.0867126,1.1058618,9.636795
381.65283,1.0771381,1.1537346,9.5889225
384.79614,1.0675635,1.2686293,9.5889225
388.39722,1.0962871,1.3930986,9.608071
393.12744,1.1728836,1.4122477,9.64637
397.46094,1.2303311,1.4409714,9.684668
401.48926,1.2494801,1.4026731,9.684668
404.84616,1.2590547,1.3548003,9.62722
409.30176,1.2590547,1.2877784,9.655944
413.7268,1.2877784,1.2303311,9.608071
417.23633,1.2877784,1.1728836,9.560199
421.60034,1.3069274,1.1537346,9.502751
424.56055,1.2877784,1.2207564,9.531475
428.77197,1.2590547,1.2686293,9.531475
432.9834,1.2207564,1.3165021,9.550624
436.67603,1.2494801,1.3548003,9.531475
