time,x,y,z
0,0.07723781,0.07723781,0.031960472
4.974366,0.10919827,0.07990117,0.05326745
9.765625,0.111861646,0.061257567,0.055930823
15.655518,0.09588141,0.023970352,0.04261396
19.897461,0.06658431,-0.013316862,0.02130698
24.017334,0.037287217,-0.039950587,-0.007990118
28.472901,0.037287217,-0.039950587,-0.007990118
33.203125,0.01065349,-0.04261396,-0.04261396
37.597657,-0.005326745,-0.029297099,-0.07191106
41.748047,-0.013316862,-0.01065349,-0.08256455
46.020508,-0.01065349,0.005326745,-0.07191106
52.4292,0,0.015980236,-0.045277335
56.243897,0.01065349,0.018643608,-0.013316862
62.561036,0.02130698,0.013316862,0.002663373
66.986084,0.026633725,0.002663373,0.005326745
74.066163,0.02130698,-0.013316862,-0.02130698
78.063965,0.02130698,-0.013316862,-0.02130698
82.000733,0.015980236,-0.015980236,-0.029297099
90.270997,0.01065349,-0.015980236,-0.023970352
94.696045,0.002663373,-0.01065349,0.002663373
98.876954,0.002663373,-0.01065349,0.002663373
102.935792,0.002663373,-0.007990118,0.013316862
107.391358,0.002663373,-0.01065349,0.015980236
111.724854,0,-0.015980236,0.013316862
116.607667,0,-0.02130698,0.002663373
123.504639,-0.007990118,-0.023970352,-0.002663373
127.716065,-0.015980236,-0.023970352,-0.01065349
131.56128,-0.02130698,-0.023970352,-0.013316862
137.786866,-0.018643608,-0.023970352,-0.007990118
142.303467,-0.007990118,-0.026633725,-0.002663373
146.148682,0.005326745,-0.026633725,0
153.411866,0.018643608,-0.031960472,0.005326745
157.409668,0.029297099,-0.034623843,0.007990118
165.191651,0.034623843,-0.039950587,0.007990118
170.715333,0.026633725,-0.04261396,0.007990118
175.018311,0.018643608,-0.045277335,0.007990118
178.619385,0.018643608,-0.045277335,0.007990118
182.250977,0.013316862,-0.047940705,0.01065349
185.974122,0.01065349,-0.055930823,0.01065349
193.328858,0.01065349,-0.063920945,0.013316862
196.990967,0.007990118,-0.07191106,0.01065349
204.77295,-0.007990118,-0.08256455,0.005326745
210.9375,-0.023970352,-0.087891296,0.002663373
215.911866,-0.04261396,-0.09055467,0.005326745
222.991944,-0.058594197,-0.093218036,0.005326745
227.355958,-0.07191106,-0.09588141,0.007990118
231.506348,-0.08256455,-0.10120816,0.01065349
236.328125,-0.087891296,-0.10387153,0.01065349
244.598389,-0.087891296,-0.10919827,0.013316862
248.809815,-0.087891296,-0.111861646,0.015980236
252.960206,-0.08522792,-0.11452502,0.02130698
257.8125,-0.087891296,-0.11452502,0.023970352
261.993409,-0.09055467,-0.11452502,0.02130698
266.418458,-0.09588141,-0.11452502,0.018643608
273.986817,-0.10387153,-0.117188394,0.01065349
277.923584,-0.10919827,-0.117188394,0.005326745
281.585694,-0.111861646,-0.11985177,0
287.994385,-0.111861646,-0.11985177,-0.002663373
292.449952,-0.11452502,-0.11985177,-0.007990118
296.75293,-0.11452502,-0.117188394,-0.013316862
303.863526,-0.11452502,-0.10919827,-0.023970352
307.891846,-0.11452502,-0.10919827,-0.023970352
311.981202,-0.10919827,-0.10387153,-0.023970352
320.037842,-0.09588141,-0.10120816,-0.018643608
323.822022,-0.09588141,-0.10120816,-0.018643608
327.667237,-0.09055467,-0.10120816,-0.013316862
332.336426,-0.08256455,-0.10120816,-0.01065349
336.669922,-0.07191106,-0.1065349,-0.01065349
343.139649,-0.069247685,-0.111861646,-0.018643608
347.564698,-0.07191106,-0.117188394,-0.029297099
355.590821,-0.1065349,-0.117188394,-0.055930823
359.100342,-0.1065349,-0.117188394,-0.055930823
363.494874,-0.122515135,-0.117188394,-0.063920945
367.248536,-0.13849537,-0.11985177,-0.06658431
375.122071,-0.1464855,-0.12517852,-0.063920945
379.364014,-0.14115874,-0.12784189,-0.069247685
383.056641,-0.14115874,-0.12784189,-0.069247685
387.054444,-0.13050525,-0.122515135,-0.07457443
394.897461,-0.11985177,-0.117188394,-0.08256455
398.529053,-0.1065349,-0.111861646,-0.09055467
402.496338,-0.093218036,-0.1065349,-0.098544784
407.287598,-0.08522792,-0.1065349,-0.098544784
414.916993,-0.08256455,-0.111861646,-0.10387153
418.640137,-0.087891296,-0.11985177,-0.10919827
422.485352,-0.10120816,-0.13050525,-0.122515135
426.971436,-0.111861646,-0.14382212,-0.13849537
434.631348,-0.11985177,-0.15447561,-0.15447561
438.476563,-0.117188394,-0.15980235,-0.1651291
442.04712,-0.098544784,-0.1651291,-0.16779247
452.056885,-0.034623843,-0.16246572,-0.15713897
456.512452,0.005326745,-0.15980235,-0.14382212
462.58545,0.047940705,-0.15713897,-0.13050525
471.862793,0.11985177,-0.15447561,-0.11452502
476.043702,0.14115874,-0.15447561,-0.11452502
482.025147,0.14382212,-0.15447561,-0.122515135
491.973877,0.1065349,-0.15980235,-0.12784189
496.276856,0.07191106,-0.1651291,-0.11985177
502.319336,0.034623843,-0.1651291,-0.10919827
506.164551,0,-0.1651291,-0.10387153
513.977051,-0.034623843,-0.1651291,-0.10387153
518.127442,-0.06658431,-0.15980235,-0.10919827
522.033692,-0.10120816,-0.15713897,-0.111861646
529.144288,-0.14115874,-0.15181224,-0.10919827
533.447266,-0.18377271,-0.1464855,-0.10387153
537.658692,-0.22905004,-0.13849537,-0.098544784
545.318604,-0.30628785,-0.117188394,-0.087891296
549.011231,-0.30628785,-0.117188394,-0.087891296
553.55835,-0.3489018,-0.1065349,-0.09588141
557.861329,-0.40216926,-0.10120816,-0.11452502
569.091797,-0.55664486,-0.111861646,-0.18643607
573.699952,-0.6471995,-0.11452502,-0.21573317
577.941895,-0.7324275,-0.117188394,-0.22105992
581.542969,-0.8176554,-0.122515135,-0.19975294
588.470459,-0.8922298,-0.13316862,-0.1464855
593.231202,-0.9401705,-0.15447561,-0.07723781
597.29004,-0.94816065,-0.17578259,-0.013316862
604.644776,-0.89489317,-0.19708957,-0.007990118
608.947754,-0.89489317,-0.19708957,-0.007990118
613.647461,-0.82298213,-0.18110934,-0.10387153
617.767334,-0.72443736,-0.14115874,-0.22372329
621.765137,-0.636546,-0.07457443,-0.29563436
628.479004,-0.55930823,-0.037287217,-0.26633725
633.758545,-0.4953873,-0.058594197,-0.18909945
638.183594,-0.46875358,-0.10919827,-0.14382212
641.784668,-0.5140309,-0.12784189,-0.18377271
648.07129,-0.61790246,-0.07990117,-0.27965412
