time,x,y,z
0,-0.07191106,0.14115874,-0.061257567
4.211426,-0.05326745,0.17844597,-0.039950587
8.300782,-0.037287217,0.15980235,0.007990118
15.106201,-0.007990118,-0.013316862,0.10919827
19.744873,-0.007990118,-0.013316862,0.10919827
24.230957,0,-0.14382212,0.10120816
28.35083,0,-0.14382212,0.10120816
34.820557,0.007990118,-0.13050525,0.061257567
38.909912,0.02130698,-0.093218036,0.023970352
42.663575,0.037287217,-0.05060408,0
46.173096,0.039950587,-0.018643608,0
55.114746,0.007990118,0,0.047940705
59.051514,0.007990118,0,0.047940705
62.805176,-0.013316862,-0.005326745,0.063920945
66.558838,-0.031960472,-0.02130698,0.063920945
72.937012,-0.039950587,-0.039950587,0.05060408
76.568604,-0.045277335,-0.05326745,0.031960472
83.862305,-0.05326745,-0.061257567,0.013316862
88.043213,-0.069247685,-0.063920945,0
92.529297,-0.093218036,-0.06658431,-0.002663373
96.954346,-0.111861646,-0.07191106,0
101.745606,-0.122515135,-0.07191106,0.007990118
108.673096,-0.117188394,-0.07723781,0.018643608
113.403321,-0.10120816,-0.07990117,0.026633725
117.95044,-0.08256455,-0.08522792,0.023970352
122.222901,-0.069247685,-0.09055467,0.013316862
126.525879,-0.063920945,-0.093218036,0
135.498047,-0.06658431,-0.093218036,-0.007990118
140.441895,-0.069247685,-0.093218036,-0.005326745
144.500733,-0.055930823,-0.098544784,0.005326745
148.956299,-0.055930823,-0.098544784,0.005326745
153.137207,-0.029297099,-0.1065349,0.018643608
157.775879,-0.002663373,-0.11985177,0.026633725
162.353516,0.007990118,-0.135832,0.029297099
168.365479,0,-0.14914887,0.018643608
172.271729,-0.037287217,-0.15713897,0.005326745
178.985596,-0.098544784,-0.16246572,-0.013316862
182.678223,-0.15980235,-0.1651291,-0.026633725
187.591553,-0.20774306,-0.1651291,-0.034623843
191.40625,-0.22638667,-0.15980235,-0.031960472
198.699951,-0.21040644,-0.15181224,-0.029297099
202.453614,-0.17045584,-0.1464855,-0.026633725
210.723877,-0.045277335,-0.14115874,-0.029297099
215.545655,0.018643608,-0.14382212,-0.023970352
219.482422,0.07457443,-0.15447561,-0.015980236
223.449707,0.07457443,-0.15447561,-0.015980236
230.377198,0.135832,-0.18377271,-0.007990118
235.351563,0.13316862,-0.20241632,-0.01065349
239.196778,0.13316862,-0.20241632,-0.01065349
242.858887,0.10387153,-0.22638667,-0.015980236
246.673584,0.045277335,-0.25834712,-0.023970352
255.767823,-0.11985177,-0.32759482,-0.039950587
259.490967,-0.2130698,-0.36488205,-0.039950587
263.3667,-0.2130698,-0.36488205,-0.039950587
266.876221,-0.30895123,-0.39950588,-0.034623843
275.848389,-0.43945646,-0.44211984,-0.002663373
280.212403,-0.45277333,-0.44744658,0.045277335
283.874512,-0.45277333,-0.44744658,0.045277335
287.445069,-0.45810008,-0.4554367,0.12517852
295.654297,-0.6392094,-0.4660902,0.2903076
299.560547,-0.6392094,-0.4660902,0.2903076
303.222657,-0.85494256,-0.43945646,0.3009611
306.854248,-1.1026362,-0.35689193,0.23970354
313.293457,-1.315706,-0.22638667,0.122515135
317.749024,-1.464855,-0.1065349,-0.018643608
321.838379,-1.5607363,-0.047940705,-0.13849537
328.948975,-1.6193305,-0.047940705,-0.15980235
332.885742,-1.608677,-0.061257567,-0.06658431
337.280274,-1.4994787,-0.055930823,0.08522792
345.062256,-1.2784188,-0.029297099,0.2130698
349.3042,-0.522021,0,0.271664
353.179932,-0.522021,0,0.271664
357.543946,-0.02130698,-0.01065349,0.25834712
361.663819,0.4953873,-0.029297099,0.26900062
368.530274,0.94816065,-0.034623843,0.29829773
373.046875,1.2597752,-0.013316862,0.3116146
377.563477,1.3822904,0.029297099,0.28498086
381.988526,1.3263595,0.07723781,0.23171341
388.61084,1.1425868,0.1065349,0.18643607
392.242432,0.89755654,0.09588141,0.17311922
400.756836,0.39950588,0.018643608,0.21040644
404.266358,0.39950588,0.018643608,0.21040644
408.538819,0.20507969,0.002663373,0.2130698
412.506104,0.07191106,0.01065349,0.18909945
420.349121,-0.007990118,0.02130698,0.15181224
423.88916,-0.06658431,0.01065349,0.117188394
427.825928,-0.10919827,-0.018643608,0.10120816
432.556153,-0.13050525,-0.061257567,0.10387153
440.246582,-0.117188394,-0.098544784,0.111861646
443.847657,-0.087891296,-0.117188394,0.10919827
448.181153,-0.05326745,-0.122515135,0.08522792
452.239991,-0.034623843,-0.11452502,0.05326745
459.472657,-0.015980236,-0.098544784,0.039950587
463.470459,-0.015980236,-0.098544784,0.039950587
467.712403,0.015980236,-0.087891296,0.063920945
476.867676,0.1065349,-0.04261396,0.063920945
481.536866,0.122515135,-0.002663373,0.007990118
488.494873,0.093218036,0.04261396,-0.07723781
493.011475,0.034623843,0.07723781,-0.16779247
500.427246,-0.039950587,0.031960472,-0.22638667
504.547119,-0.026633725,-0.039950587,-0.15713897
508.758545,-0.026633725,-0.039950587,-0.15713897
513.305664,-0.023970352,-0.117188394,-0.045277335
517.547608,-0.087891296,-0.17578259,0.055930823
522.216797,-0.25568378,-0.20774306,0.117188394
526.397705,-0.5060408,-0.2130698,0.12784189
537.353516,-1.0600222,-0.18643607,0.08256455
542.205811,-1.251785,-0.18110934,0.05326745
546.539307,-1.337013,-0.18643607,0.02130698
557.281494,-1.1878642,-0.20507969,-0.055930823
562.438965,-1.0413786,-0.1944262,-0.087891296
570.465088,-0.7111205,-0.12517852,-0.058594197
574.21875,-0.7111205,-0.12517852,-0.058594197
578.552246,-0.5140309,-0.08522792,-0.002663373
582.885742,-0.30895123,-0.05060408,0.031960472
590.362549,-0.10387153,-0.029297099,0.023970352
593.994141,0.10120816,-0.018643608,-0.01065349
598.632813,0.3009611,-0.02130698,-0.05060408
602.844239,0.47940707,-0.031960472,-0.061257567
609.802246,0.61790246,-0.04261396,-0.013316862
614.410401,0.70579374,-0.05060408,0.08522792
618.652344,0.7324275,-0.055930823,0.20774306
622.955323,0.6764966,-0.06658431,0.30628785
626.525879,0.5300111,-0.087891296,0.34357506
633.544922,0.30895123,-0.11452502,0.32759482
638.183594,0.06658431,-0.13849537,0.2903076
642.333985,-0.111861646,-0.15181224,0.25568378
649.658203,-0.16246572,-0.15181224,0.17578259
653.594971,-0.16246572,-0.15181224,0.17578259
658.630371,-0.093218036,-0.14914887,0.12517852
663.085938,-0.02130698,-0.14914887,0.098544784
666.687012,0.031960472,-0.15181224,0.11985177
673.52295,0.058594197,-0.15447561,0.18643607
678.710938,0.07723781,-0.15713897,0.2610105
682.952881,0.10120816,-0.15713897,0.2903076
686.614991,0.13050525,-0.14914887,0.22105992
692.871094,0.1464855,-0.13316862,0.07191106
698.608399,0.13050525,-0.098544784,-0.087891296
702.819825,0.08522792,-0.045277335,-0.18110934
706.359864,0.005326745,0.02130698,-0.18377271
712.70752,-0.117188394,0.09588141,-0.1464855
718.902588,-0.3009611,0.15713897,-0.13316862
723.236084,-0.5087042,0.18643607,-0.1651291
726.989746,-0.68448675,0.16779247,-0.22105992
733.215332,-0.76971465,0.117188394,-0.26900062
740.814209,-0.59925884,0.031960472,-0.16779247
744.628907,-0.36754543,0.005326745,-0.007990118
748.87085,-0.36754543,0.005326745,-0.007990118
752.716065,-0.13849537,-0.039950587,0.15181224
761.352539,-0.18643607,-0.16779247,0.18377271
768.035889,-0.54865474,-0.18643607,0.039950587
772.552491,-0.9987647,-0.15447561,-0.098544784
781.372071,-1.3956072,-0.04261396,-0.069247685
788.116455,-1.2091712,-0.002663373,0.015980236
792.266846,-0.8922298,0.02130698,0.026633725
801.025391,-0.34623843,0.055930823,-0.1651291
804.656983,-0.14115874,0.04261396,-0.20507969
808.624268,-0.14115874,0.04261396,-0.20507969
812.530518,0.063920945,0.013316862,-0.14914887
820.251465,0.27699074,-0.02130698,-0.037287217
824.523926,0.70313036,-0.05060408,0.14382212
828.186035,0.70313036,-0.05060408,0.14382212
832.03125,0.8709228,-0.037287217,0.16246572
839.813233,0.8522792,0,0.05326745
844.299317,0.8522792,0,0.05326745
847.808838,0.6764966,0,0.015980236
852.020264,0.4660902,-0.015980236,0.047940705
859.405518,0.04261396,-0.10919827,0.19176282
863.525391,0.04261396,-0.10919827,0.19176282
867.248535,-0.15447561,-0.15181224,0.19975294
875.122071,-0.31427795,-0.17045584,0.15447561
879.699707,-0.42347625,-0.17311922,0.039950587
883.850098,-0.42347625,-0.17311922,0.039950587
887.451172,-0.38352564,-0.18377271,0.013316862
891.662598,-0.3009611,-0.2130698,0.015980236
899.810791,-0.07457443,-0.292971,0.07191106
904.663086,0.037287217,-0.32226807,0.08522792
909.271241,0.11985177,-0.3409117,0.07457443
913.665772,0.11985177,-0.3409117,0.07457443
921.569825,0.11985177,-0.32759482,0.01065349
930.541992,0.063920945,-0.29829773,-0.007990118
934.692383,0.01065349,-0.25568378,-0.018643608
939.819336,-0.12784189,-0.12784189,-0.093218036
944.610596,-0.12784189,-0.12784189,-0.093218036
948.760987,-0.46076345,-0.007990118,-0.29563436
953.643799,-0.46076345,-0.007990118,-0.29563436
960.327149,-0.8283089,-0.063920945,-0.37020877
964.935303,-0.8922298,-0.13050525,-0.30628785
969.085694,-0.83097225,-0.18110934,-0.18110934
973.632813,-0.83097225,-0.18110934,-0.18110934
