time,x,y,z
0,0.3398969,1.2016073,9.339984
4.425048,0.45479164,1.4888442,9.359133
8.026123,0.42606795,1.6420372,9.378282
11.749267,0.27287498,1.6420372,9.435729
15.838623,0.023936402,1.5941644,9.464453
19.958496,-0.20585304,1.4026731,9.445304
23.315429,-0.34947145,1.2016073,9.41658
27.252197,-0.4835153,0.99096704,9.330409
31.219482,-0.45479164,0.8186249,9.29211
35.552978,-0.34947145,0.7228793,9.301685
39.459228,-0.25372586,0.61755913,9.339984
43.09082,-0.16755481,0.6079846,9.397431
47.058105,-0.062234644,0.69415563,9.502751
51.086425,-0.03351096,0.77075213,9.569773
55.541992,-0.00478728,0.8760723,9.608071
59.539795,-0.043085523,0.9718179,9.742115
62.866211,0.00478728,1.0867126,9.713391
66.833496,0.00478728,1.2016073,9.684668
70.770263,0.03351096,1.3452257,9.617646
75.531006,0.0718092,1.469695,9.464453
79.620361,0.16755481,1.6420372,9.330409
83.343506,0.23457673,1.709059,9.215514
86.608886,0.23457673,1.6324625,9.225089
90.545654,0.22500217,1.5271424,9.464453
95.916748,0.2154276,1.4888442,9.703817
99.853515,0.13883112,1.4792696,9.866585
103.69873,0.081383765,1.4026731,9.904882
106.71997,0.13883112,1.2877784,9.924032
110.961914,0.18670394,1.1250108,9.742115
114.868164,0.18670394,1.1154363,9.732541
118.255615,0.2154276,1.2399056,9.85701
122.192382,0.37819514,1.4313968,9.225089
126.281738,0.5218136,1.4792696,8.535721
130.462646,0.36862057,1.3548003,8.258059
134.979248,0.25372586,1.2782038,8.430401
138.031006,0.11968201,1.2016073,8.784659
141.998291,0.00478728,1.3069274,9.41658
145.935058,-0.15798025,1.5175679,9.914457
150.360107,-0.34947145,1.6707608,9.914457
155.36499,-0.25372586,1.6803354,9.569773
158.111572,0.014361841,1.4601204,9.20594
161.834716,0.11968201,1.2399056,8.889979
166.3208,-0.014361841,0.9430942,8.880404
170.684814,-0.42606795,0.61755913,8.966576
175.140381,-0.8281995,0.09095833,9.244238
178.03955,-0.93351966,-0.44521707,9.569773
181.640625,-0.85692316,-0.7994758,9.64637
186.004638,-0.56011176,-0.99096704,9.483603
189.575195,-0.32074776,-0.8281995,9.263388
195.55664,0.014361841,0.22500217,8.755936
200.164795,0.014361841,0.22500217,8.755936
204.742431,0.014361841,1.0484143,8.851681
209.075927,0,1.2016073,9.158067
215.362548,-0.11968201,1.1633091,9.75169
220.062256,-0.11968201,1.1633091,9.75169
224.365234,-0.47394073,0.71330476,10.699572
228.637695,-0.751603,0.56968635,11.7049
231.353759,-0.751603,0.56968635,11.7049
235.687256,-0.98139244,0.6845811,12.25065
238.922119,-1.0484143,1.1537346,11.867668
243.530273,-1.0388398,1.2016073,11.637878
247.711181,-0.8952214,1.0771381,11.293194
251.831054,-0.59841,0.83777404,10.804892
256.225586,-0.22500217,0.6271337,10.249567
261.077881,0.0718092,0.4835153,9.560199
266.021728,0.2920241,0.28244954,8.947427
270.080566,0.40691882,0.05266008,8.487848
274.536132,0.30159867,-0.13883112,8.334655
277.252197,0.22500217,-0.26330042,8.181462
281.158447,0.11968201,-0.09095833,8.152739
284.881591,-0.09095833,0.34947145,8.478273
288.665771,-0.3398969,0.99096704,8.506997
292.297363,-0.46436617,1.4026731,8.564445
297.027588,-0.40691882,1.5558661,8.44955
301.055908,-0.32074776,1.5367169,8.459125
304.901123,-0.2920241,1.5654407,8.602742
308.135986,-0.22500217,1.6516117,9.014449
312.103271,0,1.622888,9.64637
316.986084,0.16755481,1.6611862,10.374036
320.983886,0.5505372,1.5750152,10.431483
324.707031,1.2877784,0.9430942,9.98148
328.460693,2.0537431,0.09095833,9.110194
332.183838,2.6090677,-0.751603,8.133589
337.005615,2.6952388,-1.3739494,7.6069884
340.911865,2.4367256,-1.5845897,8.372953
345.184326,2.2739582,-1.4505459,9.665519
349.273681,2.3888528,-0.85692316,10.421909
353.546142,2.321831,0.512239,10.555953
357.330322,1.6707608,2.800559,10.058076
361.785888,-0.59841,6.630383,8.985725
366.119384,-1.6994845,6.6016593,11.36979
370.178222,-2.1782124,5.538883,11.321918
374.603271,-2.1782124,5.538883,11.321918
377.655029,-1.3643749,0.5505372,10.326163
381.958007,-0.85692316,-1.5845897,10.517654
385.95581,-0.85692316,-1.5845897,10.517654
389.648437,0.91437054,-2.9154537,9.75169
393.432617,0.91437054,-2.9154537,9.75169
397.064209,1.0962871,-1.9962958,9.158067
401.062011,0.3877697,0.11968201,8.985725
404.724121,0.3877697,0.11968201,8.985725
408.355713,0.5218136,-0.081383765,8.966576
411.437988,1.14416,-0.85692316,8.4686985
417.449951,1.9579976,-0.85692316,8.439975
421.447754,1.3165021,-0.081383765,8.727212
425.262451,0.34947145,0.44521707,9.014449
428.92456,0.34947145,0.44521707,9.014449
431.488037,-0.56968635,0.5505372,9.177217
437.561035,-0.70373017,-0.2154276,8.487848
441.558838,-0.5218136,-0.50266445,7.7506065
445.43457,-0.5218136,-0.50266445,7.7506065
449.188232,-0.5888355,-0.512239,7.204857
451.568603,-0.78032666,-0.32074776,7.137835
457.336425,-0.77075213,-0.043085523,9.043172
461.273193,-0.54096264,0.09095833,10.565528
465.148925,-0.54096264,0.09095833,10.565528
468.780517,-0.33032233,0.36862057,11.877242
471.099853,-0.3111732,0.83777404,12.949593
476.898193,-0.40691882,1.2590547,13.552791
479.70581,-0.6079846,1.5271424,13.974071
483.61206,-0.70373017,1.5750152,13.715558
486.51123,-0.69415563,1.2207564,12.69108
490.356445,-0.665432,0.4835153,11.676176
494.750976,-0.70373017,-0.25372586,10.689997
498.718261,-0.56011176,-0.77075213,9.8953085
502.929687,-0.30159867,-0.98139244,9.167642
506.591797,-0.09095833,-0.8856468,8.564445
510.864257,0.062234644,-0.5218136,8.181462
514.831543,0.19627848,-0.03351096,7.961247
518.188476,0.32074776,0.5313881,7.9516726
521.881103,0.47394073,0.99096704,8.056993
526.245117,0.5888355,1.1920328,8.133589
530.731201,0.54096264,1.0388398,9.18679
534.606933,0.39734426,0.70373017,10.441058
537.994384,0.71330476,0.17712937,10.096374
541.564941,1.1537346,-0.59841,9.722966
545.501709,1.1728836,-1.2016073,9.158067
549.499511,1.1154363,-1.5079932,8.334655
553.771972,1.2973529,-2.015445,8.066567
558.135986,1.4409714,-2.5994933,8.947427
562.103271,1.8143792,-2.9346027,9.847435
566.101074,2.1111906,-2.3122563,10.891063
569.702148,1.948423,-0.44521707,11.379365
573.516845,1.3069274,1.9579976,11.082554
577.880859,0.3111732,4.0931244,10.40276
581.909179,-0.6558574,5.1367517,10.096374
585.815429,-1.1345854,4.6867476,10.661273
589.385986,-0.70373017,3.3750327,11.26447
593.292236,-0.043085523,1.9388485,11.408089
598.175048,0.4835153,0.8186249,11.101703
602.325439,0.7994758,0.110107444,10.795317
606.140136,0.93351966,-0.13883112,10.670848
609.710693,0.99096704,0.110107444,10.450633
613.433838,1.1537346,0.5313881,9.904882
618.255615,1.2399056,0.64628285,9.234664
622.131347,1.1537346,0.36862057,8.612317
626.037597,1.1920328,-0.0718092,7.2910275
629.608154,1.3452257,-0.512239,5.5580325
633.605957,1.1920328,-0.93351966,5.3186684
637.878418,0.665432,-1.2590547,6.821874
641.87622,0.49308985,-1.4218222,7.875076
645.568847,0.40691882,-1.2877784,8.5740185
649.108886,0.25372586,-0.9430942,8.430401
652.648925,0.023936402,-0.8856468,8.152739
658.203125,-0.3398969,-1.2303311,8.621892
662.139892,-1.2590547,-1.3069274,10.326163
665.924072,-1.2590547,-1.3069274,10.326163
669.738769,-1.3930986,-0.5505372,11.082554
673.614502,-1.2207564,0.28244954,11.360216
678.222656,-0.8856468,0.6079846,11.762347
682.128906,0.15798025,-0.0718092,12.049584
686.431884,0.56011176,-0.22500217,11.59958
689.971923,0.6558574,-0.014361841,11.140001
693.786621,0.6558574,-0.014361841,11.140001
697.875976,0.4835153,0.20585304,10.603826
702.209472,0.359046,0.5792609,9.474028
705.993652,0.42606795,0.44521707,8.66019
709.533691,0.42606795,0.44521707,8.66019
713.378906,0.37819514,0.11968201,8.1623125
718.200683,0.15798025,-0.4356425,7.855927
722.381591,0.023936402,-1.1633091,8.593168
726.257324,0.023936402,-1.1633091,8.593168
729.827881,0.12925656,0.23457673,9.407005
733.642578,0.12925656,0.23457673,9.407005
738.189697,0.3877697,1.0675635,9.435729
742.248535,0.6750065,0.9430942,9.512326
746.032714,0.6750065,0.9430942,9.512326
750.030517,1.0484143,0.71330476,10.938935
754.058838,1.0484143,0.71330476,10.938935
756.378173,1.5079932,0.56011176,10.019777
760.437011,1.948423,0.023936402,9.5219
764.343261,1.948423,-0.46436617,9.3878565
767.974853,1.8239537,-0.71330476,9.043172
771.331787,1.79523,-1.1345854,8.765511
775.878906,1.6037389,-1.5941644,8.478273
779.418945,1.3069274,-2.0728924,8.641041
782.897949,1.1633091,-2.2069361,8.755936
786.834716,1.2494801,-1.6707608,8.928278
790.802002,1.3548003,-0.4356425,9.158067
795.654297,1.2590547,1.2303311,9.560199
799.682617,1.0675635,2.9250283,9.818711
804.016113,1.0675635,4.131423,9.761265
807.006836,0.9622433,4.581427,9.54105
810.60791,0.8760723,4.1409974,9.531475
815.338134,0.83777404,2.9824755,9.330409
819.091797,1.0196906,1.622888,9.234664
822.540283,0.76117754,0.5888355,12.145329
826.721191,0.11968201,0.4164934,13.562365
830.688476,0.2154276,-0.20585304,12.317672
834.655761,0.081383765,-1.1920328,11.561282
838.95874,-0.023936402,-2.187787,11.063405
843.231201,0.2920241,-2.9250283,10.450633
847.076416,0.5218136,-2.88673,9.320834
850.738525,0.12925656,-2.0633178,8.564445
854.522705,-0.40691882,-1.14416,8.382527
858.825683,-0.4835153,-0.512239,8.411251
863.220214,0.023936402,-0.30159867,8.152739
866.973877,0.63670826,-0.110107444,7.2144313
870.758056,1.2016073,0.110107444,6.0080366
874.511718,1.5750152,0.39734426,4.0739756
878.509521,1.7282082,0.33032233,3.8537605
883.148193,1.3930986,0.25372586,6.458041
887.298584,1.1728836,0.4356425,8.66019
891.479492,0.359046,0.8473486,10.40276
896.392822,-0.11968201,0.05266008,10.498506
901.641845,-0.32074776,-0.8664977,10.211268
906.25,-0.50266445,-1.6133134,10.172971
910.40039,-0.5505372,-1.79523,10.699572
914.886474,-0.56968635,-1.4792696,11.7336235
919.036865,-0.3398969,-0.8473486,12.729378
922.210693,-0.09095833,0,12.920869
927.093506,0,0.64628285,11.542132
931.82373,0.0718092,0.42606795,10.919786
936.248779,0.0718092,0.42606795,10.919786
940.64331,0.39734426,-0.40691882,10.307014
944.946289,0.49308985,-0.63670826,9.770839
949.127197,0.47394073,-0.6845811,8.995299
953.155517,0.2920241,-0.71330476,8.459125
959.197998,0.23457673,-0.98139244,8.621892
963.867187,0.23457673,-0.98139244,8.621892
967.559814,0.17712937,-0.6271337,8.679339
971.130371,0.17712937,-0.6271337,8.679339
974.91455,0.10053288,-0.25372586,8.832532
978.942871,0.12925656,0.081383765,8.717637
981.750488,0.13883112,0.20585304,8.650616
985.38208,0.25372586,0.00478728,9.033598
988.952636,0.47394073,-0.34947145,9.665519
992.950439,0.83777404,-0.49308985,9.7899885
999.389648,1.1633091,-0.54096264,9.761265
1004.211425,1.2590547,-0.023936402,11.092129
1008.422851,1.0005416,0.5218136,12.3463955
1013.000488,1.2207564,0.7420284,10.431483
1017.700195,1.3548003,0.4356425,8.880404
1023.101806,0.59841,-1.1537346,7.9420977
1027.832031,1.4984187,-2.6186423,9.167642
1032.867431,2.7048132,-2.905879,9.8953085
1037.567138,3.1835413,-1.4218222,9.569773
1043.029785,2.819708,1.0101161,8.717637
1047.88208,1.2494801,4.389936,8.813383
1052.79541,0.85692316,4.5622783,9.31126
1057.525634,0.83777404,3.7675896,9.655944
1063.018798,1.0675635,1.4409714,10.40276
1067.352295,0.32074776,0.9718179,14.136839
1071.533203,-0.36862057,1.2973529,15.333658
1075.958252,-0.665432,0.85692316,14.165563
1080.3833,-0.7994758,-0.45479164,12.624058
1084.960937,-0.110107444,-2.34098,10.919786
1088.989257,0.78990126,-3.7388659,9.742115
1091.735839,1.2590547,-3.9878044,8.851681
1096.801757,0.8664977,-2.9250283,7.195282
1101.440429,0.99096704,-0.64628285,3.6622694
1106.71997,1.8431029,-0.46436617,3.4899273
1111.38916,2.101616,-0.37819514,5.4048395
1116.455078,1.7569319,-0.13883112,6.7069798
1121.09375,0.081383765,-1.383524,8.478273
1126.312256,-0.110107444,-2.168638,8.947427
1130.981445,-0.014361841,-2.3984275,8.746361
1135.650634,-0.03351096,-2.1590633,8.966576
1139.73999,-0.2154276,-1.4792696,10.010203
1143.127441,-0.33032233,-0.6558574,11.063405
1147.308349,-0.2154276,0,12.059159
1151.397705,0.14840569,0.32074776,12.557036
1156.127929,0.56011176,0.5313881,12.8538475
1160.736084,0.8473486,0.85692316,11.436812
1165.924072,0.50266445,0.54096264,10.958084
1170.013427,0.2441513,-0.081383765,10.479357
1174.346923,0.30159867,-0.751603,9.96233
1178.527832,0.30159867,-0.751603,9.96233
1181.671142,0.665432,-1.2973529,9.052747
1186.370849,0.69415563,-1.2207564,8.851681
1191.009521,0.64628285,-1.0292653,8.957002
1195.739746,0.71330476,-0.85692316,9.014449
1200.073242,0.8473486,-0.70373017,8.909128
1203.338623,0.9622433,-0.6750065,8.832532
1207.427978,0.8856468,-0.70373017,8.918703
1211.639404,0.92394507,-0.78990126,9.062322
1215.759277,1.0292653,-0.6845811,9.196365
1220.092773,1.0867126,-0.4356425,9.158067
1223.693847,1.0388398,-0.34947145,8.736787
1228.454589,1.0388398,-0.34947145,8.736787
1233.276367,0.99096704,-0.25372586,8.698488
1237.945556,1.0101161,-0.13883112,8.985725
1243.31665,0.90479594,0.043085523,9.665519
1247.833252,1.0005416,0.18670394,9.560199
1252.716064,1.2303311,-0.3877697,8.44955
1257.354736,1.4313968,-1.2207564,8.487848
1262.145996,1.9196993,-2.1207652,9.426155
1267.425537,2.580344,-2.2165108,10.048501
1272.094726,2.4175766,0.77075213,9.5219
1277.191162,1.383524,2.0920415,9.684668
1281.860351,0.3877697,2.4175766,9.991054
1286.987304,0.10053288,1.0292653,11.063405
1291.656494,0,0.8952214,12.308098
1296.325683,-0.12925656,1.14416,12.020861
1300.415039,-0.12925656,1.14416,12.020861
1303.710937,-0.49308985,0.3111732,10.278291
1307.891845,-0.27287498,-0.6558574,8.957002
1311.981201,0.13883112,-1.4313968,8.11444
1316.833496,0.44521707,-1.709059,7.549541
1321.502685,0.45479164,-1.5367169,7.635712
1326.690673,0.751603,-1.1728836,8.133589
1330.810547,1.0292653,-1.0771381,8.229335
1335.113525,1.1633091,-0.9718179,7.846352
1339.202881,1.1633091,-0.9718179,7.846352
1342.803955,1.1250108,-0.8952214,7.5399666
1347.290039,0.7228793,-0.5792609,8.899554
1351.959228,0.44521707,-0.2441513,10.182545
1356.5979,0.15798025,-0.062234644,11.063405
1361.602783,0.043085523,-0.3111732,11.398514
1366.30249,0.36862057,-1.0005416,10.958084
1370.391845,0.4164934,-0.8760723,10.804892
1375.12207,0.5313881,-0.3877697,10.852764
1379.730224,0.5313881,-0.3877697,10.852764
1383.575439,0.5505372,0.3398969,10.364462
1387.72583,0.70373017,0.16755481,10.019777
1391.906738,0.78990126,-0.20585304,9.732541
1396.240234,0.8473486,-0.54096264,9.675094
1401.794433,0.8760723,-0.64628285,9.5219
1406.738281,0.8473486,-0.56011176,9.234664
1410.980224,0.7324539,-0.54096264,9.167642
1415.863037,0.6271337,-0.5505372,9.20594
1422.210693,0.63670826,-0.5505372,9.493176
1427.825927,0.6558574,-0.4356425,9.474028
1432.83081,0.7324539,-0.33032233,9.445304
1437.530517,0.69415563,-0.33032233,9.502751
1442.962646,0.64628285,-0.49308985,9.914457
1447.540283,0.63670826,-0.47394073,9.904882
1451.690673,0.6558574,-0.3877697,9.732541
1456.512451,0.64628285,-0.27287498,9.6942425
1461.242675,0.64628285,-0.2441513,9.6942425
1464.782714,0.8186249,-0.3398969,9.454879
1468.87207,1.0962871,-0.47394073,9.158067
1471.710205,1.4122477,-0.5888355,9.167642
1476.776123,1.6133134,-0.50266445,9.3878565
1481.506347,1.5654407,-0.19627848,10.06765
1485.351562,1.3643749,0.25372586,10.125097
1490.203857,1.2399056,0.11968201,8.439975
1495.147705,1.2590547,-0.56968635,7.4920936
1501.861572,2.0441687,-1.9005502,8.9761505
1506.591797,2.88673,-1.5079932,9.837861
1511.322021,3.3367343,-0.12925656,10.105948
1516.296386,2.1303396,2.6856642,9.502751
1521.148681,2.1303396,2.6856642,9.502751
1524.902343,1.1633091,2.6186423,9.62722
1529.60205,0.8090504,1.6037389,10.010203
1534.545898,1.0196906,-0.00478728,10.058076
1538.787841,0.6271337,-0.110107444,10.115523
1543.21289,0.36862057,0.0718092,9.933606
1547.760009,0.19627848,0.11968201,9.502751
1552.001953,0.27287498,-1.4601204,8.076141
1556.304931,0.27287498,-1.4601204,8.076141
1560.455322,0.2154276,-2.2931073,9.54105
1564.117431,-0.16755481,-2.2835326,9.579348
1568.969726,-0.16755481,-2.2835326,9.579348
1573.944091,0.09095833,-2.5420458,10.421909
1578.674316,0.78032666,-1.8718265,11.005958
1583.648681,0.5888355,0.512239,11.245321
1588.806152,0.5888355,0.512239,11.245321
1593.719482,0.359046,0.023936402,12.030436
1598.449707,1.0101161,-0.91437054,11.331492
1603.485107,1.3739494,-0.7420284,8.076141
1608.673095,1.3739494,-0.7420284,8.076141
1613.586425,0.9622433,0.17712937,5.653778
1618.286132,0.83777404,0.20585304,4.9835587
1623.260498,1.0005416,-1.1345854,4.1409974
1628.448486,1.0005416,-1.1345854,4.1409974
1633.422851,1.0388398,-1.5654407,8.746361
1638.305664,0.7324539,-0.93351966,11.590006
1643.218994,0,-0.69415563,14.165563
1648.284912,0,-0.69415563,14.165563
1653.381347,-0.23457673,-1.0962871,12.69108
1658.111572,-0.49308985,-0.63670826,11.925115
1663.05542,-0.19627848,0.081383765,11.465536
1668.334961,0.46436617,-0.22500217,11.350641
1673.309326,1.0771381,-0.61755913,11.321918
1677.91748,1.2782038,-0.71330476,10.900637
1682.891845,0.9622433,-0.27287498,10.096374
1688.110351,0.83777404,-0.22500217,9.6942425
1693.084716,0.78990126,-0.44521707,9.349558
1697.814941,0.8281995,-0.7228793,9.0814705
1702.911377,0.9430942,-0.98139244,9.052747
1708.007812,0.91437054,-0.8760723,8.937852
1712.921142,0.85692316,-0.64628285,9.071896
1717.803955,0.8090504,-0.36862057,9.244238
1722.90039,0.85692316,0.14840569,9.263388
1728.179931,0.83777404,0.13883112,9.435729
1733.551025,0.83777404,-0.00478728,9.483603
1738.189697,0.8664977,-0.15798025,9.339984
1743.255615,0.77075213,-0.44521707,9.177217
1747.894287,0.9718179,-0.665432,9.091045
1752.075195,1.2016073,-0.7324539,9.100619
1756.439209,1.3356512,-0.7420284,9.29211
1763.000488,1.2973529,-0.359046,10.498506
1767.578125,1.383524,-0.00478728,9.847435
1771.728515,1.383524,-0.12925656,9.119769
1776.672363,1.1058618,-0.5218136,8.564445
1781.524658,1.1345854,-1.3930986,8.334655
1786.895752,1.5175679,-1.3069274,8.746361
1791.656494,1.8431029,-0.6271337,9.3878565
