time,x,y,z
0,-1.0889479,-0.14031363,-0.47770023
3.814697,-0.66766727,0.108624935,-0.2574854
7.263184,-0.2846849,0.29054153,0.029751778
11.810303,0.13659579,0.3862871,0.14464664
15.74707,0.43340716,0.3575635,0.27869034
19.561768,0.65362203,0.26181793,0.28826523
23.376465,0.75894225,0.070326686,0.2595415
26.611328,0.69211876,-0.02673781,0.29953098
31.12793,0.47190386,-0.12248337,0.09846592
35.400391,0.26126355,-0.10333431,0.012294769
38.970947,-0.035547823,-0.017163277,0.117614746
42.449951,-0.380232,0.078582406,0.031443596
46.417236,-0.6483197,0.15517879,0.041018486
51.239014,-0.6100215,0.107306,-0.1408987
55.511475,-0.41853026,-0.06503606,-0.09302616
59.020996,-0.37822396,-0.11122835,0.017173767
62.225342,-0.2633292,-0.13037741,-0.07857132
66.192627,-0.1292854,-0.1495266,-0.2317648
71.289063,0.07178038,-0.1495266,-0.33708477
75.10376,0.25369704,-0.1495266,-0.4902773
78.796387,0.32071894,-0.12080288,-0.57644844
82.03125,0.36859176,-0.13037741,-0.62432194
85.968018,0.3590172,-0.12080288,-0.720067
91.369629,0.25369704,-0.101653695,-0.75836563
95.184326,0.16752599,-0.13037741,-0.64347076
98.571777,0.023907572,-0.16867566,-0.62432194
101.806641,-0.116090655,-0.13136637,-0.63230133
105.743408,-0.18311256,-0.17923915,-0.5461302
111.480713,-0.21183628,-0.16009009,-0.4120865
115.356445,-0.13523978,-0.17923915,-0.29719162
118.896485,-0.13523978,-0.18881369,-0.2780428
121.582031,-0.001195937,-0.12179184,-0.21102047
125.549317,0.10412423,-0.08349359,-0.12484932
130.706787,0.2131168,-0.06322193,-0.042891502
133.789063,0.2801387,0.042098165,0.052853584
138.031006,0.28971326,0.080396414,0.0815773
142.242432,0.31843695,0.13784385,0.043279648
146.362305,0.39503342,0.06124735,-0.052466393
151.184082,0.46205536,0.003799915,0.004981041
154.327393,0.47162992,-0.034498334,-0.014167786
158.26416,0.356609,-0.14551103,-0.07063484
162.628174,0.24171425,-0.22210753,-0.051486015
166.8396,0.14596865,-0.33700228,-0.10893345
171.325684,0.050223053,-0.3944496,-0.22382832
174.011231,-0.007224321,-0.46147156,-0.15680599
177.520752,0.059797615,-0.41359878,-0.17595482
181.213379,0.09809585,-0.4231733,-0.27170086
185.48584,0.14596865,-0.40402412,-0.25255203
190.948486,0.18469444,-0.37870395,-0.27925777
