time,x,y,z
0.0,-0.2920241,-1.4505459,9.301685
3.78418,-0.110107444,-1.3069274,9.330409
7.507325,-0.26330042,-0.78032666,9.339984
11.749268,-0.56968635,-0.10053288,9.349558
16.26587,-0.78990126,0.39734426,9.5219
20.355225,-0.98139244,0.6271337,9.560199
24.32251,-1.2590547,0.76117754,9.665519
27.130129,-1.3356512,0.6750065,9.7899885
31.066896,-1.3452257,0.5505372,9.818711
36.132813,-1.2782038,0.37819514,9.770839
39.978027,-1.2016073,0.2441513,9.809137
43.945313,-1.0867126,0.26330042,9.761265
46.90552,-1.0005416,0.32074776,9.75169
50.872803,-0.9430942,0.3877697,9.732541
56.33545,-0.9622433,0.39734426,9.684668
60.577393,-0.9526688,0.27287498,9.675094
64.39209,-0.8281995,0.11968201,9.608071
66.89453,-0.8281995,-0.13883112,9.454879
70.64819,-0.7994758,-0.36862057,9.359133
75.74463,-0.8186249,-0.5888355,9.244238
79.1626,-0.8473486,-0.7228793,9.18679
83.12988,-0.90479594,-0.8186249,9.148493
86.639404,-0.92394507,-0.8760723,9.0814705
91.06445,-0.93351966,-0.8090504,9.043172
95.55054,-0.85692316,-0.70373017,9.024023
98.358154,-0.8664977,-0.59841,8.985725
102.32544,-0.83777404,-0.44521707,8.985725
106.75049,-0.8186249,-0.37819514,9.004874
110.90088,-0.78990126,-0.28244954,9.062322
115.997314,-0.76117754,-0.2441513,9.071896
119.262695,-0.7994758,-0.22500217,9.110194
123.84034,-0.7994758,-0.19627848,9.18679
127.960205,-0.7994758,-0.13883112,9.263388
132.14111,-0.83777404,-0.12925656,9.301685
136.53564,-0.7324539,-0.0718092,9.397431
141.23537,-0.6750065,-0.11968201,9.426155
145.23315,-0.6558574,-0.13883112,9.474028
148.83423,-0.6558574,-0.13883112,9.474028
151.2146,-0.6271337,-0.22500217,9.54105
155.79224,-0.6558574,-0.25372586,9.531475
158.53882,-0.6271337,-0.2920241,9.493176
162.17041,-0.61755913,-0.2920241,9.435729
165.9851,-0.64628285,-0.2920241,9.320834
170.28809,-0.64628285,-0.3398969,9.253813
176.2085,-0.5792609,-0.40691882,9.158067
180.23682,-0.5313881,-0.59841,9.158067
184.021,-0.54096264,-0.78990126,9.129343
186.40138,-0.54096264,-0.8856468,9.091045
190.4297,-0.5218136,-1.0005416,9.062322
194.15283,-0.5218136,-1.0484143,9.0814705
198.15063,-0.50266445,-1.0388398,9.0814705
202.02637,-0.5218136,-1.0005416,9.138918
206.75659,-0.512239,-0.98139244,9.196365
210.90698,-0.5505372,-1.0196906,9.3878565
215.30151,-0.5505372,-1.0196906,9.3878565
218.47534,-0.50266445,-1.1154363,9.598496
223.23608,-0.50266445,-1.1154363,9.598496
227.38647,-0.4356425,-1.2399056,9.75169
231.50635,-0.46436617,-1.1633091,9.7899885
235.87036,-0.46436617,-1.1633091,9.7899885
239.44092,-0.5218136,-1.0484143,9.818711
243.80493,-0.54096264,-0.77075213,9.943181
248.01636,-0.56968635,-0.64628285,9.952756
252.41089,-0.59841,-0.49308985,9.924032
257.1411,-0.5792609,-0.47394073,9.885734
261.59668,-0.59841,-0.45479164,9.866585
265.9607,-0.5505372,-0.45479164,9.713391
270.5078,-0.56011176,-0.54096264,9.397431
274.8108,-0.56011176,-0.54096264,9.397431
277.92358,-0.56011176,-0.6558574,9.272962
282.07397,-0.64628285,-0.70373017,9.2825365
286.40747,-0.6558574,-1.0675635,9.263388
290.19165,-0.6558574,-1.0675635,9.263388
293.88428,-0.6750065,-1.2686293,9.29211
297.5769,-0.7228793,-1.4505459,9.272962
301.48315,-0.61755913,-1.7569319,9.2825365
305.542,-0.5505372,-1.948423,9.244238
309.0515,-0.46436617,-2.2260852,9.177217
312.40845,-0.32074776,-2.4463003,9.167642
317.41333,-0.22500217,-2.5994933,9.091045
321.65527,-0.16755481,-2.7622607,9.100619
325.3479,-0.062234644,-2.8963046,9.0814705
328.8269,-0.043085523,-2.9250283,9.110194
332.21436,-0.023936402,-3.020774,9.071896
337.79907,0.00478728,-3.0016246,9.043172
341.73584,0.014361841,-2.9346027,9.024023
345.6726,0.014361841,-2.9346027,9.024023
349.24316,-0.00478728,-2.8771553,8.937852
351.98975,-0.05266008,-2.752686,8.995299
357.8186,-0.110107444,-2.5037475,9.014449
361.87744,-0.110107444,-2.3888528,9.014449
365.90576,-0.09095833,-2.427151,9.052747
369.72046,-0.023936402,-2.5707695,9.062322
373.56567,-0.023936402,-2.5707695,9.062322
377.594,0.081383765,-2.714388,9.18679
381.53076,0.110107444,-2.6952388,9.196365
385.437,0.3877697,-2.8292825,9.177217
388.97705,0.3877697,-2.8292825,9.177217
391.3269,0.49308985,-2.9441774,9.071896
397.97974,0.46436617,-3.346309,8.698488
402.34375,0.37819514,-3.6239712,8.583593
406.15848,0.37819514,-3.6239712,8.583593
409.85107,0.39734426,-3.9207826,8.535721
413.57422,0.39734426,-4.0931244,8.564445
418.0603,0.5888355,-4.5527034,8.459125
422.18015,0.5792609,-4.610151,8.258059
426.0559,0.5792609,-4.610151,8.258059
429.62646,0.5505372,-4.782493,8.516571
433.92944,0.5505372,-4.782493,8.516571
437.8357,0.71330476,-5.088879,8.248484
441.89453,0.6558574,-5.2037735,8.1623125
445.58716,0.6558574,-5.2037735,8.1623125
449.4934,0.70373017,-5.3952646,7.8846507
451.99585,0.59841,-5.38569,7.9708214
457.15332,0.6558574,-5.433563,8.104865
459.96094,0.76117754,-5.3569665,8.200611
464.20288,0.92394507,-5.2707953,7.8655014
466.73584,0.93351966,-5.2420716,7.6740103
470.61157,0.78032666,-5.2899446,7.6069884
475.1587,0.56968635,-5.3378177,7.6261373
479.12598,0.45479164,-5.376116,7.5208173
483.7036,0.54096264,-5.5101595,7.35805
487.3352,0.71330476,-5.586756,7.35805
491.02783,0.85692316,-5.653778,7.3389006
494.7815,0.78990126,-5.634629,7.156984
498.50464,0.665432,-5.6250544,6.936769
502.50244,0.5218136,-5.7016506,6.9942164
506.4392,0.50266445,-5.7016506,7.2527294
510.5896,0.665432,-5.797396,7.2623043
514.83154,0.8281995,-5.835695,7.176133
518.82935,0.8856468,-5.9027166,7.0612383
521.94214,0.92394507,-6.0846334,6.850598
526.2146,0.9526688,-6.333572,6.7357035
530.5786,0.92394507,-6.697405,6.668681
534.8816,1.0292653,-7.003791,6.668681
539.15405,1.1633091,-7.1474094,6.592085
542.3279,1.2016073,-7.176133,6.5059137
546.875,1.2016073,-7.2240057,6.3814445
550.9949,1.1058618,-7.2144313,6.285699
555.29785,1.0771381,-7.281453,6.2665496
559.29565,1.0962871,-7.35805,6.113357
562.59155,1.0675635,-7.4442205,6.027186
566.803,0.99096704,-7.4729443,5.998462
570.77026,0.9718179,-7.4920936,5.82612
575.07324,0.99096704,-7.511243,5.797396
579.5593,1.0771381,-7.5303917,5.739949
582.88574,1.1728836,-7.501668,5.7208
586.39526,1.2303311,-7.4537954,5.605905
590.0574,1.2973529,-7.35805,5.4431376
593.68896,1.2782038,-7.2144313,5.328243
598.4497,1.2686293,-7.1474094,5.1654754
602.53906,1.2686293,-7.195282,4.926111
606.3538,1.3452257,-7.3676243,4.715471
609.8633,1.4888442,-7.693159,4.6005764
613.678,1.4505459,-7.9420977,4.504831
618.4387,1.4601204,-8.152739,4.3324885
622.49756,1.4601204,-8.32508,4.284616
626.28174,1.5558661,-8.506997,4.1792955
630.0049,1.6611862,-8.621892,4.0261025
633.78906,1.6037389,-8.631466,3.8824842
638.1531,1.4792696,-8.641041,3.7963133
642.08984,1.4792696,-8.736787,3.8537605
645.9656,1.5367169,-8.832532,3.7867386
649.41406,1.6899099,-8.985725,3.6431203
652.52686,1.7473572,-9.033598,3.5665238
658.1421,1.6994845,-8.966576,3.5569491
662.1704,1.6803354,-8.889979,3.4612036
665.9546,1.7186337,-8.870831,3.3080106
669.52515,1.7377827,-8.851681,3.039923
672.30225,1.7473572,-8.957002,2.9633265
678.13104,1.7186337,-9.158067,2.6856642
682.22046,1.8431029,-9.560199,2.666515
685.85205,1.8431029,-9.560199,2.666515
689.3616,1.9005502,-9.5889225,2.4845984
692.10815,1.7569319,-9.502751,2.475024
698.15063,1.7282082,-9.407005,2.494173
702.02637,1.8239537,-9.119769,2.5899186
705.7495,1.8239537,-9.119769,2.5899186
709.28955,1.9101248,-8.803808,2.475024
711.88354,1.8909757,-8.641041,2.2452345
718.2617,1.9196993,-8.621892,2.4558747
722.168,1.8526775,-8.459125,2.2165108
725.8301,1.8526775,-8.478273,1.9675722
729.4617,1.8526775,-8.478273,1.9675722
731.9946,2.0058703,-8.698488,1.7569319
735.7483,2.015445,-8.937852,1.5558661
739.5935,2.0633178,-9.215514,1.3069274
743.53033,2.0920415,-9.493176,1.0867126
747.49756,2.1111906,-9.684668,0.9718179
751.46484,2.1590633,-9.837861,0.7994758
755.5847,2.1207652,-9.8953085,0.59841
759.3689,2.2069361,-10.019777,0.3877697
763.3362,2.2931073,-10.153821,0.30159867
767.30347,2.321831,-10.163396,0.4356425
771.24023,2.2356598,-10.048501,0.61755913
775.60425,2.1973617,-9.818711,0.5313881
779.3884,2.2069361,-9.474028,0.4356425
783.1116,2.2835326,-9.378282,0.23457673
787.07886,2.3122563,-9.253813,0.19627848
791.04614,2.3026817,-9.244238,0.32074776
795.59326,2.254809,-9.158067,0.5888355
799.22485,2.187787,-8.937852,0.6079846
802.9175,2.1973617,-8.650616,0.359046
806.88477,2.3314054,-8.612317,-0.023936402
810.85205,2.3792782,-8.708063,-0.14840569
815.5823,2.3697038,-8.899554,-0.25372586
819.0918,2.408002,-9.110194,-0.46436617
