time,x,y,z
0.0,-0.5794494,0.5353391,-0.38361454
4.516602,-0.014550209,0.32469878,-0.23042202
8.666993,0.39715576,0.10448384,-6.322861E-4
14.221192,0.4833269,-0.07743278,-0.18254948
18.89038,0.15779185,-0.19232751,-0.30701828
23.31543,0.15779185,-0.19232751,-0.30701828
25.6958,-0.081572294,-0.07743278,-0.31659317
29.449465,-0.23034358,0.03143421,-0.2837267
34.240723,-0.43140936,0.1271798,-0.22627926
37.04834,-0.46970773,0.14632893,-0.25500298
40.771484,-0.45055866,0.20377627,-0.17840672
44.73877,-0.32608938,0.11760527,-0.18798065
48.24829,-0.2016201,0.16547808,-0.19755554
54.351807,0.06646776,0.11760527,-0.17840672
58.654785,0.06646776,0.11760527,-0.17840672
62.286377,0.104287624,0.22133616,-0.18068981
64.88037,0.12343669,0.1926125,-0.21898842
68.60352,0.113862276,0.20218706,-0.21898842
74.43237,0.07556391,0.16388881,-0.3147335
79.62036,-0.029756308,0.10644144,-0.362607
84.01489,-0.11592722,0.116016,-0.37218094
87.82959,-0.15422559,0.12559056,-0.37218094
92.13257,-0.16952062,0.2749598,-0.34055138
96.43555,-0.15037131,0.2749598,-0.3692751
101.10474,-0.15037131,0.26538527,-0.38842487
105.651855,-0.121647835,0.23666157,-0.42672253
109.86328,-0.09292412,0.29410893,-0.49374485
114.16626,-0.09292412,0.29410893,-0.49374485
117.34009,-0.05462575,0.26538527,-0.43629742
122.10083,-0.00488019,0.36099914,-0.4758873
126.00708,0.023843527,0.33227548,-0.42801476
129.63867,0.04299259,0.2748281,-0.38971615
133.5144,0.04299259,0.2748281,-0.38971615
136.16943,0.023843527,0.26525354,-0.3514185
140.19775,0.09086537,0.29397723,-0.33226871
143.98193,0.062141657,0.33227548,-0.27482128
147.70508,0.09086537,0.48546845,-0.18865108
151.15356,0.04299259,0.5716394,-0.092905045
155.60913,0.11001444,0.60993767,-0.06418133
159.729,0.13762474,0.84554523,-0.09884453
163.63525,0.108901024,0.78809786,-0.13714218
167.29736,0.061028242,0.6636286,-0.17544079
171.26465,0.070602894,0.5391593,-0.19458961
176.02539,0.022730112,0.38596633,-0.19458961
180.05371,-0.025142908,0.23277336,-0.2041645
183.86842,-0.07301569,0.15617688,-0.22331333
187.86621,-0.092164755,0.041282162,-0.29033566
190.73486,-0.14199686,0.2757595,-0.2995367
196.10596,-0.18029523,0.12256652,-0.35698414
200.0122,-0.20901895,0.045970023,-0.3091116
204.01001,-0.31433892,0.15129018,-0.25166416
207.76369,-0.24731708,0.19916299,-0.24208927
210.84595,-0.18986964,0.20873755,-0.19421673
215.88135,-0.113273144,0.29490858,-0.21336555
220.12329,-0.09634018,0.7498552,-0.16521263
224.09058,-0.13463855,0.78815347,-0.21308517
227.63063,-0.115489244,0.797728,-0.18436146
230.77393,-0.13463855,0.7785789,-0.17478752
236.2976,-0.18251133,0.88389903,-0.13648891
240.50903,-0.17293668,0.91262275,-0.09819031
244.32373,-0.1250639,0.84560084,-0.059892654
247.95532,-0.1250639,0.84560084,-0.059892654
250.3357,-0.112743855,1.3772242,0.07972145
256.37817,-0.06487107,0.8793471,-0.102194786
260.46753,-0.16061687,0.6016848,-0.19794083
264.19067,-0.15104222,0.20912778,-0.19794083
268.219,-0.15104222,0.20912778,-0.19794083
270.69092,-0.14146757,-0.16428006,-0.22666454
275.3296,-0.17976594,-0.44194233,-0.3032608
278.19824,-0.21806407,-0.71002996,-0.49475193
281.7688,-0.22102714,-0.361542,-0.4777956
