time,x,y,z
0.0,-0.081383765,0.26330042,9.54105
4.333496,0.12925656,0.3111732,9.502751
7.965088,0.23457673,0.34947145,9.483603
11.688233,0.359046,0.36862057,9.512326
15.258789,0.22500217,0.4356425,9.64637
20.111084,0.13883112,0.4835153,9.655944
24.261477,0.023936402,0.49308985,9.713391
27.923584,-0.014361841,0.37819514,9.761265
31.707764,-0.17712937,0.46436617,9.770839
34.912113,-0.19627848,0.32074776,9.818711
40.222168,-0.26330042,0.3398969,9.85701
44.28101,-0.2920241,0.37819514,9.876159
47.76001,-0.17712937,0.2920241,9.866585
50.872803,-0.0718092,0.32074776,9.971905
54.87061,-0.081383765,0.37819514,9.971905
60.51636,-0.043085523,0.34947145,9.991054
64.66675,-0.062234644,0.44521707,10.038927
68.359375,-0.023936402,0.4356425,9.98148
72.17407,-0.10053288,0.69415563,9.991054
74.8291,-0.110107444,0.7420284,9.952756
80.62744,-0.081383765,0.751603,9.914457
84.65576,-0.05266008,0.751603,9.866585
88.1958,-0.043085523,0.78032666,9.7899885
91.888435,-0.11968201,0.8281995,9.732541
95.09277,-0.11968201,0.8856468,9.6942425
100.89111,-0.10053288,0.92394507,9.598496
105.46875,-0.00478728,0.7994758,9.569773
109.58862,0.09095833,0.512239,9.5889225
114.227295,0.03351096,0.44521707,9.5219
118.49976,0.03351096,0.44521707,9.5219
121.795654,0.10053288,-0.023936402,9.550624
125.305176,0.16755481,-0.22500217,9.483603
128.9978,0.09095833,-0.18670394,9.464453
132.65991,0.09095833,-0.18670394,9.464453
135.37598,0.081383765,-0.16755481,9.483603
141.11328,0.14840569,0.081383765,9.62722
145.23315,0.15798025,0.17712937,9.655944
148.86475,0.16755481,0.23457673,9.636795
152.86255,0.16755481,0.23457673,9.636795
155.15137,0.2441513,0.28244954,9.655944
161.07178,0.40691882,0.34947145,9.62722
165.46631,0.37819514,0.4164934,9.617646
169.12842,0.37819514,0.4164934,9.617646
172.9126,0.359046,0.49308985,9.560199
175.23193,0.37819514,0.5505372,9.5889225
180.99976,0.36862057,0.665432,9.703817
185.11963,0.359046,0.77075213,9.665519
188.69019,0.359046,0.77075213,9.665519
192.47437,0.3877697,0.751603,9.617646
194.91577,0.40691882,0.78990126,9.75169
201.14136,0.45479164,0.8090504,9.569773
205.07813,0.44521707,0.91437054,9.560199
208.58765,0.61755913,0.70373017,9.502751
212.37183,0.61755913,0.70373017,9.502751
214.72168,0.5313881,0.76117754,9.531475
221.25244,0.5505372,0.63670826,9.454879
225.15869,0.512239,0.6079846,9.426155
228.94287,0.512239,0.6079846,9.426155
233.18481,0.59841,0.56011176,9.435729
235.56519,0.4835153,0.71330476,9.5219
241.36353,0.44521707,0.7994758,9.569773
245.45288,0.44521707,0.7994758,9.569773
249.35913,0.512239,0.751603,9.636795
253.20435,0.5792609,0.7228793,9.703817
255.58472,0.6079846,0.665432,9.64637
260.83374,0.61755913,0.6271337,9.732541
263.58032,0.5313881,0.7324539,9.713391
267.48657,0.50266445,0.665432,9.6942425
270.69092,0.4164934,0.8473486,9.904882
274.41406,0.4356425,0.7994758,9.818711
281.0669,0.44521707,0.7324539,9.742115
284.2102,0.50266445,0.6845811,9.761265
287.90286,0.4356425,0.6750065,9.684668
290.34424,0.5313881,0.4835153,9.64637
294.40308,0.3877697,0.63670826,9.62722
301.08643,0.49308985,0.5218136,9.560199
304.29077,0.69415563,0.30159867,9.493176
308.3496,0.46436617,0.37819514,9.435729
312.59155,0.46436617,0.37819514,9.435729
315.7959,0.46436617,0.34947145,9.454879
319.9463,0.40691882,0.37819514,9.435729
323.33374,0.3398969,0.512239,9.483603
327.30103,0.34947145,0.64628285,9.493176
331.90918,0.3877697,0.7228793,9.483603
335.44922,0.36862057,0.8760723,9.569773
338.8977,0.40691882,0.99096704,9.62722
342.95654,0.4164934,1.0962871,9.684668
347.50366,0.3877697,1.2782038,9.742115
351.25732,0.4164934,1.3356512,9.780414
354.76685,0.42606795,1.383524,9.818711
358.5205,0.4356425,1.3165021,9.866585
362.854,0.37819514,1.2494801,9.914457
367.09595,0.39734426,1.0101161,9.914457
370.8191,0.3877697,0.8473486,10.06765
374.54224,0.3877697,0.6750065,10.211268
378.2349,0.33032233,0.3877697,10.278291
382.53784,0.36862057,-0.23457673,10.938935
386.59668,0.44521707,-1.1345854,11.618729
390.59448,0.27287498,-1.6324625,12.509163
394.92798,-0.12925656,-1.5271424,13.638962
398.86475,-0.56011176,-1.0101161,14.634716
402.8015,-0.92394507,-0.32074776,15.582597
406.4331,-1.1537346,0.33032233,16.358137
410.0952,-0.8664977,0.6845811,17.009207
414.64233,-0.0718092,0.64628285,17.526234
418.18237,0.9526688,0.34947145,17.803896
422.48535,1.776081,0.3398969,17.689001
426.45264,2.2931073,0.56011176,17.411339
430.66406,2.3314054,1.383524,16.310265
434.96704,1.9675722,3.212265,13.897474
438.44604,2.1207652,4.9452605,11.7336235
442.62695,3.0303483,6.132506,10.048501
446.99097,4.619725,6.323997,8.794233
450.74463,6.1995277,6.1995277,7.7123084
454.83398,7.5782647,5.682502,7.0325146
458.5266,8.23891,5.2420716,6.1995277
462.64648,7.769756,5.088879,4.926111
466.46118,5.605905,5.6154795,3.3175852
469.9707,2.475024,5.873993,0.8090504
474.76196,-0.56968635,4.696322,-0.8664977
478.79028,-2.0537431,2.6952388,-2.101616
482.4829,-1.1633091,0.56011176,-2.2260852
485.9619,-0.3111732,0.16755481,-0.98139244
489.95972,-0.40691882,1.0101161,-1.3165021
494.7815,-3.231414,2.2260852,-2.2260852
498.32153,-5.979313,1.2207564,-0.98139244
502.31934,-9.435729,-0.17712937,-0.36862057
506.2561,-10.737869,-2.3697038,0.28244954
509.94873,-10.115523,-4.2463174,1.622888
514.4043,-10.010203,-4.351638,5.38569
518.1885,-7.788905,-4.8782387,8.056993
522.7661,-4.495256,-5.3952646,9.5219
527.16064,-2.1590633,-4.7250457,9.914457
