time,x,y,z
0,-1.4551966,0.3671255,0.7051816
4.333496,-0.72753,0.6447878,0.95412016
8.850097,-0.17220554,1.0373445,0.9062476
12.817382,-0.19135463,1.3245816,0.7434802
16.967773,-0.22965288,1.2479849,0.6860328
21.484375,-0.18178007,1.2192612,0.5519891
25.604248,-0.6988064,1.3724542,0.33177423
29.35791,-0.9345264,1.195354,0.20079947
33.233642,-0.7526098,0.78364754,0.18165064
36.773681,-0.44622386,0.47726202,0.19122505
40.466308,-0.3409037,0.2953453,0.06675577
44.98291,-0.30260545,0.15172672,0.04760647
48.858642,-0.20685984,0.027257442,-0.009840965
52.429199,-0.13983794,-0.039764404,-0.019415379
56.488037,-0.091965124,-0.087637424,-0.0672884
60.424804,-0.072816,-0.11636114,-0.07686281
65.093994,-0.03451775,-0.15465927,-2.66E-04
69.152832,0.032551095,-0.20504904,-0.01224947
72.784423,0.022976533,-0.032706738,0.016474247
76.385498,-0.06319451,0.1683588,0.20796537
80.3833,-0.111067325,0.110911846,0.20796537
85.540771,-0.12064186,0.043889523,0.23668909
89.477539,-0.16851467,0.13963509,0.27498722
93.902587,-0.17808923,0.19708252,0.27498722
97.991943,-0.10218741,0.21747541,0.28394604
101.074218,-0.14048566,0.27492285,0.28394604
105.804443,-0.11176197,0.30364656,0.33181906
110.50415,-0.10218741,0.38024282,0.36054277
114.898681,-0.10218741,0.38024282,0.36054277
119.171142,-0.09261285,0.38024282,0.44671392
123.565673,-0.09261285,0.38024282,0.44671392
126.403808,-0.083038285,0.33237028,0.33181906
129.974365,-0.04074812,0.2830491,0.28925037
133.81958,-0.012024462,0.21602726,0.19350481
136.932373,0.016699225,0.10113239,0.15520668
140.563964,0.007124662,-0.004187584,0.12648296
145.874023,-0.0024499,-0.061635017,0.06903553
149.932861,0.016699225,-0.11908245,0.02116251
153.747558,0.04542291,-0.11908245,0.002013683
156.311035,0.0741466,-0.11908245,-0.045859337
160.247802,0.14429156,-0.17138147,-0.11257076
165.985107,0.134717,-0.2288289,-0.11257076
169.921875,0.16344069,-0.25755262,-0.19874191
173.858642,0.17301525,-0.30542517,-0.19874191
176.239013,0.19216436,-0.31499958,-0.20831633
180.511474,0.23046261,-0.33414888,-0.23704004
185.791015,0.19216436,-0.3437233,-0.3040619
189.880371,0.18996824,-0.31672382,-0.31250334
193.695068,0.18996824,-0.3071494,-0.30292892
196.746826,0.17081912,-0.29757452,-0.31250334
200.408935,0.15167,-0.2688508,-0.31250334
205.352783,0.15167,-0.24012709,-0.31250334
208.129882,0.13252087,-0.18268013,-0.2742052
212.127685,0.1037972,-0.1252327,-0.29335403
216.125488,0.11337176,-0.039061546,-0.33165264
220.123291,0.14237739,0.024145603,-0.3353877
225.494384,0.17110108,0.043294907,-0.32581282
228.69873,0.14237739,0.004996777,-0.36411095
233.032226,0.14237739,0.004996777,-0.39283466
237.152099,0.15195195,0.01457119,-0.36411095
241.699218,0.17110108,0.024145603,-0.36411095
246.063232,0.20939931,0.08159304,-0.39283466
250.823974,0.18820134,0.10615015,-0.37214184
254.882812,0.21692502,0.1923213,-0.41044044
259.216308,0.20735046,0.24976873,-0.5349097
263.671875,0.20735046,0.24976873,-0.5349097
266.784668,0.16905221,0.29764128,-0.6881027
271.423339,0.18820134,0.31679058,-0.7455497
275.207519,0.15947767,0.44125986,-0.7742734
278.900146,0.1465111,0.4904561,-0.7311616
281.433105,0.1656602,0.55747795,-0.7598853
285.827636,0.117787406,0.58620167,-0.7598853
288.513183,0.060340047,0.6244998,-0.7215872
292.541503,0.041190922,0.6340747,-0.68328905
296.325683,-0.016256452,0.69152164,-0.7024379
300.659179,-0.006681889,0.73939466,-0.66413975
305.633544,0.002892673,0.7872672,-0.6449909
308.410644,0.003484875,0.9263396,-0.4517727
312.133789,0.07050681,0.9263396,-0.38475084
316.345214,0.108805045,0.8784671,-0.30815458
320.67871,0.13752873,0.8784671,-0.19325972
326.049804,0.108805045,0.81144524,-0.07836485
328.918457,0.003484875,0.7635722,-0.011343002
332.824707,-0.025238812,0.67740107,0.03652954
336.425781,-0.044387907,0.5816555,0.093976974
340.301513,-0.03671205,0.6583166,0.27625275
346.160888,-0.10373396,0.53384733,0.28582716
348.90747,-0.1420322,0.45725107,0.41029644
352.752685,-0.18990502,0.42852736,0.3719983
356.323242,-0.27607602,0.45725107,0.30497646
360.595703,-0.27607602,0.45725107,0.1900816
365.997314,-0.21862867,0.32320738,0.14220905
368.743896,-0.26757303,0.7198634,0.6543517
372.528076,-0.20055112,0.5666704,0.56818056
376.220703,-0.123954624,0.3847537,0.5011587
380.523681,-0.1048055,0.20283699,0.520308
386.413574,-0.047358155,0.059218407,0.5011587
389.160156,0.01966378,-0.07482529,0.44371128
393.096923,0.15370762,-0.21844387,0.43413687
396.820068,0.17285675,-0.256742,0.3575406
400.45166,0.16328219,-0.35248756,0.26179504
406.219482,0.10583482,-0.515255,0.060729027
409.027099,0.007128559,-0.19195557,0.8037629
412.872314,0.0454268,-0.6323862,0.69844294
416.351318,-0.050318807,-0.98664474,0.6122718
420.593261,-0.11734073,-1.2260084,0.55482435
424.407959,-0.13648985,-1.3504782,0.52610064
428.375244,-0.1939372,-1.4174995,0.38248253
432.556152,-0.23223545,-1.4270744,0.31546068
436.157226,-0.22266088,-1.4270744,0.18141651
440.490722,-0.28122795,-1.0966845,0.6044736
444.396972,-0.24292973,-1.1158333,0.4417057
448.364257,-0.15675867,-1.144557,0.25978947
452.575683,-0.032289386,-1.144557,0.05872345
456.115722,0.07303078,-1.1541319,-0.20936441
459.899902,0.1879255,-1.144557,-0.39128065
463.714599,0.3123948,-1.1062584,-0.6785178
467.98706,0.25711125,-0.832798,-0.37817192
471.984863,0.3624314,-0.8136492,-0.57923746
476.287841,0.45817697,-0.78492546,-0.70370674
480.072021,0.5539226,-0.78492546,-0.70370674
484.283447,0.66881734,-0.74662685,-0.7611542
488.555908,0.73583925,-0.73705196,-0.7515795
492.858886,0.783712,-0.6508808,-0.7420051
496.704101,0.7645629,-0.6221571,-0.7515795
500.274658,0.7005846,-0.4961834,-0.48380065
503.90625,0.65271175,-0.50575733,-0.46465158
508.239746,0.61441356,-0.57277966,-0.48380065
512.695312,0.5569662,-0.5536308,-0.43592787
516.265869,0.53781706,-0.5919285,-0.42635345
519.927978,0.47079515,-0.5919285,-0.39762974
523.55957,0.4995188,-0.6015034,-0.39762974
527.893066,0.4995188,-0.5249071,-0.35933137
532.226562,0.50909334,-0.50575733,-0.3880551
535.858154,0.50909334,-0.50575733,-0.40720415
539.520263,0.4640801,-0.5518007,-0.40143728
543.884277,0.42578185,-0.523077,-0.3727138
548.217773,0.4162073,-0.46562958,-0.39186287
552.398681,0.37790906,-0.41775703,-0.40143728
555.969238,0.36833447,-0.3124361,-0.41101193
559.570312,0.30131257,-0.23583984,-0.40143728
563.50708,0.25343978,-0.16881847,-0.430161
567.962646,0.21318857,-0.16005611,-0.5001471
572.082519,0.14616664,-0.1792059,-0.50972176
576.293945,0.059995607,-0.20792866,-0.4235506
580.169677,0.012122795,-0.18877983,-0.32780504
583.770752,-0.07404825,-0.11218357,-0.20333576
588.378906,-0.21766666,-0.02601242,0.0456028
