time,x,y,z
0.0,0.512239,1.8239537,9.464453
6.164551,0.5792609,1.7856555,9.483603
9.094239,0.5313881,1.8048047,9.435729
13.000489,0.47394073,1.8335283,9.41658
15.594483,0.42606795,1.8431029,9.397431
19.989014,0.4164934,1.8526775,9.359133
25.909424,0.40691882,1.8143792,9.368708
28.594973,0.44521707,1.7473572,9.349558
32.440186,0.47394073,1.7377827,9.31126
36.31592,0.5313881,1.709059,9.301685
40.06958,0.56011176,1.6994845,9.263388
43.792725,0.5888355,1.7186337,9.215514
47.63794,0.5792609,1.7473572,9.196365
52.06299,0.54096264,1.79523,9.167642
55.847168,0.56011176,1.8143792,9.18679
59.99756,0.5218136,1.8239537,9.129343
63.78174,0.5218136,1.8431029,9.0814705
67.44385,0.5313881,1.8239537,9.091045
71.71631,0.512239,1.8239537,9.071896
75.805664,0.512239,1.7856555,9.043172
80.04761,0.49308985,1.79523,9.043172
84.77783,0.50266445,1.7856555,8.995299
87.95167,0.4835153,1.7569319,8.995299
92.07153,0.45479164,1.776081,8.947427
95.76416,0.46436617,1.8048047,8.918703
99.76196,0.4835153,1.8143792,8.957002
103.515625,0.512239,1.8239537,8.937852
107.1167,0.5218136,1.776081,8.937852
111.29761,0.54096264,1.7856555,8.966576
115.53955,0.5792609,1.7569319,8.985725
119.20167,0.61755913,1.7473572,9.033598
122.52808,0.5792609,1.7569319,8.995299
127.44141,0.5888355,1.7186337,9.043172
131.74438,0.61755913,1.7473572,9.0814705
135.4065,0.56968635,1.7282082,9.0814705
139.09912,0.56968635,1.7856555,9.0814705
142.8833,0.56968635,1.79523,9.091045
147.70508,0.5313881,1.7856555,9.091045
152.22168,0.512239,1.7856555,9.033598
155.88379,0.512239,1.79523,9.052747
159.48486,0.4835153,1.7569319,9.091045
163.26904,0.5218136,1.7473572,9.024023
167.26685,0.47394073,1.709059,9.014449
171.32568,0.5313881,1.6994845,8.995299
174.77417,0.5505372,1.6516117,8.985725
178.37524,0.5792609,1.622888,9.033598
182.18994,0.56011176,1.622888,9.014449
187.65259,0.5505372,1.6611862,8.995299
192.68799,0.5792609,1.6611862,8.937852
196.8689,0.6079846,1.6611862,8.947427
201.35498,0.61755913,1.6803354,8.9761505
205.41382,0.61755913,1.6803354,8.9761505
208.46556,0.5888355,1.7569319,8.9761505
212.89063,0.56968635,1.7665064,9.033598
217.37671,0.56011176,1.7856555,9.110194
221.64917,0.5218136,1.776081,9.167642
227.47803,0.5313881,1.7473572,9.225089
232.48291,0.56968635,1.7856555,9.330409
236.60278,0.56011176,1.79523,9.320834
240.9363,0.5888355,1.7665064,9.31126
247.83325,0.56968635,1.7856555,9.31126
252.7771,0.5313881,1.7665064,9.272962
256.958,0.5313881,1.7473572,9.263388
261.4441,0.49308985,1.7186337,9.272962
267.82227,0.4835153,1.6324625,9.18679
272.61353,0.45479164,1.5941644,9.177217
276.79443,0.45479164,1.5941644,9.138918
281.28052,0.44521707,1.6037389,9.119769
287.71973,0.4835153,1.622888,9.148493
292.66357,0.46436617,1.6707608,9.167642
296.93604,0.47394073,1.7282082,9.18679
301.5747,0.4835153,1.7377827,9.253813
307.52563,0.54096264,1.7569319,9.2825365
312.37793,0.5505372,1.7569319,9.272962
316.58936,0.5792609,1.7569319,9.2825365
320.77026,0.56968635,1.7473572,9.29211
324.9817,0.54096264,1.7473572,9.272962
329.40674,0.5313881,1.7282082,9.263388
333.98438,0.49308985,1.7856555,9.301685
338.10425,0.49308985,1.776081,9.234664
341.09497,0.47394073,1.7282082,9.215514
344.9707,0.4835153,1.709059,9.244238
348.69385,0.512239,1.6994845,9.18679
352.14233,0.54096264,1.6803354,9.196365
356.10962,0.5505372,1.6611862,9.244238
360.0769,0.5218136,1.6420372,9.215514
364.01367,0.5313881,1.6707608,9.20594
368.34717,0.5313881,1.6611862,9.196365
372.406,0.54096264,1.6803354,9.215514
375.91553,0.5218136,1.6611862,9.196365
379.97437,0.5313881,1.622888,9.196365
383.8501,0.46436617,1.6420372,9.100619
388.24463,0.49308985,1.6707608,9.100619
392.33398,0.49308985,1.6803354,9.0814705
396.08765,0.49308985,1.6803354,9.071896
399.96338,0.4835153,1.7282082,9.091045
403.77808,0.50266445,1.7186337,9.129343
407.92847,0.54096264,1.7473572,9.119769
412.23145,0.5218136,1.7569319,9.167642
415.77148,0.56968635,1.7665064,9.215514
419.9829,0.5792609,1.7665064,9.18679
423.52295,0.56011176,1.8048047,9.272962
427.91748,0.59841,1.8239537,9.2825365
432.03735,0.5792609,1.8048047,9.2825365
435.6079,0.56011176,1.8431029,9.253813
439.97192,0.56968635,1.8335283,9.272962
444.0918,0.5313881,1.8239537,9.215514
447.7234,0.54096264,1.8143792,9.244238
451.11084,0.50266445,1.7856555,9.20594
455.07813,0.5313881,1.7282082,9.148493
459.0454,0.4835153,1.709059,9.110194
462.98218,0.512239,1.7186337,9.071896
467.5293,0.512239,1.6803354,9.004874
471.55762,0.5218136,1.6324625,8.966576
475.4944,0.5218136,1.6516117,8.966576
479.24805,0.5505372,1.622888,8.9761505
482.7881,0.5505372,1.6133134,9.033598
487.57935,0.56968635,1.6133134,9.033598
491.79077,0.56968635,1.6324625,9.071896
495.51392,0.59841,1.6516117,9.110194
499.08447,0.6271337,1.6899099,9.129343
502.56348,0.6558574,1.709059,9.129343
507.59888,0.69415563,1.7377827,9.148493
511.84082,0.69415563,1.7569319,9.148493
515.35034,0.6845811,1.776081,9.158067
519.01245,0.6558574,1.8143792,9.20594
522.67456,0.6558574,1.7569319,9.148493
527.9846,0.6558574,1.7856555,9.177217
532.22656,0.665432,1.79523,9.138918
535.7666,0.665432,1.7856555,9.110194
539.67285,0.64628285,1.7665064,9.062322
543.3655,0.64628285,1.7282082,9.100619
548.03467,0.6079846,1.7186337,9.091045
552.2156,0.61755913,1.6516117,9.0814705
556.2134,0.61755913,1.6611862,9.0814705
559.9365,0.5888355,1.6037389,9.129343
563.78174,0.5888355,1.6037389,9.129343
567.81006,0.5888355,1.622888,9.119769
572.14355,0.5313881,1.6037389,9.138918
575.6225,0.5313881,1.6037389,9.138918
579.1626,0.45479164,1.6324625,9.138918
583.0383,0.49308985,1.6420372,9.158067
588.1653,0.4356425,1.6803354,9.215514
592.65137,0.4356425,1.6994845,9.225089
596.1609,0.4164934,1.6803354,9.234664
599.8535,0.46436617,1.6707608,9.234664
603.4851,0.46436617,1.6707608,9.234664
608.24585,0.47394073,1.6707608,9.196365
612.57935,0.47394073,1.6899099,9.20594
616.333,0.46436617,1.6420372,9.253813
619.90356,0.46436617,1.6420372,9.253813
623.90137,0.4356425,1.6899099,9.244238
626.3733,0.46436617,1.6899099,9.272962
629.97437,0.39734426,1.6611862,9.272962
633.6975,0.39734426,1.6611862,9.31126
637.57324,0.359046,1.6516117,9.320834
641.4795,0.3877697,1.6516117,9.244238
645.1416,0.3877697,1.6707608,9.225089
649.38354,0.44521707,1.6611862,9.20594
653.0152,0.37819514,1.709059,9.234664
656.9824,0.4356425,1.6803354,9.263388
661.4685,0.46436617,1.6707608,9.234664
664.978,0.47394073,1.6611862,9.301685
669.4336,0.45479164,1.6803354,9.2825365
673.33984,0.47394073,1.6994845,9.263388
676.9409,0.4835153,1.6899099,9.263388
680.8777,0.50266445,1.6994845,9.215514
684.96704,0.5218136,1.6803354,9.18679
688.7512,0.5218136,1.6994845,9.244238
692.9322,0.5505372,1.6803354,9.225089
697.2046,0.5792609,1.6899099,9.215514
701.0498,0.6079846,1.709059,9.167642
705.5359,0.59841,1.7569319,9.177217
709.10645,0.64628285,1.7282082,9.18679
712.40234,0.665432,1.7569319,9.167642
716.3696,0.69415563,1.7473572,9.196365
720.52,0.69415563,1.7377827,9.18679
725.25024,0.70373017,1.7569319,9.20594
728.9429,0.7324539,1.709059,9.18679
732.5134,0.71330476,1.6994845,9.167642
736.5112,0.71330476,1.6994845,9.167642
740.57007,0.70373017,1.709059,9.225089
744.20166,0.665432,1.6707608,9.158067
748.50464,0.64628285,1.6611862,9.158067
752.7161,0.70373017,1.6516117,9.129343
756.13403,0.6558574,1.6707608,9.148493
759.9487,0.6079846,1.709059,9.110194
763.8855,0.6271337,1.6994845,9.052747
768.5242,0.6558574,1.6994845,9.0814705
772.7051,0.6079846,1.7377827,9.043172
776.27563,0.6079846,1.6994845,9.052747
779.93774,0.665432,1.7186337,9.062322
783.6914,0.56968635,1.6899099,9.052747
788.5742,0.61755913,1.6803354,9.062322
792.6941,0.6271337,1.6611862,9.004874
796.23413,0.6079846,1.6803354,9.052747
799.9573,0.56011176,1.6994845,9.062322
803.92456,0.61755913,1.709059,9.071896
808.6548,0.59841,1.709059,9.052747
812.6526,0.5888355,1.7186337,9.043172
816.1011,0.5505372,1.7186337,9.033598
819.9768,0.5505372,1.776081,9.071896
823.69995,0.512239,1.7569319,9.110194
828.73535,0.54096264,1.7186337,9.138918
832.7942,0.5218136,1.6899099,9.0814705
836.6089,0.5218136,1.6707608,9.129343
840.17944,0.512239,1.6611862,9.071896
843.7805,0.512239,1.6994845,9.100619
848.7854,0.5218136,1.709059,9.071896
853.1189,0.5313881,1.6899099,9.071896
856.6284,0.5313881,1.6899099,9.071896
860.13794,0.54096264,1.6803354,9.071896
864.41046,0.56968635,1.6707608,9.110194
868.86597,0.5505372,1.6899099,9.129343
872.1008,0.56968635,1.6516117,9.110194
876.0681,0.61755913,1.6803354,9.148493
880.64575,0.56011176,1.6994845,9.177217
884.82666,0.56011176,1.6994845,9.177217
889.0381,0.59841,1.709059,9.148493
892.3645,0.5888355,1.709059,9.196365
896.5149,0.5313881,1.6420372,9.18679
901.0925,0.56011176,1.6133134,9.225089
905.7312,0.512239,1.5750152,9.272962
910.7361,0.5218136,1.5462915,9.244238
915.37476,0.512239,1.5750152,9.253813
919.4946,0.5505372,1.6133134,9.225089
923.7671,0.5313881,1.6516117,9.263388
926.48315,0.5313881,1.709059,9.244238
930.8777,0.5313881,1.6994845,9.253813
936.0657,0.5313881,1.7377827,9.263388
940.91797,0.54096264,1.7282082,9.225089
945.40405,0.56968635,1.7186337,9.225089
950.1343,0.56968635,1.709059,9.225089
954.895,0.56011176,1.7186337,9.253813
959.0149,0.5505372,1.7186337,9.263388
963.4094,0.6079846,1.7282082,9.272962
966.2781,0.56011176,1.7282082,9.225089
970.67267,0.5313881,1.7377827,9.253813
975.708,0.5792609,1.7282082,9.253813
980.80444,0.5888355,1.7282082,9.215514
984.95483,0.54096264,1.7377827,9.272962
989.1052,0.54096264,1.7377827,9.272962
993.8965,0.5218136,1.7282082,9.225089
997.49756,0.47394073,1.7186337,9.18679
1002.655,0.5218136,1.7569319,9.215514
1007.2937,0.49308985,1.7665064,9.215514
1012.6953,0.5313881,1.7473572,9.167642
1016.8457,0.5505372,1.7473572,9.148493
1021.24023,0.54096264,1.709059,9.129343
1025.3906,0.512239,1.7473572,9.167642
1030.426,0.5218136,1.7186337,9.100619
1034.7595,0.49308985,1.7377827,9.062322
1038.9404,0.49308985,1.7665064,9.119769
1043.7317,0.49308985,1.7665064,9.119769
1046.9971,0.5218136,1.8048047,9.18679
1052.4292,0.54096264,1.7856555,9.119769
1057.1289,0.56968635,1.7665064,9.167642
1062.1643,0.56011176,1.776081,9.18679
1066.803,0.56968635,1.7569319,9.158067
1071.7468,0.56968635,1.7473572,9.177217
1076.9043,0.56968635,1.7473572,9.119769
1081.9702,0.5888355,1.7282082,9.138918
1086.6699,0.56968635,1.7282082,9.100619
1091.5833,0.5792609,1.6611862,9.100619
1096.7712,0.5792609,1.6516117,9.052747
1101.654,0.5505372,1.6516117,9.071896
1105.8044,0.5888355,1.6803354,9.071896
1109.9548,0.5792609,1.6707608,9.119769
1113.4338,0.56968635,1.6899099,9.119769
1117.5842,0.6079846,1.6803354,9.177217
1122.1924,0.5888355,1.7377827,9.177217
1126.8005,0.6079846,1.7569319,9.18679
1131.8054,0.59841,1.7665064,9.158067
1136.3525,0.5888355,1.79523,9.18679
1140.6555,0.5888355,1.8048047,9.196365
1144.8975,0.56968635,1.7665064,9.18679
1149.8718,0.5505372,1.7569319,9.119769
1156.0059,0.5313881,1.7665064,9.158067
1161.1328,0.54096264,1.7856555,9.119769
1165.2832,0.56011176,1.8048047,9.148493
1170.166,0.56968635,1.8239537,9.158067
1173.5535,0.5792609,1.8143792,9.158067
1178.1616,0.5792609,1.7856555,9.177217
1182.4036,0.6079846,1.7186337,9.138918
1186.4625,0.6079846,1.7186337,9.138918
1190.979,0.6079846,1.6037389,9.18679
1196.2891,0.5792609,1.622888,9.177217
1201.2024,0.56011176,1.6420372,9.110194
1205.9326,0.5888355,1.6611862,9.110194
1210.968,0.56011176,1.6707608,9.110194
1216.0339,0.56011176,1.6899099,9.129343
1221.0388,0.56011176,1.6707608,9.148493
1225.2197,0.5313881,1.6324625,9.138918
1229.4922,0.5313881,1.6324625,9.138918
1232.9102,0.59841,1.6133134,9.177217
1237.03,0.56011176,1.5750152,9.167642
1241.4856,0.56011176,1.6133134,9.177217
1246.1853,0.56011176,1.6516117,9.234664
1251.1597,0.56011176,1.7569319,9.215514
1255.7068,0.56011176,1.7665064,9.20594
1259.9792,0.54096264,1.862252,9.18679
1264.3127,0.54096264,1.8814012,9.196365
1268.5548,0.5313881,1.8431029,9.215514
1272.1252,0.54096264,1.8335283,9.18679
1276.825,0.5792609,1.7377827,9.196365
1281.8604,0.5792609,1.7186337,9.167642
1286.56,0.54096264,1.6899099,9.148493
1291.3818,0.56011176,1.6899099,9.138918
1296.6614,0.512239,1.6516117,9.158067
1301.5747,0.56011176,1.6707608,9.148493
1306.1218,0.5218136,1.6899099,9.20594
1311.2794,0.5792609,1.7377827,9.177217
1316.3757,0.59841,1.6994845,9.18679
1321.3196,0.6079846,1.709059,9.234664
1326.0193,0.6271337,1.709059,9.215514
1331.5735,0.6558574,1.6994845,9.18679
1336.5785,0.6845811,1.7186337,9.177217
1341.5527,0.70373017,1.6994845,9.167642
1345.6726,0.64628285,1.6899099,9.119769
1351.4099,0.6271337,1.6899099,9.158067
1355.896,0.54096264,1.709059,9.100619
1360.0769,0.5218136,1.7377827,9.158067
1364.2273,0.5218136,1.7377827,9.158067
1368.2861,0.54096264,1.7665064,9.215514
1371.8262,0.5313881,1.7665064,9.234664
1376.6174,0.5218136,1.7377827,9.29211
1381.5002,0.5218136,1.6994845,9.2825365
1386.1694,0.54096264,1.7186337,9.225089
1391.571,0.5505372,1.7186337,9.18679
1396.5454,0.56968635,1.7569319,9.177217
1401.4587,0.56968635,1.7473572,9.091045
1405.548,0.5313881,1.7473572,9.100619
1411.6211,0.512239,1.7569319,9.110194
1416.1072,0.512239,1.7377827,9.158067
1420.1965,0.56011176,1.7377827,9.177217
1425.1709,0.5888355,1.709059,9.167642
1430.8473,0.59841,1.7282082,9.177217
1434.021,0.5792609,1.776081,9.177217
1438.1104,0.5505372,1.7569319,9.18679
1441.1926,0.6079846,1.709059,9.215514
1445.3125,0.5888355,1.6707608,9.0814705
1450.9277,0.56968635,1.6611862,9.071896
1453.888,0.5792609,1.6420372,9.0814705
1458.0994,0.56011176,1.6037389,9.071896
1461.1816,0.54096264,1.5558661,9.062322
1465.9729,0.54096264,1.5462915,9.052747
1471.0083,0.5313881,1.6037389,9.062322
1474.6399,0.56011176,1.6037389,9.100619
1479.2786,0.5888355,1.6707608,9.100619
1484.1003,0.6079846,1.6899099,9.138918
1488.9832,0.6079846,1.7282082,9.18679
1492.7368,0.6558574,1.709059,9.263388
1497.1923,0.64628285,1.776081,9.215514
1501.4955,0.64628285,1.7665064,9.234664
1505.6763,0.63670826,1.7856555,9.225089
1509.7961,0.6079846,1.7473572,9.253813
1513.031,0.56011176,1.7665064,9.244238
1517.0593,0.5313881,1.7473572,9.234664
1521.6675,0.5218136,1.6994845,9.177217
1526.5503,0.47394073,1.6803354,9.177217
1531.2195,0.50266445,1.6516117,9.138918
1536.2854,0.5218136,1.6516117,9.158067
1541.2294,0.5218136,1.6420372,9.110194
1545.1661,0.5313881,1.6324625,9.091045
1549.1333,0.56968635,1.6803354,9.138918
1552.3987,0.5888355,1.6611862,9.110194
1556.5186,0.56968635,1.6899099,9.0814705
1560.73,0.54096264,1.6994845,9.129343
1564.1785,0.59841,1.7186337,9.148493
1567.5659,0.5888355,1.7186337,9.148493
1572.2046,0.59841,1.7186337,9.20594
1576.1414,0.5888355,1.7473572,9.20594
1579.9255,0.5792609,1.7665064,9.167642
1583.6182,0.5888355,1.7856555,9.167642
1587.3413,0.61755913,1.8143792,9.167642
1592.2852,0.59841,1.8335283,9.148493
1596.1304,0.59841,1.8048047,9.138918
1599.9146,0.56011176,1.776081,9.158067
1603.6378,0.5505372,1.7569319,9.100619
1607.1472,0.5505372,1.7186337,9.167642
1612.3657,0.5313881,1.6611862,9.158067
1616.8823,0.5313881,1.6803354,9.148493
