time,x,y,z
0,0.109024405,-0.62001705,0.3353567
4.425049,-0.9537518,-1.3764074,-0.07634926
9.155274,-1.3080106,-1.2615126,-0.2965641
13.824463,-1.0877956,-0.20831096,-0.30613804
18.005371,-0.58034396,0.36616254,-0.13379669
22.125244,-0.044168532,0.46190834,0.08641815
26.45874,0.38668668,0.34701347,0.14386559
31.341553,0.60299903,0.070525646,0.03804207
35.614014,0.54555166,-0.101816535,-0.03855419
39.18457,0.3157622,-0.092242,-0.15344906
42.72461,0.01895082,0.022652864,-0.27791786
46.661377,-0.23956233,0.16627121,-0.27791786
49.89624,-0.32573336,0.25244212,-0.27791786
53.863526,-0.35445708,0.30988955,-0.22047043
58.502197,-0.35445708,0.27159142,-0.163023
62.133789,-0.25338572,0.18014741,-0.04862976
66.131592,-0.08104366,0.084401846,-0.010332108
70.19043,0.0912984,0.007805347,0.01839161
74.035645,0.18704402,-0.030492783,-7.57E-04
78.521729,0.22534227,-0.049641967,-0.010332108
82.550049,0.2349168,-0.049641967,-0.08692837
86.456299,0.2349168,-0.087940216,-0.115652084
89.59961,0.19643605,-0.060788035,-0.16575146
93.536377,0.13898867,-0.11823547,-0.2519226
97.625733,0.17728692,-0.2044065,-0.29979515
101.501465,0.20601058,-0.281003,-0.3380928
106.35376,0.21558517,-0.34802485,-0.42426395
110.229492,0.21558517,-0.31930125,-0.43383884
114.379883,0.20601058,-0.281003,-0.49128628
117.980957,0.18686146,-0.24270475,-0.58703136
121.368408,0.24871916,-0.22942805,-0.6436634
126.373291,0.34446478,-0.21027899,-0.63408947
130.67627,0.3636139,-0.18155527,-0.60536575
134.521485,0.38276303,-0.21985352,-0.56706715
138.183594,0.41148672,-0.13368249,-0.5479183
141.723633,0.40191215,-0.037936926,-0.42344856
146.087647,0.3923376,0.038659573,-0.3564272
150.085449,0.31191173,0.10731292,-0.34348202
153.839111,0.30233717,0.12646198,-0.34348202
157.531738,0.2927626,0.12646198,-0.29560947
161.346436,0.2448898,0.10731292,-0.26688576
166.381836,0.28318807,0.021141768,-0.23816204
170.410156,0.31191173,0.001992703,-0.21901321
174.285889,0.35978454,-0.08417833,-0.27646065
177.947998,0.35978454,-0.14162576,-0.29560947
181.854248,0.36417177,-0.12242508,-0.33074665
186.401367,0.39289546,-0.1511488,-0.34989548
190.307617,0.3833209,-0.24689436,-0.3690443
194.396973,0.37374634,-0.37136364,-0.44564152
198.852539,0.36417177,-0.44796014,-0.45521545
203.24707,0.36417177,-0.44796014,-0.45521545
207.397461,0.3545972,-0.5149821,-0.4073429
210.784912,0.2977964,-0.562886,-0.36972618
213.83667,0.2977964,-0.5437368,-0.2644062
217.956543,0.31694552,-0.50543857,-0.20695877
222.106934,0.30737096,-0.45756578,-0.20695877
226.409912,0.3265201,-0.41926754,-0.07291508
231.506348,0.3265201,-0.41926754,-0.07291508
235.900879,0.3743929,-0.3522457,0.051553726
240.081787,0.30737096,-0.3522457,0.04197979
246.09375,0.3456692,-0.3522457,0.10900116
250.732422,0.30496532,-0.34471774,0.13995743
254.974365,0.27624163,-0.31599402,0.1208086
259.277344,0.27624163,-0.34471774,0.053786278
263.977051,0.2666671,-0.39259052,0.082509995
268.52417,0.19007063,-0.40216506,0.082509995
272.705078,0.19007063,-0.43088877,0.04421234
277.038574,0.16134691,-0.43088877,0.053786278
280.090332,0.12581956,-0.43120718,0.07924938
286.590576,0.058797657,-0.3546108,0.050525665
290.618897,0.010924876,-0.31631255,0.08882332
294.677735,0.010924876,-0.31631255,0.08882332
298.217774,0.020499408,-0.37375987,0.002652168
301.696777,0.020499408,-0.37375987,0.002652168
306.091309,0.020499408,-0.34503615,-0.035645485
310.913086,0.011021972,-0.18618405,0.08612919
314.941406,0.03974563,-0.02341652,0.16272545
318.450928,0.03974563,-0.02341652,0.16272545
322.08252,0.03974563,0.043605328,0.20102406
326.11084,0.058894753,0.05317998,0.28719425
