time,x,y,z
0,-0.039950587,0.02130698,-0.007990118
4.486084,-0.07723781,0.05326745,0.002663373
8.148193,-0.07723781,0.05326745,0.002663373
12.542724,-0.093218036,0.058594197,0.002663373
19.958496,-0.10387153,0.04261396,0
23.773193,-0.10919827,0.01065349,-0.005326745
27.648925,-0.10387153,-0.023970352,-0.01065349
32.50122,-0.098544784,-0.058594197,-0.013316862
39.794921,-0.10919827,-0.10120816,-0.018643608
43.640136,-0.10919827,-0.10120816,-0.018643608
47.424316,-0.122515135,-0.117188394,-0.02130698
52.215576,-0.13316862,-0.13050525,-0.026633725
59.509277,-0.13849537,-0.14914887,-0.02130698
63.415527,-0.13849537,-0.14914887,-0.02130698
67.260742,-0.12784189,-0.14914887,-0.01065349
77.087402,-0.08522792,-0.1464855,0.005326745
81.14624,-0.061257567,-0.1464855,0.01065349
88.500976,-0.045277335,-0.15181224,0.01065349
92.773437,-0.04261396,-0.15713897,0.013316862
100.402832,-0.061257567,-0.14914887,0.031960472
104.949951,-0.058594197,-0.12517852,0.045277335
109.039306,-0.058594197,-0.12517852,0.045277335
113.067627,-0.047940705,-0.098544784,0.055930823
120.361328,-0.023970352,-0.058594197,0.063920945
124.053955,-0.023970352,-0.058594197,0.063920945
127.532959,-0.018643608,-0.058594197,0.063920945
134.521484,-0.013316862,-0.06658431,0.063920945
138.85498,-0.013316862,-0.07457443,0.06658431
142.822265,-0.013316862,-0.07457443,0.069247685
147.216796,-0.013316862,-0.069247685,0.07457443
154.327392,-0.01065349,-0.061257567,0.07457443
158.660888,-0.007990118,-0.05326745,0.069247685
162.841796,0,-0.04261396,0.06658431
170.166015,0.015980236,-0.023970352,0.063920945
174.102783,0.015980236,-0.023970352,0.063920945
178.436279,0.029297099,-0.018643608,0.063920945
182.586669,0.037287217,-0.018643608,0.063920945
186.798095,0.04261396,-0.023970352,0.058594197
193.969726,0.037287217,-0.029297099,0.05326745
198.45581,0.029297099,-0.034623843,0.045277335
202.911377,0.015980236,-0.039950587,0.037287217
206.878662,0.002663373,-0.045277335,0.031960472
211.05957,-0.007990118,-0.05060408,0.026633725
218.536377,-0.015980236,-0.061257567,0.023970352
222.625732,-0.02130698,-0.06658431,0.023970352
