time,x,y,z
0,1.5271424,0.03351096,9.579348
3.967285,1.5271424,0.03351096,9.579348
6.469727,1.5654407,-0.0718092,9.636795
10.101319,1.6420372,-0.20585304,9.675094
14.068604,1.6516117,-0.27287498,9.684668
17.761231,1.6420372,-0.27287498,9.761265
21.667481,1.6133134,-0.26330042,9.780414
25.604248,1.5750152,-0.23457673,9.837861
29.571533,1.5271424,-0.17712937,9.818711
33.599854,1.5079932,-0.110107444,9.809137
37.475586,1.5367169,-0.081383765,9.770839
41.442871,1.5845897,-0.081383765,9.742115
45.684815,1.5941644,-0.11968201,9.62722
49.407959,1.6324625,-0.17712937,9.617646
53.314209,1.6516117,-0.27287498,9.608071
57.250977,1.6994845,-0.27287498,9.531475
61.218262,1.7282082,-0.25372586,9.445304
65.612793,1.7473572,-0.17712937,9.378282
69.549561,1.7569319,-0.10053288,9.41658
73.394776,1.7473572,-0.062234644,9.474028
77.758789,1.7665064,-0.043085523,9.41658
81.542969,1.776081,-0.05266008,9.435729
85.601807,1.79523,-0.11968201,9.445304
89.233399,1.776081,-0.16755481,9.397431
93.200684,1.79523,-0.15798025,9.378282
97.473145,1.776081,-0.14840569,9.330409
101.44043,1.8143792,-0.12925656,9.3878565
105.041504,1.8526775,-0.110107444,9.2825365
109.466553,1.9005502,-0.062234644,9.29211
113.616944,1.8814012,-0.062234644,9.263388
117.340088,1.929274,-0.062234644,9.244238
121.124268,1.9579976,-0.081383765,9.301685
124.786377,1.9962958,-0.110107444,9.20594
129.547119,2.0633178,-0.17712937,9.20594
133.850098,2.0250196,-0.18670394,9.225089
137.390137,1.9675722,-0.16755481,9.158067
141.296387,1.9196993,-0.22500217,9.18679
144.836426,1.9196993,-0.30159867,9.253813
149.353027,1.8718265,-0.39734426,9.349558
153.411865,1.8239537,-0.4164934,9.397431
157.104492,1.7186337,-0.42606795,9.464453
160.858154,1.6899099,-0.4356425,9.483603
164.581299,1.6707608,-0.40691882,9.426155
169.73877,1.6324625,-0.36862057,9.407005
173.88916,1.6899099,-0.36862057,9.41658
177.429199,1.7569319,-0.4356425,9.512326
181.335449,1.776081,-0.49308985,9.579348
184.936524,1.8526775,-0.45479164,9.64637
190.032959,1.862252,-0.46436617,9.761265
193.023682,1.8526775,-0.4356425,9.722966
196.746826,1.8909757,-0.4164934,9.7899885
200.714111,1.8048047,-0.44521707,9.75169
204.254151,1.7569319,-0.4164934,9.722966
209.625244,1.709059,-0.34947145,9.569773
213.989258,1.7473572,-0.37819514,9.454879
217.681885,1.8048047,-0.40691882,9.435729
221.496582,1.8048047,-0.40691882,9.435729
225.067139,1.9101248,-0.4164934,9.397431
230.010986,1.929274,-0.512239,9.407005
233.215332,1.9675722,-0.45479164,9.397431
236.755371,2.015445,-0.40691882,9.41658
240.386963,2.0633178,-0.3398969,9.3878565
244.140625,2.0441687,-0.27287498,9.359133
247.558594,2.0920415,-0.17712937,9.3878565
252.136231,2.101616,-0.14840569,9.426155
256.164551,2.0728924,-0.11968201,9.560199
259.735108,2.034594,-0.10053288,9.569773
263.061524,2.0537431,-0.023936402,9.560199
267.028809,2.0250196,0.043085523,9.560199
271.667481,2.0250196,0.15798025,9.502751
276.245117,2.015445,0.27287498,9.550624
279.968262,1.9867213,0.26330042,9.474028
283.874512,2.0633178,0.18670394,9.435729
287.139893,2.1399143,0.110107444,9.378282
291.168213,2.1303396,0.03351096,9.31126
295.196533,2.101616,-0.014361841,9.215514
298.706055,2.168638,-0.11968201,9.129343
303.100586,2.187787,-0.23457673,9.167642
306.732178,2.2356598,-0.2920241,9.100619
311.218262,2.2069361,-0.32074776,9.119769
315.368652,2.1207652,-0.30159867,9.004874
319.061279,2.149489,-0.2920241,9.167642
322.448731,2.101616,-0.10053288,9.110194
326.416016,2.034594,0.03351096,9.167642
331.390381,2.0633178,0.10053288,9.244238
335.266113,2.1973617,0.16755481,9.272962
338.95874,2.3122563,0.26330042,9.31126
342.559815,2.3792782,0.36862057,9.368708
346.282959,2.34098,0.50266445,9.435729
351.135254,2.3026817,0.56968635,9.41658
