time,x,y,z
0.0,0.026633725,0.25834712,0.08256455
7.751465,0.031960472,0.21573317,0.135832
11.505127,0.05326745,0.14914887,0.21040644
15.411377,0.07457443,0.07457443,0.26900062
20.324709,0.07990117,0.007990118,0.271664
27.22168,0.069247685,-0.031960472,0.20241632
31.188965,0.05060408,-0.04261396,0.093218036
35.614017,0.031960472,-0.029297099,-0.01065349
43.73169,0.015980236,0.015980236,-0.07457443
47.821045,0.015980236,0.015980236,-0.07457443
51.452637,0.015980236,0.034623843,-0.02130698
55.267338,0.01065349,0.039950587,0.061257567
63.232426,0.0,0.031960472,0.15181224
67.19971,-0.031960472,-0.023970352,0.22638667
70.80078,-0.031960472,-0.023970352,0.22638667
75.164795,-0.061257567,-0.05060408,0.20507969
83.12988,-0.09055467,-0.06658431,0.15713897
87.06665,-0.117188394,-0.069247685,0.10387153
90.789795,-0.13316862,-0.069247685,0.061257567
95.39795,-0.14382212,-0.06658431,0.04261396
102.996826,-0.12517852,-0.07723781,0.063920945
107.421875,-0.098544784,-0.08256455,0.087891296
111.206055,-0.098544784,-0.08256455,0.087891296
115.02075,-0.069247685,-0.08522792,0.10387153
122.77222,-0.045277335,-0.08256455,0.11452502
127.34985,-0.0026633726,-0.069247685,0.11985177
131.65283,-0.0026633726,-0.069247685,0.11985177
135.98634,0.007990118,-0.061257567,0.11985177
140.50293,0.018643608,-0.055930823,0.122515135
145.17212,0.026633725,-0.05060408,0.11985177
149.20044,0.034623843,-0.047940705,0.11985177
156.21948,0.037287217,-0.045277335,0.117188394
160.49194,0.037287217,-0.04261396,0.111861646
164.85596,0.037287217,-0.039950587,0.10387153
170.74585,0.031960472,-0.037287217,0.098544784
174.59106,0.023970352,-0.034623843,0.093218036
183.10547,0.007990118,-0.031960472,0.087891296
187.56104,0.0,-0.029297099,0.08256455
191.77246,0.0,-0.029297099,0.08256455
196.10596,-0.007990118,-0.029297099,0.07723781
200.31738,-0.02130698,-0.029297099,0.07457443
204.6814,-0.034623843,-0.029297099,0.069247685
209.28955,-0.04261396,-0.031960472,0.06658431
217.31567,-0.05060408,-0.04261396,0.07191106
223.17505,-0.05060408,-0.047940705,0.08256455
227.66113,-0.055930823,-0.055930823,0.098544784
231.81152,-0.055930823,-0.055930823,0.098544784
236.05347,-0.06658431,-0.061257567,0.11452502
240.29541,-0.08256455,-0.06658431,0.12784189
244.4458,-0.1065349,-0.07191106,0.14115874
253.1128,-0.13849537,-0.07990117,0.1464855
257.35474,-0.20507969,-0.098544784,0.1464855
263.30566,-0.23970354,-0.11452502,0.1464855
267.8833,-0.27432737,-0.13050525,0.1464855
272.12524,-0.30895123,-0.15181224,0.15181224
276.27563,-0.30895123,-0.15181224,0.15181224
280.24292,-0.34623843,-0.17045584,0.15447561
284.63745,-0.386189,-0.18377271,0.15713897
292.5415,-0.42880297,-0.1944262,0.15713897
296.78345,-0.4767437,-0.19975294,0.15713897
300.90332,-0.52734774,-0.19975294,0.14914887
305.2063,-0.5832786,-0.19708957,0.14115874
309.11255,-0.6471995,-0.1944262,0.13316862
316.3147,-0.71644723,-0.18909945,0.12517852
320.25146,-0.7883583,-0.18377271,0.11452502
324.9817,-0.85760593,-0.18377271,0.1065349
332.15332,-0.99343795,-0.18643607,0.098544784
336.4563,-0.99343795,-0.18643607,0.098544784
340.48462,-1.065349,-0.18909945,0.098544784
347.99194,-1.222488,-0.19176282,0.10120816
352.32544,-1.3050525,-0.1944262,0.09588141
356.53687,-1.3050525,-0.1944262,0.09588141
360.5652,-1.3902805,-0.1944262,0.087891296
364.80713,-1.4701817,-0.19176282,0.07723781
371.73462,-1.544756,-0.18909945,0.06658431
375.70187,-1.5980235,-0.18643607,0.055930823
379.97437,-1.6353108,-0.18909945,0.04261396
387.57324,-1.6539544,-0.19708957,0.015980236
391.60156,-1.6539544,-0.19708957,0.015980236
395.5078,-1.6406375,-0.20241632,0.0
399.9939,-1.6193305,-0.20507969,-0.01065349
407.37915,-1.58737,-0.21040644,-0.037287217
411.34644,-1.58737,-0.21040644,-0.037287217
415.31372,-1.5900334,-0.21040644,-0.045277335
419.9829,-1.608677,-0.2130698,-0.05060408
427.18506,-1.6406375,-0.21040644,-0.05326745
431.15234,-1.6885782,-0.20774306,-0.05326745
435.11963,-1.7471724,-0.19975294,-0.055930823
443.84766,-1.8883312,-0.18909945,-0.069247685
447.9065,-1.952252,-0.18377271,-0.07723781
451.87378,-1.952252,-0.18377271,-0.07723781
455.47485,-2.0001929,-0.18110934,-0.08522792
463.92822,-2.03748,-0.18643607,-0.09588141
468.29224,-2.0268266,-0.1944262,-0.098544784
471.8628,-2.0268266,-0.1944262,-0.098544784
475.61646,-2.0001929,-0.20774306,-0.10120816
483.97827,-1.9282818,-0.23171341,-0.1065349
488.28125,-1.8963213,-0.23704016,-0.11452502
491.8518,-1.8963213,-0.23704016,-0.11452502
495.6665,-1.8776777,-0.2423669,-0.12517852
499.6338,-1.8776777,-0.24769364,-0.13316862
506.83594,-1.8963213,-0.24769364,-0.14115874
510.4065,-1.9309452,-0.25035703,-0.14382212
515.2893,-1.973559,-0.2530204,-0.14115874
524.41406,-2.066777,-0.2610105,-0.1464855
528.4424,-2.1040642,-0.26367387,-0.15713897
532.22656,-2.1040642,-0.26367387,-0.15713897
536.19385,-2.1280346,-0.2610105,-0.17045584
539.85596,-2.1413515,-0.25834712,-0.18110934
547.30225,-2.109391,-0.24769364,-0.18643607
551.0864,-2.109391,-0.24769364,-0.18643607
554.9011,-2.0694404,-0.2423669,-0.17844597
564.5752,-1.9575788,-0.23970354,-0.16246572
568.7256,-1.8963213,-0.23970354,-0.15713897
572.3572,-1.8963213,-0.23970354,-0.15713897
576.14136,-1.8350637,-0.23970354,-0.15447561
579.80347,-1.7764695,-0.23704016,-0.15447561
586.30365,-1.7205386,-0.23704016,-0.15713897
589.9658,-1.6672713,-0.23437679,-0.1651291
597.47314,-1.5740532,-0.23437679,-0.18643607
601.4404,-1.5740532,-0.23437679,-0.18643607
606.0791,-1.5341026,-0.23171341,-0.1944262
610.0769,-1.5021421,-0.22638667,-0.19975294
614.2883,-1.4728451,-0.22105992,-0.20241632
621.3989,-1.4488747,-0.21573317,-0.20241632
625.57983,-1.4249043,-0.21040644,-0.19708957
629.97437,-1.4115875,-0.20507969,-0.19176282
637.39014,-1.4515381,-0.19975294,-0.18909945
641.6321,-1.4515381,-0.19975294,-0.18909945
645.90454,-1.5021421,-0.19708957,-0.18909945
649.93286,-1.5580729,-0.1944262,-0.19176282
656.89087,-1.6140038,-0.18377271,-0.1944262
