time,x,y,z
0.0,0.0026633726,0.1464855,0.09055467
4.241943,-0.05326745,0.23437679,0.19975294
8.514404,-0.09055467,0.27432737,0.2610105
16.052246,-0.058594197,0.18909945,0.18909945
20.233154,-0.058594197,0.18909945,0.18909945
24.475096,-0.005326745,0.08522792,0.08522792
28.106688,0.05326745,-0.015980236,-0.015980236
35.40039,0.1065349,-0.08522792,-0.087891296
39.031982,0.135832,-0.1065349,-0.1065349
46.47827,0.11452502,-0.047940705,-0.007990118
52.886963,0.07723781,-0.01065349,0.055930823
56.732178,0.039950587,0.0026633726,0.098544784
60.333252,0.039950587,0.0026633726,0.098544784
64.2395,0.018643608,0.0,0.1065349
68.17627,0.013316862,-0.023970352,0.08256455
74.73755,0.026633725,-0.058594197,0.047940705
79.1626,0.047940705,-0.09588141,0.015980236
83.55713,0.063920945,-0.122515135,0.0026633726
90.36255,0.06658431,-0.135832,0.007990118
94.39087,0.058594197,-0.13050525,0.023970352
98.90747,0.045277335,-0.117188394,0.045277335
106.048584,0.029297099,-0.10120816,0.06658431
110.04639,0.023970352,-0.09055467,0.07723781
114.77661,0.026633725,-0.087891296,0.08256455
126.09863,0.047940705,-0.09588141,0.07990117
130.06592,0.055930823,-0.098544784,0.07191106
134.33838,0.069247685,-0.10120816,0.063920945
142.30347,0.08256455,-0.09588141,0.055930823
146.45386,0.10387153,-0.09055467,0.05060408
150.45166,0.12784189,-0.08522792,0.045277335
154.87671,0.15181224,-0.07990117,0.04261396
158.96606,0.17844597,-0.07990117,0.039950587
162.90283,0.19975294,-0.08256455,0.039950587
169.92188,0.22105992,-0.08522792,0.039950587
174.56055,0.23437679,-0.08256455,0.039950587
182.22046,0.2423669,-0.07457443,0.04261396
186.40137,0.24503027,-0.045277335,0.047940705
190.03296,0.24503027,-0.045277335,0.047940705
194.21387,0.2423669,-0.029297099,0.05060408
201.99585,0.24503027,-0.015980236,0.05060408
206.17676,0.2530204,-0.0026633726,0.05060408
210.44922,0.26633725,0.0026633726,0.05060408
214.99634,0.292971,0.005326745,0.045277335
219.72656,0.3302582,0.005326745,0.04261396
223.9685,0.3781989,0.0026633726,0.037287217
