time,x,y,z
0,-0.83777404,1.1345854,9.502751
4.486084,-1.1345854,1.6133134,9.474028
8.758545,-1.5462915,2.408002,9.474028
12.60376,-1.6994845,2.7909844,9.483603
16.876221,-1.6516117,2.6090677,9.512326
20.843506,-1.4888442,2.2643836,9.512326
24.688721,-1.3069274,1.8143792,9.41658
28.442383,-1.0196906,1.3739494,9.31126
32.440186,-0.78990126,1.0962871,9.301685
36.956787,-0.5792609,0.9622433,9.330409
39.733887,-0.39734426,1.0101161,9.31126
43.548584,-0.3398969,1.1537346,9.3878565
47.424317,-0.3398969,1.3165021,9.407005
51.391602,-0.4164934,1.4984187,9.454879
56.793213,-0.49308985,1.6037389,9.483603
60.821533,-0.56011176,1.622888,9.474028
64.758301,-0.5888355,1.5845897,9.5219
68.481446,-0.6271337,1.4984187,9.493176
72.052002,-0.63670826,1.4218222,9.435729
76.965332,-0.63670826,1.3643749,9.407005
81.115723,-0.63670826,1.3643749,9.407005
85.205078,-0.6079846,1.469695,9.378282
88.745117,-0.6079846,1.469695,9.378282
92.651367,-0.6271337,1.5175679,9.378282
97.015381,-0.5792609,1.5558661,9.378282
99.975586,-0.56968635,1.6133134,9.339984
103.851319,-0.59841,1.6899099,9.301685
107.513428,-0.5792609,1.7377827,9.234664
111.053467,-0.59841,1.8048047,9.234664
117.126465,-0.6079846,1.776081,9.263388
121.704102,-0.5888355,1.776081,9.330409
126.190186,-0.6079846,1.7473572,9.359133
131.072998,-0.59841,1.7569319,9.426155
135.437012,-0.56011176,1.709059,9.435729
140.014649,-0.6079846,1.6516117,9.454879
144.40918,-0.63670826,1.6516117,9.474028
148.773194,-0.63670826,1.6516117,9.474028
153.137207,-0.7228793,1.6707608,9.483603
157.165528,-0.7228793,1.6707608,9.483603
160.491944,-0.71330476,1.7282082,9.617646
164.916992,-0.6750065,1.6899099,9.560199
169.036865,-0.6750065,1.6899099,9.560199
173.400879,-0.6750065,1.5845897,9.684668
177.642822,-0.6750065,1.5845897,9.684668
182.58667,-0.69415563,1.4984187,9.6942425
186.676026,-0.6845811,1.469695,9.684668
190.185547,-0.69415563,1.4601204,9.703817
194.641113,-0.6845811,1.4601204,9.665519
198.944092,-0.7420284,1.4792696,9.703817
203.796387,-0.69415563,1.4505459,9.703817
207.977295,-0.69415563,1.4505459,9.703817
212.646485,-0.64628285,1.4122477,9.809137
216.217041,-0.64628285,1.4122477,9.809137
218.933106,-0.59841,1.383524,9.828286
222.808838,-0.5792609,1.3930986,9.809137
226.226807,-0.56968635,1.3739494,9.85701
229.766846,-0.5792609,1.3548003,9.866585
233.642578,-0.56011176,1.3548003,9.837861
238.067627,-0.56968635,1.3739494,9.809137
241.455078,-0.6271337,1.3739494,9.770839
245.788574,-0.64628285,1.4122477,9.732541
249.420166,-0.69415563,1.383524,9.703817
253.845215,-0.665432,1.3643749,9.6942425
258.300781,-0.64628285,1.3356512,9.64637
261.444092,-0.6558574,1.3165021,9.64637
265.50293,-0.59841,1.3452257,9.665519
269.042969,-0.56011176,1.3452257,9.665519
273.4375,-0.5888355,1.3548003,9.6942425
277.984619,-0.56011176,1.3452257,9.713391
280.761719,-0.6079846,1.3548003,9.675094
285.247803,-0.61755913,1.3452257,9.579348
288.879395,-0.6558574,1.3260766,9.5219
292.602539,-0.64628285,1.3260766,9.454879
298.400879,-0.63670826,1.2494801,9.435729
302.581787,-0.512239,1.0675635,9.41658
306.152344,-0.512239,1.0675635,9.41658
308.563233,-0.45479164,0.92394507,9.483603
312.683106,-0.4164934,0.8760723,9.502751
318.328858,-0.30159867,0.8952214,9.617646
322.601319,-0.3398969,1.0196906,9.665519
326.568604,-0.3398969,1.0196906,9.665519
329.071045,-0.36862057,1.1633091,9.655944
332.885742,-0.40691882,1.2207564,9.655944
338.317871,-0.44521707,1.2207564,9.6942425
341.064453,-0.50266445,1.1728836,9.579348
344.970703,-0.5218136,1.0771381,9.608071
348.571778,-0.5888355,0.9622433,9.579348
352.416992,-0.5792609,0.8856468,9.636795
356.109619,-0.54096264,0.8856468,9.722966
360.13794,-0.45479164,0.9622433,9.64637
364.501953,-0.39734426,1.0292653,9.579348
368.438721,-0.40691882,1.1154363,9.5889225
372.009278,-0.47394073,1.2207564,9.608071
375.915528,-0.5792609,1.2590547,9.770839
380.462647,-0.64628285,1.3930986,9.6942425
384.674072,-0.61755913,1.383524,9.617646
388.244629,-0.36862057,1.2016073,9.493176
392.364502,-0.359046,1.0579889,9.100619
395.355225,-0.47394073,0.8856468,8.851681
399.658203,-0.4835153,0.83777404,8.535721
403.747559,-0.50266445,0.8952214,8.296356
407.684326,-0.359046,0.8760723,8.401677
411.468506,-0.26330042,0.91437054,8.784659
415.252686,-0.11968201,0.83777404,9.033598
419.921875,-0.110107444,0.8473486,9.20594
424.499512,-0.014361841,1.2303311,9.5889225
428.161621,0.16755481,1.6707608,10.153821
431.793213,0.3398969,1.948423,10.6134
435.180664,0.71330476,2.0824668,10.891063
440.032959,1.0675635,1.8814012,10.71872
444.30542,1.1537346,1.4984187,10.316589
447.96753,0.9430942,1.0484143,10.172971
451.568604,0.15798025,1.0962871,13.849602
454.620362,-1.6037389,1.7473572,12.509163
459.838867,-1.5845897,0.7228793,7.769756
463.867188,-2.513322,-1.5750152,6.716554
467.376709,-3.9782298,-4.1888704,8.880404
470.76416,-2.9633265,-5.0122824,8.746361
474.700928,-0.4835153,-2.4463003,8.746361
479.980469,1.4313968,1.4409714,8.44955
484.313965,2.427151,4.1888704,8.44955
487.945557,2.5324712,5.108028,8.9761505
491.973877,2.0920415,4.504831,9.148493
494.445801,1.7569319,3.346309,8.746361
500.244141,1.2303311,1.0771381,7.9420977
504.699707,0.8281995,0.64628285,7.693159
508.544922,0.2920241,0.63670826,7.7123084
512.145996,0.2920241,0.63670826,7.7123084
514.73999,-0.3111732,0.85692316,7.7506065
520.233155,-1.3260766,1.0867126,8.124015
524.810791,-1.3739494,1.0005416,8.296356
528.22876,-1.1824582,0.90479594,8.506997
531.829834,-1.1824582,0.90479594,8.506997
534.423828,-0.8856468,0.83777404,8.746361
540.283203,-0.39734426,1.0388398,9.043172
544.250488,-0.39734426,1.0388398,9.043172
547.851563,-0.19627848,1.4409714,9.464453
551.422119,-0.19627848,1.4409714,9.464453
554.107666,-0.14840569,1.7186337,9.675094
559.539795,-0.11968201,2.0824668,9.885734
562.37793,-0.110107444,2.427151,10.163396
566.070557,-0.062234644,2.7431116,10.517654
569.274903,-0.014361841,2.9824755,10.871913
573.425293,0,3.078221,11.092129
579.681397,-0.0718092,2.905879,11.178299
582.580567,-0.17712937,2.5420458,11.044255
586.151123,-0.27287498,1.9196993,10.689997
589.050293,-0.37819514,1.2016073,10.29744
593.444824,-0.39734426,0.49308985,10.239992
597.076416,-0.27287498,-0.0718092,10.115523
601.379395,-0.20585304,-0.6271337,10.048501
605.590821,-0.18670394,-0.98139244,10.316589
609.069824,-0.12925656,-1.0101161,10.584677
613.433838,0.14840569,-0.7324539,10.584677
