time,x,y,z
0,0.047940705,0,-0.023970352
4.608154,0.047940705,0,-0.023970352
8.270264,0.045277335,0,-0.023970352
11.871338,0.05060408,-0.007990118,-0.039950587
19.500732,0.063920945,-0.015980236,-0.061257567
23.254395,0.07990117,-0.023970352,-0.07723781
27.008057,0.08522792,-0.026633725,-0.07990117
34.057617,0.07723781,-0.026633725,-0.069247685
38.17749,0.058594197,-0.02130698,-0.047940705
45.715332,0.031960472,-0.015980236,-0.026633725
49.6521,0.01065349,-0.007990118,-0.013316862
53.619385,-0.005326745,-0.002663373,-0.005326745
57.952881,-0.013316862,0,-0.005326745
65.460205,-0.013316862,0.002663373,-0.005326745
69.42749,-0.01065349,0.002663373,-0.002663373
73.364258,-0.007990118,0,-0.002663373
77.697754,-0.007990118,0,0
85.235596,-0.01065349,-0.002663373,0.007990118
89.172363,-0.01065349,-0.002663373,0.007990118
93.139648,-0.01065349,0,0.007990118
98.022461,-0.007990118,0.002663373,0.007990118
102.722168,-0.005326745,0.007990118,0.007990118
107.116699,0,0.01065349,0.005326745
114.16626,0.002663373,0.01065349,0.007990118
118.469238,0.005326745,0.007990118,0.013316862
123.291016,0.005326745,0.005326745,0.02130698
127.593994,0.005326745,0.007990118,0.029297099
131.713867,0.005326745,0.007990118,0.034623843
139.49585,0.007990118,0.01065349,0.037287217
143.615723,0.01065349,0.007990118,0.034623843
147.918701,0.013316862,0.005326745,0.029297099
152.160645,0.015980236,0.002663373,0.023970352
159.240723,0.015980236,0,0.018643608
162.719727,0.013316862,0,0.018643608
168.97583,0.007990118,0,0.015980236
172.729492,0,0,0.015980236
180.175781,-0.013316862,-0.002663373,0.007990118
184.051514,-0.013316862,-0.002663373,0.007990118
188.110352,-0.018643608,-0.002663373,0.005326745
192.687988,-0.018643608,-0.002663373,0.002663373
200.256348,-0.007990118,-0.002663373,0
204.040527,-0.007990118,-0.002663373,0
207.733154,0,-0.002663373,0
217.559814,0.007990118,-0.007990118,-0.005326745
221.5271,0.01065349,-0.013316862,-0.007990118
225.372314,0.015980236,-0.02130698,-0.01065349
228.851318,0.015980236,-0.02130698,-0.01065349
232.452393,0.018643608,-0.023970352,-0.01065349
240.539551,0.013316862,-0.023970352,-0.007990118
244.232178,0.013316862,-0.023970352,-0.007990118
247.802734,0.002663373,-0.023970352,-0.005326745
255.187988,-0.005326745,-0.02130698,0
259.521484,-0.018643608,-0.018643608,0
263.427734,-0.029297099,-0.015980236,0.002663373
267.700195,-0.034623843,-0.01065349,0.005326745
274.932861,-0.034623843,-0.005326745,0.007990118
279.266357,-0.029297099,0,0.01065349
283.081055,-0.02130698,0,0.015980236
290.740967,-0.015980236,0.005326745,0.018643608
294.708252,-0.015980236,0.005326745,0.018643608
299.041748,-0.031960472,0.007990118,0.015980236
303.039551,-0.069247685,0.013316862,0.005326745
310.516357,-0.20241632,0.02130698,-0.018643608
314.453125,-0.20241632,0.02130698,-0.018643608
318.969727,-0.3116146,0.018643608,-0.031960472
322.753906,-0.47408032,0.007990118,-0.05326745
330.26123,-1.0387152,-0.015980236,-0.15447561
334.320068,-1.0387152,-0.015980236,-0.15447561
339.111328,-1.4275677,-0.015980236,-0.22905004
343.048096,-1.8457172,-0.015980236,-0.29563436
350.036621,-2.6260853,-0.029297099,-0.35156518
354.156494,-2.6260853,-0.029297099,-0.35156518
359.222412,-2.9456902,-0.05326745,-0.34623843
363.220215,-3.209364,-0.087891296,-0.3302582
367.248535,-3.4171069,-0.12784189,-0.3196047
373.748779,-3.5848994,-0.17578259,-0.32226807
379.333496,-3.731385,-0.22372329,-0.3489018
383.483887,-3.8672168,-0.26900062,-0.3888524
387.481689,-4.003049,-0.3116146,-0.43412971
393.493652,-4.1362176,-0.3489018,-0.48207045
399.536133,-4.282703,-0.38352564,-0.5193576
403.778076,-4.4584856,-0.41015938,-0.5406646
407.37915,-4.6715555,-0.43412971,-0.53800124
413.391113,-4.9299026,-0.4554367,-0.5193576
419.586182,-5.2228737,-0.47408032,-0.50071406
423.461914,-5.539815,-0.4927239,-0.4927239
427.246094,-5.862083,-0.5087042,-0.4927239
433.288574,-6.1683707,-0.5140309,-0.50071406
439.697266,-6.440035,-0.5140309,-0.5087042
443.725586,-6.6610947,-0.5140309,-0.5087042
447.357178,-6.820897,-0.5140309,-0.5060408
453.704834,-6.906125,-0.52468437,-0.50337744
461.975098,-6.8395405,-0.53800124,-0.5300111
468.597412,-6.695719,-0.5326745,-0.564635
472.717285,-6.477322,-0.5193576,-0.60991234
481.231689,-5.854093,-0.50071406,-0.6818234
485.534668,-5.4732304,-0.5060408,-0.6978036
489.105225,-5.4732304,-0.5060408,-0.6978036
492.767334,-5.068398,-0.52468437,-0.69514024
500.610352,-4.2454157,-0.59659547,-0.6232292
504.79126,-4.2454157,-0.59659547,-0.6232292
509.002686,-3.8618903,-0.636546,-0.55930823
512.695313,-3.531632,-0.6711699,-0.4847338
520.690918,-3.2652948,-0.6978036,-0.41282275
524.993896,-3.0495615,-0.71378386,-0.35422856
528.564453,-2.8551354,-0.721774,-0.31427795
540.557861,-2.194619,-0.62056583,-0.36221868
544.799805,-2.194619,-0.62056583,-0.36221868
548.492432,-1.9069748,-0.5326745,-0.42347625
555.57251,-1.2491218,-0.38086227,-0.53800124
560.241699,-0.91620016,-0.3595553,-0.5300111
564.697266,-0.91620016,-0.3595553,-0.5300111
568.17627,-0.59659547,-0.36754543,-0.4554367
575.622559,-0.069247685,-0.36221868,-0.2903076
580.566406,0.11985177,-0.31694132,-0.26367387
584.93042,0.2903076,-0.26633725,-0.2423669
588.592529,0.2903076,-0.26633725,-0.2423669
592.132568,0.46076345,-0.24503027,-0.19708957
600.55542,0.72710073,-0.271664,-0.047940705
604.888916,0.7537344,-0.2610105,-0.015980236
608.612061,0.7537344,-0.2610105,-0.015980236
612.39624,0.69514024,-0.2130698,-0.037287217
620.269775,0.36488205,-0.13849537,-0.093218036
624.359131,0.36488205,-0.13849537,-0.093218036
627.929688,0.1464855,-0.14115874,-0.06658431
631.744385,-0.04261396,-0.15447561,-0.023970352
640.563965,-0.18643607,-0.14382212,0.039950587
644.775391,-0.18643607,-0.14382212,0.039950587
648.590088,-0.14382212,-0.10919827,0.10387153
652.22168,-0.055930823,-0.045277335,0.18110934
660.552979,0.17844597,0.13050525,0.21573317
664.978027,0.17844597,0.13050525,0.21573317
668.487549,0.28764424,0.17045584,0.19708957
672.210693,0.3781989,0.15980235,0.20507969
680.328369,0.45810008,0.09055467,0.24503027
684.661865,0.45810008,0.09055467,0.24503027
688.171387,0.41548613,0.08522792,0.22372329
691.802979,0.3196047,0.07990117,0.19708957
700.714111,0.19176282,0.058594197,0.1944262
705.01709,-0.07990117,-0.015980236,0.22105992
708.557129,-0.07990117,-0.015980236,0.22105992
712.127686,-0.20241632,-0.04261396,0.21040644
718.322754,-0.29829773,-0.058594197,0.18643607
725.860596,-0.36221868,-0.069247685,0.16246572
729.553223,-0.40483263,-0.09055467,0.15181224
733.947754,-0.4261396,-0.11985177,0.15447561
737.792969,-0.41548613,-0.15181224,0.15713897
745.666504,-0.2423669,-0.19975294,0.13849537
749.267578,-0.2423669,-0.19975294,0.13849537
753.509521,-0.055930823,-0.20774306,0.11452502
758.087158,0.17045584,-0.20774306,0.08256455
