time,x,y,z
0,-0.2903076,0.047940705,0.4261396
4.272461,-0.32759482,-0.039950587,0.39417914
12.786865,-0.37553552,-0.19975294,0.28498086
16.937255,-0.37553552,-0.19975294,0.28498086
21.331787,-0.37287214,-0.23704016,0.21573317
25.360107,-0.3489018,-0.24769364,0.14914887
32.135009,-0.26633725,-0.20774306,0.06658431
35.705566,-0.26633725,-0.20774306,0.06658431
39.276123,-0.22372329,-0.17844597,0.06658431
46.447753,-0.18643607,-0.15447561,0.10387153
50.78125,-0.15980235,-0.135832,0.16246572
55.175781,-0.14115874,-0.12784189,0.22905004
62.286377,-0.13050525,-0.122515135,0.32493144
66.253662,-0.13050525,-0.122515135,0.32493144
70.587158,-0.13050525,-0.11985177,0.3302582
75.3479,-0.135832,-0.117188394,0.30895123
78.979492,-0.13849537,-0.11452502,0.26633725
86.364746,-0.13849537,-0.10919827,0.21573317
90.85083,-0.13316862,-0.098544784,0.17311922
94.970703,-0.122515135,-0.09055467,0.14382212
106.47583,-0.093218036,-0.07457443,0.15447561
110.748291,-0.08256455,-0.06658431,0.18377271
114.990234,-0.07723781,-0.061257567,0.22372329
121.826171,-0.09055467,-0.05060408,0.28498086
125.671386,-0.09055467,-0.05060408,0.28498086
130.279541,-0.10387153,-0.045277335,0.29563436
134.399414,-0.11452502,-0.039950587,0.2903076
141.815185,-0.1065349,-0.034623843,0.25568378
145.751953,-0.1065349,-0.034623843,0.25568378
150.817871,-0.09055467,-0.031960472,0.23704016
155.181884,-0.069247685,-0.031960472,0.22372329
165.557861,-0.02130698,-0.039950587,0.21839654
170.715332,0,-0.05060408,0.22638667
174.987793,0.015980236,-0.058594197,0.23704016
181.610107,0.026633725,-0.06658431,0.24503027
185.72998,0.029297099,-0.069247685,0.2530204
190.490722,0.02130698,-0.06658431,0.25568378
194.54956,0.007990118,-0.061257567,0.25568378
201.293945,-0.002663373,-0.058594197,0.25568378
205.352783,-0.01065349,-0.058594197,0.25568378
213.043212,-0.002663373,-0.07457443,0.26367387
