time,x,y,z
0,-1.1260262,0.4282446,-0.2832775
4.272461,-0.886662,-0.040908813,-0.32157612
9.338378,-0.56112707,-0.36644375,-0.4173212
12.786865,-0.03452623,-0.7590008,-0.48434353
16.937255,0.19526327,-0.80687356,-0.49391747
21.331787,0.41547817,-0.8355973,-0.47476864
25.360107,0.41547817,-0.8355973,-0.47476864
29.083252,0.53037286,-0.8164482,-0.35029984
32.135009,0.56939787,-0.68271315,-0.29071808
35.705566,0.5502488,-0.5582439,-0.26199436
39.276123,0.45450318,-0.37632716,-0.21412182
43.121337,0.31088477,-0.17526138,-0.20454693
46.447753,0.15769178,-0.002919436,-0.12795067
50.78125,-0.014650345,0.121549845,-0.09922695
55.175781,-0.14869416,0.22687006,-0.11837578
58.990478,-0.24443972,0.32261562,-0.15667439
62.286377,-0.28273797,0.30346656,-0.17582321
66.253662,-0.2923125,0.2843175,-0.16624928
70.587158,-0.26251864,0.21831894,-0.19404888
75.3479,-0.1954968,0.14172244,-0.25149536
78.979492,-0.08060205,0.06512594,-0.23234653
82.763671,0.04386723,0.007678747,-0.23234653
86.364746,0.11088914,0.026827812,-0.26107025
90.85083,0.19706023,-0.001895905,-0.31851768
94.970703,0.2928058,-0.001895905,-0.28021908
98.754882,0.30238038,0.05555153,-0.29936886
102.081298,0.3032871,0.0493567,-0.28402615
106.47583,0.33201075,0.10680413,-0.34147358
110.748291,0.28413796,0.15467691,-0.3701973
114.990234,0.19796693,0.19297504,-0.43721962
118.530273,0.16924322,0.21212435,-0.43721962
121.826171,0.083072186,0.22169876,-0.47551727
125.671386,0.083072186,0.18340063,-0.4946661
130.279541,0.11157352,0.13001919,-0.49976635
134.399414,0.12114805,-0.004024506,-0.4518938
138.153076,0.09242439,-0.090195656,-0.36572266
141.815185,0.11157352,-0.16679215,-0.32742405
145.751953,0.12114805,-0.18594122,-0.29870033
150.817871,0.063700676,-0.13806844,-0.26997662
155.181884,0.054126143,-0.06147194,-0.2508278
158.752441,0.054126143,0.015124559,-0.21253014
161.2854,0.04986334,0.03614211,-0.15350342
165.557861,0.05943787,0.093589544,-0.07690716
170.715332,0.030714154,0.13188767,-0.019459724
174.987793,0.08816159,0.07444048,0.08586025
178.558349,0.0690124,-0.011730671,0.11458397
181.610107,0.10731065,-0.002156019,0.1337328
185.72998,0.10731065,-0.08832717,0.07628536
190.490722,0.12523884,-0.1964817,0.047470093
194.54956,0.10608971,-0.21563077,-4.02E-04
198.21167,0.12523884,-0.1964817,-0.01955223
201.293945,0.10608971,-0.13903451,-0.029126167
205.352783,0.09651518,-0.119885206,-0.057849884
209.991455,0.07736611,-0.072012424,-0.038701057
213.043212,0.039067864,-0.033714294,-0.048275948
216.735839,0.039067864,-0.024139643,-0.0865736
220.794677,-0.018600345,-0.07494974,-0.058584213
225.311279,-0.028174877,-0.08452439,-0.039435387
230.072021,0.010123372,-0.14197159,-0.049009323
232.971191,0.029272437,-0.20899367,-0.020285606
237.060546,0.010123372,-0.21856809,-0.020285606
240.753173,0.08671981,-0.2951647,-0.00113678
244.812011,0.105868936,-0.3238883,-0.00113678
249.816894,0.12501806,-0.36218655,-0.029860497
253.234863,0.14416718,-0.38133574,-0.10645676
256.896972,0.15374172,-0.41005933,-0.13518047
260.589599,0.13917398,-0.43836844,-0.2407322
265.136718,0.17747223,-0.43836844,-0.2886057
270.202636,0.1966213,-0.4287938,-0.38435078
273.223877,0.25406867,-0.43836844,-0.4513731
276.855468,0.2827924,-0.4766667,-0.48967075
280.395507,0.31151605,-0.54368854,-0.46094704
284.820556,0.33066517,-0.5915613,-0.5949917
289.978027,0.22587901,-0.7944226,-0.66320133
293.029785,0.2354536,-1.024212,-0.64405155
296.539306,0.24502814,-1.263576,-0.66320133
300.445556,0.22587901,-1.4646418,-0.78767014
304.351806,0.36949742,-1.6178348,-0.84511757
310.363769,0.53226495,-1.5508128,-0.96001244
314.544677,0.7237562,-1.2540015,-1.2855473
318.328857,0.88652366,-0.66995335,-1.927043
320.953369,0.5084476,0.11771989,-2.8792248
324.615478,0.63770413,0.7304919,-3.6643386
330.413818,0.87706816,0.97943044,-3.683488
333.557128,1.1068575,1.0177286,-2.860076
337.249755,1.1068575,1.0177286,-2.860076
340.881347,0.9632392,0.97943044,-1.5675101
344.665527,0.6951515,1.0081542,-0.2845192
348.602295,0.27387086,1.3528383,0.3282528
351.745605,-0.03251505,1.5826278,0.60591507
355.651855,-0.24315542,1.5826278,1.0750685
359.832763,-0.9309007,1.4245791,1.2292805
363.586425,-0.96919894,0.64904,1.4399214
367.523193,-0.91175157,-0.5573548,1.4877939
371.856689,-0.74898404,-1.8403459,1.2675791
376.098632,-0.26068148,-3.0371659,0.46331596
380.340576,0.601029,-3.8988762,-0.8579731
384.735107,1.146779,-4.214837,-1.8824515
388.244628,-0.8734534,-3.7361088,0.6548071
391.357421,-5.3772874,-2.7532668,5.5484085
394.989013,-5.9517612,-2.5234773,7.9037495
398.986816,-3.596419,-1.2596353,9.052698
403.167724,1.4015013,-0.589416,7.2814045
407.50122,4.915365,0.7414479,4.562229
411.804199,5.968567,2.962746,2.0919924
416.351318,4.9728127,5.3372364,0.46431732
419.921875,3.7778933,7.4748926,-0.9627285
423.767089,2.609797,7.7142572,-2.7340221
426.940918,1.7576611,6.4791384,-4.543614
431.70166,0.25445518,5.2918935,-5.003193
435.85205,0.034240264,2.792933,-4.735105
439.51416,-0.9040666,0.8780209,-4.581912
443.359375,-1.2391763,-1.6400886,-3.7010527
446.411132,-1.9093955,-3.698619,-2.6861491
451.35498,-1.8651482,-5.1952634,-2.0427856
455.444336,-2.0662138,-6.162294,-1.6406546
459.106445,-1.9513193,-6.439956,-1.4587374
463.104248,-1.8651482,-5.865483,-1.4204397
466.522216,-1.9704684,-4.6686625,-1.3629923
471.740722,-2.1811087,-3.0122635,-0.9800091
475.952148,-2.4013236,-1.2409699,-0.108724594
479.919433,-2.40522,0.07772565,1.2726536
483.73413,-2.060536,1.2553965,2.4886227
486.053466,-1.3903165,1.9351903,3.3216095
