time,x,y,z
0,-1.1345854,0.8760723,9.464453
3.143311,-1.0867126,0.8760723,9.368708
6.744385,-1.0101161,0.83777404,9.29211
9.948731,-0.99096704,0.83777404,9.253813
14.648438,-1.0005416,0.8473486,9.148493
18.28003,-1.0101161,0.8664977,9.148493
21.911622,-0.9526688,0.90479594,9.071896
25.756836,-1.0005416,0.92394507,9.062322
29.418946,-1.0196906,0.98139244,9.052747
33.996582,-0.9718179,0.90479594,8.995299
37.841797,-0.8760723,0.91437054,9.043172
41.687012,-0.92394507,0.91437054,9.024023
46.325684,-0.9526688,0.8664977,9.062322
50.384522,-0.91437054,0.76117754,9.091045
54.901123,-0.6750065,0.56968635,9.033598
59.112549,-0.6750065,0.56968635,9.033598
62.438965,-0.6750065,0.56011176,9.043172
66.070557,-0.7420284,0.5888355,9.052747
69.915772,-0.8760723,0.6845811,8.947427
73.699952,-1.0005416,0.7994758,8.947427
77.392579,-1.0867126,0.8952214,8.928278
81.329346,-1.1345854,1.0675635,9.110194
85.327149,-1.2686293,1.4601204,9.378282
89.019776,-1.2973529,1.9867213,9.780414
92.834473,-1.2590547,2.5037475,9.991054
96.984864,-1.14416,3.0494976,10.153821
101.776123,-0.9526688,3.4133308,10.077225
105.712891,-0.665432,3.518651,9.799562
109.375,-0.4835153,3.346309,9.474028
113.220215,-0.44521707,3.173967,9.339984
116.455079,-0.5218136,3.1165195,9.158067
121.582032,-0.50266445,3.0494976,8.889979
125.610352,-0.32074776,2.8484318,8.411251
129.150391,-0.2441513,2.733537,8.056993
133.117676,-0.25372586,2.5707695,7.7506065
136.627198,-0.19627848,2.3697038,7.549541
141.876221,-0.2154276,2.149489,7.501668
145.843506,-0.2441513,1.7569319,7.5208173
149.658204,-0.3111732,1.2207564,7.482519
153.350831,-0.512239,0.45479164,7.35805
156.921387,-0.70373017,-0.44521707,7.281453
161.865235,-0.9622433,-1.3356512,7.310177
165.95459,-1.1633091,-2.034594,7.5399666
169.494629,-1.2016073,-2.5324712,7.741032
173.431397,-1.1154363,-2.800559,7.894225
177.001954,-0.9718179,-2.867581,8.037844
181.671143,-0.8760723,-2.9154537,8.133589
185.607911,-0.8664977,-3.078221,8.401677
189.086914,-0.8186249,-3.346309,8.746361
192.932129,-0.78990126,-3.5378,8.966576
196.014405,-0.8856468,-3.499502,9.091045
201.87378,-1.0484143,-3.231414,9.167642
205.78003,-1.2016073,-2.647366,8.928278
209.503174,-1.3739494,-2.3984275,8.593168
213.256836,-1.3739494,-2.3984275,8.593168
217.102051,-1.5845897,-2.2643836,8.056993
221.893311,-1.7473572,-2.427151,7.4442205
225.952149,-1.8526775,-3.4899273,6.515488
229.522706,-1.8526775,-3.4899273,6.515488
233.734131,-1.8335283,-4.08355,6.103782
237.243653,-1.79523,-4.6005764,5.988888
241.668702,-1.8335283,-5.5580325,6.47719
245.544434,-1.9771467,-5.988888,6.831449
249.572754,-1.9771467,-5.988888,6.831449
253.265381,-2.0250196,-6.764427,7.4059224
256.958008,-2.0250196,-6.764427,7.4059224
261.871338,-2.2356598,-7.482519,7.8655014
