time,x,y,z
0,-0.09859121,-0.004621029,-0.24747181
3.143311,-0.050718427,-0.004621029,-0.3432169
6.744385,0.025878072,-0.04291928,-0.4198141
9.948731,0.045027137,-0.04291928,-0.45811176
14.648438,0.035452604,-0.033344746,-0.56343174
18.28003,0.025878072,-0.014195621,-0.56343174
21.911622,0.083325386,0.024102628,-0.64002895
25.756836,0.035452604,0.043251753,-0.6496029
29.418946,-0.008543253,0.13406086,-0.6647625
33.996582,0.03932947,0.05746436,-0.72220993
37.841797,0.13507509,0.06703895,-0.6743374
41.687012,0.08720231,0.06703895,-0.6934862
46.325684,0.058478594,0.019166112,-0.6551876
50.384522,0.09677684,-0.08615404,-0.6264639
54.901123,0.33614087,-0.27764523,-0.6839113
59.112549,0.2984603,-0.19519418,-0.6945934
62.438965,0.2984603,-0.20476878,-0.6850195
66.070557,0.2314384,-0.17604506,-0.6754446
69.915772,0.097394526,-0.08029944,-0.7807646
73.699952,-0.027074754,0.03459525,-0.7807646
77.392579,-0.113245785,0.13034087,-0.7999134
81.329346,-0.16111857,0.302683,-0.61799717
85.327149,-0.2951625,0.6952399,-0.34990978
89.019776,-0.3727976,1.305855,0.04121399
92.834473,-0.33449936,1.8228812,0.25185394
96.984864,-0.21960473,2.3686314,0.41462135
101.776123,-0.028113484,2.7324646,0.3380251
105.712891,0.25912333,2.8377848,0.060362816
109.375,0.44104,2.6654427,-0.265172
113.220215,0.47933823,2.4931006,-0.3992157
116.455079,0.40274173,2.4356532,-0.5811329
121.582032,0.44781327,3.4289925,-0.8631201
125.610352,0.62973,3.2279267,-1.3418484
129.150391,0.7063264,3.1130319,-1.6961069
133.117676,0.69675183,2.9502645,-2.002493
136.627198,0.75419927,2.7491987,-2.2035584
141.876221,0.7350501,2.5289838,-2.2514315
145.843506,0.7063264,2.136427,-2.2322822
149.658204,0.7131437,2.898582,-2.1250858
153.350831,0.5120779,2.132617,-2.249555
156.921387,0.32058674,1.2326083,-2.3261518
161.865235,0.06207359,0.3421743,-2.2974281
165.95459,-0.13899219,-0.3567686,-2.0676384
169.494629,-0.17729044,-0.8546457,-1.8665729
173.431397,-0.09111941,-1.1227336,-1.7133799
177.001954,0.052498996,-1.1897554,-1.5697613
181.671143,0.2306726,0.108688354,-1.1292429
185.607911,0.24024719,-0.054079056,-0.86115456
189.086914,0.28811997,-0.32216692,-0.5164709
