time,x,y,z
0,-0.7324539,2.187787,8.909128
4.058838,-0.7324539,2.187787,8.909128
6.744385,-0.665432,2.0633178,8.870831
10.620117,-0.7228793,2.254809,8.880404
14.556885,-0.7228793,2.254809,8.880404
18.127442,-0.7420284,2.4175766,8.985725
20.477295,-0.7228793,2.494173,9.138918
26.123047,-0.7228793,2.5994933,9.253813
30.364991,-0.69415563,2.5516202,9.320834
34.118653,-0.69415563,2.5516202,9.320834
37.719727,-0.6845811,2.5324712,9.29211
40.283203,-0.69415563,2.5228968,9.244238
46.234131,-0.71330476,2.561195,9.272962
50.079346,-0.6845811,2.5516202,9.244238
53.985596,-0.6845811,2.5516202,9.244238
57.4646,-0.71330476,2.5420458,9.225089
60.089112,-0.6845811,2.5516202,9.225089
66.314698,-0.63670826,2.5228968,9.253813
70.3125,-0.6558574,2.5228968,9.167642
74.188233,-0.6845811,2.5324712,9.20594
78.00293,-0.6845811,2.5324712,9.20594
80.596924,-0.751603,2.5516202,9.18679
86.395264,-0.78032666,2.494173,9.167642
90.301514,-0.78032666,2.494173,9.167642
94.238282,-0.7228793,2.5228968,9.177217
97.869873,-0.7228793,2.5228968,9.177217
100.219727,-0.7420284,2.5324712,9.177217
106.781006,-0.6558574,2.5707695,9.196365
110.931397,-0.6558574,2.561195,9.225089
114.807129,-0.6558574,2.561195,9.225089
118.316651,-0.665432,2.5324712,9.215514
122.10083,-0.61755913,2.513322,9.215514
126.037598,-0.61755913,2.4558747,9.177217
128.875733,-0.6079846,2.4367256,9.177217
132.781983,-0.64628285,2.4175766,9.234664
135.925293,-0.6845811,2.408002,9.225089
139.587403,-0.63670826,2.3984275,9.167642
145.812989,-0.64628285,2.408002,9.119769
148.651123,-0.665432,2.3984275,9.148493
152.526856,-0.6750065,2.360129,9.119769
155.548096,-0.6558574,2.321831,9.158067
159.393311,-0.64628285,2.3697038,9.20594
163.238526,-0.71330476,2.34098,9.20594
167.72461,-0.7228793,2.3697038,9.234664
172.180176,-0.71330476,2.360129,9.225089
176.483155,-0.7228793,2.34098,9.244238
180.69458,-0.63670826,2.2931073,9.20594
184.936524,-0.63670826,2.2931073,9.20594
188.26294,-0.665432,2.3122563,9.225089
192.718506,-0.6750065,2.2931073,9.167642
195.465088,-0.6558574,2.2931073,9.148493
199.645996,-0.6271337,2.2643836,9.100619
204.01001,-0.5888355,2.2069361,9.091045
207.366944,-0.64628285,2.1973617,9.024023
211.853028,-0.6750065,2.187787,8.995299
215.972901,-0.6558574,2.1782124,8.947427
