time,x,y,z
0,-1.9962958,3.8729098,8.9761505
3.997803,-2.3314054,3.9782298,8.947427
7.751465,-2.4463003,3.930357,8.937852
12.481689,-2.0058703,3.5378,8.9761505
16.479492,-1.5654407,3.1548176,8.995299
20.172119,-1.1633091,2.9633265,9.004874
23.651123,-0.8186249,2.8101335,8.985725
27.709961,-0.50266445,2.752686,8.985725
32.13501,-0.2920241,2.733537,8.985725
35.675049,-0.11968201,2.7622607,9.071896
39.642334,-0.10053288,2.7622607,9.0814705
43.609619,-0.14840569,2.8580062,9.091045
47.607422,-0.28244954,2.9346027,9.110194
51.818848,-0.4164934,3.020774,9.110194
55.603027,-0.6271337,3.0494976,9.110194
59.631348,-0.8281995,3.1452432,9.062322
63.568115,-1.0292653,3.1835413,8.995299
67.596435,-1.1920328,3.2218397,8.9761505
71.929932,-1.2590547,3.2409887,8.918703
75.561523,-1.2973529,3.2409887,8.870831
79.559326,-1.2877784,3.2505634,8.803808
83.557129,-1.2399056,3.2026904,8.736787
87.615967,-1.1728836,3.2505634,8.717637
92.102051,-1.0579889,3.2409887,8.679339
95.520019,-0.9622433,3.2218397,8.6697645
99.822998,-0.8760723,3.231414,8.6697645
104.187012,-0.7228793,3.173967,8.727212
108.398437,-0.64628285,3.126094,8.794233
113.037109,-0.5792609,3.0686467,8.832532
117.523193,-0.50266445,2.972901,9.014449
121.795654,-0.5218136,2.9537518,9.052747
126.525879,-0.5218136,2.9537518,9.052747
129.547119,-0.6079846,2.9537518,9.119769
133.056641,-0.665432,2.9441774,9.177217
135.83374,-0.78032666,2.9346027,9.20594
139.770508,-0.85692316,2.9154537,9.215514
143.707275,-0.9718179,2.9441774,9.272962
147.735596,-1.0675635,2.9346027,9.234664
152.709961,-1.1058618,2.9441774,9.196365
155.517578,-1.1250108,2.9250283,9.215514
159.667969,-1.1154363,2.9346027,9.148493
163.909912,-1.0962871,2.9633265,9.110194
168.334961,-1.0388398,2.9633265,9.0814705
172.515869,-0.98139244,3.0016246,9.043172
175.567627,-0.90479594,3.0494976,8.995299
179.992676,-0.8090504,3.0877957,8.966576
183.746338,-0.7324539,3.0877957,8.947427
188.110351,-0.6558574,3.0686467,8.957002
193.115234,-0.56968635,3.1069448,8.957002
195.800781,-0.56968635,3.126094,8.966576
199.615478,-0.56011176,3.1165195,9.004874
203.338623,-0.56968635,3.126094,9.004874
207.855224,-0.5888355,3.126094,9.014449
213.07373,-0.665432,3.1548176,9.014449
216.217041,-0.7324539,3.193116,9.014449
220.703125,-0.7994758,3.2026904,8.966576
225.158691,-0.8664977,3.193116,9.004874
229.58374,-0.92394507,3.2026904,9.052747
233.703613,-0.9430942,3.1548176,9.110194
238.433838,-1.0101161,3.0877957,9.129343
242.828369,-1.0484143,3.020774,9.148493
246.948242,-1.0484143,3.020774,9.148493
251.342773,-1.0484143,3.020774,9.148493
254.760742,-1.0388398,2.9537518,9.215514
259.216308,-1.0579889,2.9824755,9.20594
263.244629,-1.0484143,3.0303483,9.158067
267.974853,-1.0292653,3.0686467,9.091045
273.4375,-1.0962871,3.1165195,8.985725
276.489258,-1.0579889,3.1835413,8.842107
280.212402,-1.0484143,3.173967,8.717637
283.905029,-1.0005416,3.1356685,8.688913
288.391113,-0.9526688,3.0303483,8.612317
293.243408,-0.90479594,2.9346027,8.688913
295.928955,-0.8281995,2.8292825,8.650616
299.77417,-0.83777404,2.752686,8.66019
303.619385,-0.83777404,2.7718353,8.650616
307.250976,-0.8664977,2.7814097,8.641041
313.38501,-0.9430942,2.8963046,8.7750845
317.382812,-0.9430942,2.8963046,8.7750845
321.624756,-0.9526688,2.9920502,8.889979
324.127197,-0.9622433,3.039923,8.966576
327.789307,-1.0196906,3.0494976,9.071896
333.801269,-1.0579889,3.078221,9.110194
338.07373,-1.0005416,3.0686467,9.148493
342.041016,-0.98139244,3.1069448,9.177217
344.421387,-0.92394507,3.0877957,9.129343
347.412109,-0.8473486,3.0494976,9.062322
353.69873,-0.6750065,3.039923,9.129343
357.788086,-0.6750065,3.039923,9.129343
361.51123,-0.56968635,2.9824755,9.29211
363.891601,-0.512239,2.905879,9.64637
367.523193,-0.45479164,2.8101335,10.125097
371.368408,-0.49308985,2.752686,10.603826
375.762939,-0.6079846,2.8101335,11.360216
380.096435,-0.6271337,2.7909844,12.35597
383.636474,-0.7324539,2.9633265,13.179382
387.634277,-1.1250108,3.3750327,13.840027
391.326904,-1.4984187,3.9495063,14.069817
395.690918,-1.79523,4.456958,13.591088
399.841308,-1.7377827,4.6675982,12.729378
403.747558,-1.5175679,4.581427,12.049584
407.592773,-1.1920328,4.1601467,11.513409
410.980224,-0.85692316,3.6335456,11.140001
415.283203,-0.64628285,3.2026904,10.709146
419.555664,-0.42606795,2.905879,10.153821
423.736572,-0.20585304,2.6952388,9.579348
427.185058,0.023936402,2.5324712,9.110194
431.243896,0.30159867,2.2835326,8.708063
435.913086,0.4835153,1.9962958,8.459125
440.155029,0.6845811,1.7282082,8.152739
443.786621,0.85692316,1.4984187,7.808054
447.32666,0.9718179,1.2877784,7.5303917
451.35498,1.1154363,1.0005416,7.3197513
455.566406,1.2590547,0.6750065,7.4442205
459.686279,1.2016073,0.5505372,7.664436
463.928223,0.98139244,0.6558574,8.2676325
467.651367,0.59841,1.1633091,8.746361
471.618652,0.18670394,1.7569319,9.359133
475.250244,-0.2920241,2.427151,9.684668
479.339599,-0.8952214,3.1069448,9.8953085
483.36792,-1.469695,3.6431203,10.0868
487.213135,-1.9962958,4.0548263,9.924032
491.149902,-2.4654493,4.016528,9.550624
495.605469,-2.5899186,3.5856729,9.004874
499.87793,-2.4175766,2.9346027,8.947427
503.692627,-1.7473572,2.3122563,8.641041
507.263183,-0.85692316,1.7569319,8.200611
511.108398,-0.0718092,1.2973529,8.229335
515.716553,0.47394073,0.9718179,8.401677
520.202637,0.20585304,1.0867126,8.104865
523.925781,-0.2920241,1.2782038,8.11444
527.46582,-0.9430942,1.3260766,6.9942164
530.761719,-1.8814012,1.383524,6.936769
535.522461,-2.88673,1.5941644,6.9271946
539.855957,-3.6143966,1.7377827,6.3814445
543.457031,-3.8729098,1.6899099,6.4005938
546.99707,-3.844186,1.6037389,6.5825105
551.025391,-3.5760984,1.4122477,6.678256
555.938721,-3.2601378,1.2973529,7.089962
560.150146,-3.1165195,1.3260766,7.3197513
563.720703,-3.1165195,1.3930986,7.702734
567.321777,-3.2409887,1.4218222,7.9420977
570.709228,-3.3367343,1.3930986,8.143164
575.775146,-3.3080106,1.1728836,8.420826
579.864502,-3.2984362,0.99096704,8.688913
583.404541,-3.2026904,0.9718179,9.024023
587.280273,-3.1165195,0.98139244,9.196365
590.9729,-2.9346027,1.0292653,9.426155
596.191406,-2.7431116,1.0005416,9.7899885
600.372314,-2.5994933,0.9430942,9.96233
604.217529,-2.513322,0.8186249,10.058076
607.757568,-2.4367256,0.56968635,10.220843
611.572266,-2.4175766,0.36862057,10.105948
616.30249,-2.3697038,0.17712937,10.038927
620.910644,-2.1207652,-0.16755481,10.077225
624.359131,-2.1207652,-0.16755481,10.077225
628.051758,-2.0633178,-0.23457673,10.077225
631.774902,-2.034594,-0.18670394,10.038927
636.108398,-2.0441687,-0.19627848,9.991054
640.197754,-2.0633178,-0.15798025,9.924032
643.64624,-2.1207652,-0.110107444,9.761265
647.338867,-2.187787,-0.05266008,9.617646
650.848389,-2.3888528,-0.043085523,9.407005
656.524658,-2.2739582,0.062234644,9.110194
660.827637,-2.1590633,0.18670394,8.813383
664.367676,-2.1590633,0.18670394,8.813383
668.029785,-2.1111906,0.25372586,8.526146
671.875,-2.0824668,0.2154276,8.372953
676.574707,-1.8143792,0.22500217,7.922949
680.908203,-1.6994845,0.32074776,7.501668
684.448242,-1.6994845,0.32074776,7.501668
688.201904,-1.8048047,0.42606795,7.0803876
691.955566,-2.0058703,0.5505372,6.850598
696.31958,-2.168638,0.665432,6.7261286
700.3479,-2.254809,0.7994758,6.6495323
704.071045,-2.187787,0.99096704,6.7357035
707.580566,-2.0633178,1.1537346,6.9463434
710.906982,-1.8718265,1.2590547,7.195282
716.644287,-1.7186337,1.3452257,7.855927
720.855713,-1.1154363,1.4984187,8.372953
724.517822,-0.9430942,1.5750152,8.688913
728.179932,-0.9430942,1.5750152,8.688913
731.811523,-0.78990126,1.5558661,9.024023
736.694336,-0.63670826,1.2399056,9.3878565
741.119385,-0.56011176,1.0484143,9.474028
744.781494,-0.42606795,0.78990126,9.474028
748.352051,-0.34947145,0.50266445,9.426155
752.075195,-0.34947145,0.50266445,9.426155
756.408691,-0.3111732,0.2154276,9.359133
760.498047,-0.359046,-0.00478728,9.177217
764.068603,-0.3877697,-0.34947145,8.765511
767.608642,-0.50266445,-0.5792609,8.832532
770.996094,-0.665432,-0.78990126,8.861256
776.763916,-1.0771381,-1.0101161,8.899554
781.036377,-1.1824582,-1.0292653,9.0814705
784.545898,-1.2111819,-0.9622433,9.263388
788.360596,-1.0388398,-0.90479594,9.75169
792.114258,-1.0388398,-0.90479594,9.75169
796.813965,-0.78990126,-0.28244954,10.642124
801.116943,-0.6271337,0.20585304,10.919786
804.6875,-0.5792609,0.91437054,11.178299
808.380127,-0.44521707,1.6420372,11.532558
812.194824,-0.44521707,1.6420372,11.532558
816.52832,-0.28244954,2.3505547,11.838944
820.678711,0.16755481,3.3080106,12.422992
824.371338,0.4356425,3.346309,12.56661
828.033447,0.4356425,3.346309,12.56661
831.726074,0.7228793,3.0877957,12.490014
836.853027,0.90479594,2.647366,12.384694
841.125488,1.0292653,1.8239537,12.059159
844.87915,1.0292653,1.8239537,12.059159
848.693848,0.77075213,1.7856555,11.666602
852.233887,0.77075213,1.7856555,11.666602
856.658935,0.359046,2.3697038,11.522984
860.931396,0.14840569,2.7239625,11.36979
864.440918,-0.00478728,3.059072,11.216598
868.103027,-0.00478728,3.059072,11.216598
871.795654,-0.12925656,3.2505634,10.862339
877.01416,-0.25372586,3.0494976,10.220843
881.225586,-0.16755481,2.6760898,9.98148
884.857178,-0.16755481,2.6760898,9.98148
888.397217,0.10053288,1.8239537,9.359133
892.364502,0.10053288,1.8239537,9.359133
894.714355,0.27287498,1.4122477,9.100619
898.345947,0.36862057,1.0292653,8.842107
902.435303,0.4356425,0.7228793,8.641041
906.646728,0.44521707,0.49308985,8.506997
910.552978,0.4356425,0.30159867,8.392102
914.154053,0.3877697,0.18670394,8.32508
918.212891,0.3398969,0.19627848,8.286782
922.424316,0.28244954,0.26330042,8.23891
926.147461,0.13883112,0.4356425,8.315506
930.236816,-0.023936402,0.6845811,8.372953
934.387207,-0.20585304,1.0675635,8.44955
938.812256,-0.30159867,1.3356512,8.602742
943.511963,-0.39734426,1.6899099,8.7750845
947.692871,-0.44521707,1.8718265,8.937852
950.592041,-0.39734426,2.034594,9.100619
954.620361,-0.359046,2.0728924,9.225089
959.106445,-0.36862057,2.0537431,9.330409
963.653564,-0.3111732,1.9867213,9.359133
967.834473,-0.33032233,1.8814012,9.339984
970.88623,-0.30159867,1.7856555,9.301685
975.128174,-0.28244954,1.7186337,9.18679
979.675293,-0.2920241,1.5845897,8.947427
984.283447,-0.2920241,1.5845897,8.947427
989.318848,-0.37819514,1.5271424,8.717637
993.560791,-0.37819514,1.4792696,8.746361
997.711182,-0.4164934,1.469695,8.755936
1001.953125,-0.4356425,1.3930986,8.794233
1006.561279,-0.49308985,1.3452257,8.889979
1010.803223,-0.5313881,1.2782038,8.937852
1014.892578,-0.54096264,1.2016073,9.014449
1019.439697,-0.5505372,1.0005416,9.272962
1024.780273,-0.5505372,1.0005416,9.272962
1029.693603,-0.5792609,0.8090504,9.5219
1034.454346,-0.5888355,0.7420284,9.636795
1039.94751,-0.6750065,0.70373017,9.8953085
1045.043945,-0.6079846,0.71330476,10.06765
1050.01831,-0.6079846,0.70373017,10.249567
1054.748535,-0.61755913,0.7324539,10.412334
1059.7229,-0.59841,0.8090504,10.737869
1064.941406,-0.61755913,0.92394507,10.843189
1069.854736,-0.61755913,0.98139244,10.986808
1074.615478,-0.6079846,1.0484143,11.072979
1079.620361,-0.5218136,1.1824582,11.1208515
1084.838867,-0.5218136,1.1824582,11.1208515
1089.84375,-0.3877697,1.1920328,11.072979
1094.665527,-0.32074776,1.2111819,11.005958
1099.609375,-0.110107444,1.3452257,10.785743
1104.70581,-0.110107444,1.3452257,10.785743
1109.863281,0.081383765,1.5654407,10.412334
1114.868164,0.16755481,1.6420372,10.211268
1119.262695,0.15798025,1.7473572,10.182545
1123.901367,0.18670394,1.948423,9.866585
1128.051758,0.18670394,1.948423,9.866585
1131.317139,0.19627848,2.1207652,9.732541
1135.986328,0.11968201,2.2165108,9.780414
1141.326904,0,2.321831,9.809137
1145.477295,-0.18670394,2.34098,9.6942425
1149.841308,-0.4164934,2.1782124,9.445304
1153.991699,-0.76117754,1.8718265,9.263388
1158.38623,-1.2207564,1.6707608,9.129343
1164.001465,-1.7569319,1.4888442,8.7750845
1169.128418,-1.9388485,1.4122477,8.420826
1173.400879,-2.034594,1.0771381,8.018694
1178.92456,-1.929274,0.47394073,7.56869
1183.532715,-1.7473572,0.10053288,8.171887
1187.744141,-1.7473572,0.10053288,8.171887
1192.29126,-2.2452345,0.78032666,7.635712
1196.44165,-2.7909844,1.0292653,7.808054
1201.751709,-3.0494976,1.14416,7.961247
1206.573486,-3.5282254,1.4601204,7.9516726
1211.517334,-3.8633351,1.79523,8.784659
1216.247558,-4.0069537,1.8718265,9.014449
1221.710205,-4.5622783,2.3314054,8.842107
1226.409912,-4.9739842,2.8484318,8.765511
1231.35376,-4.6675982,3.059072,9.502751
1236.083984,-4.3995104,2.8580062,9.924032
1241.119385,-4.08355,2.5899186,10.326163
1246.307373,-3.911208,2.580344,10.460207
1251.220703,-3.5378,2.1590633,10.92936
1256.011963,-3.5378,2.1590633,10.92936
1260.925293,-3.3367343,1.5271424,11.178299
1265.50293,-3.3558834,1.5079932,11.005958
1269.866943,-2.9633265,1.1728836,11.168725
1274.169922,-2.513322,0.83777404,11.26447
1279.35791,-2.0537431,0.6079846,11.417664
1282.409668,-1.9867213,0.59841,11.178299
1286.621094,-2.2069361,0.6750065,10.785743
1291.473389,-2.321831,0.14840569,10.40276
1296.203613,-2.321831,0.14840569,10.40276
1301.177978,-2.168638,-0.09095833,9.85701
1306.427002,-1.8909757,-0.3877697,9.703817
1311.309814,-1.862252,-0.70373017,9.062322
1315.948486,-1.862252,-0.70373017,9.062322
1320.861816,-2.1399143,-0.70373017,8.401677
1325.439453,-2.3314054,-0.69415563,8.143164
1329.956055,-2.4175766,-0.70373017,8.066567
1334.16748,-2.3697038,-0.6750065,8.028269
1339.782715,-2.2260852,-0.6750065,8.066567
1343.292236,-2.1782124,-0.6558574,8.066567
1348.052978,-2.1782124,-0.6558574,8.066567
1352.905273,-2.2069361,-0.63670826,8.171887
1357.055664,-2.2069361,-0.63670826,8.171887
1361.816406,-1.79523,-0.49308985,8.305931
1365.966797,-1.5845897,-0.4356425,8.430401
1370.941162,-1.4505459,-0.26330042,8.612317
1375.640869,-1.4505459,-0.26330042,8.612317
1380.523682,-1.5175679,-0.00478728,8.755936
1385.589599,-1.5750152,0.081383765,8.66019
1390.563965,-1.6037389,0.12925656,8.487848
