time,x,y,z
0,-0.093218036,-0.45010996,-0.055930823
4.241943,-0.093218036,-0.45010996,-0.055930823
7.965087,-0.093218036,-0.39950588,-0.093218036
11.413574,-0.087891296,-0.29563436,-0.111861646
20.111084,-0.07457443,-0.039950587,-0.10120816
24.017334,-0.07457443,-0.039950587,-0.10120816
27.648925,-0.07457443,0.061257567,-0.08256455
33.874511,-0.07191106,0.12784189,-0.06658431
40.222168,-0.05060408,0.15447561,-0.058594197
44.189453,-0.05060408,0.15447561,-0.058594197
48.00415,-0.029297099,0.122515135,-0.069247685
51.544189,-0.002663373,0.07990117,-0.08522792
60.363769,0.05326745,-0.01065349,-0.111861646
64.300537,0.05326745,-0.01065349,-0.111861646
67.993164,0.07191106,-0.047940705,-0.122515135
71.716308,0.07990117,-0.07191106,-0.13050525
77.819824,0.07457443,-0.087891296,-0.13849537
82.519531,0.058594197,-0.087891296,-0.14382212
86.578369,0.037287217,-0.07990117,-0.15181224
93.780517,0.015980236,-0.06658431,-0.15713897
97.77832,0,-0.05060408,-0.16779247
102.56958,-0.01065349,-0.039950587,-0.17578259
109.771728,-0.015980236,-0.031960472,-0.18377271
113.739013,-0.02130698,-0.029297099,-0.19176282
117.828369,-0.02130698,-0.034623843,-0.19975294
125.762939,-0.02130698,-0.037287217,-0.21040644
129.730224,-0.02130698,-0.039950587,-0.22372329
133.697509,-0.018643608,-0.037287217,-0.23704016
137.695312,-0.015980236,-0.034623843,-0.25035703
145.721435,-0.013316862,-0.026633725,-0.26367387
149.68872,-0.002663373,-0.013316862,-0.2823175
153.686523,-0.002663373,-0.013316862,-0.2823175
157.714843,0.007990118,-0.01065349,-0.2903076
165.679931,0.018643608,-0.007990118,-0.29829773
169.677734,0.029297099,-0.013316862,-0.30895123
173.645019,0.031960472,-0.018643608,-0.3196047
177.703857,0.023970352,-0.02130698,-0.33292156
185.668945,-0.018643608,-0.013316862,-0.36221868
189.910888,-0.05060408,0.002663373,-0.3781989
193.969726,-0.05060408,0.002663373,-0.3781989
198.425293,-0.07723781,0.037287217,-0.3888524
202.636718,-0.093218036,0.08256455,-0.3968425
207.244873,-0.09055467,0.13849537,-0.39950588
214.019775,-0.069247685,0.19975294,-0.39950588
218.292236,-0.026633725,0.25834712,-0.40483263
225.646972,0.08522792,0.32759482,-0.4367931
230.041503,0.08522792,0.32759482,-0.4367931
233.73413,0.14115874,0.33292156,-0.46875358
238.372802,0.17844597,0.3196047,-0.51136756
245.849609,0.19176282,0.2903076,-0.55664486
249.847412,0.16779247,0.2530204,-0.6045856
253.692627,0.10120816,0.21040644,-0.64453614
258.148193,-0.013316862,0.17045584,-0.67916
265.838623,-0.18110934,0.135832,-0.700467
269.989013,-0.39417914,0.1065349,-0.70313036
273.498535,-0.65252626,0.07990117,-0.6871501
277.893066,-0.9534874,0.058594197,-0.6605164
285.522461,-1.2837455,0.037287217,-0.63388264
289.886474,-1.6193305,0.02130698,-0.60724896
293.487548,-1.9282818,0.01065349,-0.5806152
298.248291,-2.1839654,0.007990118,-0.5539815
305.755615,-2.3704016,0.013316862,-0.52734774
309.692382,-2.4822633,0.026633725,-0.50071406
313.446045,-2.5115602,0.047940705,-0.48739716
318.084716,-2.4636197,0.07457443,-0.4953873
325.561523,-2.2079358,0.11985177,-0.5619716
329.437255,-2.2079358,0.11985177,-0.5619716
333.404541,-2.0561235,0.13316862,-0.5912687
338.012695,-1.9282818,0.13849537,-0.59659547
345.397949,-1.8004398,0.122515135,-0.522021
350.036621,-1.8004398,0.122515135,-0.522021
353.668212,-1.8057666,0.10919827,-0.44211984
358.215332,-1.8643608,0.10387153,-0.34623843
365.41748,-2.0987375,0.16246572,-0.15713897
369.415283,-2.0987375,0.16246572,-0.15713897
373.35205,-2.2345695,0.23704016,-0.093218036
378.387451,-2.3597481,0.3409117,-0.055930823
385.894775,-2.4716098,0.4767437,-0.039950587
389.678955,-2.5621643,0.6498629,-0.034623843
393.341064,-2.623422,0.85494256,-0.037287217
398.132324,-2.6473923,1.0813292,-0.045277335
405.303955,-2.5914614,1.5554096,-0.034623843
409.790039,-2.5914614,1.5554096,-0.034623843
413.42163,-2.5275404,1.7924497,-0.01065349
422.88208,-2.394372,2.2079358,0.047940705
426.818847,-2.3357778,2.3490946,0.047940705
430.786132,-2.2851737,2.4183424,0.018643608
434.539795,-2.2851737,2.4183424,0.018643608
438.262939,-2.2478864,2.4183424,-0.026633725
445.526123,-2.237233,2.309144,-0.122515135
449.737548,-2.237233,2.309144,-0.122515135
453.338623,-2.2505498,2.237233,-0.16779247
462.982177,-2.2265794,2.0561235,-0.23704016
467.254638,-2.1546683,1.9415985,-0.22372329
473.754882,-2.0348167,1.8270736,-0.19708957
483.245849,-1.6646079,1.6885782,-0.20774306
487.39624,-1.4408846,1.6566178,-0.23171341
493.377685,-1.2171613,1.6273206,-0.23970354
503.356933,-0.80966526,1.5101322,-0.19708957
507.659912,-0.6471995,1.4142509,-0.15447561
514.190673,-0.52468437,1.2997258,-0.10919827
517.944336,-0.43945646,1.1745473,-0.07723781
525.909423,-0.35422856,0.9454973,-0.07990117
529.724121,-0.35422856,0.9454973,-0.07990117
533.935546,-0.3302582,0.8735862,-0.10120816
537.841796,-0.3116146,0.8283089,-0.12517852
546.539306,-0.28764424,0.75906116,-0.1464855
550.384521,-0.28764424,0.75906116,-0.1464855
554.077148,-0.28498086,0.70313036,-0.14382212
557.83081,-0.2823175,0.6152391,-0.13316862
566.467285,-0.27432737,0.36488205,-0.11452502
570.404052,-0.27432737,0.36488205,-0.11452502
574.005127,-0.25834712,0.21573317,-0.1065349
578.063964,-0.22905004,0.06658431,-0.093218036
586.303711,-0.13316862,-0.21040644,-0.07723781
589.96582,-0.13316862,-0.21040644,-0.07723781
593.933105,-0.069247685,-0.3382483,-0.07191106
605.651855,0.21040644,-0.67916,-0.05060408
610.198974,0.21040644,-0.67916,-0.05060408
613.922119,0.3196047,-0.7670513,-0.045277335
625.793457,0.6498629,-0.9321804,-0.018643608
630.15747,0.6498629,-0.9321804,-0.018643608
633.758545,0.7537344,-0.9694676,-0.005326745
640.930175,0.8629327,-1.0040915,0.007990118
645.233154,0.9801211,-1.0360519,0.023970352
