time,x,y,z
0,-0.08539605,0.9496567,-0.28415585
6.103516,0.53695035,1.1602972,-0.121388435
10.192871,0.53695035,1.1602972,-0.121388435
14.068604,0.61354685,1.1985953,-0.016068459
17.608643,0.58482313,1.1315734,-0.016068459
21.026612,0.45077932,1.0645514,-0.063941
24.719239,0.15396792,0.9496567,-0.09266472
27.862549,-0.14284343,0.77731466,-0.17883587
31.524658,-0.41904747,0.6035073,-0.22716808
35.522461,-0.64883685,0.45988894,-0.27504063
39.550782,-0.8116044,0.30669594,-0.24631691
43.762207,-0.8690518,0.14392841,-0.24631691
48.034668,-0.82117903,0.048182845,-0.18886948
51.757813,-0.7062843,-0.047562838,-0.14099693
55.480957,-0.5722405,-0.09543562,-0.0835495
59.539795,-0.39639902,-0.20025694,-0.07465935
63.476563,-0.25278056,-0.19068241,-0.08423424
67.810059,-0.17618406,-0.15238416,-0.08423424
71.716309,-0.17618406,-0.01834035,-0.103383064
75.469971,-0.17618406,0.10612893,-0.14168167
79.650879,-0.2623552,0.20187461,-0.17997932
83.435059,-0.3389516,0.24017286,-0.1608305
87.768555,-0.45384634,0.26889646,-0.24700165
91.583252,-0.48257005,0.2497474,-0.27572536
95.76416,-0.51129377,0.18272543,-0.40019417
99.395752,-0.5369829,0.09085977,-0.4998169
103.607178,-0.5082592,0.062136054,-0.58598804
107.727051,-0.4603864,0.05256152,-0.6625843
112.27417,-0.45081186,0.023837805,-0.7296057
115.753174,-0.39336443,0.033412337,-0.67215824
119.384766,-0.29761887,0.062136054,-0.70088196
123.413086,-0.2784698,0.09085977,-0.6625843
127.746582,-0.25932062,0.110008836,-0.6242857
131.591797,-0.2160548,0.116270065,-0.5835781
135.406494,-0.19690573,0.13541913,-0.6123018
139.343262,-0.1394583,0.116270065,-0.5740032
143.310547,-0.082010984,0.0492481,-0.49740696
147.979737,-0.034138143,0.01094985,-0.49740696
152.252198,-0.014989018,-0.06564665,-0.46868324
155.792237,-0.043712735,-0.11351943,-0.46868324
159.301758,-0.06331235,-0.13690758,-0.48013687
163.299561,-0.11118513,-0.12733305,-0.48013687
