time,x,y,z
0,0.1464855,0.08522792,0.111861646
8.331299,0.20241632,0.09588141,0.111861646
12.176514,0.26900062,0.087891296,0.09588141
15.74707,0.3382483,0.09055467,0.07723781
20.019531,0.39417914,0.10120816,0.07457443
28.686523,0.4261396,0.093218036,0.13316862
32.562256,0.3888524,0.029297099,0.14115874
36.102295,0.3888524,0.029297099,0.14115874
40.008545,0.30628785,-0.055930823,0.10919827
48.461914,0.12784189,-0.18377271,0.034623843
52.154541,0.12784189,-0.18377271,0.034623843
55.450439,0.09055467,-0.1944262,0.034623843
60.028076,0.087891296,-0.17844597,0.061257567
67.5354,0.11985177,-0.13316862,0.14115874
71.472168,0.11985177,-0.13316862,0.14115874
75.317383,0.122515135,-0.12517852,0.15713897
82.977295,0.10919827,-0.135832,0.14115874
87.280273,0.08256455,-0.15980235,0.10387153
91.186523,0.055930823,-0.18909945,0.069247685
95.550537,0.04261396,-0.21839654,0.047940705
99.609375,0.05060408,-0.23970354,0.047940705
107.269287,0.117188394,-0.23704016,0.09055467
111.572265,0.117188394,-0.23704016,0.09055467
115.509033,0.15181224,-0.22372329,0.111861646
122.497558,0.17578259,-0.20507969,0.122515135
126.983642,0.17844597,-0.19176282,0.12517852
130.767822,0.15980235,-0.18377271,0.122515135
135.009765,0.122515135,-0.18643607,0.111861646
142.272949,0.07723781,-0.19176282,0.10387153
147.064209,0.031960472,-0.19708957,0.093218036
151.184082,0,-0.19975294,0.08256455
154.876709,-0.026633725,-0.19708957,0.069247685
162.04834,-0.031960472,-0.19176282,0.061257567
167.175293,-0.026633725,-0.18110934,0.055930823
171.081543,-0.005326745,-0.17045584,0.05326745
175.292969,0.013316862,-0.15447561,0.05326745
181.82373,0.029297099,-0.14382212,0.05060408
187.255859,0.039950587,-0.135832,0.045277335
191.558838,0.04261396,-0.13849537,0.039950587
195.251465,0.039950587,-0.14115874,0.037287217
201.751709,0.04261396,-0.135832,0.037287217
207.397461,0.05060408,-0.111861646,0.04261396
211.303711,0.05060408,-0.111861646,0.04261396
215.515137,0.055930823,-0.093218036,0.04261396
219.726562,0.061257567,-0.07990117,0.04261396
227.44751,0.058594197,-0.06658431,0.031960472
231.414795,0.058594197,-0.06658431,0.031960472
235.870361,0.055930823,-0.061257567,0.026633725
240.356445,0.05060408,-0.055930823,0.023970352
247.528076,0.037287217,-0.047940705,0.02130698
251.12915,0.018643608,-0.039950587,0.015980236
255.340576,0,-0.034623843,0.013316862
259.033203,-0.031960472,-0.029297099,0.01065349
267.547607,-0.063920945,-0.023970352,0.005326745
272.155762,-0.10120816,-0.018643608,0.002663373
275.604248,-0.13316862,-0.005326745,-0.002663373
279.052734,-0.17311922,0.015980236,-0.02130698
287.780762,-0.3116146,0.098544784,-0.122515135
291.992187,-0.3116146,0.098544784,-0.122515135
295.593262,-0.41548613,0.14382212,-0.1944262
299.133301,-0.5406646,0.1651291,-0.25834712
307.556152,-0.6685065,0.14914887,-0.29829773
311.401367,-0.7750414,0.09055467,-0.30895123
315.185547,-0.83097225,0,-0.28764424
321.258545,-0.80966526,-0.09588141,-0.23970354
325.134277,-0.6978036,-0.15713897,-0.17844597
332.122803,-0.50337744,-0.16246572,-0.10120816
336.090088,-0.24503027,-0.12517852,-0.02130698
340.057373,0.034623843,-0.069247685,0.034623843
348.327637,0.292971,-0.01065349,0.047940705
352.386474,0.47940707,0.14382212,-0.063920945
356.231689,0.47940707,0.14382212,-0.063920945
360.046387,0.32493144,0.18643607,-0.135832
368.225098,0.069247685,0.13050525,-0.18110934
372.497558,-0.38352564,-0.13050525,-0.12784189
375.976562,-0.38352564,-0.13050525,-0.12784189
380.004883,-0.50337744,-0.21839654,-0.037287217
387.878418,-0.51136756,-0.2530204,0.11452502
392.059326,-0.51136756,-0.2530204,0.11452502
395.629883,-0.41015938,-0.23970354,0.14382212
400.024414,-0.25568378,-0.21040644,0.15181224
407.684326,0.098544784,-0.07990117,0.17045584
411.834717,0.098544784,-0.07990117,0.17045584
415.344238,0.23970354,-0.005326745,0.1944262
423.156738,0.35422856,0.069247685,0.22372329
427.91748,0.35422856,0.069247685,0.22372329
432.159424,0.33292156,0.063920945,0.2130698
435.882568,0.27432737,0.037287217,0.18643607
447.631836,0.087891296,-0.061257567,0.063920945
451.873779,0.087891296,-0.061257567,0.063920945
455.413818,0.063920945,-0.07990117,0.039950587
462.982178,0.069247685,-0.13316862,0.005326745
468.048096,0.08522792,-0.18643607,-0.015980236
