time,x,y,z
0,0.7420284,2.0250196,9.20594
4.974365,0.69415563,2.0537431,9.18679
7.995606,0.4835153,2.2069361,9.148493
11.657715,0.27287498,2.3792782,9.234664
15.289307,0.12925656,2.5420458,9.31126
19.042969,0.11968201,2.6377914,9.349558
24.780274,0.49308985,2.6282167,9.445304
29.083252,0.49308985,2.6282167,9.445304
32.745362,0.6558574,2.561195,9.435729
35.125733,0.7324539,2.5228968,9.454879
38.787842,0.6845811,2.5324712,9.483603
42.236328,0.54096264,2.8580062,9.368708
46.63086,0.17712937,3.5665238,9.454879
50.506592,0.20585304,3.7292912,9.5219
54.412842,0.20585304,3.4707782,9.349558
58.166504,0.19627848,2.972901,9.483603
62.011719,0.4835153,2.4654493,9.579348
66.711426,1.0388398,2.149489,9.655944
70.709229,1.6420372,2.88673,8.55487
75.012207,1.5079932,2.34098,8.6697645
79.437256,0.8664977,2.408002,9.0814705
83.557129,0.56968635,2.3792782,8.717637
87.158203,0.4356425,2.561195,8.516571
91.339112,0.6558574,2.5037475,8.861256
95.886231,0.4835153,2.5899186,8.995299
99.884033,0.3398969,2.647366,8.947427
103.973389,0.3398969,2.647366,8.947427
107.513428,0.30159867,2.8388572,8.928278
111.816406,0.30159867,2.9633265,9.004874
116.18042,0.33032233,3.039923,9.091045
119.689942,0.3877697,3.0494976,8.995299
123.413086,0.3877697,3.0494976,8.995299
126.495362,0.42606795,3.0494976,9.052747
130.004883,0.49308985,2.9346027,9.0814705
133.514405,0.49308985,2.7718353,9.119769
137.451172,0.50266445,2.6569405,9.18679
141.143799,0.54096264,2.513322,9.18679
146.514893,0.5505372,2.4463003,9.148493
150.695801,0.5218136,2.3697038,9.167642
154.35791,0.56968635,2.34098,9.071896
158.355713,0.56968635,2.3314054,9.091045
161.956787,0.64628285,2.3697038,9.0814705
166.656494,0.64628285,2.4654493,9.177217
170.654297,0.6750065,2.5516202,9.167642
174.377442,0.665432,2.647366,9.167642
178.222656,0.70373017,2.752686,9.18679
180.664063,0.6750065,2.7814097,9.177217
186.798096,0.6845811,2.819708,9.167642
190.826416,0.6558574,2.7718353,9.110194
194.580078,0.70373017,2.7239625,9.033598
198.272705,0.70373017,2.7239625,9.033598
200.836182,0.71330476,2.6856642,9.052747
206.90918,0.8186249,2.752686,9.110194
210.9375,0.8664977,2.8771553,9.138918
214.447022,0.7994758,2.972901,9.167642
218.383789,0.78990126,3.0303483,9.2825365
221.954346,0.78990126,3.0303483,9.2825365
226.959229,0.85692316,2.9824755,9.263388
231.109619,0.8473486,2.8771553,9.272962
234.680176,0.8473486,2.8771553,9.272962
238.525391,0.91437054,2.7718353,9.177217
242.401123,0.9622433,2.6856642,9.225089
246.734619,0.93351966,2.7814097,9.349558
250.579834,0.93351966,2.88673,9.272962
254.180908,0.93351966,2.88673,9.272962
258.209229,0.91437054,2.9633265,9.253813
260.620117,0.9526688,3.020774,9.263388
266.845703,0.99096704,2.9824755,9.20594
270.843506,0.92394507,3.020774,9.110194
274.536133,0.92394507,3.020774,9.110194
278.198242,0.8856468,3.0686467,9.091045
280.487061,0.8664977,3.126094,9.052747
284.088135,0.8664977,3.1548176,9.004874
287.81128,0.85692316,3.1356685,8.995299
291.900635,0.78032666,3.0973704,9.004874
295.501709,0.77075213,3.0494976,8.947427
299.407959,0.76117754,3.059072,8.947427
303.253174,0.7228793,3.1069448,8.899554
307.647705,0.70373017,3.193116,8.966576
311.462403,0.665432,3.3367343,9.052747
315.124512,0.7420284,3.451629,9.091045
319.42749,0.8281995,3.5569491,9.244238
323.242188,1.0388398,3.6622694,9.531475
327.392578,1.1824582,3.7101421,9.512326
331.390381,1.1154363,3.8920588,9.550624
334.960938,0.90479594,4.0356774,9.3878565
339.569092,0.7324539,4.045252,9.215514
343.719483,0.7994758,3.8824842,9.052747
347.900391,0.9622433,3.4803526,9.004874
350.891114,1.0579889,2.9824755,8.842107
355.34668,1.0292653,2.4463003,8.286782
359.680176,0.9430942,2.0058703,7.654861
363.861084,0.8952214,1.5175679,7.2718787
