time,x,y,z
0,1.4505459,2.187787,9.339984
4.364014,1.4505459,2.187787,9.339984
7.141113,0.44521707,2.34098,9.0814705
11.413574,0.32074776,1.8718265,9.18679
15.594483,0.5888355,1.6037389,9.158067
19.165039,0.665432,1.5654407,9.100619
22.766113,0.56968635,1.4218222,9.196365
26.580811,0.5313881,1.3260766,9.225089
30.303955,0.4835153,1.4409714,9.407005
33.905029,0.5792609,1.6707608,9.64637
37.93335,0.8281995,1.9771467,9.847435
42.297363,1.14416,2.7048132,10.469782
45.86792,1.8143792,3.7101421,10.5080805
49.530029,2.580344,3.499502,9.569773
53.344727,3.3080106,2.5228968,9.6942425
57.70874,3.690993,1.8048047,9.799562
61.889649,3.8537605,1.2399056,9.675094
65.704346,3.5090764,1.2590547,9.560199
69.671631,2.9441774,1.8335283,9.435729
73.120117,2.0441687,2.2069361,9.244238
77.728272,0.9430942,2.427151,9.119769
81.817627,0.25372586,2.427151,9.20594
85.723877,0.09095833,2.34098,9.0814705
89.782715,0.20585304,2.187787,8.861256
93.811035,0.44521707,2.101616,8.870831
97.839356,0.83777404,1.9388485,8.727212
103.027344,1.9005502,1.7282082,8.832532
107.299805,2.3122563,1.7569319,8.909128
111.541748,2.475024,1.9005502,8.947427
115.661621,2.475024,1.9005502,8.947427
119.110108,2.4558747,2.0633178,8.899554
123.260498,2.1207652,2.2260852,8.9761505
127.349854,1.9388485,2.1973617,8.928278
131.68335,1.79523,2.1399143,8.985725
135.71167,1.79523,2.1399143,8.985725
139.282227,1.6707608,2.1207652,9.033598
142.913818,1.5750152,2.0728924,9.20594
146.514893,1.622888,2.0441687,9.158067
150.32959,1.622888,2.0441687,9.158067
153.991699,1.7282082,2.0250196,9.196365
158.14209,1.8335283,1.9579976,9.253813
162.261963,2.1399143,1.8143792,9.349558
165.863037,2.1399143,1.8143792,9.349558
169.952393,2.168638,1.79523,9.368708
173.461914,2.2069361,1.8239537,9.29211
178.375244,2.1590633,1.8718265,9.263388
182.220459,2.0728924,2.0633178,9.301685
186.187744,1.9962958,2.2835326,9.29211
189.880371,1.9962958,2.2835326,9.29211
193.359375,1.8718265,2.4654493,9.29211
198.455811,1.7186337,2.666515,9.148493
202.728272,1.7473572,2.561195,9.215514
206.420899,1.7473572,2.561195,9.215514
210.083008,1.776081,2.3984275,9.253813
213.775635,1.8239537,2.3026817,9.167642
218.414307,1.9771467,2.0441687,9.2825365
222.198486,2.0728924,2.0441687,9.349558
225.646973,2.0920415,2.0824668,9.215514
