time,x,y,z
0,0.05266008,2.6952388,9.531475
3.02124,-0.11968201,3.1069448,9.617646
6.591796,-1.0388398,4.926111,8.880404
10.162353,-1.0579889,5.8165455,8.966576
14.678955,0.83777404,3.5665238,9.62722
20.019531,1.2111819,1.862252,9.924032
23.010253,0.63670826,1.4888442,8.736787
26.428222,1.862252,1.8239537,8.727212
30.212402,2.3697038,2.1303396,8.612317
34.667968,2.1399143,2.34098,8.803808
40.06958,0.90479594,2.7048132,8.918703
42.96875,-0.16755481,3.0494976,9.18679
46.905517,-0.90479594,3.499502,9.330409
50.445556,-1.0005416,3.8346114,9.407005
54.321289,-0.7228793,3.8154624,9.397431
60.211181,0.32074776,2.9824755,9.234664
64.727783,0.32074776,2.9824755,9.234664
68.298339,0.71330476,2.714388,9.052747
70.709228,0.92394507,2.6090677,8.909128
74.401855,0.8856468,2.580344,8.784659
80.3833,0.71330476,2.6186423,8.727212
83.312988,0.4356425,2.752686,8.727212
86.975097,0.16755481,2.8963046,8.736787
90.515136,0.09095833,3.0686467,8.784659
95.031738,0.110107444,3.2026904,8.813383
99.151611,0.19627848,3.2697124,8.7750845
102.447509,0.359046,3.1835413,8.842107
106.689453,0.512239,3.1069448,8.842107
111.022949,0.5792609,3.039923,8.803808
115.173339,0.6079846,3.0303483,8.794233
119.232177,0.6079846,3.0303483,8.794233
122.833251,0.5888355,2.9824755,8.832532
127.105712,0.5888355,3.0303483,8.861256
131.530761,0.6271337,3.0877957,8.870831
135.559082,0.6558574,3.059072,8.822957
139.831543,0.6558574,3.059072,8.822957
143.341064,0.7994758,3.0111992,8.832532
147.399902,0.7994758,3.0111992,8.832532
151.733398,0.78032666,2.9537518,8.822957
155.395507,0.7994758,2.9154537,8.822957
159.118652,0.7994758,2.9154537,8.822957
162.017822,0.8186249,2.867581,8.870831
165.527343,0.7994758,2.8580062,8.842107
169.98291,0.78032666,2.7431116,8.822957
174.194335,0.76117754,2.6760898,8.803808
177.856445,0.7420284,2.647366,8.6697645
