time,x,y,z
0,-0.05807233,-0.011643648,0.18164825
3.90625,0.028098702,-0.021218061,0.15292454
7.446289,-0.01977408,0.151124,0.18164825
11.962891,0.028098702,0.25644422,0.21037197
16.204834,0.3344847,0.47665906,0.28696823
19.836426,0.19086623,0.35218978,0.22952175
23.651123,0.028098702,0.2277205,0.16249943
27.130127,0.037673235,0.0745275,0.04760456
31.768799,-0.06319618,0.07500386,-0.036474228
35.705567,-0.18766552,0.09415293,-0.13222027
39.886475,-0.21638918,0.18989849,-0.20881653
43.579102,-0.06319618,0.266495,-0.23754025
47.088623,-0.06319618,0.28564405,-0.42903137
51.879883,-0.0919199,0.21862221,-0.5535002
55.908203,-0.15894186,0.122876644,-0.6396713
59.906006,-0.1685164,0.11330199,-0.66839504
64.361573,-0.18766552,0.17074943,-0.83116245
68.542481,-0.18766552,0.30479336,-0.87903595
72.021485,-0.3165514,0.4369943,-0.8445091
76.11084,-0.23038042,0.4369943,-0.6913166
80.352784,-0.11548567,0.4848671,-0.56684685
84.655762,0.066431046,0.46571803,-0.43280315
88.83667,0.11430383,0.41784525,-0.45195198
92.193604,0.04728186,0.3316741,-0.53812313
96.40503,0.03770733,0.24550295,-0.56684685
100.402832,-0.06848359,0.30385756,-0.5946121
104.492188,-0.09720731,0.36130476,-0.5084419
108.032227,-0.087632656,0.35173035,-0.39354706
112.243653,-0.030185342,0.25598478,-0.18290615
116.088867,0.027262092,0.093217134,-0.087161064
119.445801,0.027262092,-0.021677494,-0.068011284
122.98584,0.027262092,-0.08869958,-0.010564804
126.983643,0.10385847,-0.14614677,-9.90E-04
132.385254,0.022645354,-0.13934588,-0.009924889
136.291504,0.04179454,-0.19679332,0.018798828
139.770508,0.060943604,-0.1680696,-3.50E-04
143.707276,0.09924185,-0.15849495,0.057097435
146.942139,0.15668917,-0.15849495,0.028373718
152.496338,0.15668917,-0.13934588,0.018798828
156.341553,0.17583835,-0.12019682,-0.07694626
160.03418,0.101804376,-0.013698816,-0.10711384
163.665772,0.22627366,0.015024662,-0.04009247
166.931153,0.30287015,0.10119581,-0.068816185
172.76001,0.3124447,0.17779231,-0.068816185
176.849366,0.2645719,0.16821766,-0.11668873
180.358887,0.22627366,0.20651603,-0.14541245
184.112549,0.20712459,0.19694138,-0.12626362
187.622071,0.25499737,0.15864325,-0.11668873
192.687989,0.13052809,0.09162116,-0.17413616
197.784424,0.046426892,0.12456703,-0.19591808
201.99585,0.06557608,0.11499238,-0.20549202
206.176758,0.103874326,0.0671196,-0.24379063
210.357666,0.103874326,0.0671196,-0.24379063
214.965821,0.03685236,-0.06692433,-0.3874092
219.055176,-0.011020422,-0.18181896,-0.47358036
222.869873,-0.03974414,-0.27756453,-0.46400547
227.264405,0.027277827,-0.33501196,-0.4831543
232.788086,-0.033226967,-0.21769571,-0.5233145
237.365723,0.052944183,-0.19854665,-0.4275694
241.760254,0.052944183,-0.22727036,-0.4084196
245.941162,0.052944183,-0.22727036,-0.4084196
249.938965,0.052944183,-0.22727036,-0.4084196
254.089356,0.052944183,-0.22727036,-0.4084196
256.866455,0.08166778,-0.23684478,-0.2552271
260.5896,0.022808075,-0.12975049,-0.26879215
264.343262,0.07068086,-0.1488998,-0.26879215
267.913819,0.108979106,-0.17762339,-0.26879215
272.857666,0.11855364,-0.18719792,-0.29751587
277.160645,0.08025551,-0.29251814,-0.4985819
280.639649,0.00365901,-0.34996545,-0.56560326
284.454346,0.00365901,-0.34996545,-0.56560326
287.994385,0.022808075,-0.39783823,-0.6134758
292.877198,-0.07739818,-0.38505328,-0.66256523
296.844483,-0.1827184,-0.5765445,-0.5763941
300.231934,-0.16356921,-0.76803577,-0.50937176
304.077149,-0.19229293,-0.9020796,-0.585969
306.732178,-0.211442,-0.89250505,-0.5955429
313.018799,-0.1827184,-0.84463227,-0.6338415
317.016602,-0.19229293,-0.66271555,-0.52852154
320.556641,-0.19925511,-0.5774491,-0.5446272
324.279785,-0.25670242,-0.5295763,-0.38185978
326.721192,-0.30457532,-0.46255434,-0.24781513
332.946778,-0.3811717,-0.3955325,-0.11377144
337.005616,-0.3524481,-0.25191402,0.001123428
340.698242,-0.37159717,-0.18489218,0.07771969
344.421387,-0.37159717,-0.18489218,0.07771969
348.022461,-0.36202264,-0.15616846,0.16389084
352.996826,-0.40089846,0.014909506,0.20694923
357.1167,-0.32430196,0.101080656,0.23567295
360.656739,-0.29557836,0.13937879,0.15907669
364.501953,-0.29557836,0.13937879,0.15907669
368.011475,-0.31472743,0.101080656,0.13992786
373.046875,-0.34345114,0.024484158,0.10162926
376.922608,-0.40089846,-0.13828337,0.16865158
380.5542,-0.38420486,0.04278028,0.13294697
384.185791,-0.38420486,-0.024241686,0.20954323
386.749268,-0.35548115,-0.09126365,0.25741577
393.127442,-0.24058652,-0.081689,0.42975807
397.094727,-0.23101187,-0.03381622,0.5159292
400.573731,-0.22143734,0.014056563,0.57337666
404.785157,-0.14484084,0.052354813,0.54465294
408.569336,-0.14484084,0.052354813,0.54465294
411.010742,-0.073732376,0.2631067,0.42922592
414.733887,-0.188627,0.10991371,0.8600817
418.914795,-0.39926744,-0.11987579,2.1047745
422.973633,-0.5524603,-0.20604682,3.2537212
427.215576,-0.4758638,-0.033704758,3.675002
430.816651,-0.2843727,0.14821196,3.483511
434.722901,-0.00671041,0.014168143,3.1196775
438.568116,0.21396446,0.38172966,3.3620377
443.084717,0.616096,0.22853667,3.7928934
447.235108,0.8650346,0.38172966,3.840766
450.897217,1.1139731,0.61151904,3.7067223
454.742432,1.2863152,0.6498173,2.8928843
458.862305,1.2097187,0.3434314,2.500327
462.799073,1.0661004,0.008321762,2.7779894
466.552735,1.3820608,-0.058700144,2.816288
470.672608,1.8817495,1.194043,2.2481928
475.097657,2.19771,1.6919202,1.7024422
478.820801,2.044517,1.7206439,1.6354208
482.757569,1.958346,1.6823456,1.2141399
487.243653,2.1785607,1.6823456,0.122639656
490.875244,2.111539,1.7110692,-0.67204857
494.750977,2.1881351,1.4812799,-1.0646057
498.504639,2.6885965,3.0247593,-1.5336981
503.112793,3.3396666,3.2928472,-2.4911542
506.652832,3.3300922,3.4747639,-4.023084
511.047364,2.6024258,3.407742,-4.2528734
514.770508,1.8268862,3.187527,-4.1667023
518.768311,1.7981625,3.513062,-4.1379786
522.705078,2.047101,4.231154,-4.951816
526.458741,1.9034827,4.709882,-5.373097
530.792237,0.6875136,5.255632,-5.5071406
535.430909,-0.652925,5.322654,-5.7656536
540.06958,-1.1172156,6.6388125,-5.1395736
544.281006,-2.1895664,6.322852,-5.541705
546.905518,-3.1948953,5.6526327,-5.991709
551.269532,-3.6448998,4.7047515,-6.1257534
555.603028,-3.9321365,3.4217603,-6.5087357
560.058594,-4.1715,0.45364642,-6.0012836
564.636231,-4.1715,0.45364642,-6.0012836
567.565918,-4.2385225,-0.62827873,-5.3119154
571.899414,-3.7516727,-0.11954832,-3.9085307
576.324463,-3.636778,-0.16742086,-2.0127678
580.352784,-3.636778,-0.16742086,-2.0127678
584.869385,-3.5984797,-0.042951584,-1.7159562
588.989258,-3.5984797,-0.042951584,-1.7159562
592.041016,-3.397414,-0.5504036,-1.3425484
596.008301,-2.8899622,-1.3450918,-0.84467125
599.700928,-1.8963307,-1.6158137,0.01552105
603.027344,-1.5133482,-2.496673,0.33148098
606.536866,-1.1782386,-3.2530637,0.48467445
611.480713,-0.87185264,-3.9041333,0.637867
615.447998,-0.48887026,-4.354138,0.77191067
619.506836,-0.31652814,-4.4977565,0.90595436
622.344971,-0.23993169,-4.363713,0.9346781
626.312256,-0.31652814,-4.153072,0.8102093
631.072998,-0.23731218,-3.9862366,0.7788639
634.796143,-0.13199203,-3.9766617,0.81716156
638.61084,-0.045820996,-3.8904905,0.7214165
642.456055,-0.01709731,-3.6989994,0.55864906
646.697998,-0.10326834,-3.4213371,0.261837
651.397705,-0.21816306,-3.1436749,0.07992077
655.090332,-0.19901396,-2.8755875,-0.006250382
658.26416,-0.003358424,-3.157094,-0.2109499
662.689209,0.618988,-2.592195,-0.02903366
666.412354,0.5902643,-1.9602737,-0.10562992
671.081543,0.46579504,-1.3475022,-0.19180107
674.926758,0.3317512,-0.73473024,-0.33541965
678.55835,0.40834767,-0.09323454,-0.28754616
682.403565,0.68600994,0.5099628,-0.29712105
686.24878,0.8870757,1.0365636,-0.22052479
691.070557,0.8002656,0.6899824,-0.6565962
695.434571,0.8577129,1.1782849,-0.77149105
698.242188,0.73324364,1.6857365,-0.876811
702.209473,0.6566472,2.0591445,-1.0108547
706.573487,0.58962524,2.3463812,-1.0874519
710.845948,0.74281824,2.4899998,-1.0108547
714.965821,1.0013313,2.566596,-0.8385134
719.085694,0.9646988,1.6306973,-1.2411442
722.869873,0.916826,1.7838901,-1.3656139
726.379395,0.84980404,1.9275086,-1.4996576
730.712891,0.763633,1.8796358,-1.920938
735.412598,0.7157602,1.6689954,-1.9783854
739.471436,0.6583128,1.2764385,-2.0166836
743.225098,0.8115058,0.9700525,-1.7773199
746.85669,1.1466154,0.7881359,-1.5379558
750.518799,1.2981732,-0.66592,-1.6101856
755.523682,1.4609408,-0.3499595,-1.3995447
759.613037,1.3364716,-0.110595465,-1.064435
763.458252,1.2024276,0.061746597,-0.4995365
767.181397,1.0588093,0.24366325,0.32387543
770.751953,1.1545548,0.44472903,1.1951609
775.32959,1.3173225,0.48302728,1.9324017
