time,x,y,z
0,0.07191106,-0.09055467,-0.08256455
4.119873,0.09055467,-0.10120816,-0.087891296
11.962891,0.14115874,-0.111861646,-0.087891296
15.930176,0.16779247,-0.11985177,-0.08256455
20.263672,0.16779247,-0.11985177,-0.08256455
23.925781,0.18377271,-0.135832,-0.08522792
31.646728,0.18909945,-0.15713897,-0.098544784
35.522461,0.18377271,-0.17311922,-0.11452502
39.581299,0.16779247,-0.18909945,-0.117188394
43.548584,0.13849537,-0.19708957,-0.10387153
51.605225,0.05326745,-0.22105992,-0.087891296
55.81665,0.05326745,-0.22105992,-0.087891296
59.570312,0.015980236,-0.23437679,-0.1065349
63.568115,-0.013316862,-0.2423669,-0.13316862
71.563721,-0.04261396,-0.24503027,-0.15980235
75.653076,-0.07990117,-0.24503027,-0.18909945
79.467773,-0.13050525,-0.25035703,-0.22905004
83.618164,-0.19708957,-0.2610105,-0.28764424
91.522217,-0.26900062,-0.271664,-0.36221868
96.191406,-0.36488205,-0.26633725,-0.4554367
100.494385,-0.35689193,-0.24769364,-0.4181495
104.766846,-0.35689193,-0.24769364,-0.4181495
109.069824,-0.31694132,-0.22372329,-0.3196047
113.739014,-0.25568378,-0.20774306,-0.1944262
117.706299,-0.19708957,-0.20241632,-0.093218036
124.267578,-0.15181224,-0.20241632,-0.04261396
128.02124,-0.122515135,-0.20241632,-0.037287217
135.406494,-0.111861646,-0.19975294,-0.058594197
139.190674,-0.111861646,-0.20241632,-0.07990117
144.042969,-0.117188394,-0.2130698,-0.087891296
151.397705,-0.111861646,-0.2530204,-0.07990117
155.334473,-0.111861646,-0.2530204,-0.07990117
159.179687,-0.08256455,-0.2610105,-0.08256455
164.0625,-0.04261396,-0.26367387,-0.093218036
168.09082,-0.01065349,-0.26367387,-0.098544784
175.445557,0.002663373,-0.26900062,-0.09588141
179.229736,0.005326745,-0.27699074,-0.08256455
183.837891,0.002663373,-0.27965412,-0.069247685
191.680908,-0.007990118,-0.26367387,-0.061257567
195.617676,-0.007990118,-0.26367387,-0.061257567
199.890137,-0.018643608,-0.25568378,-0.06658431
204.193115,-0.023970352,-0.2530204,-0.07457443
208.221435,-0.029297099,-0.25834712,-0.08256455
216.369629,-0.023970352,-0.25834712,-0.09588141
220.733642,-0.023970352,-0.25834712,-0.09588141
224.761963,-0.018643608,-0.25568378,-0.09588141
229.156494,-0.013316862,-0.24769364,-0.09588141
234.130859,-0.007990118,-0.23704016,-0.09055467
238.342285,0,-0.22372329,-0.087891296
246.917725,0.034623843,-0.1944262,-0.07990117
252.075195,0.047940705,-0.18110934,-0.07457443
255.950928,0.047940705,-0.18110934,-0.07457443
259.94873,0.05326745,-0.17311922,-0.069247685
267.333984,0.05326745,-0.16246572,-0.06658431
271.484375,0.039950587,-0.15980235,-0.063920945
275.543213,0.039950587,-0.15980235,-0.063920945
279.35791,0.018643608,-0.15713897,-0.063920945
287.139892,-0.039950587,-0.15713897,-0.058594197
291.931152,-0.07990117,-0.15980235,-0.05326745
295.898437,-0.07990117,-0.15980235,-0.05326745
299.926758,-0.12517852,-0.1651291,-0.05060408
303.741455,-0.17311922,-0.17045584,-0.047940705
311.981201,-0.29563436,-0.18909945,-0.039950587
316.131592,-0.29563436,-0.18909945,-0.039950587
320.129394,-0.3888524,-0.20507969,-0.037287217
323.699951,-0.51136756,-0.23171341,-0.047940705
331.756592,-0.7670513,-0.29563436,-0.10919827
336.151123,-0.7670513,-0.29563436,-0.10919827
339.874267,-0.8789129,-0.32759482,-0.14914887
343.536377,-0.9987647,-0.35689193,-0.18909945
352.203369,-1.3769636,-0.3968425,-0.2610105
356.201172,-1.3769636,-0.3968425,-0.2610105
359.954834,-1.629984,-0.42081288,-0.2903076
363.677978,-1.8909945,-0.4554367,-0.3009611
372.009277,-2.351758,-0.53533787,-0.2530204
375.946045,-2.351758,-0.53533787,-0.2530204
379.699707,-2.5541742,-0.5699617,-0.19975294
386.993408,-2.9536803,-0.6125757,-0.047940705
392.425537,-3.1401162,-0.6258925,0.029297099
396.514892,-3.3185623,-0.6232292,0.098544784
400.299072,-3.3185623,-0.6232292,0.098544784
404.052734,-3.4863546,-0.585942,0.15447561
412.536621,-3.7926426,-0.407496,0.25035703
416.534424,-3.9630983,-0.28498086,0.35156518
420.623779,-3.9630983,-0.28498086,0.35156518
424.102783,-4.1628513,-0.15447561,0.5300111
432.342529,-4.6129613,0.087891296,1.0839926
436.401367,-4.6129613,0.087891296,1.0839926
440.124512,-4.7993975,0.22105992,1.379627
443.634033,-4.924576,0.37553552,1.6033503
452.789307,-4.924576,0.70313036,1.6805881
456.726074,-4.7940707,0.8389624,1.5474194
460.540771,-4.7940707,0.8389624,1.5474194
464.111328,-4.604971,0.9401705,1.3556566
472.564697,-4.2214456,0.9747943,0.90554667
476.531982,-4.2214456,0.9747943,0.90554667
480.255127,-4.0936036,0.8895664,0.6711699
483.734131,-4.0057125,0.7537344,0.4554367
492.706299,-3.8219397,0.39950588,0.11452502
496.673584,-3.8219397,0.39950588,0.11452502
500.457764,-3.6754541,0.21573317,-0.015980236
504.241943,-3.5023348,0.055930823,-0.13316862
512.878418,-3.081522,-0.13316862,-0.33558494
516.937256,-3.081522,-0.13316862,-0.33558494
520.874023,-2.8151848,-0.17844597,-0.40483263
524.414062,-2.516887,-0.22372329,-0.43945646
532.897949,-1.9469253,-0.30628785,-0.45277333
536.956787,-1.9469253,-0.30628785,-0.45277333
540.771484,-1.6912416,-0.32226807,-0.47141695
544.311523,-1.4542015,-0.32226807,-0.50337744
550.506592,-1.2384683,-0.3196047,-0.54599136
555.053711,-1.0360519,-0.31694132,-0.5832786
559.204101,-0.836299,-0.31694132,-0.61790246
566.375732,-0.6285559,-0.31427795,-0.65518963
570.831299,-0.41015938,-0.30362448,-0.70579374
574.981689,-0.1944262,-0.29563436,-0.7670513
582.366943,0.002663373,-0.292971,-0.8336356
586.334228,0.17578259,-0.30362448,-0.8922298
590.332031,0.32759482,-0.32493144,-0.93750715
594.665527,0.45277333,-0.34357506,-0.9694676
602.325439,0.64187276,-0.37020877,-0.9961013
606.292725,0.64187276,-0.37020877,-0.9961013
610.870361,0.71644723,-0.38086227,-0.9881112
615.020752,0.7963484,-0.3888524,-0.9747943
619.262695,0.88690305,-0.39151576,-0.95881414
626.586914,0.9854478,-0.386189,-0.9454973
630.493164,1.086656,-0.37020877,-0.93750715
634.643555,1.1931909,-0.34357506,-0.92951703
642.578125,1.4142509,-0.271664,-0.89489317
646.881103,1.5101322,-0.22638667,-0.86559606
650.726318,1.5101322,-0.22638667,-0.86559606
655.181885,1.5713898,-0.18377271,-0.82298213
659.332275,1.5847067,-0.1464855,-0.7670513
666.19873,1.5554096,-0.12517852,-0.70579374
670.654297,1.5101322,-0.12784189,-0.657853
675.048828,1.4755085,-0.1464855,-0.636546
679.199219,1.4515381,-0.16246572,-0.6258925
686.49292,1.4275677,-0.16246572,-0.60991234
690.52124,1.400934,-0.1464855,-0.5726251
694.763183,1.379627,-0.12784189,-0.5193576
698.944092,1.3689735,-0.12517852,-0.47141695
706.451416,1.3769636,-0.14914887,-0.44744658
710.388183,1.4035974,-0.1944262,-0.4554367
715.118408,1.4462113,-0.24769364,-0.48739716
719.329834,1.4968153,-0.292971,-0.53533787
726.104736,1.5394293,-0.32226807,-0.585942
730.499267,1.5607363,-0.33558494,-0.6258925
735.229492,1.5527462,-0.3409117,-0.6498629
739.532471,1.515459,-0.35422856,-0.65518963
746.398926,1.4595282,-0.3781989,-0.64187276
750.335693,1.3876171,-0.41282275,-0.6232292
755.0354,1.2970624,-0.45277333,-0.6019222
759.338379,1.1931909,-0.50071406,-0.5832786
766.357422,1.0760025,-0.5539815,-0.5619716
770.6604,0.9428339,-0.6045856,-0.53800124
778.381348,0.5912687,-0.6685065,-0.50071406
782.287598,0.37020877,-0.6871501,-0.49805066
786.04126,0.37020877,-0.6871501,-0.49805066
790.588379,0.15181224,-0.7191106,-0.5087042
798.309326,-0.22105992,-0.81232864,-0.51669425
802.337646,-0.40216926,-0.84162575,-0.5140309
806.243896,-0.40216926,-0.84162575,-0.5140309
810.180664,-0.5726251,-0.85494256,-0.5140309
817.962646,-0.8709228,-0.87624955,-0.47408032
822.052002,-0.8709228,-0.87624955,-0.47408032
826.293945,-1.0387152,-0.91620016,-0.40483263
830.108642,-1.273092,-0.9774577,-0.31427795
838.043213,-1.5820433,-1.0467054,-0.22638667
841.918945,-1.922955,-1.1026362,-0.15713897
845.916748,-2.2212527,-1.12927,-0.111861646
850.341797,-2.4503028,-1.1212798,-0.058594197
858.062744,-2.852472,-0.99343795,0.25834712
862.670898,-3.1214726,-0.85494256,0.58860534
866.30249,-3.1214726,-0.85494256,0.58860534
870.300293,-3.4597208,-0.6658431,1.0014281
877.838135,-3.8565636,-0.42880297,1.4115875
881.835937,-4.3066735,-0.1651291,1.7152119
885.83374,-4.76211,0.10387153,1.8350637
890.411377,-5.1589527,0.36488205,1.7631526
898.4375,-5.5078545,0.74041754,1.2864089
902.648926,-5.4066463,0.7750414,1.0200717
906.463623,-5.4066463,0.7750414,1.0200717
910.339355,-5.174933,0.6871501,0.78036815
917.96875,-4.581001,0.28498086,0.35422856
921.75293,-4.581001,0.28498086,0.35422856
926.086426,-4.2507424,0.058594197,0.15980235
930.81665,-3.8805337,-0.1464855,-0.029297099
938.568115,-3.0548882,-0.45010996,-0.39151576
942.840576,-2.6340754,-0.54599136,-0.5539815
946.807861,-2.6340754,-0.54599136,-0.5539815
951.35498,-2.215926,-0.59659547,-0.70313036
959.136963,-1.3876171,-0.55930823,-0.95615077
962.707519,-0.9801211,-0.5087042,-1.0493687
966.308594,-0.9801211,-0.5087042,-1.0493687
970.336914,-0.5806152,-0.46342683,-1.1052996
978.210449,-0.1944262,-0.43146634,-1.1239432
981.872558,0.17311922,-0.407496,-1.107963
985.717773,0.52734774,-0.386189,-1.0680124
990.631103,0.8522792,-0.36488205,-1.0174084
998.962402,1.3822904,-0.3302582,-0.91620016
1002.89917,1.5740532,-0.31427795,-0.86825943
1006.652832,1.5740532,-0.31427795,-0.86825943
1010.986328,1.7125485,-0.2903076,-0.82298213
1019.470215,1.8883312,-0.22105992,-0.7537344
1025.970459,1.9389352,-0.18377271,-0.7377542
1030.395508,1.9708956,-0.15713897,-0.7297641
1038.970947,1.973559,-0.111861646,-0.6764966
1042.388916,1.973559,-0.111861646,-0.6764966
1045.898437,1.9442619,-0.087891296,-0.6258925
1055.938721,1.8696876,-0.05060408,-0.55664486
1059.875488,1.8457172,-0.04261396,-0.5406646
1065.551758,1.8350637,-0.04261396,-0.52468437
1076.080322,1.8723509,-0.007990118,-0.4660902
1079.986572,1.9202917,0.04261396,-0.41282275
1086.334228,1.9868759,0.1065349,-0.35156518
1093.505859,2.0694404,0.15713897,-0.29829773
1097.808838,2.3064806,0.15181224,-0.25035703
1102.142334,2.3064806,0.15181224,-0.25035703
1105.682373,2.466283,0.117188394,-0.25568378
1113.494873,2.6580458,0.10120816,-0.26633725
1117.797851,3.0468981,0.15181224,-0.25568378
1121.887207,3.0468981,0.15181224,-0.25568378
1125.549316,3.2040372,0.18377271,-0.2423669
1133.422851,3.3132355,0.19176282,-0.22905004
1137.756348,3.3744931,0.17844597,-0.22372329
1141.784668,3.3904734,0.15980235,-0.22372329
1145.599365,3.366503,0.15181224,-0.23171341
1153.381348,3.2972553,0.1651291,-0.23970354
1157.714844,3.1694133,0.1944262,-0.24503027
1161.682129,2.966997,0.21573317,-0.23970354
1166.107178,2.6607091,0.21573317,-0.21839654
1173.675537,2.2425597,0.18377271,-0.18110934
1177.978516,1.1532403,0.039950587,-0.10120816
1182.342529,1.1532403,0.039950587,-0.10120816
1186.157226,0.6152391,-0.037287217,-0.1065349
1193.664551,0.17578259,-0.1065349,-0.15181224
1198.120117,-0.3781989,-0.19176282,-0.26633725
1202.270508,-0.3781989,-0.19176282,-0.26633725
1205.841064,-0.5939321,-0.22638667,-0.27432737
1213.378906,-0.8629327,-0.26633725,-0.22105992
1217.74292,-1.6219939,-0.3968425,0.10120816
1222.412109,-1.6219939,-0.3968425,0.10120816
1226.44043,-2.0214999,-0.44744658,0.37287214
1230.987549,-2.3704016,-0.43945646,0.70579374
1238.555908,-2.8711157,-0.20507969,1.4115875
1242.950439,-3.0229278,-0.007990118,1.6992317
1247.314453,-3.0229278,-0.007990118,1.6992317
1251.586914,-3.110819,0.21839654,1.9043114
1259.246826,-3.124136,0.72443736,2.1466782
1264.190674,-3.1161458,0.9774577,2.2398963
1269.439697,-3.124136,1.2118345,2.3064806
1274.017334,-3.124136,1.2118345,2.3064806
1281.158447,-3.068205,1.4861618,2.159995
1286.224365,-2.9563434,1.4595282,1.8883312
1291.290283,-2.7912145,1.3343496,1.5207857
1299.285889,-2.3677382,0.92685366,0.7750414
1303.436279,-2.1067276,0.70313036,0.48739716
1307.617187,-2.1067276,0.70313036,0.48739716
1311.920166,-1.8324003,0.4927239,0.26900062
1319.824219,-1.3423398,0.13849537,0
1328.094482,-1.1479136,0.02130698,-0.098544784
1333.068848,-0.98278445,-0.055930823,-0.19176282
1338.470459,-0.6818234,-0.15980235,-0.39950588
1343.078613,-0.6818234,-0.15980235,-0.39950588
1347.65625,-0.53533787,-0.19975294,-0.49805066
1352.050781,-0.39151576,-0.23171341,-0.5832786
1356.201172,-0.25035703,-0.25568378,-0.65252626
1360.961914,-0.111861646,-0.27432737,-0.71644723
1369.293213,0.013316862,-0.28764424,-0.7643879
1373.321533,0.20241632,-0.30628785,-0.7883583
1378.723144,0.26367387,-0.3009611,-0.76971465
1383.81958,0.26367387,-0.3009611,-0.76971465
1387.8479,0.35422856,-0.26900062,-0.721774
1392.211914,0.35422856,-0.26900062,-0.721774
1396.789551,0.3968425,-0.24769364,-0.69514024
1402.038574,0.43412971,-0.22905004,-0.6658431
1406.707764,0.46076345,-0.20774306,-0.63121927
1411.987305,0.4767437,-0.18377271,-0.58860534
1417.114258,0.49006054,-0.1651291,-0.53533787
1422.424316,0.50071406,-0.15447561,-0.48739716
1427.520752,0.5912687,-0.13316862,-0.46076345
1432.4646,0.5912687,-0.13316862,-0.46076345
1437.286377,0.69514024,-0.117188394,-0.49805066
1443.145752,0.836299,-0.098544784,-0.5513181
1447.998047,1.1585671,-0.07723781,-0.6045856
1452.941894,1.1585671,-0.07723781,-0.6045856
1458.892822,1.2970624,-0.07191106,-0.58860534
1464.538574,1.4115875,-0.06658431,-0.55664486
1469.604492,1.6006869,-0.07191106,-0.49805066
1474.151611,1.6912416,-0.08256455,-0.4767437
1479.431152,1.7791328,-0.09055467,-0.4554367
1483.947754,1.8643608,-0.08256455,-0.42880297
1488.40332,1.8643608,-0.08256455,-0.42880297
1492.980957,1.9362718,-0.055930823,-0.40216926
1498.840332,2.0188365,0.02130698,-0.35689193
1503.234863,2.0188365,0.02130698,-0.35689193
1507.385254,2.0454702,0.034623843,-0.3409117
1512.634277,2.066777,0.023970352,-0.32759482
